signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p11_open,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,PNB,2022-01-03 10:55:00+05:30,0.1316,0.2058,0,,0.3524,33.33,0.3699,0,1.1198,,0,0,1,0,1,0,1,2022-01-03 10:55:00+05:30,2022-01-03 11:00:00+05:30,2022-01-03 15:00:00+05:30,36.59,36.33107142857143,37.05607142857144,0.34,EOD+
S002,PNB,2022-01-03 11:05:00+05:30,0.1315,0.1577,1,1.0,0.083,0.0,5.25,0,0.1899,,0,0,0,1,1,0,1,2022-01-03 11:05:00+05:30,2022-01-03 11:10:00+05:30,2022-01-03 14:10:00+05:30,36.54,36.29892857142857,36.97392857142858,0.4339,W
S003,PNB,2022-01-03 11:15:00+05:30,0.1,0.1453,0,,0.1938,50.0,1.7778,0,1.433,,0,0,0,0,1,0,1,2022-01-03 11:15:00+05:30,2022-01-03 11:20:00+05:30,2022-01-03 14:10:00+05:30,36.54,36.30785714285714,36.95785714285715,0.4179,W
S004,PNB,2022-01-03 11:25:00+05:30,0.0657,0.1055,0,,0.252,0.0,1.2222,0,0.2785,,0,0,0,1,1,0,1,2022-01-03 11:25:00+05:30,2022-01-03 11:30:00+05:30,2022-01-03 14:00:00+05:30,36.49,36.26678571428572,36.89178571428572,0.4018,W
S005,PNB,2022-01-03 11:35:00+05:30,0.0397,0.1054,0,,0.3208,100.0,-1.0,0,1.3035,1.0,1,0,0,0,0,1,2,2022-01-03 11:40:00+05:30,2022-01-03 11:45:00+05:30,2022-01-03 14:10:00+05:30,36.59,36.37571428571429,36.97571428571429,0.3857,W
S006,PNB,2022-01-03 12:40:00+05:30,0.1161,0.0889,11,5.0,0.1105,50.0,5.6667,0,0.9605,,0,1,0,1,1,0,1,2022-01-03 12:40:00+05:30,2022-01-03 12:45:00+05:30,2022-01-03 14:10:00+05:30,36.64,36.47035714285715,36.94535714285714,0.3054,W
S007,PNB,2022-01-03 13:05:00+05:30,0.1541,0.1475,4,4.0,0.1849,50.0,2.5714,0,1.4333,,0,0,0,0,1,0,1,2022-01-03 13:05:00+05:30,2022-01-03 13:10:00+05:30,2022-01-03 15:00:00+05:30,36.74,36.55071428571429,37.08071428571428,0.19,EOD+
S008,PNB,2022-01-03 13:25:00+05:30,0.1335,0.1418,3,1.0,0.0385,28.57,15.6667,0,1.5621,,0,1,1,0,1,0,1,2022-01-03 13:25:00+05:30,2022-01-03 13:30:00+05:30,2022-01-03 15:00:00+05:30,36.83,36.63535714285714,37.18035714285714,0.1,EOD+
S009,PNB,2022-01-04 09:20:00+05:30,,,1,1.0,0.0324,61.54,24.0,0,1.9681,,0,1,0,1,1,0,1,2022-01-04 09:20:00+05:30,2022-01-04 09:25:00+05:30,2022-01-04 09:40:00+05:30,37.32,37.011071428571434,37.87607142857142,-0.3089,L
S010,PNB,2022-01-04 09:35:00+05:30,,,2,2.0,0.019,100.0,-1.0,0,1.5975,1.0,1,1,0,0,0,1,2,2022-01-04 09:40:00+05:30,2022-01-04 09:45:00+05:30,2022-01-04 15:00:00+05:30,37.12,36.72535714285714,37.83035714285713,0.05,EOD+
S011,PNB,2022-01-04 11:05:00+05:30,0.1768,0.3122,16,5.0,0.2078,35.71,1.6316,0,0.409,,0,0,0,1,1,0,1,2022-01-04 11:05:00+05:30,2022-01-04 11:10:00+05:30,2022-01-04 11:20:00+05:30,37.37,37.14142857142857,37.78142857142856,-0.2286,L
S012,PNB,2022-01-04 11:45:00+05:30,-0.0737,0.0054,0,,1.4423,50.0,-1.0,0,1.0465,1.0,3,0,1,0,0,3,4,2022-01-04 12:00:00+05:30,2022-01-04 12:05:00+05:30,2022-01-04 13:10:00+05:30,37.37,37.10392857142857,37.84892857142857,-0.2661,L
S013,PNB,2022-01-04 12:20:00+05:30,-0.0644,-0.0335,0,,0.672,100.0,-1.0,0,1.108,1.0,3,0,0,0,0,3,4,2022-01-04 12:35:00+05:30,2022-01-04 12:40:00+05:30,2022-01-04 13:15:00+05:30,37.32,37.052142857142854,37.80214285714286,-0.2679,L
S014,PNB,2022-01-04 13:55:00+05:30,-0.2154,-0.1304,0,,1.4658,50.0,-0.6795,0,0.6304,1.0,3,0,0,1,0,3,4,2022-01-04 14:10:00+05:30,2022-01-04 14:15:00+05:30,2022-01-04 15:00:00+05:30,37.08,36.81392857142857,37.55892857142857,0.09,EOD+
S015,PNB,2022-01-04 14:20:00+05:30,-0.1011,-0.1643,0,,0.1671,0.0,3.8649,0,0.5456,,0,0,0,0,1,0,1,2022-01-04 14:20:00+05:30,2022-01-04 14:25:00+05:30,2022-01-04 15:00:00+05:30,37.17,36.893214285714286,37.668214285714285,0.0,EOD-
S016,PNB,2022-01-05 09:15:00+05:30,,,0,,1.5173,85.29,-0.7423,0,2.0929,,0,0,0,0,1,0,1,2022-01-05 09:15:00+05:30,2022-01-05 09:20:00+05:30,2022-01-05 13:15:00+05:30,37.27,36.95035714285714,37.845357142857154,0.5754,W
S017,PNB,2022-01-05 09:25:00+05:30,,,1,1.0,0.15,25.0,1.381,0,1.3744,,0,0,1,1,1,0,1,2022-01-05 09:25:00+05:30,2022-01-05 09:30:00+05:30,2022-01-05 13:15:00+05:30,37.27,36.92,37.900000000000006,0.63,W
S018,PNB,2022-01-05 09:35:00+05:30,,,0,,1.3633,47.37,-0.7555,0,2.4944,1.0,1,1,1,0,0,1,2,2022-01-05 09:40:00+05:30,2022-01-05 09:45:00+05:30,2022-01-05 15:00:00+05:30,37.32,36.945,37.995000000000005,0.29,EOD+
S019,PNB,2022-01-05 10:25:00+05:30,0.2036,0.2146,8,5.0,0.0527,35.71,4.5556,0,0.4514,,0,0,0,0,1,0,1,2022-01-05 10:25:00+05:30,2022-01-05 10:30:00+05:30,2022-01-05 15:00:00+05:30,37.42,36.99321428571429,38.18821428571429,0.19,EOD+
S020,PNB,2022-01-05 10:35:00+05:30,0.1593,0.2157,0,,0.15,50.0,1.0833,0,0.2839,,0,0,0,1,1,0,1,2022-01-05 10:35:00+05:30,2022-01-05 10:40:00+05:30,2022-01-05 15:00:00+05:30,37.37,36.97,38.09,0.24,EOD+
S021,PNB,2022-01-05 11:05:00+05:30,0.0,0.0402,0,,0.6684,50.0,-1.0,0,0.4416,0.0,3,0,0,1,0,3,4,2022-01-05 11:20:00+05:30,2022-01-05 11:25:00+05:30,2022-01-05 13:15:00+05:30,37.42,37.143214285714286,37.91821428571429,0.4982,W
S022,PNB,2022-01-05 11:30:00+05:30,0.0709,0.0575,0,,0.4777,100.0,-1.0,0,0.3166,0.0,2,0,0,0,0,2,3,2022-01-05 11:40:00+05:30,2022-01-05 11:45:00+05:30,2022-01-05 13:15:00+05:30,37.37,37.105714285714285,37.84571428571428,0.4757,W
S023,PNB,2022-01-05 12:00:00+05:30,-0.083,-0.0696,0,,0.7353,0.0,-0.2,0,0.6184,0.0,3,0,0,1,0,3,4,2022-01-05 12:15:00+05:30,2022-01-05 12:20:00+05:30,2022-01-05 13:00:00+05:30,37.32,37.1075,37.70249999999999,0.3825,W
S024,PNB,2022-01-05 13:50:00+05:30,0.2526,0.253,17,7.0,0.3949,0.0,1.2727,0,0.9838,,0,1,0,0,1,0,1,2022-01-05 13:50:00+05:30,2022-01-05 13:55:00+05:30,2022-01-05 15:00:00+05:30,37.66,37.38142857142857,38.161428571428566,-0.05,EOD-
S025,PNB,2022-01-05 14:10:00+05:30,0.2071,0.2525,2,2.0,0.4565,0.0,-0.0476,0,0.3348,1.0,2,0,0,1,0,2,3,2022-01-05 14:20:00+05:30,2022-01-05 14:25:00+05:30,2022-01-05 15:00:00+05:30,37.71,37.4225,38.2275,-0.1,EOD-
S026,PNB,2022-01-05 14:30:00+05:30,0.1061,0.1818,0,,0.8021,50.0,-0.3939,0,0.2923,,0,0,0,1,1,0,1,2022-01-05 14:30:00+05:30,2022-01-05 14:35:00+05:30,2022-01-05 15:00:00+05:30,37.66,37.40285714285714,38.122857142857136,-0.05,EOD-
S027,PNB,2022-01-06 09:55:00+05:30,-0.1932,-0.2596,0,,1.1447,0.0,-0.4987,0,0.6272,1.0,3,0,0,0,0,3,4,2022-01-06 10:10:00+05:30,2022-01-06 10:15:00+05:30,2022-01-06 15:00:00+05:30,37.56,37.12428571428572,38.34428571428572,0.2,EOD+
S028,PNB,2022-01-06 10:35:00+05:30,-0.1309,-0.1,0,,0.1821,44.44,-1.0,0,1.0242,1.0,3,1,0,0,0,3,4,2022-01-06 10:50:00+05:30,2022-01-06 10:55:00+05:30,2022-01-06 15:00:00+05:30,37.46,37.11,38.09,0.3,EOD+
S029,PNB,2022-01-06 11:10:00+05:30,0.1281,-0.1243,3,1.0,0.0167,0.0,49.0,0,0.7949,,0,1,0,1,1,0,1,2022-01-06 11:10:00+05:30,2022-01-06 11:15:00+05:30,2022-01-06 15:00:00+05:30,37.56,37.260000000000005,38.1,0.2,EOD+
S030,PNB,2022-01-06 11:45:00+05:30,0.169,0.2531,6,5.0,0.0391,50.0,10.1111,0,0.5134,,0,0,0,0,1,0,1,2022-01-06 11:45:00+05:30,2022-01-06 11:50:00+05:30,2022-01-06 15:00:00+05:30,37.61,37.322500000000005,38.1275,0.15,EOD+
S031,PNB,2022-01-06 13:20:00+05:30,-0.1841,-0.1813,0,,0.5843,0.0,-0.2453,0,1.8343,1.0,3,0,0,1,0,3,4,2022-01-06 13:35:00+05:30,2022-01-06 13:40:00+05:30,2022-01-06 14:25:00+05:30,37.51,37.28321428571429,37.91821428571427,0.4082,W
S032,PNB,2022-01-07 09:15:00+05:30,,,0,,0.2394,79.17,-1.0,0,1.6326,,0,1,1,1,1,0,1,2022-01-07 09:15:00+05:30,2022-01-07 09:20:00+05:30,2022-01-07 12:45:00+05:30,37.95,37.605357142857144,38.57035714285714,-0.3446,L
S033,PNB,2022-01-07 10:40:00+05:30,0.3616,0.2875,16,14.0,0.2063,33.33,0.7857,0,0.6846,,0,0,1,0,1,0,1,2022-01-07 10:40:00+05:30,2022-01-07 10:45:00+05:30,2022-01-07 11:45:00+05:30,38.24,37.90071428571429,38.85071428571429,-0.3393,L
S034,PNB,2022-01-07 12:55:00+05:30,-0.2177,-0.1858,0,,1.6911,35.71,-0.7821,0,0.5538,0.0,3,0,0,1,0,3,4,2022-01-07 13:10:00+05:30,2022-01-07 13:15:00+05:30,2022-01-07 15:00:00+05:30,37.9,37.56071428571428,38.510714285714286,-0.24,EOD-
S035,PNB,2022-01-07 13:25:00+05:30,-0.0925,-0.1492,1,1.0,0.4012,50.0,0.0638,0,0.2547,,0,1,0,0,1,0,1,2022-01-07 13:25:00+05:30,2022-01-07 13:30:00+05:30,2022-01-07 15:00:00+05:30,37.85,37.55714285714286,38.377142857142864,-0.19,EOD-
S036,PNB,2022-01-07 13:35:00+05:30,-0.0462,-0.1123,1,1.0,0.4138,50.0,-1.0,0,0.5321,1.0,1,0,0,1,0,1,2,2022-01-07 13:40:00+05:30,2022-01-07 13:45:00+05:30,2022-01-07 14:55:00+05:30,37.9,37.61607142857142,38.41107142857143,-0.2839,L
S037,PNB,2022-01-07 13:50:00+05:30,-0.0264,-0.0462,0,,0.343,50.0,0.3514,0,0.3917,,0,0,0,1,1,0,1,2022-01-07 13:50:00+05:30,2022-01-07 13:55:00+05:30,2022-01-07 15:00:00+05:30,37.8,37.530357142857135,38.285357142857144,-0.14,EOD-
S038,PNB,2022-01-07 14:00:00+05:30,-0.0396,-0.0066,0,,0.2987,50.0,0.5625,0,0.3603,,0,0,0,0,1,0,1,2022-01-07 14:00:00+05:30,2022-01-07 14:05:00+05:30,2022-01-07 15:00:00+05:30,37.85,37.582142857142856,38.33214285714286,-0.19,EOD-
S039,PNB,2022-01-10 10:40:00+05:30,0.3451,0.3759,17,9.0,0.0521,50.0,6.1429,0,0.76,,0,0,0,0,1,0,1,2022-01-10 10:40:00+05:30,2022-01-10 10:45:00+05:30,2022-01-10 13:35:00+05:30,38.29,37.95428571428572,38.89428571428571,0.6043,W
S040,PNB,2022-01-10 10:50:00+05:30,0.3134,0.3519,0,,0.0079,33.33,-1.0,0,1.4907,,0,1,0,0,1,0,1,2022-01-10 10:50:00+05:30,2022-01-10 10:55:00+05:30,2022-01-10 13:35:00+05:30,38.34,38.02214285714287,38.912142857142854,0.5721,W
S041,PNB,2022-01-10 11:55:00+05:30,-0.0849,-0.0587,0,,1.4467,50.0,-1.0,0,1.2469,1.0,3,0,0,0,0,3,4,2022-01-10 12:10:00+05:30,2022-01-10 12:15:00+05:30,2022-01-10 13:30:00+05:30,38.34,38.07214285714286,38.822142857142865,0.4821,W
S042,PNB,2022-01-10 12:50:00+05:30,0.0326,0.0261,7,3.0,0.1694,0.0,5.6667,0,0.6521,,0,0,0,0,1,0,1,2022-01-10 12:50:00+05:30,2022-01-10 12:55:00+05:30,2022-01-10 13:30:00+05:30,38.34,38.118571428571435,38.73857142857143,0.3986,W
