signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,PNB,2023-01-02 11:20:00+05:30,0.1993,0.3351,21,17.0,0.6527,100.0,-1.0,0,0.3542,0.0,3,1,1,0,3,4,2023-01-02 11:35:00+05:30,2023-01-02 11:40:00+05:30,2023-01-02 14:00:00+05:30,55.73,55.30678571428572,56.491785714285705,-0.4232,L
S002,PNB,2023-01-02 11:45:00+05:30,-0.0341,0.0566,0,,0.3058,55.56,-1.0,0,0.3583,0.0,1,0,0,0,1,2,2023-01-02 11:50:00+05:30,2023-01-02 11:55:00+05:30,2023-01-02 14:00:00+05:30,55.64,55.30071428571429,56.250714285714274,-0.3393,L
S003,PNB,2023-01-02 12:00:00+05:30,0.035,-0.0341,0,,0.4718,64.29,-0.1803,0,1.0554,,0,0,0,1,0,1,2023-01-02 12:00:00+05:30,2023-01-02 12:05:00+05:30,2023-01-02 14:00:00+05:30,55.69,55.36678571428572,56.2717857142857,-0.3232,L
S004,PNB,2023-01-02 12:55:00+05:30,-0.1123,-0.0745,0,,1.6006,0.0,-0.4885,0,0.6974,0.0,3,1,0,0,3,4,2023-01-02 13:10:00+05:30,2023-01-02 13:15:00+05:30,2023-01-02 14:00:00+05:30,55.69,55.38464285714285,56.23964285714285,-0.3054,L
S005,PNB,2023-01-02 13:20:00+05:30,-0.0216,-0.0782,1,1.0,0.2591,0.0,0.4925,0,0.8567,,0,0,0,1,0,1,2023-01-02 13:20:00+05:30,2023-01-02 13:25:00+05:30,2023-01-02 14:00:00+05:30,55.64,55.316785714285714,56.22178571428572,-0.3232,L
S006,PNB,2023-01-02 13:30:00+05:30,-0.0126,-0.0351,0,,0.265,50.0,0.4925,0,0.3878,,0,0,1,1,0,1,2023-01-02 13:30:00+05:30,2023-01-02 13:35:00+05:30,2023-01-02 15:00:00+05:30,55.59,55.27392857142858,56.15892857142857,-0.05,EOD-
S007,PNB,2023-01-02 13:40:00+05:30,-0.0162,-0.0126,0,,0.2506,50.0,0.7241,0,0.3881,,0,0,1,1,0,1,2023-01-02 13:40:00+05:30,2023-01-02 13:45:00+05:30,2023-01-02 14:00:00+05:30,55.64,55.35071428571429,56.16071428571428,-0.2893,L
S008,PNB,2023-01-02 13:50:00+05:30,-0.0513,-0.0036,0,,0.929,50.0,-0.5349,0,1.8671,1.0,3,0,0,0,3,4,2023-01-02 14:05:00+05:30,2023-01-02 14:10:00+05:30,2023-01-02 14:15:00+05:30,55.69,55.40071428571429,56.21071428571428,-0.2893,L
S009,PNB,2023-01-02 14:15:00+05:30,-0.0315,-0.0873,1,1.0,1.2913,66.67,-0.7368,0,1.0968,0.0,3,0,0,0,3,4,2023-01-02 14:30:00+05:30,2023-01-02 14:35:00+05:30,2023-01-02 15:00:00+05:30,55.54,55.17214285714287,56.202142857142846,0.0,EOD-
S010,PNB,2023-01-03 10:25:00+05:30,0.3065,0.3597,14,13.0,0.0146,50.0,-1.0,0,0.4078,,0,0,1,1,0,1,2023-01-03 10:25:00+05:30,2023-01-03 10:30:00+05:30,2023-01-03 12:35:00+05:30,56.17,55.57178571428572,57.246785714285714,-0.5982,L
