signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p11_open,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,POWERGRID,2023-01-02 11:10:00+05:30,0.1685,0.1527,13,2.0,0.1867,60.0,4.0,0,5.4911,,0,1,0,0,1,0,1,2023-01-02 11:10:00+05:30,2023-01-02 11:15:00+05:30,2023-01-02 12:05:00+05:30,157.45,156.64642857142854,158.89642857142857,-0.8036,L
S002,POWERGRID,2023-01-02 11:30:00+05:30,0.1746,0.1811,2,1.0,0.9598,0.0,0.203,0,4.6208,,0,0,0,0,1,0,1,2023-01-02 11:30:00+05:30,2023-01-02 11:35:00+05:30,2023-01-02 12:05:00+05:30,157.6,156.73392857142855,159.1589285714286,-0.8661,L
S003,POWERGRID,2023-01-02 12:15:00+05:30,-0.0794,-0.0048,0,,1.2981,0.0,-0.7906,0,0.3728,1.0,9,0,1,1,0,9,10,2023-01-02 13:00:00+05:30,2023-01-02 13:05:00+05:30,2023-01-02 15:00:00+05:30,157.3,156.38035714285715,158.95535714285717,0.65,EOD+
S004,POWERGRID,2023-01-02 13:10:00+05:30,-0.0812,-0.1225,1,1.0,0.01,0.0,39.0,0,0.2823,,0,1,0,1,1,0,1,2023-01-02 13:10:00+05:30,2023-01-02 13:15:00+05:30,2023-01-02 15:00:00+05:30,157.2,156.575,158.325,0.75,EOD+
S005,POWERGRID,2023-01-02 14:20:00+05:30,0.1127,0.1112,13,3.0,0.0718,0.0,6.5,0,1.1098,,0,1,0,0,1,0,1,2023-01-02 14:20:00+05:30,2023-01-02 14:25:00+05:30,2023-01-02 15:00:00+05:30,157.6,156.9035714285714,158.85357142857143,0.35,EOD+
S006,POWERGRID,2023-01-03 09:15:00+05:30,,,0,,1.2713,24.0,0.3924,0,2.9179,,0,0,1,0,1,0,1,2023-01-03 09:15:00+05:30,2023-01-03 09:20:00+05:30,2023-01-03 09:25:00+05:30,158.25,157.47321428571425,159.64821428571435,-0.7768,L
S007,POWERGRID,2023-01-03 09:25:00+05:30,,,0,,1.4458,84.62,-0.819,0,0.424,0.0,4,0,0,1,0,4,5,2023-01-03 09:45:00+05:30,2023-01-03 09:50:00+05:30,2023-01-03 15:00:00+05:30,157.85,156.89464285714283,159.5696428571429,0.05,EOD+
S008,POWERGRID,2023-01-03 09:55:00+05:30,-0.0048,-0.0095,0,,0.3138,80.0,-1.0,0,0.6066,,0,1,1,0,1,0,1,2023-01-03 09:55:00+05:30,2023-01-03 10:00:00+05:30,2023-01-03 15:00:00+05:30,157.85,156.8142857142857,159.71428571428572,0.05,EOD+
S009,POWERGRID,2023-01-03 10:35:00+05:30,0.0174,0.0158,6,4.0,0.1029,66.67,-1.0,0,0.2728,1.0,1,0,0,0,0,1,2,2023-01-03 10:40:00+05:30,2023-01-03 10:45:00+05:30,2023-01-03 15:00:00+05:30,157.85,157.24285714285713,158.94285714285712,0.05,EOD+
S010,POWERGRID,2023-01-03 10:50:00+05:30,0.0127,0.0174,0,,0.4327,0.0,-0.4118,0,7.3142,1.0,7,1,0,0,0,7,8,2023-01-03 11:25:00+05:30,2023-01-03 11:30:00+05:30,2023-01-03 15:00:00+05:30,157.7,157.20892857142854,158.58392857142857,0.2,EOD+
S011,POWERGRID,2023-01-03 11:35:00+05:30,0.0,-0.0158,0,,0.0108,100.0,-1.0,0,0.5339,0.0,1,1,0,1,0,1,2,2023-01-03 11:40:00+05:30,2023-01-03 11:45:00+05:30,2023-01-03 15:00:00+05:30,157.85,157.26964285714286,158.89464285714286,0.05,EOD+
S012,POWERGRID,2023-01-03 12:10:00+05:30,0.0269,0.0127,5,3.0,0.1842,12.5,5.0,0,0.9297,,0,0,0,0,1,0,1,2023-01-03 12:10:00+05:30,2023-01-03 12:15:00+05:30,2023-01-03 15:00:00+05:30,158.05,157.3714285714286,159.27142857142857,-0.15,EOD-
S013,POWERGRID,2023-01-03 12:20:00+05:30,0.0158,0.0254,0,,0.1795,33.33,-1.0,0,0.3311,0.0,3,0,1,1,0,3,4,2023-01-03 12:35:00+05:30,2023-01-03 12:40:00+05:30,2023-01-03 15:00:00+05:30,157.9,157.20357142857145,159.15357142857144,0.0,EOD-
S014,POWERGRID,2023-01-03 13:05:00+05:30,0.0364,0.0333,0,,1.466,60.0,-1.0,0,0.687,0.0,9,0,1,1,0,9,10,2023-01-03 13:50:00+05:30,2023-01-03 13:55:00+05:30,2023-01-03 15:00:00+05:30,157.85,157.37678571428572,158.7017857142857,0.05,EOD+
S015,POWERGRID,2023-01-03 14:25:00+05:30,0.0143,-0.0063,6,1.0,0.0622,20.0,9.0,0,0.9322,,0,0,1,1,1,0,1,2023-01-03 14:25:00+05:30,2023-01-03 14:30:00+05:30,2023-01-03 15:00:00+05:30,157.9,157.49821428571428,158.62321428571434,0.0,EOD-
