signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,RELIANCE,2023-01-02 11:10:00+05:30,0.1109,0.1891,19,1.0,0.1574,50.0,0.2766,0,0.3205,,0,0,1,1,0,1,2023-01-02 11:10:00+05:30,2023-01-02 11:15:00+05:30,2023-01-02 14:20:00+05:30,1221.9,1218.1678571428572,1228.6178571428572,-3.7321,L
S002,RELIANCE,2023-01-02 12:00:00+05:30,-0.0051,-0.025,0,,0.9043,10.0,-0.6234,0,0.8827,1.0,3,1,0,0,3,4,2023-01-02 12:15:00+05:30,2023-01-02 12:20:00+05:30,2023-01-02 14:15:00+05:30,1222.2,1218.8964285714287,1228.1464285714285,-3.3036,L
S003,RELIANCE,2023-01-02 12:25:00+05:30,-0.0074,0.0088,0,,1.2386,30.0,-0.272,0,0.6869,1.0,1,0,0,0,1,2,2023-01-02 12:30:00+05:30,2023-01-02 12:35:00+05:30,2023-01-02 14:15:00+05:30,1221.9,1219.2660714285714,1226.6410714285714,-2.6339,L
S004,RELIANCE,2023-01-02 12:50:00+05:30,-0.0188,-0.0252,3,3.0,0.1237,20.69,6.6,0,1.027,,0,0,0,1,0,1,2023-01-02 12:50:00+05:30,2023-01-02 12:55:00+05:30,2023-01-02 14:15:00+05:30,1222.0,1219.4732142857142,1226.5482142857145,-2.5268,L
S005,RELIANCE,2023-01-02 13:00:00+05:30,-0.0061,-0.0278,0,,0.1767,0.0,1.5641,0,0.6212,,0,0,1,1,0,1,2023-01-02 13:00:00+05:30,2023-01-02 13:05:00+05:30,2023-01-02 14:15:00+05:30,1221.2,1218.4410714285714,1226.1660714285715,-2.7589,L
S006,RELIANCE,2023-01-02 13:10:00+05:30,0.0141,-0.0111,0,,0.2489,51.72,-0.1453,0,1.2552,,0,0,1,1,0,1,2023-01-02 13:10:00+05:30,2023-01-02 13:15:00+05:30,2023-01-02 14:15:00+05:30,1222.05,1219.1124999999995,1227.3375,-2.9375,L
S007,RELIANCE,2023-01-02 13:35:00+05:30,0.0405,0.0274,4,2.0,0.2461,13.79,0.1852,0,0.6286,,0,0,0,1,0,1,2023-01-02 13:35:00+05:30,2023-01-02 13:40:00+05:30,2023-01-02 14:15:00+05:30,1222.1,1218.6714285714284,1228.2714285714287,-3.4286,L
S008,RELIANCE,2023-01-02 13:45:00+05:30,0.0374,0.045,0,,0.4178,42.86,-0.1342,0,1.6321,,0,0,0,1,0,1,2023-01-02 13:45:00+05:30,2023-01-02 13:50:00+05:30,2023-01-02 14:15:00+05:30,1222.05,1218.5946428571428,1228.269642857143,-3.4554,L
S009,RELIANCE,2023-01-03 09:40:00+05:30,-0.0202,,0,,1.2303,38.64,-0.821,0,1.2633,1.0,3,1,0,0,3,4,2023-01-03 09:55:00+05:30,2023-01-03 10:00:00+05:30,2023-01-03 12:00:00+05:30,1224.5,1217.6875,1236.7625,-6.8125,L
S010,RELIANCE,2023-01-03 10:15:00+05:30,0.0684,0.048,2,2.0,0.0089,90.48,3.4444,0,0.3923,,0,1,1,1,0,1,2023-01-03 10:15:00+05:30,2023-01-03 10:20:00+05:30,2023-01-03 11:55:00+05:30,1224.1,1217.7696428571428,1235.4946428571427,-6.3304,L
S011,RELIANCE,2023-01-03 10:25:00+05:30,0.01,0.0707,0,,0.8048,84.21,-1.0,0,0.6379,1.0,1,1,0,0,1,2,2023-01-03 10:30:00+05:30,2023-01-03 10:35:00+05:30,2023-01-03 11:40:00+05:30,1224.35,1219.5196428571428,1233.044642857143,-4.8304,L
S012,RELIANCE,2023-01-03 10:40:00+05:30,-0.0846,0.01,1,1.0,0.0495,58.33,0.1429,0,0.9669,,0,0,0,1,0,1,2023-01-03 10:40:00+05:30,2023-01-03 10:45:00+05:30,2023-01-03 11:55:00+05:30,1222.9,1218.4803571428574,1230.855357142857,-4.4196,L
S013,RELIANCE,2023-01-03 11:05:00+05:30,0.0235,-0.0902,3,2.0,0.1364,48.94,0.5556,0,1.1034,,0,0,0,1,0,1,2023-01-03 11:05:00+05:30,2023-01-03 11:10:00+05:30,2023-01-03 11:55:00+05:30,1223.3,1219.1750000000002,1230.7249999999997,-4.125,L
S014,RELIANCE,2023-01-03 13:10:00+05:30,-0.1388,-0.1712,0,,1.5329,43.24,-0.8097,0,0.9851,0.0,3,0,1,0,3,4,2023-01-03 13:25:00+05:30,2023-01-03 13:30:00+05:30,2023-01-03 15:00:00+05:30,1217.0,1213.142857142857,1223.9428571428573,1.05,EOD+
S015,RELIANCE,2023-01-03 13:40:00+05:30,-0.0767,-0.1145,2,2.0,0.451,11.76,1.08,0,0.9477,,0,1,0,1,0,1,2023-01-03 13:40:00+05:30,2023-01-03 13:45:00+05:30,2023-01-03 15:00:00+05:30,1217.1,1213.635714285714,1223.3357142857142,0.95,EOD+
S016,RELIANCE,2023-01-03 14:10:00+05:30,0.0189,-0.0156,5,3.0,0.5183,77.42,-0.9313,0,0.912,0.0,1,0,1,0,1,2,2023-01-03 14:15:00+05:30,2023-01-03 14:20:00+05:30,2023-01-03 15:00:00+05:30,1216.4,1212.8910714285714,1222.7160714285717,1.65,EOD+
S017,RELIANCE,2023-01-04 10:40:00+05:30,-0.1905,-0.2101,0,,1.1224,48.65,-0.709,0,0.4408,1.0,3,0,1,0,3,4,2023-01-04 10:55:00+05:30,2023-01-04 11:00:00+05:30,2023-01-04 12:00:00+05:30,1210.35,1204.6089285714286,1220.6839285714284,-5.7411,L
S018,RELIANCE,2023-01-04 11:05:00+05:30,-0.1629,-0.189,0,,0.5982,89.47,-0.8109,0,0.5641,0.0,1,0,0,0,1,2,2023-01-04 11:10:00+05:30,2023-01-04 11:15:00+05:30,2023-01-04 11:55:00+05:30,1210.1,1205.6803571428572,1218.0553571428568,-4.4196,L
S019,RELIANCE,2023-01-04 13:25:00+05:30,-0.1466,-0.1415,0,,1.7129,39.53,-0.7043,0,1.3348,1.0,3,1,0,0,3,4,2023-01-04 13:40:00+05:30,2023-01-04 13:45:00+05:30,2023-01-04 14:45:00+05:30,1204.2,1200.744642857143,1210.419642857143,-3.4554,L
S020,RELIANCE,2023-01-04 13:50:00+05:30,-0.0251,-0.1176,0,,0.2095,75.0,0.2698,0,4.6485,,0,0,0,1,0,1,2023-01-04 13:50:00+05:30,2023-01-04 13:55:00+05:30,2023-01-04 14:25:00+05:30,1205.9,1202.1410714285714,1212.6660714285715,-3.7589,L
S021,RELIANCE,2023-01-05 09:15:00+05:30,,,0,,0.0483,5.81,2.0,0,2.8989,,0,0,0,1,0,1,2023-01-05 09:15:00+05:30,2023-01-05 09:20:00+05:30,2023-01-05 11:50:00+05:30,1202.8,1197.6214285714284,1212.1214285714286,-5.1786,L
