signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p11_open,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,RELIANCE,2024-01-01 10:55:00+05:30,-0.0293,-0.0469,0,,0.1665,22.73,0.0753,0,1.0445,,0,0,0,0,1,0,1,2024-01-01 10:55:00+05:30,2024-01-01 11:00:00+05:30,2024-01-01 13:50:00+05:30,1290.2,1286.7089285714287,1296.4839285714286,6.2839,W
S002,RELIANCE,2024-01-01 11:15:00+05:30,0.032,-0.0205,2,1.0,0.4801,72.73,-0.2437,0,0.2786,0.0,2,0,0,1,0,2,3,2024-01-01 11:25:00+05:30,2024-01-01 11:30:00+05:30,2024-01-01 13:50:00+05:30,1290.75,1287.6517857142858,1296.3267857142857,5.5768,W
S003,RELIANCE,2024-01-01 11:35:00+05:30,-0.018,0.0281,0,,0.275,16.67,-0.6364,0,0.5917,1.0,1,0,0,0,0,1,2,2024-01-01 11:40:00+05:30,2024-01-01 11:45:00+05:30,2024-01-01 13:15:00+05:30,1290.4,1287.9,1294.9,4.5,W
S004,RELIANCE,2024-01-01 11:50:00+05:30,-0.0141,-0.018,0,,0.2247,54.9,0.0526,0,2.6923,,0,0,0,0,1,0,1,2024-01-01 11:50:00+05:30,2024-01-01 11:55:00+05:30,2024-01-01 13:50:00+05:30,1291.7,1289.057142857143,1296.457142857143,4.7571,W
S005,RELIANCE,2024-01-01 12:30:00+05:30,0.0409,0.0507,7,4.0,0.5614,16.0,0.2766,0,2.1225,,0,1,1,0,1,0,1,2024-01-01 12:30:00+05:30,2024-01-01 12:35:00+05:30,2024-01-01 13:50:00+05:30,1291.75,1289.1339285714284,1296.4589285714287,4.7089,W
S006,RELIANCE,2024-01-01 13:10:00+05:30,0.0352,0.0279,6,3.0,0.1763,57.69,2.2836,0,1.6445,,0,1,0,1,1,0,1,2024-01-01 13:10:00+05:30,2024-01-01 13:15:00+05:30,2024-01-01 13:50:00+05:30,1293.0,1290.625,1297.275,4.275,W
S007,RELIANCE,2024-01-02 09:15:00+05:30,,,0,,2.1735,54.26,-0.8394,0,1.1891,0.0,1,1,0,1,0,1,2,2024-01-02 09:20:00+05:30,2024-01-02 09:25:00+05:30,2024-01-02 10:40:00+05:30,1298.2,1291.3964285714285,1310.4464285714287,-6.8036,L
S008,RELIANCE,2024-01-02 09:30:00+05:30,,,0,,0.3466,40.43,0.3433,0,0.6628,,0,1,1,1,1,0,1,2024-01-02 09:30:00+05:30,2024-01-02 09:35:00+05:30,2024-01-02 10:40:00+05:30,1298.25,1291.0,1311.3,-7.25,L
S009,RELIANCE,2024-01-02 12:00:00+05:30,-0.1538,-0.1799,0,,1.0602,3.57,-1.0,0,0.6852,1.0,3,1,0,1,0,3,4,2024-01-02 12:15:00+05:30,2024-01-02 12:20:00+05:30,2024-01-02 14:40:00+05:30,1291.0,1285.1696428571427,1301.494642857143,10.4946,W
S010,RELIANCE,2024-01-02 13:00:00+05:30,0.0689,0.012,7,6.0,0.3012,67.8,-0.0476,0,1.002,0.0,1,0,0,1,0,1,2,2024-01-02 13:05:00+05:30,2024-01-02 13:10:00+05:30,2024-01-02 14:35:00+05:30,1291.2,1286.8428571428572,1299.0428571428572,7.8429,W
