signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,SBIN,2025-01-01 11:35:00+05:30,0.1077,0.0665,9,4.0,0.1764,5.26,-0.1753,0,1.2604,1.0,1,1,0,0,1,2,2025-01-01 11:40:00+05:30,2025-01-01 11:45:00+05:30,2025-01-01 15:00:00+05:30,794.35,790.9125,800.5375000000001,-0.9,EOD-
S002,SBIN,2025-01-01 13:35:00+05:30,-0.0363,-0.0807,0,,1.8495,29.17,-0.4434,0,1.4485,1.0,3,0,1,0,3,4,2025-01-01 13:50:00+05:30,2025-01-01 13:55:00+05:30,2025-01-01 14:00:00+05:30,793.4,791.5785714285714,796.6785714285714,3.2786,W
S003,SBIN,2025-01-02 09:15:00+05:30,,,0,,0.8271,37.5,-0.8958,0,1.0178,0.0,1,0,0,0,1,2,2025-01-02 09:20:00+05:30,2025-01-02 09:25:00+05:30,2025-01-02 10:10:00+05:30,794.4,791.4982142857143,799.6232142857143,-2.9018,L
S004,SBIN,2025-01-02 10:50:00+05:30,-0.0669,-0.0681,0,,0.2986,35.71,-0.4702,0,1.1473,0.0,3,1,0,0,3,4,2025-01-02 11:05:00+05:30,2025-01-02 11:10:00+05:30,2025-01-02 11:50:00+05:30,792.15,788.9892857142858,797.8392857142857,-3.1607,L
S005,SBIN,2025-01-02 12:15:00+05:30,-0.0933,-0.0797,0,,3.0357,14.29,-0.8257,0,3.1521,1.0,3,0,0,0,3,4,2025-01-02 12:30:00+05:30,2025-01-02 12:35:00+05:30,2025-01-02 13:15:00+05:30,792.65,790.0517857142858,797.3267857142856,4.6768,W
S006,SBIN,2025-01-03 09:15:00+05:30,,,0,,0.0381,67.24,13.6154,0,2.3313,,0,0,0,1,0,1,2025-01-03 09:15:00+05:30,2025-01-03 09:20:00+05:30,2025-01-03 09:55:00+05:30,807.05,802.7821428571427,814.7321428571429,-4.2679,L
S007,SBIN,2025-01-03 09:55:00+05:30,0.1579,0.2163,7,7.0,0.0646,78.38,1.4138,0,0.5283,,0,0,0,1,0,1,2025-01-03 09:55:00+05:30,2025-01-03 10:00:00+05:30,2025-01-03 12:20:00+05:30,803.0,797.3928571428571,813.0928571428572,-5.6071,L
S008,SBIN,2025-01-03 11:05:00+05:30,-0.1802,-0.0641,0,,2.0436,64.1,-0.8864,0,2.4627,1.0,3,0,0,0,3,4,2025-01-03 11:20:00+05:30,2025-01-03 11:25:00+05:30,2025-01-03 12:15:00+05:30,801.8,798.0321428571428,808.5821428571428,-3.7679,L
S009,SBIN,2025-01-03 11:30:00+05:30,-0.1208,-0.2134,1,1.0,0.2344,37.84,0.2414,0,1.0289,,0,0,1,1,0,1,2025-01-03 11:30:00+05:30,2025-01-03 11:35:00+05:30,2025-01-03 12:25:00+05:30,800.95,797.0839285714287,807.9089285714285,-3.8661,L
S010,SBIN,2025-01-03 11:50:00+05:30,-0.0437,-0.084,2,2.0,0.0608,19.05,8.7143,0,1.9867,,0,0,0,1,0,1,2025-01-03 11:50:00+05:30,2025-01-03 11:55:00+05:30,2025-01-03 12:15:00+05:30,801.7,798.1017857142858,808.1767857142856,-3.5982,L
S011,SBIN,2025-01-03 12:45:00+05:30,-0.0269,-0.0325,0,,1.2405,13.04,-0.7106,0,0.3974,1.0,3,1,1,0,3,4,2025-01-03 13:00:00+05:30,2025-01-03 13:05:00+05:30,2025-01-03 13:55:00+05:30,800.9,797.7660714285714,806.5410714285714,-3.1339,L
S012,SBIN,2025-01-03 13:10:00+05:30,-0.0447,-0.0297,0,,0.4357,24.0,-0.4979,0,0.4095,1.0,1,0,1,0,1,2,2025-01-03 13:15:00+05:30,2025-01-03 13:20:00+05:30,2025-01-03 14:00:00+05:30,800.0,796.5714285714286,806.1714285714286,-3.4286,L
S013,SBIN,2025-01-03 13:35:00+05:30,-0.0579,-0.0553,2,2.0,0.0321,88.89,1.8571,0,0.4682,,0,0,1,1,0,1,2025-01-03 13:35:00+05:30,2025-01-03 13:40:00+05:30,2025-01-03 14:00:00+05:30,799.45,796.7267857142857,804.3517857142858,-2.7232,L
S014,SBIN,2025-01-06 10:15:00+05:30,-0.195,-0.2838,0,,0.3985,38.46,-0.6253,0,0.2924,0.0,3,0,1,0,3,4,2025-01-06 10:30:00+05:30,2025-01-06 10:35:00+05:30,2025-01-06 11:10:00+05:30,788.9,782.2035714285714,800.9535714285714,-6.6964,L
S015,SBIN,2025-01-06 11:55:00+05:30,-0.2094,-0.0592,0,,3.0771,40.62,-0.8669,0,0.5065,0.0,3,0,0,0,3,4,2025-01-06 12:10:00+05:30,2025-01-06 12:15:00+05:30,2025-01-06 13:15:00+05:30,783.9,778.7125,793.2375,-5.1875,L
S016,SBIN,2025-01-06 12:20:00+05:30,-0.1893,-0.2644,0,,0.5529,12.12,-0.9168,0,0.5787,1.0,2,1,0,0,2,3,2025-01-06 12:30:00+05:30,2025-01-06 12:35:00+05:30,2025-01-06 13:20:00+05:30,782.95,777.5125,792.7375000000001,-5.4375,L
S017,SBIN,2025-01-06 12:40:00+05:30,-0.0975,-0.175,1,1.0,0.1155,64.0,0.0526,0,0.3468,,0,1,1,1,0,1,2025-01-06 12:40:00+05:30,2025-01-06 12:45:00+05:30,2025-01-06 13:20:00+05:30,782.75,777.6071428571428,792.0071428571429,-5.1429,L
S018,SBIN,2025-01-07 09:55:00+05:30,0.1279,0.1861,0,,0.8046,45.0,-0.5,0,0.6321,0.0,3,1,1,0,3,4,2025-01-07 10:10:00+05:30,2025-01-07 10:15:00+05:30,2025-01-07 15:00:00+05:30,780.9,774.6857142857142,792.0857142857144,-2.2,EOD-
S019,SBIN,2025-01-07 11:10:00+05:30,-0.1376,-0.0482,0,,0.7736,72.73,-0.8271,0,0.4511,0.0,3,0,1,0,3,4,2025-01-07 11:25:00+05:30,2025-01-07 11:30:00+05:30,2025-01-07 15:00:00+05:30,778.0,772.3928571428571,788.0928571428572,0.7,EOD+
S020,SBIN,2025-01-07 12:40:00+05:30,0.0841,0.0951,14,7.0,0.2826,24.0,-0.0728,0,1.3836,,0,0,0,1,0,1,2025-01-07 12:40:00+05:30,2025-01-07 12:45:00+05:30,2025-01-07 15:00:00+05:30,779.15,775.8107142857143,785.1607142857142,-0.45,EOD-
S021,SBIN,2025-01-07 13:00:00+05:30,0.102,0.0972,2,2.0,0.4109,43.75,-0.4444,0,0.5128,,0,0,1,1,0,1,2025-01-07 13:00:00+05:30,2025-01-07 13:05:00+05:30,2025-01-07 15:00:00+05:30,779.65,776.3642857142856,785.5642857142857,-0.95,EOD-
S022,SBIN,2025-01-07 13:15:00+05:30,0.0664,0.102,1,1.0,0.0832,72.73,0.0256,0,0.5623,,0,1,1,1,0,1,2025-01-07 13:15:00+05:30,2025-01-07 13:20:00+05:30,2025-01-07 14:45:00+05:30,780.0,777.0714285714286,785.2714285714286,-2.9286,L
S023,SBIN,2025-01-07 13:50:00+05:30,0.0147,0.0397,5,4.0,0.6774,30.3,-0.3939,0,1.4684,1.0,3,0,0,0,3,4,2025-01-07 14:05:00+05:30,2025-01-07 14:10:00+05:30,2025-01-07 14:45:00+05:30,780.25,777.2053571428571,785.7303571428572,-3.0446,L
S024,SBIN,2025-01-08 13:05:00+05:30,-0.1862,-0.206,0,,1.8312,21.43,-0.665,0,0.9993,1.0,3,0,1,0,3,4,2025-01-08 13:20:00+05:30,2025-01-08 13:25:00+05:30,2025-01-08 14:05:00+05:30,763.4,759.9357142857142,769.6357142857144,6.2357,W
S025,SBIN,2025-01-09 09:25:00+05:30,,,0,,2.1303,78.81,-1.0,0,1.0492,0.0,3,0,0,0,3,4,2025-01-09 09:40:00+05:30,2025-01-09 09:45:00+05:30,2025-01-09 15:00:00+05:30,769.4,757.2303571428571,791.3053571428571,-9.35,EOD-
S026,SBIN,2025-01-09 09:50:00+05:30,-0.1239,,0,,0.3704,68.75,-0.8761,0,0.3384,0.0,2,0,1,0,2,3,2025-01-09 10:00:00+05:30,2025-01-09 10:05:00+05:30,2025-01-09 15:00:00+05:30,769.6,755.9839285714286,794.1089285714286,-9.55,EOD-
S027,SBIN,2025-01-09 10:10:00+05:30,-0.1038,-0.1171,0,,0.2424,57.5,-0.5707,0,0.8463,,0,0,0,1,0,1,2025-01-09 10:10:00+05:30,2025-01-09 10:15:00+05:30,2025-01-09 15:00:00+05:30,768.75,754.3392857142857,794.6892857142858,-8.7,EOD-
S028,SBIN,2025-01-09 12:00:00+05:30,-0.2232,-0.2295,0,,2.3902,84.0,-0.897,0,1.967,0.0,3,0,0,0,3,4,2025-01-09 12:15:00+05:30,2025-01-09 12:20:00+05:30,2025-01-09 12:45:00+05:30,762.35,758.7964285714286,768.7464285714286,-3.5536,L
S029,SBIN,2025-01-09 12:25:00+05:30,-0.1193,-0.1918,0,,0.487,53.57,-1.0,0,0.6418,0.0,1,0,1,0,1,2,2025-01-09 12:30:00+05:30,2025-01-09 12:35:00+05:30,2025-01-09 15:00:00+05:30,761.3,756.9875,769.0625,-1.25,EOD-
S030,SBIN,2025-01-09 13:00:00+05:30,-0.0621,-0.0273,0,,1.225,63.64,-0.9325,0,0.5289,0.0,3,0,1,0,3,4,2025-01-09 13:15:00+05:30,2025-01-09 13:20:00+05:30,2025-01-09 15:00:00+05:30,760.35,755.8142857142857,768.5142857142857,-0.3,EOD-
S031,SBIN,2025-01-09 13:55:00+05:30,0.046,0.0224,7,4.0,0.0628,81.25,1.069,0,1.6939,,0,0,1,1,0,1,2025-01-09 13:55:00+05:30,2025-01-09 14:00:00+05:30,2025-01-09 15:00:00+05:30,760.45,757.5660714285715,765.6410714285715,-0.4,EOD-
S032,SBIN,2025-01-10 10:35:00+05:30,-0.4037,-0.3828,0,,1.3828,9.09,-0.8879,0,0.395,1.0,3,0,1,0,3,4,2025-01-10 10:50:00+05:30,2025-01-10 10:55:00+05:30,2025-01-10 14:25:00+05:30,750.1,742.8410714285715,763.1660714285714,-7.2589,L
S033,SBIN,2025-01-10 12:50:00+05:30,-0.1726,-0.1161,0,,1.0789,27.03,-0.5062,0,0.8551,1.0,3,0,1,0,3,4,2025-01-10 13:05:00+05:30,2025-01-10 13:10:00+05:30,2025-01-10 14:15:00+05:30,749.4,745.1767857142856,757.0017857142857,-4.2232,L
S034,SBIN,2025-01-13 10:00:00+05:30,-0.2767,-0.2584,0,,1.9842,88.55,-0.9027,0,0.7611,0.0,3,0,0,0,3,4,2025-01-13 10:15:00+05:30,2025-01-13 10:20:00+05:30,2025-01-13 14:25:00+05:30,739.45,729.7357142857143,756.9357142857143,-9.7143,L
S035,SBIN,2025-01-13 11:30:00+05:30,0.1671,0.0991,13,3.0,0.4481,29.03,0.157,0,0.7029,,0,0,1,1,0,1,2025-01-13 11:30:00+05:30,2025-01-13 11:35:00+05:30,2025-01-13 12:55:00+05:30,740.3,735.2375,749.4125,-5.0625,L
S036,SBIN,2025-01-14 11:55:00+05:30,0.3399,0.3319,32,7.0,0.0829,35.29,1.5532,0,0.7779,,0,0,0,1,0,1,2025-01-14 11:55:00+05:30,2025-01-14 12:00:00+05:30,2025-01-14 14:20:00+05:30,750.45,746.9053571428572,756.8303571428572,6.3804,W
S037,SBIN,2025-01-14 12:05:00+05:30,0.2684,0.3431,0,,0.7521,32.0,-0.3317,0,0.6703,,0,0,0,1,0,1,2025-01-14 12:05:00+05:30,2025-01-14 12:10:00+05:30,2025-01-14 14:20:00+05:30,750.7,747.2178571428572,756.9678571428573,6.2679,W
S038,SBIN,2025-01-14 12:30:00+05:30,0.0263,0.1884,0,,2.2335,59.38,-0.8061,0,0.6647,1.0,3,0,1,0,3,4,2025-01-14 12:45:00+05:30,2025-01-14 12:50:00+05:30,2025-01-14 14:40:00+05:30,751.35,747.8857142857142,757.5857142857144,-3.4643,L
S039,SBIN,2025-01-14 12:55:00+05:30,-0.032,-0.0283,0,,0.2321,61.11,0.1475,0,0.7733,,0,0,1,1,0,1,2025-01-14 12:55:00+05:30,2025-01-14 13:00:00+05:30,2025-01-14 14:20:00+05:30,750.8,747.5142857142856,756.7142857142858,5.9143,W
S040,SBIN,2025-01-14 13:05:00+05:30,-0.0483,-0.0306,0,,0.3958,75.0,-0.6296,0,1.0624,,0,0,0,1,0,1,2025-01-14 13:05:00+05:30,2025-01-14 13:10:00+05:30,2025-01-14 14:40:00+05:30,751.7,748.2892857142857,757.8392857142859,-3.4107,L
S041,SBIN,2025-01-14 13:55:00+05:30,0.0636,0.0706,9,6.0,0.3199,57.58,1.029,0,1.1439,,0,0,1,1,0,1,2025-01-14 13:55:00+05:30,2025-01-14 14:00:00+05:30,2025-01-14 14:20:00+05:30,751.65,748.9535714285714,756.5035714285714,4.8536,W
