signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,SUNPHARMA,2022-01-03 10:55:00+05:30,-0.031,-0.0761,0,,1.863,67.27,-0.974,0,0.3945,0.0,3,0,1,0,3,4,2022-01-03 11:10:00+05:30,2022-01-03 11:15:00+05:30,2022-01-03 15:00:00+05:30,846.45,841.2803571428572,855.7553571428572,1.55,EOD+
S002,SUNPHARMA,2022-01-03 12:35:00+05:30,0.1657,0.1877,16,12.0,0.0248,53.33,0.5385,0,0.6932,,0,0,0,1,0,1,2022-01-03 12:35:00+05:30,2022-01-03 12:40:00+05:30,2022-01-03 15:00:00+05:30,850.2,846.9232142857144,856.0982142857143,-2.2,EOD-
S003,SUNPHARMA,2022-01-03 12:45:00+05:30,0.1697,0.1652,1,1.0,0.0372,40.0,4.0,0,0.4604,,0,0,0,1,0,1,2022-01-03 12:45:00+05:30,2022-01-03 12:50:00+05:30,2022-01-03 13:30:00+05:30,850.1,847.4125,854.9375,-2.6875,L
S004,SUNPHARMA,2022-01-03 14:15:00+05:30,-0.0568,-0.0456,0,,1.0208,50.0,-0.8214,0,4.1974,1.0,3,0,0,0,3,4,2022-01-03 14:30:00+05:30,2022-01-03 14:35:00+05:30,2022-01-03 15:00:00+05:30,850.0,846.5714285714286,856.1714285714286,-2.0,EOD-
S005,SUNPHARMA,2022-01-04 10:55:00+05:30,-0.1726,-0.1295,0,,0.8408,36.84,-0.5023,0,0.6201,1.0,3,0,1,0,3,4,2022-01-04 11:10:00+05:30,2022-01-04 11:15:00+05:30,2022-01-04 12:00:00+05:30,843.9,840.6142857142858,849.8142857142856,-3.2857,L
S006,SUNPHARMA,2022-01-04 11:20:00+05:30,-0.0551,-0.1674,0,,0.2872,100.0,-1.0,0,0.7958,1.0,1,0,0,0,1,2,2022-01-04 11:25:00+05:30,2022-01-04 11:30:00+05:30,2022-01-04 11:55:00+05:30,845.45,841.6196428571429,852.3446428571428,-3.8304,L
S007,SUNPHARMA,2022-01-04 11:35:00+05:30,0.0278,-0.0551,1,1.0,0.0512,44.83,8.4118,0,0.7594,,0,0,0,1,0,1,2022-01-04 11:35:00+05:30,2022-01-04 11:40:00+05:30,2022-01-04 12:00:00+05:30,844.8,840.6482142857143,852.2732142857142,-4.1518,L
S008,SUNPHARMA,2022-01-04 13:45:00+05:30,-0.1097,-0.2031,0,,0.8205,56.0,-0.6953,0,0.2577,1.0,3,0,1,0,3,4,2022-01-04 14:00:00+05:30,2022-01-04 14:05:00+05:30,2022-01-04 15:00:00+05:30,838.1,832.6,848.0,-0.15,EOD-
S009,SUNPHARMA,2022-01-04 14:10:00+05:30,-0.0841,-0.0951,0,,0.2109,35.71,-0.5,0,0.2311,,0,0,1,1,0,1,2022-01-04 14:10:00+05:30,2022-01-04 14:15:00+05:30,2022-01-04 14:40:00+05:30,838.0,833.2589285714286,846.5339285714285,-4.7411,L
S010,SUNPHARMA,2022-01-05 09:15:00+05:30,,,0,,0.0705,11.11,21.069,0,3.1501,,0,0,0,1,0,1,2022-01-05 09:15:00+05:30,2022-01-05 09:20:00+05:30,2022-01-05 09:20:00+05:30,840.45,835.3071428571429,849.7071428571429,-5.1429,L
S011,SUNPHARMA,2022-01-05 09:25:00+05:30,,,0,,1.6453,60.42,-0.8667,0,0.6484,0.0,3,0,1,0,3,4,2022-01-05 09:40:00+05:30,2022-01-05 09:45:00+05:30,2022-01-05 14:55:00+05:30,837.75,831.4821428571429,849.0321428571428,-6.2679,L
S012,SUNPHARMA,2022-01-05 09:55:00+05:30,0.029,-0.0939,1,1.0,0.1668,43.75,1.2707,0,0.3744,,0,0,0,1,0,1,2022-01-05 09:55:00+05:30,2022-01-05 10:00:00+05:30,2022-01-05 15:00:00+05:30,837.05,828.4696428571428,852.4946428571428,-5.3,EOD-
S013,SUNPHARMA,2022-01-05 10:05:00+05:30,0.0753,-0.0057,0,,0.1609,40.0,-0.6296,0,0.1571,0.0,1,0,1,0,1,2,2022-01-05 10:10:00+05:30,2022-01-05 10:15:00+05:30,2022-01-05 15:00:00+05:30,838.85,830.4571428571429,853.9571428571429,-7.1,EOD-
S014,SUNPHARMA,2022-01-05 13:50:00+05:30,-0.1007,-0.0851,0,,1.2883,31.58,-0.8374,0,0.6819,1.0,3,0,0,0,3,4,2022-01-05 14:05:00+05:30,2022-01-05 14:10:00+05:30,2022-01-05 15:00:00+05:30,833.85,830.2696428571428,840.294642857143,-2.1,EOD-
S015,SUNPHARMA,2022-01-06 09:15:00+05:30,,,0,,0.2333,47.58,7.0365,0,6.0437,,0,1,0,1,0,1,2022-01-06 09:15:00+05:30,2022-01-06 09:20:00+05:30,2022-01-06 09:25:00+05:30,843.4,837.5339285714285,853.9589285714286,-5.8661,L
S016,SUNPHARMA,2022-01-06 13:15:00+05:30,-0.137,-0.1636,0,,0.8605,0.0,-0.7303,0,0.934,1.0,3,0,0,0,3,4,2022-01-06 13:30:00+05:30,2022-01-06 13:35:00+05:30,2022-01-06 15:00:00+05:30,824.6,821.3678571428571,830.4178571428572,5.8179,W
S017,SUNPHARMA,2022-01-07 09:20:00+05:30,,,1,1.0,0.1315,74.19,1.8571,0,1.4019,,0,0,0,1,0,1,2022-01-07 09:20:00+05:30,2022-01-07 09:25:00+05:30,2022-01-07 15:00:00+05:30,828.55,823.5589285714285,837.5339285714285,-1.6,EOD-
S018,SUNPHARMA,2022-01-07 09:30:00+05:30,,,0,,0.0863,64.44,3.2667,0,0.674,,0,0,1,1,0,1,2022-01-07 09:30:00+05:30,2022-01-07 09:35:00+05:30,2022-01-07 15:00:00+05:30,830.25,824.8214285714286,840.0214285714286,-3.3,EOD-
S019,SUNPHARMA,2022-01-07 10:40:00+05:30,0.1201,0.1764,13,11.0,0.1484,44.44,2.1579,0,0.6515,,0,0,1,1,0,1,2022-01-07 10:40:00+05:30,2022-01-07 10:45:00+05:30,2022-01-07 11:00:00+05:30,832.6,828.6,839.8,-4.0,L
S020,SUNPHARMA,2022-01-07 11:15:00+05:30,-0.0478,0.0063,0,,1.6095,39.13,-0.9229,0,1.526,1.0,3,0,1,0,3,4,2022-01-07 11:30:00+05:30,2022-01-07 11:35:00+05:30,2022-01-07 12:35:00+05:30,832.8,828.7732142857143,840.0482142857143,-4.0268,L
S021,SUNPHARMA,2022-01-07 11:40:00+05:30,-0.0258,-0.0484,0,,0.3027,39.29,0.4218,0,0.7785,,0,0,1,1,0,1,2022-01-07 11:40:00+05:30,2022-01-07 11:45:00+05:30,2022-01-07 12:35:00+05:30,832.5,828.1428571428571,840.3428571428572,-4.3571,L
S022,SUNPHARMA,2022-01-07 12:55:00+05:30,-0.0382,-0.0515,0,,1.4325,87.1,-0.9244,0,0.6529,0.0,3,0,1,0,3,4,2022-01-07 13:10:00+05:30,2022-01-07 13:15:00+05:30,2022-01-07 14:10:00+05:30,829.85,826.3857142857144,836.0857142857143,-3.4643,L
S023,SUNPHARMA,2022-01-10 09:15:00+05:30,,,0,,1.5921,50.0,0.127,0,2.4096,,0,0,0,1,0,1,2022-01-10 09:15:00+05:30,2022-01-10 09:20:00+05:30,2022-01-10 11:10:00+05:30,828.0,823.0535714285714,836.9035714285715,-4.9464,L
S024,SUNPHARMA,2022-01-10 09:35:00+05:30,,,2,2.0,0.3642,39.22,0.4573,0,0.461,,0,0,1,1,0,1,2022-01-10 09:35:00+05:30,2022-01-10 09:40:00+05:30,2022-01-10 13:15:00+05:30,828.65,821.8196428571429,840.9446428571429,-6.8304,L
S025,SUNPHARMA,2022-01-10 09:45:00+05:30,0.061,,0,,1.1544,9.26,-0.3944,0,0.4231,0.0,1,0,0,0,1,2,2022-01-10 09:50:00+05:30,2022-01-10 09:55:00+05:30,2022-01-10 13:15:00+05:30,829.5,822.1696428571428,842.6946428571429,-7.3304,L
S026,SUNPHARMA,2022-01-10 10:00:00+05:30,0.0555,0.061,1,1.0,0.019,23.08,6.2727,0,0.2576,,0,0,0,1,0,1,2022-01-10 10:00:00+05:30,2022-01-10 10:05:00+05:30,2022-01-10 13:15:00+05:30,829.0,821.75,842.0500000000001,-7.25,L
S027,SUNPHARMA,2022-01-10 11:20:00+05:30,-0.1864,-0.1732,0,,2.3209,6.67,-0.9466,0,3.1581,1.0,3,1,0,0,3,4,2022-01-10 11:35:00+05:30,2022-01-10 11:40:00+05:30,2022-01-10 11:55:00+05:30,827.0,823.9732142857142,832.4482142857144,-3.0268,L
S028,SUNPHARMA,2022-01-10 11:50:00+05:30,-0.1033,-0.1235,2,2.0,0.1546,34.78,2.2184,0,0.5612,,0,1,1,1,0,1,2022-01-10 11:50:00+05:30,2022-01-10 11:55:00+05:30,2022-01-10 12:50:00+05:30,825.95,822.4321428571428,832.282142857143,6.3321,W
