signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p11_open,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,SUNPHARMA,2023-01-02 13:45:00+05:30,-0.0554,-0.0198,0,,0.8929,41.67,-0.8354,0,1.1272,1.0,3,1,0,0,0,3,4,2023-01-02 14:00:00+05:30,2023-01-02 14:05:00+05:30,2023-01-02 15:00:00+05:30,997.45,994.0482142857143,1003.5732142857144,0.5,EOD+
S002,SUNPHARMA,2023-01-02 14:15:00+05:30,-0.0115,-0.0632,1,1.0,0.4222,69.39,-0.4796,0,0.9269,1.0,2,1,0,1,0,2,3,2023-01-02 14:25:00+05:30,2023-01-02 14:30:00+05:30,2023-01-02 15:00:00+05:30,998.2,994.2178571428572,1005.3678571428572,-0.25,EOD-
S003,SUNPHARMA,2023-01-03 09:40:00+05:30,-0.1503,,0,,1.3474,42.86,-0.8046,0,0.5786,1.0,3,1,0,1,0,3,4,2023-01-03 09:55:00+05:30,2023-01-03 10:00:00+05:30,2023-01-03 15:00:00+05:30,995.9,988.3017857142858,1009.5767857142856,9.1,EOD+
S004,SUNPHARMA,2023-01-03 10:10:00+05:30,-0.103,-0.1032,1,1.0,0.2691,73.68,-1.0,0,0.4062,0.0,1,0,0,1,0,1,2,2023-01-03 10:15:00+05:30,2023-01-03 10:20:00+05:30,2023-01-03 15:00:00+05:30,996.35,989.0107142857144,1009.5607142857143,8.65,EOD+
S005,SUNPHARMA,2023-01-03 11:30:00+05:30,0.1318,0.1856,14,10.0,0.0231,25.0,11.2222,0,1.0063,,0,1,0,0,1,0,1,2023-01-03 11:30:00+05:30,2023-01-03 11:35:00+05:30,2023-01-03 15:00:00+05:30,998.1,993.225,1006.875,6.9,EOD+
S006,SUNPHARMA,2023-01-03 11:45:00+05:30,0.0669,0.1318,1,1.0,1.028,70.49,-0.6217,0,1.404,0.0,2,0,0,0,0,2,3,2023-01-03 11:55:00+05:30,2023-01-03 12:00:00+05:30,2023-01-03 12:20:00+05:30,998.8,993.9785714285714,1007.4785714285714,-4.8214,L
S007,SUNPHARMA,2023-01-03 13:00:00+05:30,-0.0835,-0.0674,0,,0.7139,48.0,-0.8698,0,0.6819,1.0,3,0,1,0,0,3,4,2023-01-03 13:15:00+05:30,2023-01-03 13:20:00+05:30,2023-01-03 14:15:00+05:30,996.8,992.7642857142856,1004.0642857142857,7.2643,W
S008,SUNPHARMA,2023-01-03 13:25:00+05:30,-0.0504,-0.0717,0,,0.942,85.71,-0.8966,0,2.4219,1.0,3,0,1,0,0,3,4,2023-01-03 13:40:00+05:30,2023-01-03 13:45:00+05:30,2023-01-03 14:45:00+05:30,998.1,994.2517857142857,1005.0267857142858,6.9268,W
S009,SUNPHARMA,2023-01-04 13:35:00+05:30,-0.1268,-0.1128,0,,1.502,33.33,-0.7395,0,1.5907,0.0,3,1,1,0,0,3,4,2023-01-04 13:50:00+05:30,2023-01-04 13:55:00+05:30,2023-01-04 14:25:00+05:30,1008.0,1003.5267857142858,1016.0517857142856,-4.4732,L
S010,SUNPHARMA,2023-01-05 10:30:00+05:30,0.3051,0.3364,15,9.0,0.0687,28.57,3.058,0,0.2913,,0,0,0,0,1,0,1,2023-01-05 10:30:00+05:30,2023-01-05 10:35:00+05:30,2023-01-05 15:00:00+05:30,1015.35,1009.0732142857144,1026.6482142857142,-1.5,EOD-
