signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,TATAMOTORS,2024-01-01 11:05:00+05:30,0.3203,0.438,21,2.0,0.1488,62.5,1.4691,0,0.5766,,0,0,1,1,0,1,2024-01-01 11:05:00+05:30,2024-01-01 11:10:00+05:30,2024-01-01 15:00:00+05:30,546.7,543.2982142857144,552.8232142857144,-0.7,EOD-
S002,TATAMOTORS,2024-01-01 11:15:00+05:30,0.1491,0.3845,0,,0.3401,0.0,0.4815,0,0.7064,,0,0,0,1,0,1,2024-01-01 11:15:00+05:30,2024-01-01 11:20:00+05:30,2024-01-01 15:00:00+05:30,546.55,543.0767857142857,552.8017857142856,-0.55,EOD-
S003,TATAMOTORS,2024-01-01 12:25:00+05:30,-0.0398,-0.0229,0,,1.8875,37.5,-0.8675,0,1.5002,1.0,3,0,0,0,3,4,2024-01-01 12:40:00+05:30,2024-01-01 12:45:00+05:30,2024-01-01 14:15:00+05:30,546.0,544.0,549.6,-2.0,L
S004,TATAMOTORS,2024-01-01 12:50:00+05:30,-0.0893,-0.0857,0,,0.4929,57.14,-0.645,0,0.3535,0.0,2,0,1,0,2,3,2024-01-01 13:00:00+05:30,2024-01-01 13:05:00+05:30,2024-01-01 15:00:00+05:30,545.55,543.4071428571428,549.4071428571428,0.45,EOD+
S005,TATAMOTORS,2024-01-01 13:10:00+05:30,-0.0307,-0.0802,0,,0.7755,57.14,-0.2035,0,0.735,,0,0,0,1,0,1,2024-01-01 13:10:00+05:30,2024-01-01 13:15:00+05:30,2024-01-01 14:10:00+05:30,546.0,544.1785714285714,549.2785714285714,-1.8214,L
S006,TATAMOTORS,2024-01-01 13:20:00+05:30,-0.0202,-0.0431,1,1.0,0.2168,80.0,-0.6721,0,0.5982,1.0,2,0,0,0,2,3,2024-01-01 13:30:00+05:30,2024-01-01 13:35:00+05:30,2024-01-01 15:00:00+05:30,545.3,543.5410714285714,548.4660714285714,0.7,EOD+
S007,TATAMOTORS,2024-01-01 13:45:00+05:30,-0.0092,-0.0174,0,,0.8561,85.71,-0.8895,0,1.6194,1.0,3,0,1,0,3,4,2024-01-01 14:00:00+05:30,2024-01-01 14:05:00+05:30,2024-01-01 14:05:00+05:30,546.55,545.2285714285714,548.9285714285712,-1.3214,L
S008,TATAMOTORS,2024-01-02 09:35:00+05:30,,,4,4.0,0.2497,54.55,0.5544,0,1.2979,,0,1,0,1,0,1,2024-01-02 09:35:00+05:30,2024-01-02 09:40:00+05:30,2024-01-02 09:55:00+05:30,545.9,541.0696428571429,554.5946428571428,-4.8304,L
S009,TATAMOTORS,2024-01-02 11:10:00+05:30,-0.3045,-0.244,0,,0.7589,23.53,-0.6552,0,0.5073,1.0,3,0,0,0,3,4,2024-01-02 11:25:00+05:30,2024-01-02 11:30:00+05:30,2024-01-02 15:00:00+05:30,540.7,535.9232142857143,549.2982142857144,-1.45,EOD-
S010,TATAMOTORS,2024-01-02 11:35:00+05:30,-0.1805,-0.2928,0,,0.5464,62.07,-0.5676,0,0.4156,,0,0,1,1,0,1,2024-01-02 11:35:00+05:30,2024-01-02 11:40:00+05:30,2024-01-02 15:00:00+05:30,540.45,536.2178571428572,548.0678571428573,-1.2,EOD-
S011,TATAMOTORS,2024-01-02 11:45:00+05:30,-0.1009,-0.2351,0,,0.1152,82.35,-0.0769,0,0.3799,1.0,1,0,0,0,1,2,2024-01-02 11:50:00+05:30,2024-01-02 11:55:00+05:30,2024-01-02 15:00:00+05:30,540.2,536.6732142857143,546.5482142857144,-0.95,EOD-
S012,TATAMOTORS,2024-01-02 12:45:00+05:30,0.0356,0.0879,10,3.0,0.1036,94.12,-0.3939,0,2.4588,1.0,1,1,0,0,1,2,2024-01-02 12:50:00+05:30,2024-01-02 12:55:00+05:30,2024-01-02 13:00:00+05:30,541.25,539.2589285714286,544.8339285714286,-1.9911,L
S013,TATAMOTORS,2024-01-02 13:00:00+05:30,0.0328,0.0356,0,,2.017,51.35,-0.5336,0,1.032,0.0,3,0,0,0,3,4,2024-01-02 13:15:00+05:30,2024-01-02 13:20:00+05:30,2024-01-02 15:00:00+05:30,540.9,538.6410714285714,544.9660714285714,-1.65,EOD-
S014,TATAMOTORS,2024-01-02 13:30:00+05:30,0.037,0.0148,1,1.0,0.0055,50.0,39.0,0,0.8688,,0,1,1,1,0,1,2024-01-02 13:30:00+05:30,2024-01-02 13:35:00+05:30,2024-01-02 14:50:00+05:30,541.65,539.3642857142856,545.7642857142857,-2.2857,L
S015,TATAMOTORS,2024-01-02 13:45:00+05:30,0.03,0.037,1,1.0,0.4526,38.46,-0.0062,0,0.7844,0.0,1,0,1,0,1,2,2024-01-02 13:50:00+05:30,2024-01-02 13:55:00+05:30,2024-01-02 15:00:00+05:30,541.25,539.0267857142858,545.2517857142857,-2.0,EOD-
S016,TATAMOTORS,2024-01-02 14:15:00+05:30,-0.0042,0.0018,4,3.0,0.3418,38.46,-0.0361,0,0.7877,0.0,1,0,1,0,1,2,2024-01-02 14:20:00+05:30,2024-01-02 14:25:00+05:30,2024-01-02 14:40:00+05:30,541.35,539.8321428571429,544.0821428571429,-1.5179,L
