signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p11_open,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,TATAMOTORS,2025-01-01 11:30:00+05:30,0.0299,0.0064,10,6.0,0.0943,60.0,-1.0,0,0.5396,0.0,2,0,0,1,0,2,3,2025-01-01 11:40:00+05:30,2025-01-01 11:45:00+05:30,2025-01-01 13:55:00+05:30,509.9,507.8464285714286,513.5964285714285,3.6964,W
S002,TATAMOTORS,2025-01-01 12:00:00+05:30,0.0823,0.098,0,,1.2677,23.08,-0.7455,0,0.9167,1.0,3,1,0,1,0,3,4,2025-01-01 12:15:00+05:30,2025-01-01 12:20:00+05:30,2025-01-01 13:55:00+05:30,510.9,508.9625,514.3874999999999,3.4875,W
S003,TATAMOTORS,2025-01-01 12:40:00+05:30,0.0005,0.0343,4,4.0,0.128,36.36,2.5294,0,0.7075,,0,1,0,1,1,0,1,2025-01-01 12:40:00+05:30,2025-01-01 12:45:00+05:30,2025-01-01 13:55:00+05:30,510.5,508.8392857142857,513.4892857142856,2.9893,W
S004,TATAMOTORS,2025-01-01 13:00:00+05:30,-0.0162,-0.0098,2,2.0,0.307,11.11,0.8667,0,0.9434,,0,0,0,1,1,0,1,2025-01-01 13:00:00+05:30,2025-01-01 13:05:00+05:30,2025-01-01 13:55:00+05:30,510.45,508.92321428571427,513.1982142857142,2.7482,W
S005,TATAMOTORS,2025-01-01 13:10:00+05:30,-0.0103,-0.0137,0,,1.5452,9.09,-0.2289,0,0.7263,0.0,1,1,0,0,0,1,2,2025-01-01 13:15:00+05:30,2025-01-01 13:20:00+05:30,2025-01-01 13:55:00+05:30,510.35,508.67142857142863,513.3714285714286,3.0214,W
S006,TATAMOTORS,2025-01-01 13:25:00+05:30,0.024,-0.0103,0,,0.3249,0.0,0.6667,0,0.551,,0,0,0,1,1,0,1,2025-01-01 13:25:00+05:30,2025-01-01 13:30:00+05:30,2025-01-01 13:55:00+05:30,510.5,508.88392857142856,513.4089285714285,2.9089,W
S007,TATAMOTORS,2025-01-01 13:35:00+05:30,0.0411,0.0103,0,,0.9294,38.46,-0.4142,0,0.8941,1.0,1,1,0,1,0,1,2,2025-01-01 13:40:00+05:30,2025-01-01 13:45:00+05:30,2025-01-01 13:55:00+05:30,510.65,509.04285714285714,513.5428571428571,2.8929,W
S008,TATAMOTORS,2025-01-02 09:50:00+05:30,0.0914,,7,7.0,0.3906,23.33,0.2752,0,1.3085,,0,1,1,0,1,0,1,2025-01-02 09:50:00+05:30,2025-01-02 09:55:00+05:30,2025-01-02 14:10:00+05:30,517.05,512.2821428571427,525.6321428571429,8.5821,W
S009,TATAMOTORS,2025-01-02 10:00:00+05:30,0.0779,0.0832,1,1.0,0.1927,44.44,0.2,0,0.3706,,0,0,0,1,1,0,1,2025-01-02 10:00:00+05:30,2025-01-02 10:05:00+05:30,2025-01-02 14:10:00+05:30,516.85,511.9839285714286,525.6089285714287,8.7589,W
S010,TATAMOTORS,2025-01-02 10:10:00+05:30,0.0445,0.0943,0,,0.2395,33.33,-1.0,0,0.4997,0.0,1,1,0,0,0,1,2,2025-01-02 10:15:00+05:30,2025-01-02 10:20:00+05:30,2025-01-02 14:55:00+05:30,516.95,511.8607142857143,526.1107142857144,9.1607,W
