signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,TATASTEEL,2024-01-01 11:00:00+05:30,0.1793,0.2162,15,7.0,0.0458,83.33,2.5714,0,0.4854,,0,0,0,1,0,1,2024-01-01 11:00:00+05:30,2024-01-01 11:05:00+05:30,2024-01-01 15:00:00+05:30,133.63,132.8657142857143,135.00571428571428,0.1,EOD+
S002,TATASTEEL,2024-01-01 11:10:00+05:30,0.1754,0.1996,0,,0.017,25.0,21.2222,0,0.5015,,0,0,0,1,0,1,2024-01-01 11:10:00+05:30,2024-01-01 11:15:00+05:30,2024-01-01 13:35:00+05:30,133.83,133.1692857142857,135.0192857142857,-0.6607,L
S003,TATASTEEL,2024-01-01 11:20:00+05:30,0.1682,0.1699,0,,0.3947,50.0,0.0526,0,0.3231,,0,0,1,1,0,1,2024-01-01 11:20:00+05:30,2024-01-01 11:25:00+05:30,2024-01-01 13:40:00+05:30,133.73,133.12821428571428,134.81321428571425,-0.6018,L
S004,TATASTEEL,2024-01-01 12:45:00+05:30,-0.0692,-0.0823,0,,1.5545,20.83,-0.5772,0,3.5424,1.0,3,0,0,0,3,4,2024-01-01 13:00:00+05:30,2024-01-01 13:05:00+05:30,2024-01-01 13:20:00+05:30,133.73,133.34964285714284,134.41464285714284,-0.3804,L
S005,TATASTEEL,2024-01-01 13:10:00+05:30,-0.0363,-0.0618,1,1.0,0.8328,58.33,-0.2754,0,2.1856,1.0,2,0,0,0,2,3,2024-01-01 13:20:00+05:30,2024-01-01 13:25:00+05:30,2024-01-01 13:35:00+05:30,133.58,133.1657142857143,134.3257142857143,-0.4143,L
S006,TATASTEEL,2024-01-01 13:55:00+05:30,-0.0603,-0.0472,0,,1.1934,100.0,-1.0,0,0.7765,0.0,3,1,0,0,3,4,2024-01-01 14:10:00+05:30,2024-01-01 14:15:00+05:30,2024-01-01 15:00:00+05:30,133.49,133.00607142857143,134.36107142857145,0.24,EOD+
S007,TATASTEEL,2024-01-01 14:20:00+05:30,0.0202,-0.0349,1,1.0,0.2628,62.96,0.7241,0,3.4786,,0,0,0,1,0,1,2024-01-01 14:20:00+05:30,2024-01-01 14:25:00+05:30,2024-01-01 15:00:00+05:30,133.78,133.22821428571427,134.77321428571432,-0.05,EOD-
S008,TATASTEEL,2024-01-02 11:20:00+05:30,-0.3577,-0.3221,0,,1.3027,100.0,-1.0,0,2.3473,1.0,3,0,0,0,3,4,2024-01-02 11:35:00+05:30,2024-01-02 11:40:00+05:30,2024-01-02 15:00:00+05:30,131.73,130.54785714285714,133.8578571428571,1.32,EOD+
S009,TATASTEEL,2024-01-02 13:00:00+05:30,0.1463,0.143,15,7.0,0.6695,79.55,-0.4872,0,0.436,0.0,2,0,1,0,2,3,2024-01-02 13:10:00+05:30,2024-01-02 13:15:00+05:30,2024-01-02 14:35:00+05:30,132.02,131.36464285714288,133.19964285714286,1.1796,W
S010,TATASTEEL,2024-01-02 13:20:00+05:30,0.0829,0.1368,0,,0.1182,33.33,0.5152,0,0.427,,0,1,1,1,0,1,2024-01-02 13:20:00+05:30,2024-01-02 13:25:00+05:30,2024-01-02 14:45:00+05:30,132.12,131.42178571428573,133.37678571428572,1.2568,W
S011,TATASTEEL,2024-01-02 13:30:00+05:30,0.0829,0.1091,0,,0.4543,70.59,-0.1803,0,0.7728,,0,0,1,1,0,1,2024-01-02 13:30:00+05:30,2024-01-02 13:35:00+05:30,2024-01-02 14:45:00+05:30,132.27,131.59857142857143,133.47857142857143,1.2086,W
S012,TATASTEEL,2024-01-03 10:35:00+05:30,-0.5621,-0.5801,0,,1.1549,100.0,-1.0,0,0.5585,1.0,3,0,0,0,3,4,2024-01-03 10:50:00+05:30,2024-01-03 10:55:00+05:30,2024-01-03 15:00:00+05:30,130.16,129.34392857142856,131.6289285714286,-0.63,EOD-
S013,TATASTEEL,2024-01-03 12:45:00+05:30,-0.0595,-0.0533,0,,1.6235,33.33,-0.7191,0,0.7074,1.0,3,1,1,0,3,4,2024-01-03 13:00:00+05:30,2024-01-03 13:05:00+05:30,2024-01-03 14:15:00+05:30,130.26,129.71178571428572,131.2467857142857,-0.5482,L
S014,TATASTEEL,2024-01-03 13:10:00+05:30,-0.0849,-0.0856,0,,0.196,0.0,-0.1209,0,0.4417,0.0,2,0,0,0,2,3,2024-01-03 13:20:00+05:30,2024-01-03 13:25:00+05:30,2024-01-03 14:20:00+05:30,130.16,129.57964285714286,131.20464285714286,-0.5804,L
S015,TATASTEEL,2024-01-03 13:30:00+05:30,-0.0665,-0.0718,0,,0.9652,65.52,-0.4334,0,0.7449,0.0,1,0,1,0,1,2,2024-01-03 13:35:00+05:30,2024-01-03 13:40:00+05:30,2024-01-03 14:15:00+05:30,130.16,129.70285714285714,130.98285714285714,-0.4571,L
S016,TATASTEEL,2024-01-03 13:45:00+05:30,-0.0496,-0.0665,0,,0.0224,0.0,46.5,0,0.6677,,0,0,1,1,0,1,2024-01-03 13:45:00+05:30,2024-01-03 13:50:00+05:30,2024-01-03 13:55:00+05:30,130.26,129.8135714285714,131.0635714285714,-0.4464,L
S017,TATASTEEL,2024-01-04 10:10:00+05:30,-0.3429,-0.3823,0,,1.0046,25.0,-0.8157,0,0.4398,1.0,3,0,0,0,3,4,2024-01-04 10:25:00+05:30,2024-01-04 10:30:00+05:30,2024-01-04 15:00:00+05:30,128.21,126.86,130.64,-0.49,EOD-
S018,TATASTEEL,2024-01-04 10:50:00+05:30,-0.1286,-0.252,4,4.0,0.0049,0.0,89.0,0,0.2877,,0,0,1,1,0,1,2024-01-04 10:50:00+05:30,2024-01-04 10:55:00+05:30,2024-01-04 14:25:00+05:30,127.97,127.45571428571428,128.8957142857143,-0.5143,L
S019,TATASTEEL,2024-01-04 12:50:00+05:30,-0.0583,-0.0352,0,,0.7519,33.33,-0.5074,0,1.0114,1.0,3,0,0,0,3,4,2024-01-04 13:05:00+05:30,2024-01-04 13:10:00+05:30,2024-01-04 14:10:00+05:30,127.92,127.5825,128.52750000000003,-0.3375,L
S020,TATASTEEL,2024-01-04 13:30:00+05:30,0.0094,-0.0172,4,3.0,0.2531,0.0,0.5625,0,0.6481,,0,0,0,1,0,1,2024-01-04 13:30:00+05:30,2024-01-04 13:35:00+05:30,2024-01-04 14:10:00+05:30,127.87,127.55392857142856,128.4389285714286,-0.3161,L
S021,TATASTEEL,2024-01-04 13:40:00+05:30,0.0059,0.0113,0,,0.277,33.33,0.3514,0,0.6139,,0,0,1,1,0,1,2024-01-04 13:40:00+05:30,2024-01-04 13:45:00+05:30,2024-01-04 14:10:00+05:30,127.87,127.53607142857145,128.47107142857143,-0.3339,L
S022,TATASTEEL,2024-01-05 09:25:00+05:30,,,2,2.0,0.1331,66.67,0.3699,0,1.024,,0,0,1,1,0,1,2024-01-05 09:25:00+05:30,2024-01-05 09:30:00+05:30,2024-01-05 09:55:00+05:30,127.62,126.93428571428572,128.8542857142857,1.2343,W
S023,TATASTEEL,2024-01-05 09:35:00+05:30,,,0,,1.0137,62.5,-0.8371,0,6.4577,1.0,3,0,0,0,3,4,2024-01-05 09:50:00+05:30,2024-01-05 09:55:00+05:30,2024-01-05 10:50:00+05:30,128.5,127.74285714285716,129.86285714285714,-0.7571,L
S024,TATASTEEL,2024-01-05 12:00:00+05:30,-0.2449,-0.1677,0,,1.3271,80.0,-0.8626,0,0.3144,0.0,3,0,0,0,3,4,2024-01-05 12:15:00+05:30,2024-01-05 12:20:00+05:30,2024-01-05 14:10:00+05:30,127.92,127.23428571428572,129.15428571428572,-0.6857,L
S025,TATASTEEL,2024-01-05 12:25:00+05:30,-0.0946,-0.1969,0,,0.4474,0.0,0.6129,0,0.4106,,0,0,0,1,0,1,2024-01-05 12:25:00+05:30,2024-01-05 12:30:00+05:30,2024-01-05 14:00:00+05:30,127.92,127.40035714285716,128.85535714285714,-0.5196,L
S026,TATASTEEL,2024-01-05 12:40:00+05:30,-0.0207,-0.0946,0,,0.9821,0.0,-0.4681,0,0.9218,1.0,3,0,0,0,3,4,2024-01-05 12:55:00+05:30,2024-01-05 13:00:00+05:30,2024-01-05 14:00:00+05:30,127.82,127.34142857142857,128.68142857142857,-0.4786,L
S027,TATASTEEL,2024-01-08 10:15:00+05:30,0.0748,0.0921,0,,0.6182,34.48,-0.8442,0,0.4009,0.0,3,1,0,0,3,4,2024-01-08 10:30:00+05:30,2024-01-08 10:35:00+05:30,2024-01-08 11:50:00+05:30,127.72,126.42178571428572,130.0567857142857,-1.2982,L
S028,TATASTEEL,2024-01-08 13:40:00+05:30,-0.1157,-0.1702,0,,2.4184,85.29,-0.9032,0,0.7155,0.0,3,0,1,0,3,4,2024-01-08 13:55:00+05:30,2024-01-08 14:00:00+05:30,2024-01-08 14:35:00+05:30,126.21,125.67607142857142,127.17107142857142,-0.5339,L
S029,TATASTEEL,2024-01-08 14:05:00+05:30,-0.0479,-0.1022,1,1.0,0.4588,59.18,0.2931,0,0.9952,,0,0,0,1,0,1,2024-01-08 14:05:00+05:30,2024-01-08 14:10:00+05:30,2024-01-08 15:00:00+05:30,126.16,125.52785714285714,127.29785714285714,-0.6321,L
S030,TATASTEEL,2024-01-09 11:55:00+05:30,0.1709,0.25,32,8.0,0.0292,0.0,17.1818,0,0.3752,,0,1,1,1,0,1,2024-01-09 11:55:00+05:30,2024-01-09 12:00:00+05:30,2024-01-09 14:25:00+05:30,127.43,126.95857142857145,128.27857142857144,-0.4714,L
S031,TATASTEEL,2024-01-09 12:05:00+05:30,0.1052,0.2055,1,1.0,0.5093,100.0,-1.0,0,0.523,0.0,2,0,1,0,2,3,2024-01-09 12:15:00+05:30,2024-01-09 12:20:00+05:30,2024-01-09 14:20:00+05:30,127.48,127.04071428571427,128.2707142857143,-0.4393,L
S032,TATASTEEL,2024-01-09 13:20:00+05:30,0.0705,0.0803,12,4.0,0.0017,0.0,99.0,0,0.3756,,0,0,1,1,0,1,2024-01-09 13:20:00+05:30,2024-01-09 13:25:00+05:30,2024-01-09 14:25:00+05:30,127.67,126.91464285714288,129.02964285714285,-0.7554,L
S033,TATASTEEL,2024-01-09 13:35:00+05:30,0.0744,0.0705,1,1.0,0.0737,50.0,1.6316,0,0.475,,0,1,1,1,0,1,2024-01-09 13:35:00+05:30,2024-01-09 13:40:00+05:30,2024-01-09 14:20:00+05:30,127.82,127.17535714285714,128.98035714285714,-0.6446,L
S034,TATASTEEL,2024-01-10 09:15:00+05:30,,,0,,2.2798,5.38,0.073,0,1.9849,,0,0,0,1,0,1,2024-01-10 09:15:00+05:30,2024-01-10 09:20:00+05:30,2024-01-10 09:25:00+05:30,127.23,126.38178571428573,128.7567857142857,-0.8482,L
S035,TATASTEEL,2024-01-10 10:10:00+05:30,-0.1275,-0.1601,0,,1.3176,82.76,-1.0,0,0.3646,0.0,3,0,0,0,3,4,2024-01-10 10:25:00+05:30,2024-01-10 10:30:00+05:30,2024-01-10 15:00:00+05:30,126.6,125.44642857142856,128.67642857142857,1.02,EOD+
S036,TATASTEEL,2024-01-10 10:40:00+05:30,-0.1174,-0.1193,1,1.0,0.3223,80.0,-0.5349,0,1.0626,1.0,2,1,1,0,2,3,2024-01-10 10:50:00+05:30,2024-01-10 10:55:00+05:30,2024-01-10 15:00:00+05:30,126.7,125.86607142857144,128.20107142857145,0.92,EOD+
S037,TATASTEEL,2024-01-10 12:45:00+05:30,0.1878,0.1978,21,2.0,0.8571,28.3,0.2083,0,1.6774,,0,0,0,1,0,1,2024-01-10 12:45:00+05:30,2024-01-10 12:50:00+05:30,2024-01-10 15:00:00+05:30,127.33,126.63,128.59,0.29,EOD+
S038,TATASTEEL,2024-01-10 12:55:00+05:30,0.1304,0.1996,0,,0.965,31.03,-0.6289,0,0.3608,0.0,2,0,0,0,2,3,2024-01-10 13:05:00+05:30,2024-01-10 13:10:00+05:30,2024-01-10 15:00:00+05:30,127.33,126.63178571428573,128.5867857142857,0.29,EOD+
S039,TATASTEEL,2024-01-10 13:25:00+05:30,0.0322,0.0573,0,,0.6803,0.0,-0.4203,0,0.6152,1.0,3,0,1,0,3,4,2024-01-10 13:40:00+05:30,2024-01-10 13:45:00+05:30,2024-01-10 15:00:00+05:30,127.38,126.74607142857144,128.52107142857142,0.24,EOD+
S040,TATASTEEL,2024-01-10 13:50:00+05:30,0.0133,-0.0024,0,,0.158,34.48,1.5316,0,0.8524,,0,1,0,1,0,1,2024-01-10 13:50:00+05:30,2024-01-10 13:55:00+05:30,2024-01-10 15:00:00+05:30,127.57,126.945,128.695,0.05,EOD+
S041,TATASTEEL,2024-01-10 14:25:00+05:30,0.0439,0.0192,6,1.0,0.3724,13.79,1.0942,0,2.3057,,0,0,0,1,0,1,2024-01-10 14:25:00+05:30,2024-01-10 14:30:00+05:30,2024-01-10 15:00:00+05:30,127.48,126.83892857142858,128.63392857142858,0.14,EOD+
S042,TATASTEEL,2024-01-11 09:50:00+05:30,0.063,,7,5.0,0.2303,48.98,0.9737,0,0.7684,,0,0,0,1,0,1,2024-01-11 09:50:00+05:30,2024-01-11 09:55:00+05:30,2024-01-11 15:00:00+05:30,127.87,127.045,129.35500000000002,0.39,EOD+
S043,TATASTEEL,2024-01-11 10:00:00+05:30,0.0559,0.0837,0,,0.6044,0.0,0.0204,0,0.3461,,0,0,0,1,0,1,2024-01-11 10:00:00+05:30,2024-01-11 10:05:00+05:30,2024-01-11 15:00:00+05:30,127.82,127.00928571428572,129.27928571428572,0.44,EOD+
S044,TATASTEEL,2024-01-11 10:10:00+05:30,0.0716,0.0556,0,,0.2899,81.48,-0.5122,0,0.5705,,0,0,1,1,0,1,2024-01-11 10:10:00+05:30,2024-01-11 10:15:00+05:30,2024-01-11 15:00:00+05:30,128.26,127.3760714285714,129.85107142857143,0.0,EOD-
S045,TATASTEEL,2024-01-11 10:45:00+05:30,0.1452,0.1336,6,6.0,0.0068,0.0,49.0,0,0.3527,,0,0,1,1,0,1,2024-01-11 10:45:00+05:30,2024-01-11 10:50:00+05:30,2024-01-11 15:00:00+05:30,128.21,127.4725,129.5375,0.05,EOD+
S046,TATASTEEL,2024-01-11 10:55:00+05:30,0.1128,0.1507,1,1.0,0.2961,20.0,0.1561,0,0.6455,,0,1,1,1,0,1,2024-01-11 10:55:00+05:30,2024-01-11 11:00:00+05:30,2024-01-11 15:00:00+05:30,128.31,127.57964285714286,129.62464285714285,-0.05,EOD-
S047,TATASTEEL,2024-01-11 11:50:00+05:30,0.123,0.1161,10,1.0,0.0656,52.63,1.3529,0,0.5411,,0,0,1,1,0,1,2024-01-11 11:50:00+05:30,2024-01-11 11:55:00+05:30,2024-01-11 15:00:00+05:30,128.41,127.76178571428572,129.5767857142857,-0.15,EOD-
S048,TATASTEEL,2024-01-11 12:25:00+05:30,0.0797,0.0833,5,4.0,0.0941,100.0,-1.0,0,0.3221,0.0,1,0,1,0,1,2,2024-01-11 12:30:00+05:30,2024-01-11 12:35:00+05:30,2024-01-11 15:00:00+05:30,128.7,128.00892857142856,129.94392857142856,-0.44,EOD-
