signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,TECHM,2024-01-01 11:00:00+05:30,0.0793,0.0544,2,2.0,0.401,25.0,-0.209,0,0.5456,0.0,1,0,1,0,1,2,2024-01-01 11:05:00+05:30,2024-01-01 11:10:00+05:30,2024-01-01 12:45:00+05:30,1225.0,1219.482142857143,1234.9321428571427,9.9321,W
S002,TECHM,2024-01-01 11:40:00+05:30,0.0893,0.1481,6,5.0,0.0301,76.47,-1.0,0,1.3797,1.0,2,0,1,0,2,3,2024-01-01 11:50:00+05:30,2024-01-01 11:55:00+05:30,2024-01-01 12:45:00+05:30,1227.6,1221.367857142857,1238.8178571428568,11.2179,W
S003,TECHM,2024-01-02 12:00:00+05:30,-0.1235,-0.1715,0,,1.1517,33.33,-0.8642,0,0.9283,0.0,3,0,0,0,3,4,2024-01-02 12:15:00+05:30,2024-01-02 12:20:00+05:30,2024-01-02 15:00:00+05:30,1228.7,1222.3071428571427,1240.207142857143,-1.4,EOD-
S004,TECHM,2024-01-02 13:20:00+05:30,-0.0318,-0.0355,0,,1.0094,42.86,-0.799,0,0.8659,0.0,3,0,1,0,3,4,2024-01-02 13:35:00+05:30,2024-01-02 13:40:00+05:30,2024-01-02 15:00:00+05:30,1226.3,1221.3714285714284,1235.1714285714286,1.0,EOD+
S005,TECHM,2024-01-02 13:50:00+05:30,0.0196,0.0073,0,,0.746,7.69,-0.7156,0,1.4866,1.0,3,1,1,0,3,4,2024-01-02 14:05:00+05:30,2024-01-02 14:10:00+05:30,2024-01-02 15:00:00+05:30,1226.2,1222.6642857142856,1232.564285714286,1.1,EOD+
S006,TECHM,2024-01-02 14:25:00+05:30,-0.0257,-0.0534,3,3.0,0.0324,23.08,17.1818,0,1.3312,,0,0,0,1,0,1,2024-01-02 14:25:00+05:30,2024-01-02 14:30:00+05:30,2024-01-02 15:00:00+05:30,1226.9,1222.65,1234.5500000000002,0.4,EOD+
S007,TECHM,2024-01-03 11:00:00+05:30,-0.4785,-0.5961,0,,1.249,60.0,-0.8366,0,0.8222,1.0,3,0,1,0,3,4,2024-01-03 11:15:00+05:30,2024-01-03 11:20:00+05:30,2024-01-03 14:45:00+05:30,1201.6,1195.475,1212.625,-6.125,L
S008,TECHM,2024-01-03 12:05:00+05:30,0.0824,0.0341,9,8.0,0.2524,67.44,1.8866,0,3.2378,,0,0,0,1,0,1,2024-01-03 12:05:00+05:30,2024-01-03 12:10:00+05:30,2024-01-03 14:20:00+05:30,1205.3,1200.4964285714284,1213.946428571429,-4.8036,L
S009,TECHM,2024-01-03 12:20:00+05:30,0.1243,0.0824,2,1.0,0.0434,82.35,4.5556,0,0.6856,,0,0,0,1,0,1,2024-01-03 12:20:00+05:30,2024-01-03 12:25:00+05:30,2024-01-03 14:30:00+05:30,1202.8,1197.6214285714284,1212.1214285714286,-5.1786,L
S010,TECHM,2024-01-03 12:30:00+05:30,0.1035,0.1177,0,,1.0695,63.41,-0.6567,0,1.2127,0.0,1,0,1,0,1,2,2024-01-03 12:35:00+05:30,2024-01-03 12:40:00+05:30,2024-01-03 14:35:00+05:30,1202.7,1197.2535714285714,1212.5035714285716,-5.4464,L
S011,TECHM,2024-01-03 13:30:00+05:30,0.0531,0.0511,9,1.0,0.1919,73.91,0.6216,0,1.2979,,0,0,0,1,0,1,2024-01-03 13:30:00+05:30,2024-01-03 13:35:00+05:30,2024-01-03 14:30:00+05:30,1205.0,1200.178571428571,1213.6785714285716,-4.8214,L
S012,TECHM,2024-01-04 09:15:00+05:30,,,0,,1.3162,5.26,0.3983,0,2.2409,,0,0,0,1,0,1,2024-01-04 09:15:00+05:30,2024-01-04 09:20:00+05:30,2024-01-04 09:30:00+05:30,1199.8,1192.192857142857,1213.492857142857,-7.6071,L
S013,TECHM,2024-01-04 10:00:00+05:30,-0.2422,-0.2795,0,,1.1467,5.71,-0.4863,0,0.4517,0.0,3,0,1,0,3,4,2024-01-04 10:15:00+05:30,2024-01-04 10:20:00+05:30,2024-01-04 15:00:00+05:30,1192.7,1179.9678571428572,1215.6178571428572,7.3,EOD+
S014,TECHM,2024-01-04 10:25:00+05:30,-0.0906,-0.1584,0,,0.1277,21.43,0.7857,0,0.4539,,0,0,0,1,0,1,2024-01-04 10:25:00+05:30,2024-01-04 10:30:00+05:30,2024-01-04 15:00:00+05:30,1192.6,1181.635714285714,1212.3357142857142,7.4,EOD+
S015,TECHM,2024-01-04 12:05:00+05:30,-0.1485,-0.1244,0,,1.5311,10.0,-0.6769,0,1.2622,1.0,3,0,0,0,3,4,2024-01-04 12:20:00+05:30,2024-01-04 12:25:00+05:30,2024-01-04 13:00:00+05:30,1189.2,1184.1464285714285,1198.2964285714286,-5.0536,L
S016,TECHM,2024-01-04 12:45:00+05:30,-0.0409,-0.0787,4,2.0,0.0153,8.0,42.3333,0,0.9129,,0,0,1,1,0,1,2024-01-04 12:45:00+05:30,2024-01-04 12:50:00+05:30,2024-01-04 13:05:00+05:30,1188.2,1183.2892857142858,1197.0392857142856,-4.9107,L
S017,TECHM,2024-01-04 13:20:00+05:30,-0.0383,-0.0615,0,,0.9063,16.67,-0.8977,0,11.6096,1.0,3,1,0,0,3,4,2024-01-04 13:35:00+05:30,2024-01-04 13:40:00+05:30,2024-01-04 14:45:00+05:30,1188.4,1183.007142857143,1198.107142857143,9.7071,W
S018,TECHM,2024-01-05 10:35:00+05:30,0.272,0.3226,16,11.0,0.1499,53.33,1.2556,0,0.447,,0,0,0,1,0,1,2024-01-05 10:35:00+05:30,2024-01-05 10:40:00+05:30,2024-01-05 14:20:00+05:30,1210.4,1199.3107142857143,1230.3607142857145,-11.0893,L
S019,TECHM,2024-01-05 10:50:00+05:30,0.2551,0.272,0,,0.9333,11.54,-0.6914,0,0.7931,1.0,3,0,0,0,3,4,2024-01-05 11:05:00+05:30,2024-01-05 11:10:00+05:30,2024-01-05 13:45:00+05:30,1214.4,1205.7214285714283,1230.0214285714287,-8.6786,L
S020,TECHM,2024-01-05 11:25:00+05:30,-0.031,0.148,0,,0.7623,8.7,-0.5585,0,0.5969,1.0,3,1,1,0,3,4,2024-01-05 11:40:00+05:30,2024-01-05 11:45:00+05:30,2024-01-05 13:45:00+05:30,1211.6,1204.1714285714286,1224.9714285714283,-7.4286,L
S021,TECHM,2024-01-05 11:55:00+05:30,-0.0264,-0.0698,1,1.0,0.2157,65.62,-0.0164,0,0.9407,1.0,1,0,0,0,1,2,2024-01-05 12:00:00+05:30,2024-01-05 12:05:00+05:30,2024-01-05 13:45:00+05:30,1213.1,1206.0285714285717,1225.8285714285712,-7.0714,L
S022,TECHM,2024-01-05 12:10:00+05:30,0.0128,-0.0264,1,1.0,0.1719,28.0,1.0833,0,0.8598,,0,0,0,1,0,1,2024-01-05 12:10:00+05:30,2024-01-05 12:15:00+05:30,2024-01-05 13:45:00+05:30,1211.9,1204.9178571428572,1224.4678571428572,-6.9821,L
S023,TECHM,2024-01-05 12:20:00+05:30,0.0363,0.0083,0,,0.0941,47.83,-0.2,0,0.6658,,0,0,1,1,0,1,2024-01-05 12:20:00+05:30,2024-01-05 12:25:00+05:30,2024-01-05 13:45:00+05:30,1212.3,1205.6571428571428,1224.2571428571428,-6.6429,L
S024,TECHM,2024-01-05 13:00:00+05:30,-0.0475,0.0029,0,,1.2347,85.0,-0.9606,0,1.4163,1.0,3,0,0,0,3,4,2024-01-05 13:15:00+05:30,2024-01-05 13:20:00+05:30,2024-01-05 13:45:00+05:30,1210.8,1205.6571428571428,1220.0571428571427,-5.1429,L
S025,TECHM,2024-01-05 13:25:00+05:30,-0.0264,-0.0314,0,,0.6479,57.14,-1.0,0,1.079,1.0,1,0,1,0,1,2,2024-01-05 13:30:00+05:30,2024-01-05 13:35:00+05:30,2024-01-05 13:45:00+05:30,1210.9,1206.5785714285714,1218.6785714285716,-4.3214,L
S026,TECHM,2024-01-08 09:15:00+05:30,,,0,,1.4868,24.05,-0.5171,0,1.2907,0.0,2,0,0,0,2,3,2024-01-08 09:25:00+05:30,2024-01-08 09:30:00+05:30,2024-01-08 09:40:00+05:30,1201.3,1192.942857142857,1216.342857142857,-8.3571,L
S027,TECHM,2024-01-08 13:40:00+05:30,-0.1365,-0.1814,0,,1.3556,56.67,-0.7049,0,0.6723,0.0,3,0,1,0,3,4,2024-01-08 13:55:00+05:30,2024-01-08 14:00:00+05:30,2024-01-08 15:00:00+05:30,1178.8,1173.175,1188.925,3.5,EOD+
S028,TECHM,2024-01-09 10:50:00+05:30,0.3701,0.3123,19,18.0,0.1708,27.78,-0.802,0,0.3045,,0,0,1,1,0,1,2024-01-09 10:50:00+05:30,2024-01-09 10:55:00+05:30,2024-01-09 14:10:00+05:30,1195.6,1188.2071428571428,1208.9071428571426,-7.3929,L
