signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p11_open,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,VEDL,2024-01-01 11:35:00+05:30,0.1376,0.1453,0,,1.3811,20.0,-0.726,0,1.3432,1.0,3,0,0,1,0,3,4,2024-01-01 11:50:00+05:30,2024-01-01 11:55:00+05:30,2024-01-01 12:50:00+05:30,229.0,228.00892857142856,230.7839285714286,-0.9911,L
S002,VEDL,2024-01-01 12:00:00+05:30,-0.0153,0.0666,0,,0.5613,87.5,-1.0,0,0.9464,0.0,1,0,0,0,0,1,2,2024-01-01 12:05:00+05:30,2024-01-01 12:10:00+05:30,2024-01-01 12:50:00+05:30,228.95,228.00357142857143,230.6535714285714,-0.9464,L
S003,VEDL,2024-01-01 12:20:00+05:30,-0.0284,-0.036,0,,0.875,80.0,-0.8333,0,0.7004,1.0,3,0,0,0,0,3,4,2024-01-01 12:35:00+05:30,2024-01-01 12:40:00+05:30,2024-01-01 12:50:00+05:30,228.75,227.89285714285714,230.29285714285712,-0.8571,L
S004,VEDL,2024-01-01 13:20:00+05:30,-0.0667,-0.0634,0,,2.3894,46.15,-0.831,0,0.5602,0.0,3,0,0,1,0,3,4,2024-01-01 13:35:00+05:30,2024-01-01 13:40:00+05:30,2024-01-01 15:00:00+05:30,228.75,227.82142857142856,230.42142857142858,-0.9286,L
S005,VEDL,2024-01-01 14:05:00+05:30,0.0109,-0.0252,5,2.0,0.0,66.67,,1,0.9731,,0,0,0,0,1,0,1,2024-01-01 14:05:00+05:30,2024-01-01 14:10:00+05:30,2024-01-01 15:00:00+05:30,228.7,227.68214285714285,230.53214285714284,-0.4,EOD-
S006,VEDL,2024-01-01 14:15:00+05:30,0.0044,0.0088,0,,0.3017,16.67,-0.2,0,0.4764,1.0,1,0,0,0,0,1,2,2024-01-01 14:20:00+05:30,2024-01-01 14:25:00+05:30,2024-01-01 15:00:00+05:30,228.55,227.51428571428573,230.4142857142857,-0.25,EOD-
S007,VEDL,2024-01-01 14:30:00+05:30,-0.0077,0.0044,0,,0.231,20.0,0.8182,0,1.4384,,0,0,0,0,1,0,1,2024-01-01 14:30:00+05:30,2024-01-01 14:35:00+05:30,2024-01-01 15:00:00+05:30,228.55,227.65714285714287,230.15714285714284,-0.25,EOD-
S008,VEDL,2024-01-02 11:05:00+05:30,-0.1994,-0.3009,0,,1.2622,66.67,-0.8664,0,0.4621,0.0,3,0,0,0,0,3,4,2024-01-02 11:20:00+05:30,2024-01-02 11:25:00+05:30,2024-01-02 15:00:00+05:30,225.35,223.12678571428572,229.35178571428568,2.7,EOD+
S009,VEDL,2024-01-02 11:30:00+05:30,-0.2365,-0.2418,1,1.0,0.286,23.08,0.4583,0,0.3545,,0,1,0,1,1,0,1,2024-01-02 11:30:00+05:30,2024-01-02 11:35:00+05:30,2024-01-02 14:15:00+05:30,225.25,223.15178571428572,229.02678571428572,3.7768,W
S010,VEDL,2024-01-02 11:45:00+05:30,-0.1266,-0.2365,1,1.0,0.064,22.22,6.0588,0,0.2646,,0,0,0,1,1,0,1,2024-01-02 11:45:00+05:30,2024-01-02 11:50:00+05:30,2024-01-02 13:50:00+05:30,225.2,223.5392857142857,228.18928571428572,2.9893,W
