signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,VEDL,2025-01-01 10:55:00+05:30,-0.0997,-0.1477,3,1.0,0.1186,31.25,0.9512,0,0.9153,,0,0,1,1,0,1,2025-01-01 10:55:00+05:30,2025-01-01 11:00:00+05:30,2025-01-01 11:45:00+05:30,426.15,423.9892857142857,430.03928571428565,-2.1607,L
S002,VEDL,2025-01-01 11:05:00+05:30,-0.0733,-0.1114,0,,0.1965,40.91,-0.0625,0,0.3862,0.0,1,0,1,0,1,2,2025-01-01 11:10:00+05:30,2025-01-01 11:15:00+05:30,2025-01-01 11:45:00+05:30,426.15,424.1142857142857,429.8142857142857,-2.0357,L
S003,VEDL,2025-01-01 12:15:00+05:30,-0.1128,-0.0775,0,,1.5531,30.77,-0.8793,0,1.7797,1.0,3,0,0,0,3,4,2025-01-01 12:30:00+05:30,2025-01-01 12:35:00+05:30,2025-01-01 14:40:00+05:30,425.45,423.44999999999993,429.05000000000007,3.6,W
S004,VEDL,2025-01-01 14:30:00+05:30,0.1561,0.1954,22,5.0,0.3231,40.0,-0.5238,0,0.5284,,0,1,1,1,0,1,2025-01-01 14:30:00+05:30,2025-01-01 14:35:00+05:30,2025-01-01 15:00:00+05:30,427.9,426.275,430.82499999999993,0.75,EOD+
S005,VEDL,2025-01-02 09:15:00+05:30,,,0,,0.5668,13.56,-0.2627,0,2.4788,1.0,1,0,1,0,1,2,2025-01-02 09:20:00+05:30,2025-01-02 09:25:00+05:30,2025-01-02 10:10:00+05:30,430.15,427.75714285714287,434.4571428571428,-2.3929,L
S006,VEDL,2025-01-02 09:50:00+05:30,0.113,,5,1.0,0.3604,47.5,0.3527,0,1.3111,,0,1,0,1,0,1,2025-01-02 09:50:00+05:30,2025-01-02 09:55:00+05:30,2025-01-02 15:00:00+05:30,429.55,425.9607142857144,436.01071428571424,3.55,EOD+
S007,VEDL,2025-01-02 10:35:00+05:30,-0.067,-0.0449,0,,1.5944,0.0,-0.8293,0,0.588,1.0,3,0,1,0,3,4,2025-01-02 10:50:00+05:30,2025-01-02 10:55:00+05:30,2025-01-02 15:00:00+05:30,428.95,425.7357142857143,434.7357142857142,4.15,EOD+
S008,VEDL,2025-01-02 11:00:00+05:30,-0.0222,-0.0536,0,,0.6094,63.16,-0.4215,0,1.4271,1.0,2,0,0,0,2,3,2025-01-02 11:10:00+05:30,2025-01-02 11:15:00+05:30,2025-01-02 13:15:00+05:30,428.6,426.1178571428572,433.0678571428571,4.4679,W
S009,VEDL,2025-01-02 11:20:00+05:30,-0.1342,-0.0484,0,,0.3193,20.0,-0.6154,0,0.8041,1.0,1,1,0,0,1,2,2025-01-02 11:25:00+05:30,2025-01-02 11:30:00+05:30,2025-01-02 12:30:00+05:30,428.3,426.2642857142857,431.96428571428567,3.6643,W
S010,VEDL,2025-01-02 11:40:00+05:30,-0.1192,-0.1401,0,,0.9589,56.25,-0.8,0,1.2476,1.0,3,0,0,0,3,4,2025-01-02 11:55:00+05:30,2025-01-02 12:00:00+05:30,2025-01-02 12:30:00+05:30,428.0,426.0446428571429,431.51964285714286,3.5196,W
S011,VEDL,2025-01-03 09:15:00+05:30,,,0,,0.141,61.64,8.8182,0,3.4106,,0,0,0,1,0,1,2025-01-03 09:15:00+05:30,2025-01-03 09:20:00+05:30,2025-01-03 09:30:00+05:30,436.7,434.2625,441.0875,4.3875,W
S012,VEDL,2025-01-03 10:05:00+05:30,0.285,0.3457,9,7.0,0.1553,96.43,-0.8361,0,0.3804,0.0,3,0,0,0,3,4,2025-01-03 10:20:00+05:30,2025-01-03 10:25:00+05:30,2025-01-03 11:40:00+05:30,436.4,431.4892857142856,445.23928571428576,8.8393,W
S013,VEDL,2025-01-03 10:35:00+05:30,0.2008,0.1993,1,1.0,0.0031,0.0,19.0,0,0.2208,,0,0,1,1,0,1,2025-01-03 10:35:00+05:30,2025-01-03 10:40:00+05:30,2025-01-03 11:15:00+05:30,437.1,433.00178571428575,444.47678571428577,7.3768,W
S014,VEDL,2025-01-03 10:45:00+05:30,0.2189,0.1923,0,,0.4728,25.0,0.1719,0,0.259,,0,1,0,1,0,1,2025-01-03 10:45:00+05:30,2025-01-03 10:50:00+05:30,2025-01-03 11:15:00+05:30,437.85,434.46607142857147,443.9410714285715,6.0911,W
S015,VEDL,2025-01-03 10:55:00+05:30,0.1697,0.2121,0,,0.1911,72.22,0.0526,0,0.4284,,0,0,1,1,0,1,2025-01-03 10:55:00+05:30,2025-01-03 11:00:00+05:30,2025-01-03 11:15:00+05:30,438.15,435.0428571428571,443.74285714285713,5.5929,W
S016,VEDL,2025-01-03 13:10:00+05:30,0.13,0.3297,0,,1.4722,44.0,-0.8176,0,1.5362,1.0,3,0,0,0,3,4,2025-01-03 13:25:00+05:30,2025-01-03 13:30:00+05:30,2025-01-03 14:00:00+05:30,446.85,443.12678571428575,453.5517857142857,-3.7232,L
S017,VEDL,2025-01-06 12:20:00+05:30,-0.3214,-0.4363,0,,0.9537,8.33,-0.8653,0,0.4716,1.0,3,0,0,0,3,4,2025-01-06 12:35:00+05:30,2025-01-06 12:40:00+05:30,2025-01-06 13:50:00+05:30,429.95,426.0571428571429,436.95714285714286,-3.8929,L
S018,VEDL,2025-01-06 12:45:00+05:30,-0.1397,-0.2635,0,,0.1723,29.41,0.7021,0,0.4099,,0,0,1,1,0,1,2025-01-06 12:45:00+05:30,2025-01-06 12:50:00+05:30,2025-01-06 13:50:00+05:30,429.9,426.4892857142857,436.03928571428565,-3.4107,L
S019,VEDL,2025-01-06 12:55:00+05:30,-0.0536,-0.1845,0,,0.1556,81.82,-0.5,0,0.6473,,0,0,1,1,0,1,2025-01-06 12:55:00+05:30,2025-01-06 13:00:00+05:30,2025-01-06 13:30:00+05:30,430.75,427.53571428571433,436.5357142857142,-3.2143,L
S020,VEDL,2025-01-06 13:15:00+05:30,-0.0221,-0.0105,2,1.0,0.3078,20.0,0.4815,0,1.0867,,0,0,0,1,0,1,2025-01-06 13:15:00+05:30,2025-01-06 13:20:00+05:30,2025-01-06 13:40:00+05:30,429.55,426.8089285714286,434.4839285714285,-2.7411,L
S021,VEDL,2025-01-07 10:55:00+05:30,0.5276,0.5741,20,5.0,0.1317,64.29,-0.7826,0,0.1458,0.0,1,0,1,0,1,2,2025-01-07 11:00:00+05:30,2025-01-07 11:05:00+05:30,2025-01-07 15:00:00+05:30,435.85,431.4839285714286,443.7089285714286,-1.65,EOD-
S022,VEDL,2025-01-07 11:10:00+05:30,0.3119,0.5276,0,,0.3093,88.46,-0.6571,0,0.2953,,0,1,1,1,0,1,2025-01-07 11:10:00+05:30,2025-01-07 11:15:00+05:30,2025-01-07 13:55:00+05:30,437.0,433.4642857142857,443.3642857142856,-3.5357,L
