signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p11_open,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,WIPRO,2022-01-03 13:05:00+05:30,-0.0335,-0.0495,0,,0.9815,50.0,-0.6899,0,0.5885,1.0,9,0,0,1,0,9,10,2022-01-03 13:50:00+05:30,2022-01-03 13:55:00+05:30,2022-01-03 15:00:00+05:30,343.25,342.4285714285714,344.72857142857146,-0.45,EOD-
S002,WIPRO,2022-01-03 14:05:00+05:30,-0.0087,-0.0452,2,2.0,0.5344,50.0,-0.1549,0,0.7189,1.0,1,0,0,1,0,1,2,2022-01-03 14:10:00+05:30,2022-01-03 14:15:00+05:30,2022-01-03 15:00:00+05:30,343.05,342.21964285714284,344.5446428571429,-0.25,EOD-
S003,WIPRO,2022-01-03 14:20:00+05:30,-0.0095,-0.0087,0,,0.308,28.57,0.8182,0,1.3294,,0,1,0,0,1,0,1,2022-01-03 14:20:00+05:30,2022-01-03 14:25:00+05:30,2022-01-03 15:00:00+05:30,343.2,342.3071428571428,344.8071428571429,-0.4,EOD-
S004,WIPRO,2022-01-04 10:05:00+05:30,-0.1876,-0.1721,0,,1.1841,11.11,-0.7053,0,0.6449,1.0,9,1,0,1,0,9,10,2022-01-04 10:50:00+05:30,2022-01-04 10:55:00+05:30,2022-01-04 15:00:00+05:30,341.9,339.03392857142853,347.05892857142857,2.0,EOD+
S005,WIPRO,2022-01-04 11:15:00+05:30,-0.0308,-0.1128,4,3.0,0.2158,0.0,1.439,0,1.2318,,0,0,0,0,1,0,1,2022-01-04 11:15:00+05:30,2022-01-04 11:20:00+05:30,2022-01-04 12:35:00+05:30,341.6,340.4125,343.7375,2.1375,W
S006,WIPRO,2022-01-04 11:25:00+05:30,0.0022,-0.0718,0,,1.2979,42.86,-0.7753,0,0.7917,1.0,3,0,0,1,0,3,4,2022-01-04 11:40:00+05:30,2022-01-04 11:45:00+05:30,2022-01-04 12:40:00+05:30,341.65,340.3642857142857,343.96428571428567,2.3143,W
S007,WIPRO,2022-01-04 11:50:00+05:30,0.0124,0.0322,0,,0.2333,28.57,0.3636,0,0.5685,,0,1,0,0,1,0,1,2022-01-04 11:50:00+05:30,2022-01-04 11:55:00+05:30,2022-01-04 12:35:00+05:30,341.55,340.3714285714286,343.6714285714285,2.1214,W
S008,WIPRO,2022-01-04 12:00:00+05:30,-0.0007,0.0278,0,,0.611,25.0,-0.2233,0,1.1452,1.0,3,1,1,1,0,3,4,2022-01-04 12:15:00+05:30,2022-01-04 12:20:00+05:30,2022-01-04 12:35:00+05:30,341.75,340.6964285714286,343.6464285714285,1.8964,W
S009,WIPRO,2022-01-04 13:40:00+05:30,0.1848,0.2134,16,8.0,0.3297,64.71,-0.3443,0,1.0146,1.0,2,1,0,0,0,2,3,2022-01-04 13:50:00+05:30,2022-01-04 13:55:00+05:30,2022-01-04 15:00:00+05:30,343.95,341.63749999999993,348.11250000000007,-0.05,EOD-
S010,WIPRO,2022-01-04 14:00:00+05:30,0.1773,0.1731,0,,0.0737,50.0,3.6154,0,0.3312,,0,0,0,1,1,0,1,2022-01-04 14:00:00+05:30,2022-01-04 14:05:00+05:30,2022-01-04 15:00:00+05:30,344.6,342.39464285714286,348.5696428571429,-0.7,EOD-
S011,WIPRO,2022-01-04 14:10:00+05:30,0.1496,0.1679,0,,0.8765,69.23,-0.7222,0,0.3653,0.0,1,0,0,1,0,1,2,2022-01-04 14:15:00+05:30,2022-01-04 14:20:00+05:30,2022-01-04 15:00:00+05:30,344.4,342.34642857142853,348.0964285714286,-0.5,EOD-
S012,WIPRO,2022-01-04 14:25:00+05:30,0.0429,0.1496,0,,0.6023,55.56,-1.0,0,0.4419,0.0,1,1,0,0,0,1,2,2022-01-04 14:30:00+05:30,2022-01-04 14:35:00+05:30,2022-01-04 15:00:00+05:30,344.2,342.2803571428571,347.6553571428572,-0.3,EOD-
S013,WIPRO,2022-01-05 10:40:00+05:30,-0.3919,-0.3031,0,,2.4155,100.0,-1.0,0,2.5046,1.0,9,0,0,0,0,9,10,2022-01-05 11:25:00+05:30,2022-01-05 11:30:00+05:30,2022-01-05 15:00:00+05:30,338.85,336.7696428571429,342.5946428571428,1.7,EOD+
S014,WIPRO,2022-01-05 11:35:00+05:30,-0.1351,-0.2383,0,,1.1242,62.5,-0.8417,0,1.2804,1.0,3,1,0,0,0,3,4,2022-01-05 11:50:00+05:30,2022-01-05 11:55:00+05:30,2022-01-05 13:30:00+05:30,338.45,336.34285714285716,342.2428571428571,3.7929,W
S015,WIPRO,2022-01-05 14:00:00+05:30,0.1598,0.2231,25,3.0,0.3301,45.0,1.1978,0,0.9616,,0,0,1,0,1,0,1,2022-01-05 14:00:00+05:30,2022-01-05 14:05:00+05:30,2022-01-05 15:00:00+05:30,341.35,339.62678571428575,344.45178571428573,-0.8,EOD-
S016,WIPRO,2022-01-05 14:10:00+05:30,0.1136,0.176,0,,0.4946,10.0,-0.2308,0,1.0829,1.0,1,0,0,0,0,1,2,2022-01-05 14:15:00+05:30,2022-01-05 14:20:00+05:30,2022-01-05 15:00:00+05:30,341.55,339.90714285714284,344.50714285714287,-1.0,EOD-
S017,WIPRO,2022-01-06 09:15:00+05:30,,,0,,6.1554,18.75,-0.5797,0,1.3154,0.0,9,1,0,0,0,9,10,2022-01-06 10:00:00+05:30,2022-01-06 10:05:00+05:30,2022-01-06 11:15:00+05:30,339.75,337.2857142857143,344.18571428571425,-2.4643,L
