signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,WIPRO,2024-01-01 11:00:00+05:30,0.0089,-0.049,2,2.0,0.0923,42.86,0.6667,0,1.3159,,0,0,0,1,0,1,2024-01-01 11:00:00+05:30,2024-01-01 11:05:00+05:30,2024-01-01 11:15:00+05:30,224.65,223.8375,226.1125,1.4625,W
S002,WIPRO,2024-01-01 12:05:00+05:30,0.1817,0.1907,11,10.0,0.0043,0.0,159.0,0,0.7928,,0,0,0,1,0,1,2024-01-01 12:05:00+05:30,2024-01-01 12:10:00+05:30,2024-01-01 12:45:00+05:30,226.05,224.60357142857143,228.65357142857144,2.6036,W
S003,WIPRO,2024-01-01 14:30:00+05:30,0.2579,0.4357,28,4.0,0.1151,50.0,0.6667,0,0.6185,,0,1,1,1,0,1,2024-01-01 14:30:00+05:30,2024-01-01 14:35:00+05:30,2024-01-01 15:00:00+05:30,229.8,228.49642857142857,232.1464285714286,0.25,EOD+
S004,WIPRO,2024-01-02 11:50:00+05:30,-0.3355,-0.3682,0,,2.3183,80.0,-0.9402,0,0.4777,0.0,3,0,1,0,3,4,2024-01-02 12:05:00+05:30,2024-01-02 12:10:00+05:30,2024-01-02 15:00:00+05:30,223.4,221.5964285714286,226.64642857142852,0.65,EOD+
S005,WIPRO,2024-01-02 12:15:00+05:30,-0.1041,-0.3112,0,,0.2292,80.0,-0.2857,0,0.635,,0,0,0,1,0,1,2024-01-02 12:15:00+05:30,2024-01-02 12:20:00+05:30,2024-01-02 15:00:00+05:30,223.5,221.9732142857143,226.24821428571423,0.55,EOD+
S006,WIPRO,2024-01-02 13:00:00+05:30,0.0078,-0.0269,8,2.0,1.0398,92.86,-0.8693,0,0.5819,0.0,3,0,1,0,3,4,2024-01-02 13:15:00+05:30,2024-01-02 13:20:00+05:30,2024-01-02 15:00:00+05:30,223.5,222.58035714285717,225.15535714285716,0.55,EOD+
S007,WIPRO,2024-01-02 13:25:00+05:30,0.0537,-0.0123,0,,0.1278,64.29,-0.0476,0,1.046,,0,0,1,1,0,1,2024-01-02 13:25:00+05:30,2024-01-02 13:30:00+05:30,2024-01-02 15:00:00+05:30,223.85,222.82321428571427,225.69821428571427,0.2,EOD+
S008,WIPRO,2024-01-03 10:50:00+05:30,-0.6493,-0.6422,0,,0.8417,40.0,-0.898,0,0.4151,0.0,3,0,1,0,3,4,2024-01-03 11:05:00+05:30,2024-01-03 11:10:00+05:30,2024-01-03 15:00:00+05:30,219.0,217.5446428571429,221.6196428571428,-0.65,EOD-
S009,WIPRO,2024-01-03 13:30:00+05:30,-0.1335,-0.0901,0,,1.438,60.0,-0.7884,0,3.1052,1.0,3,0,0,0,3,4,2024-01-03 13:45:00+05:30,2024-01-03 13:50:00+05:30,2024-01-03 14:25:00+05:30,219.5,218.67857142857144,220.97857142857143,-0.8214,L
S010,WIPRO,2024-01-03 14:10:00+05:30,0.0057,-0.0754,4,4.0,0.3656,69.23,-0.1489,0,1.6506,,0,0,0,1,0,1,2024-01-03 14:10:00+05:30,2024-01-03 14:15:00+05:30,2024-01-03 14:30:00+05:30,219.45,218.64642857142857,220.89642857142852,-0.8036,L
S011,WIPRO,2024-01-04 09:15:00+05:30,,,0,,1.6874,0.0,-0.1758,0,1.3376,0.0,1,0,1,0,1,2,2024-01-04 09:20:00+05:30,2024-01-04 09:25:00+05:30,2024-01-04 09:25:00+05:30,218.9,217.55178571428573,221.32678571428573,-1.3482,L
S012,WIPRO,2024-01-04 09:50:00+05:30,-0.2651,,0,,2.112,14.29,-0.83,0,1.1392,1.0,3,0,0,0,3,4,2024-01-04 10:05:00+05:30,2024-01-04 10:10:00+05:30,2024-01-04 15:00:00+05:30,218.1,216.01071428571427,221.8607142857143,-1.3,EOD-
