signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p11_open,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,CIPLA,2022-01-03 11:00:00+05:30,-0.3474,-0.34,0,,2.0234,57.14,-0.9703,0,0.9375,1.0,9,0,0,0,0,9,10,2022-01-03 11:45:00+05:30,2022-01-03 11:50:00+05:30,2022-01-03 13:10:00+05:30,930.7,926.5392857142857,938.1892857142858,-4.1607,L
S002,CIPLA,2022-01-03 11:55:00+05:30,-0.0752,-0.1085,0,,1.0087,34.78,-0.3534,0,0.5402,0.0,5,0,0,1,0,5,6,2022-01-03 12:20:00+05:30,2022-01-03 12:25:00+05:30,2022-01-03 13:10:00+05:30,929.8,926.925,934.9749999999999,-2.875,L
S003,CIPLA,2022-01-03 12:40:00+05:30,-0.0191,-0.0516,0,,0.5562,0.0,-0.1011,0,1.9764,1.0,9,1,0,1,0,9,10,2022-01-03 13:25:00+05:30,2022-01-03 13:30:00+05:30,2022-01-03 15:00:00+05:30,929.95,927.95,933.5500000000002,-0.05,EOD-
S004,CIPLA,2022-01-03 13:50:00+05:30,0.0212,-0.0091,5,2.0,0.2919,0.0,2.7288,0,1.0087,,0,1,1,0,1,0,1,2022-01-03 13:50:00+05:30,2022-01-03 13:55:00+05:30,2022-01-03 15:00:00+05:30,930.5,927.9732142857143,935.0482142857143,-0.6,EOD-
S005,CIPLA,2022-01-04 09:20:00+05:30,,,1,1.0,0.2208,57.14,0.3072,0,1.4528,,0,0,1,0,1,0,1,2022-01-04 09:20:00+05:30,2022-01-04 09:25:00+05:30,2022-01-04 09:40:00+05:30,931.25,926.9196428571429,939.0446428571429,-4.3304,L
S006,CIPLA,2022-01-04 10:30:00+05:30,-0.1769,-0.1835,0,,2.1512,61.36,-0.9124,0,1.7251,1.0,9,0,1,0,0,9,10,2022-01-04 11:15:00+05:30,2022-01-04 11:20:00+05:30,2022-01-04 12:15:00+05:30,925.9,921.2571428571429,934.2571428571429,-4.6429,L
S007,CIPLA,2022-01-04 12:20:00+05:30,-0.0338,-0.0003,0,,1.5125,75.0,-0.9496,0,1.2845,1.0,9,0,1,0,0,9,10,2022-01-04 13:05:00+05:30,2022-01-04 13:10:00+05:30,2022-01-04 15:00:00+05:30,923.75,920.4732142857143,929.6482142857143,1.75,EOD+
S008,CIPLA,2022-01-04 13:15:00+05:30,-0.0501,-0.0344,0,,0.034,67.65,2.5294,0,1.3253,,0,1,0,1,1,0,1,2022-01-04 13:15:00+05:30,2022-01-04 13:20:00+05:30,2022-01-04 15:00:00+05:30,924.1,920.975,929.725,1.4,EOD+
S009,CIPLA,2022-01-04 13:45:00+05:30,0.0217,-0.0081,5,5.0,0.2902,17.86,1.7027,0,1.0283,,0,1,0,0,1,0,1,2022-01-04 13:45:00+05:30,2022-01-04 13:50:00+05:30,2022-01-04 15:00:00+05:30,923.9,920.7125,929.6374999999999,1.6,EOD+
S010,CIPLA,2022-01-05 09:20:00+05:30,,,1,1.0,1.5432,74.66,-0.6669,0,0.4718,0.0,6,1,1,1,0,6,7,2022-01-05 09:50:00+05:30,2022-01-05 09:55:00+05:30,2022-01-05 15:00:00+05:30,924.0,918.8928571428571,933.1928571428572,2.35,EOD+
