signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p11_open,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,HDFCBANK,2025-01-01 11:35:00+05:30,0.2136,0.2117,16,9.0,0.1083,12.5,0.3953,0,1.385,,0,1,1,0,1,0,1,2025-01-01 11:35:00+05:30,2025-01-01 11:40:00+05:30,2025-01-01 15:00:00+05:30,889.7,884.7357142857143,898.6357142857144,1.3,EOD+
S002,HDFCBANK,2025-01-01 11:50:00+05:30,0.1679,0.2136,1,1.0,0.1916,50.0,-1.0,0,0.552,0.0,2,1,0,1,0,2,3,2025-01-01 12:00:00+05:30,2025-01-01 12:05:00+05:30,2025-01-01 15:00:00+05:30,891.7,887.0035714285715,900.1535714285715,-0.7,EOD-
S003,HDFCBANK,2025-01-01 12:35:00+05:30,0.0522,0.1088,6,3.0,0.2398,10.0,0.6129,0,0.5599,,0,0,0,1,1,0,1,2025-01-01 12:35:00+05:30,2025-01-01 12:40:00+05:30,2025-01-01 15:00:00+05:30,891.5,888.2678571428571,897.3178571428571,-0.5,EOD-
S004,HDFCBANK,2025-01-01 12:45:00+05:30,-0.0045,0.0701,0,,0.2853,50.0,-0.2,0,1.3251,,0,1,0,1,1,0,1,2025-01-01 12:45:00+05:30,2025-01-01 12:50:00+05:30,2025-01-01 15:00:00+05:30,891.8,888.5142857142856,897.7142857142857,-0.8,EOD-
S005,HDFCBANK,2025-01-01 13:00:00+05:30,-0.0011,-0.0045,1,1.0,0.0,12.5,,1,0.2633,,0,0,0,0,1,0,1,2025-01-01 13:00:00+05:30,2025-01-01 13:05:00+05:30,2025-01-01 15:00:00+05:30,891.9,888.3642857142856,898.2642857142857,-0.9,EOD-
S006,HDFCBANK,2025-01-01 13:10:00+05:30,0.0163,-0.0079,1,1.0,0.3322,75.0,-0.7619,0,0.3471,0.0,2,1,0,1,0,2,3,2025-01-01 13:20:00+05:30,2025-01-01 13:25:00+05:30,2025-01-01 15:00:00+05:30,892.1,888.9392857142857,897.7892857142857,-1.1,EOD-
S007,HDFCBANK,2025-01-01 13:35:00+05:30,0.0589,0.0376,2,1.0,0.2963,25.0,0.7391,0,0.9349,,0,1,1,1,1,0,1,2025-01-01 13:35:00+05:30,2025-01-01 13:40:00+05:30,2025-01-01 15:00:00+05:30,892.6,889.6892857142857,897.8392857142858,-1.6,EOD-
S008,HDFCBANK,2025-01-02 09:15:00+05:30,,,0,,4.0417,39.02,-0.6837,0,1.0019,0.0,8,1,0,0,0,8,9,2025-01-02 09:55:00+05:30,2025-01-02 10:00:00+05:30,2025-01-02 13:25:00+05:30,891.7,887.5928571428572,899.0928571428572,7.3929,W
S009,HDFCBANK,2025-01-02 11:20:00+05:30,0.1303,0.1231,16,6.0,0.1149,54.55,2.0303,0,0.7854,,0,1,0,1,1,0,1,2025-01-02 11:20:00+05:30,2025-01-02 11:25:00+05:30,2025-01-02 13:45:00+05:30,894.6,891.0107142857142,901.0607142857143,6.4607,W
S010,HDFCBANK,2025-01-02 11:40:00+05:30,0.11,0.1314,0,,0.6179,28.57,-0.5376,0,2.0037,1.0,9,1,0,1,0,9,10,2025-01-02 12:25:00+05:30,2025-01-02 12:30:00+05:30,2025-01-02 13:45:00+05:30,894.4,890.9,900.6999999999999,6.3,W
S011,HDFCBANK,2025-01-02 12:35:00+05:30,-0.0431,-0.0783,0,,0.2739,30.77,1.5,0,1.9044,,0,0,0,1,1,0,1,2025-01-02 12:35:00+05:30,2025-01-02 12:40:00+05:30,2025-01-02 13:45:00+05:30,895.1,891.8142857142858,901.0142857142856,5.9143,W
S012,HDFCBANK,2025-01-02 12:45:00+05:30,-0.0201,-0.0537,0,,0.0607,58.33,0.3333,0,2.0366,,0,0,0,0,1,0,1,2025-01-02 12:45:00+05:30,2025-01-02 12:50:00+05:30,2025-01-02 13:40:00+05:30,894.1,891.0107142857144,899.6607142857143,5.5607,W
S013,HDFCBANK,2025-01-02 12:55:00+05:30,-0.0185,-0.028,0,,0.1731,66.67,0.3333,0,0.6788,,0,1,0,1,1,0,1,2025-01-02 12:55:00+05:30,2025-01-02 13:00:00+05:30,2025-01-02 13:45:00+05:30,894.9,891.65,900.75,5.85,W
S014,HDFCBANK,2025-01-02 14:00:00+05:30,0.1617,0.163,12,3.0,0.1656,54.55,0.4035,0,0.5388,,0,1,0,0,1,0,1,2025-01-02 14:00:00+05:30,2025-01-02 14:05:00+05:30,2025-01-02 15:00:00+05:30,896.5,892.1964285714286,904.2464285714286,3.2,EOD+
S015,HDFCBANK,2025-01-02 14:25:00+05:30,0.0786,0.1121,3,1.0,0.1728,45.45,0.3793,0,0.5178,,0,1,0,1,1,0,1,2025-01-02 14:25:00+05:30,2025-01-02 14:30:00+05:30,2025-01-02 15:00:00+05:30,897.3,893.1035714285714,904.8535714285714,2.4,EOD+
S016,HDFCBANK,2025-01-03 10:35:00+05:30,-0.4572,-0.4486,0,,5.4135,25.0,-0.8679,0,1.2296,0.0,9,0,0,0,0,9,10,2025-01-03 11:20:00+05:30,2025-01-03 11:25:00+05:30,2025-01-03 12:20:00+05:30,883.5,878.6071428571429,892.3071428571429,-4.8929,L
S017,HDFCBANK,2025-01-03 11:30:00+05:30,-0.1986,-0.3627,0,,0.537,41.67,-0.3162,0,1.0025,1.0,1,1,0,1,0,1,2,2025-01-03 11:35:00+05:30,2025-01-03 11:40:00+05:30,2025-01-03 12:45:00+05:30,881.5,876.0535714285716,891.3035714285713,-5.4464,L
S018,HDFCBANK,2025-01-03 11:45:00+05:30,-0.126,-0.1986,0,,0.1343,33.33,2.0769,0,0.9807,,0,0,1,0,1,0,1,2025-01-03 11:45:00+05:30,2025-01-03 11:50:00+05:30,2025-01-03 12:45:00+05:30,881.5,876.6607142857143,890.2107142857142,-4.8393,L
S019,HDFCBANK,2025-01-03 11:55:00+05:30,-0.0852,-0.1356,0,,0.0632,16.67,4.0,0,1.0053,,0,1,1,0,1,0,1,2025-01-03 11:55:00+05:30,2025-01-03 12:00:00+05:30,2025-01-03 12:45:00+05:30,881.4,876.65,889.9499999999999,-4.75,L
S020,HDFCBANK,2025-01-03 12:15:00+05:30,-0.0381,-0.0795,0,,0.9209,53.33,-0.7508,0,0.8052,0.0,9,0,0,1,0,9,10,2025-01-03 13:00:00+05:30,2025-01-03 13:05:00+05:30,2025-01-03 13:55:00+05:30,880.6,876.2428571428572,888.4428571428571,-4.3571,L
S021,HDFCBANK,2025-01-03 13:15:00+05:30,-0.0506,-0.0523,2,2.0,0.5204,21.43,0.4085,0,0.8702,,0,0,0,0,1,0,1,2025-01-03 13:15:00+05:30,2025-01-03 13:20:00+05:30,2025-01-03 13:55:00+05:30,880.1,876.6892857142857,886.2392857142858,-3.4107,L
S022,HDFCBANK,2025-01-06 09:15:00+05:30,,,0,,4.1774,10.53,-0.7568,0,1.6075,0.0,1,0,1,0,0,1,2,2025-01-06 09:20:00+05:30,2025-01-06 09:25:00+05:30,2025-01-06 09:30:00+05:30,877.8,873.3714285714286,885.7714285714284,-4.4286,L
S023,HDFCBANK,2025-01-06 12:20:00+05:30,-0.2624,-0.3548,0,,2.0055,21.43,-0.9745,0,0.7556,1.0,9,0,0,1,0,9,10,2025-01-06 13:05:00+05:30,2025-01-06 13:10:00+05:30,2025-01-06 14:10:00+05:30,858.5,853.6071428571428,867.3071428571429,-4.8929,L
S024,HDFCBANK,2025-01-07 09:45:00+05:30,0.045,,6,6.0,1.5266,92.11,-0.9095,0,0.9337,1.0,5,0,1,0,0,5,6,2025-01-07 10:10:00+05:30,2025-01-07 10:15:00+05:30,2025-01-07 15:00:00+05:30,855.7,850.2714285714286,865.4714285714285,0.3,EOD+
S025,HDFCBANK,2025-01-07 10:20:00+05:30,-0.0292,-0.0526,0,,0.2296,64.29,-0.5161,0,0.4324,1.0,1,0,0,1,0,1,2,2025-01-07 10:25:00+05:30,2025-01-07 10:30:00+05:30,2025-01-07 15:00:00+05:30,856.2,849.45,868.35,-0.2,EOD-
S026,HDFCBANK,2025-01-07 10:35:00+05:30,0.0082,-0.0292,0,,0.6761,68.18,-1.0,0,0.4009,1.0,2,0,0,0,0,2,3,2025-01-07 10:45:00+05:30,2025-01-07 10:50:00+05:30,2025-01-07 15:00:00+05:30,855.3,849.55,865.65,0.7,EOD+
S027,HDFCBANK,2025-01-07 10:55:00+05:30,-0.0433,-0.0029,0,,0.4476,87.5,-0.7872,0,0.5467,,0,1,0,1,1,0,1,2025-01-07 10:55:00+05:30,2025-01-07 11:00:00+05:30,2025-01-07 15:00:00+05:30,855.4,850.15,864.85,0.6,EOD+
S028,HDFCBANK,2025-01-07 12:45:00+05:30,0.0618,0.0858,21,14.0,0.3473,9.09,-0.0625,0,1.1344,1.0,8,1,0,1,0,8,9,2025-01-07 13:25:00+05:30,2025-01-07 13:30:00+05:30,2025-01-07 14:45:00+05:30,857.4,855.0964285714285,861.5464285714286,-2.3036,L
S029,HDFCBANK,2025-01-07 13:45:00+05:30,0.007,-0.014,3,3.0,0.4489,63.64,-1.0,0,1.025,1.0,5,0,0,0,0,5,6,2025-01-07 14:10:00+05:30,2025-01-07 14:15:00+05:30,2025-01-07 15:00:00+05:30,857.2,854.8607142857143,861.4107142857143,-1.2,EOD-
S030,HDFCBANK,2025-01-07 14:20:00+05:30,-0.0239,-0.0309,0,,0.5014,54.55,-0.604,0,0.8502,0.0,2,0,0,1,0,2,3,2025-01-07 14:30:00+05:30,2025-01-07 14:35:00+05:30,2025-01-07 15:00:00+05:30,857.2,854.6821428571429,861.7321428571429,-1.2,EOD-
S031,HDFCBANK,2025-01-08 10:45:00+05:30,-0.3456,-0.2632,0,,3.8131,70.0,-1.0,0,0.8266,1.0,9,0,0,0,0,9,10,2025-01-08 11:30:00+05:30,2025-01-08 11:35:00+05:30,2025-01-08 12:30:00+05:30,847.1,842.8678571428572,854.717857142857,-4.2321,L
S032,HDFCBANK,2025-01-08 11:40:00+05:30,-0.1359,-0.1293,0,,0.3294,45.45,-0.375,0,0.4482,0.0,1,0,0,1,0,1,2,2025-01-08 11:45:00+05:30,2025-01-08 11:50:00+05:30,2025-01-08 12:35:00+05:30,846.0,842.3571428571429,852.5571428571428,-3.6429,L
S033,HDFCBANK,2025-01-08 12:35:00+05:30,-0.0296,-0.0343,0,,3.1523,35.71,-0.7708,0,0.9252,0.0,9,1,0,0,0,9,10,2025-01-08 13:20:00+05:30,2025-01-08 13:25:00+05:30,2025-01-08 14:20:00+05:30,843.9,841.1321428571429,848.8821428571428,4.9821,W
S034,HDFCBANK,2025-01-09 11:30:00+05:30,-0.1872,-0.23,0,,1.6865,44.44,-0.7419,0,1.7418,1.0,9,0,1,0,0,9,10,2025-01-09 12:15:00+05:30,2025-01-09 12:20:00+05:30,2025-01-09 12:35:00+05:30,836.4,832.9535714285714,842.6035714285714,-3.4464,L
S035,HDFCBANK,2025-01-09 13:20:00+05:30,-0.1177,-0.1038,0,,1.5079,47.06,-0.9132,0,1.8101,1.0,9,1,0,0,0,9,10,2025-01-09 14:05:00+05:30,2025-01-09 14:10:00+05:30,2025-01-09 15:00:00+05:30,831.2,827.3785714285715,838.0785714285714,1.8,EOD+
S036,HDFCBANK,2025-01-09 14:20:00+05:30,-0.0554,-0.1053,2,1.0,0.0125,25.0,45.6667,0,0.8351,,0,0,0,1,1,0,1,2025-01-09 14:20:00+05:30,2025-01-09 14:25:00+05:30,2025-01-09 15:00:00+05:30,831.6,828.6000000000001,836.9999999999999,1.4,EOD+
S037,HDFCBANK,2025-01-10 09:30:00+05:30,,,3,1.0,0.3329,81.08,-0.6262,0,0.2391,0.0,1,1,0,0,0,1,2,2025-01-10 09:35:00+05:30,2025-01-10 09:40:00+05:30,2025-01-10 14:20:00+05:30,833.4,829.3821428571429,840.6321428571428,-4.0179,L
S038,HDFCBANK,2025-01-10 09:50:00+05:30,0.0672,,1,1.0,0.4069,86.67,-0.7203,0,0.3146,1.0,5,1,0,0,0,5,6,2025-01-10 10:15:00+05:30,2025-01-10 10:20:00+05:30,2025-01-10 13:30:00+05:30,834.6,830.2071428571429,842.5071428571429,-4.3929,L
S039,HDFCBANK,2025-01-10 10:25:00+05:30,0.051,0.0222,1,1.0,0.0651,57.14,3.8,0,0.1916,,0,0,0,1,1,0,1,2025-01-10 10:25:00+05:30,2025-01-10 10:30:00+05:30,2025-01-10 14:20:00+05:30,834.4,829.5964285714285,843.0464285714285,-4.8036,L
S040,HDFCBANK,2025-01-10 10:35:00+05:30,0.027,0.0396,0,,0.7053,59.09,-1.0,0,0.2682,1.0,3,1,0,1,0,3,4,2025-01-10 10:50:00+05:30,2025-01-10 10:55:00+05:30,2025-01-10 14:25:00+05:30,834.0,829.25,842.55,-4.75,L
S041,HDFCBANK,2025-01-10 11:25:00+05:30,0.0228,-0.0126,6,2.0,0.2413,7.14,1.5352,0,0.5841,,0,1,0,1,1,0,1,2025-01-10 11:25:00+05:30,2025-01-10 11:30:00+05:30,2025-01-10 13:25:00+05:30,834.5,830.8214285714286,841.1214285714285,-3.6786,L
S042,HDFCBANK,2025-01-10 11:40:00+05:30,0.0461,0.0228,2,2.0,0.9399,75.0,-0.6503,0,0.4016,1.0,4,0,0,0,0,4,5,2025-01-10 12:00:00+05:30,2025-01-10 12:05:00+05:30,2025-01-10 13:25:00+05:30,834.3,830.4964285714285,841.1464285714285,-3.8036,L
S043,HDFCBANK,2025-01-10 12:10:00+05:30,-0.0006,0.0419,0,,0.4692,57.14,-0.3548,0,0.9982,,0,0,0,1,1,0,1,2025-01-10 12:10:00+05:30,2025-01-10 12:15:00+05:30,2025-01-10 13:15:00+05:30,835.0,831.6964285714286,840.9464285714286,-3.3036,L
S044,HDFCBANK,2025-01-13 09:40:00+05:30,-0.4429,,0,,4.4021,20.0,-0.8607,0,0.6665,1.0,9,1,1,1,0,9,10,2025-01-13 10:25:00+05:30,2025-01-13 10:30:00+05:30,2025-01-13 15:00:00+05:30,820.8,813.8714285714285,833.2714285714285,-4.8,EOD-
S045,HDFCBANK,2025-01-13 10:35:00+05:30,-0.2521,-0.3134,1,1.0,0.0086,75.0,24.0,0,0.7292,,0,0,0,0,1,0,1,2025-01-13 10:35:00+05:30,2025-01-13 10:40:00+05:30,2025-01-13 15:00:00+05:30,819.5,813.6607142857143,830.0107142857142,-3.5,EOD-
S046,HDFCBANK,2025-01-13 10:50:00+05:30,-0.2752,-0.2521,1,1.0,0.0624,6.25,7.1481,0,0.5157,,0,0,0,1,1,0,1,2025-01-13 10:50:00+05:30,2025-01-13 10:55:00+05:30,2025-01-13 15:00:00+05:30,818.5,813.0892857142858,828.2392857142856,-2.5,EOD-
S047,HDFCBANK,2025-01-13 11:00:00+05:30,-0.1902,-0.2536,0,,0.0319,10.0,3.6154,0,0.7946,,0,1,0,1,1,0,1,2025-01-13 11:00:00+05:30,2025-01-13 11:05:00+05:30,2025-01-13 15:00:00+05:30,817.7,812.6107142857143,826.8607142857144,-1.7,EOD-
S048,HDFCBANK,2025-01-13 11:35:00+05:30,0.213,0.0984,5,4.0,0.4582,89.47,-0.7546,0,0.7007,0.0,9,0,0,0,0,9,10,2025-01-13 12:20:00+05:30,2025-01-13 12:25:00+05:30,2025-01-13 14:15:00+05:30,819.3,814.8535714285714,827.3035714285714,-4.4464,L
