signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p11_open,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,ITC,2025-01-01 11:10:00+05:30,0.0329,0.0232,9,4.0,0.3545,81.82,0.0127,0,4.4754,,0,0,0,0,1,0,1,2025-01-01 11:10:00+05:30,2025-01-01 11:15:00+05:30,2025-01-01 15:00:00+05:30,410.55,409.1571428571429,413.0571428571428,0.35,EOD+
S002,ITC,2025-01-01 12:55:00+05:30,0.0584,0.0651,20,7.0,0.6733,75.0,-0.604,0,0.8757,0.0,2,0,1,1,0,2,3,2025-01-01 13:05:00+05:30,2025-01-01 13:10:00+05:30,2025-01-01 15:00:00+05:30,411.2,410.2625,412.8875,-0.9375,L
S003,ITC,2025-01-01 13:15:00+05:30,0.0182,0.048,0,,0.8178,50.0,-0.68,0,0.5316,0.0,2,1,0,1,0,2,3,2025-01-01 13:25:00+05:30,2025-01-01 13:30:00+05:30,2025-01-01 15:00:00+05:30,411.05,410.09464285714284,412.7696428571429,-0.9554,L
S004,ITC,2025-01-01 13:35:00+05:30,0.0231,0.0201,0,,0.6287,12.5,-0.1753,0,1.6498,1.0,1,1,1,1,0,1,2,2025-01-01 13:40:00+05:30,2025-01-01 13:45:00+05:30,2025-01-01 14:55:00+05:30,411.55,410.5857142857143,413.28571428571433,-0.9643,L
S005,ITC,2025-01-01 13:55:00+05:30,0.0292,0.0267,1,1.0,0.0,30.0,,1,1.5563,,0,1,1,1,1,0,1,2025-01-01 13:55:00+05:30,2025-01-01 14:00:00+05:30,2025-01-01 14:55:00+05:30,411.75,410.6785714285714,413.67857142857144,-1.0714,L
S006,ITC,2025-01-02 10:00:00+05:30,-0.1299,-0.1535,0,,0.5133,27.27,-0.2727,0,0.7905,1.0,9,1,1,1,0,9,10,2025-01-02 10:45:00+05:30,2025-01-02 10:50:00+05:30,2025-01-02 14:50:00+05:30,409.8,407.79107142857146,413.41607142857146,3.6161,W
S007,ITC,2025-01-02 11:00:00+05:30,0.0018,-0.0427,2,1.0,0.2038,42.86,1.1739,0,0.8932,,0,1,0,1,1,0,1,2025-01-02 11:00:00+05:30,2025-01-02 11:05:00+05:30,2025-01-02 12:00:00+05:30,409.7,408.2892857142857,412.2392857142857,2.5393,W
S008,ITC,2025-01-02 11:10:00+05:30,0.0201,-0.0159,0,,0.7958,35.29,-0.3717,0,2.5527,1.0,2,1,0,0,0,2,3,2025-01-02 11:20:00+05:30,2025-01-02 11:25:00+05:30,2025-01-02 12:00:00+05:30,409.9,408.4,412.6,2.7,W
S009,ITC,2025-01-02 13:25:00+05:30,0.1267,0.1747,24,12.0,0.3225,50.0,-0.2683,0,0.7543,0.0,2,0,0,1,0,2,3,2025-01-02 13:35:00+05:30,2025-01-02 13:40:00+05:30,2025-01-02 15:00:00+05:30,412.55,410.9607142857143,415.41071428571433,0.65,EOD+
S010,ITC,2025-01-02 13:45:00+05:30,0.0788,0.1212,0,,0.8727,36.36,-0.4792,0,1.0856,0.0,9,0,1,1,0,9,10,2025-01-02 14:30:00+05:30,2025-01-02 14:35:00+05:30,2025-01-02 15:00:00+05:30,412.75,411.375,415.22499999999997,0.45,EOD+
S011,ITC,2025-01-03 10:00:00+05:30,-0.0667,-0.0673,0,,1.7635,7.69,-0.7772,0,0.6312,1.0,9,0,0,1,0,9,10,2025-01-03 10:45:00+05:30,2025-01-03 10:50:00+05:30,2025-01-03 12:20:00+05:30,411.15,408.6053571428571,415.7303571428572,-2.5446,L
S012,ITC,2025-01-03 10:55:00+05:30,-0.1948,-0.2268,1,1.0,1.0721,76.19,-0.6564,0,1.0522,0.0,8,1,1,1,0,8,9,2025-01-03 11:35:00+05:30,2025-01-03 11:40:00+05:30,2025-01-03 12:20:00+05:30,410.6,408.90357142857147,413.65357142857147,-1.6964,L
S013,ITC,2025-01-06 10:55:00+05:30,1.9665,2.0958,17,9.0,0.0231,62.5,4.7143,0,0.1775,,0,0,0,1,1,0,1,2025-01-06 10:55:00+05:30,2025-01-06 11:00:00+05:30,2025-01-06 13:10:00+05:30,442.65,436.9625,452.88749999999993,-5.6875,L
S014,ITC,2025-01-06 11:50:00+05:30,-0.4544,-0.2889,0,,1.6431,26.67,-0.858,0,0.5305,0.0,9,1,0,0,0,9,10,2025-01-06 12:35:00+05:30,2025-01-06 12:40:00+05:30,2025-01-06 13:10:00+05:30,440.35,437.13571428571436,446.13571428571424,-3.2143,L
S015,ITC,2025-01-07 09:15:00+05:30,,,0,,0.1339,29.49,3.0,0,2.3219,,0,0,1,0,1,0,1,2025-01-07 09:15:00+05:30,2025-01-07 09:20:00+05:30,2025-01-07 12:15:00+05:30,435.25,431.98214285714283,441.1321428571429,-3.2679,L
S016,ITC,2025-01-07 09:25:00+05:30,,,0,,0.6772,33.33,0.1886,0,0.7509,,0,0,1,0,1,0,1,2025-01-07 09:25:00+05:30,2025-01-07 09:30:00+05:30,2025-01-07 12:15:00+05:30,435.55,431.9785714285714,441.97857142857146,-3.5714,L
S017,ITC,2025-01-07 09:35:00+05:30,,,0,,0.0729,0.0,4.1163,0,0.3323,,0,1,0,1,1,0,1,2025-01-07 09:35:00+05:30,2025-01-07 09:40:00+05:30,2025-01-07 12:55:00+05:30,435.1,431.4125,441.73750000000007,-3.6875,L
S018,ITC,2025-01-07 09:45:00+05:30,-0.0127,,1,1.0,0.0619,23.33,7.9474,0,0.6126,,0,0,1,1,1,0,1,2025-01-07 09:45:00+05:30,2025-01-07 09:50:00+05:30,2025-01-07 12:25:00+05:30,435.5,431.6607142857143,442.41071428571433,-3.8393,L
S019,ITC,2025-01-07 09:55:00+05:30,0.0109,-0.0029,0,,0.1397,51.43,-0.1304,0,1.0899,,0,0,1,0,1,0,1,2025-01-07 09:55:00+05:30,2025-01-07 10:00:00+05:30,2025-01-07 12:25:00+05:30,435.7,431.58392857142854,443.1089285714286,-4.1161,L
S020,ITC,2025-01-07 10:05:00+05:30,0.0167,-0.0127,0,,0.703,96.3,-0.9578,0,0.921,1.0,1,0,1,0,0,1,2,2025-01-07 10:10:00+05:30,2025-01-07 10:15:00+05:30,2025-01-07 12:55:00+05:30,435.35,431.1357142857143,442.9357142857143,-4.2143,L
S021,ITC,2025-01-07 10:20:00+05:30,-0.0144,0.0167,0,,0.4862,75.0,-0.6743,0,0.3212,1.0,1,1,1,1,0,1,2,2025-01-07 10:25:00+05:30,2025-01-07 10:30:00+05:30,2025-01-07 12:55:00+05:30,435.05,431.10357142857146,442.1535714285714,-3.9464,L
S022,ITC,2025-01-07 10:40:00+05:30,0.0799,-0.0127,2,1.0,0.1408,57.89,0.7143,0,0.8684,,0,1,0,1,1,0,1,2025-01-07 10:40:00+05:30,2025-01-07 10:45:00+05:30,2025-01-07 12:15:00+05:30,435.65,432.5428571428571,441.24285714285713,-3.1071,L
S023,ITC,2025-01-07 12:30:00+05:30,-0.1953,-0.0648,0,,4.3951,86.67,-0.9718,0,1.3172,1.0,9,0,1,0,0,9,10,2025-01-07 13:15:00+05:30,2025-01-07 13:20:00+05:30,2025-01-07 15:00:00+05:30,433.35,431.33214285714286,436.9821428571429,-1.4,EOD-
S024,ITC,2025-01-07 13:25:00+05:30,-0.1975,-0.27,0,,0.8299,53.85,-0.6183,0,0.5965,0.0,4,0,1,1,0,4,5,2025-01-07 13:45:00+05:30,2025-01-07 13:50:00+05:30,2025-01-07 15:00:00+05:30,432.65,430.6767857142857,436.2017857142857,-0.7,EOD-
S025,ITC,2025-01-07 13:55:00+05:30,-0.089,-0.1375,0,,0.6628,16.67,-0.5918,0,0.976,1.0,6,1,0,0,0,6,7,2025-01-07 14:25:00+05:30,2025-01-07 14:30:00+05:30,2025-01-07 15:00:00+05:30,432.55,430.70178571428573,435.87678571428575,-0.6,EOD-
S026,ITC,2025-01-08 09:20:00+05:30,,,0,,2.4928,71.79,-0.8182,0,0.2897,0.0,9,1,1,0,0,9,10,2025-01-08 10:05:00+05:30,2025-01-08 10:10:00+05:30,2025-01-08 11:55:00+05:30,431.2,428.71785714285716,435.6678571428571,-2.4821,L
S027,ITC,2025-01-08 10:20:00+05:30,-0.0638,-0.1009,1,1.0,0.2656,57.89,0.0,0,0.7331,1.0,1,0,0,0,0,1,2,2025-01-08 10:25:00+05:30,2025-01-08 10:30:00+05:30,2025-01-08 12:45:00+05:30,431.35,428.0553571428572,437.28035714285716,5.9304,W
S028,ITC,2025-01-08 10:40:00+05:30,-0.0586,-0.0627,2,2.0,0.0551,0.0,5.6667,0,0.6765,,0,1,1,1,1,0,1,2025-01-08 10:40:00+05:30,2025-01-08 10:45:00+05:30,2025-01-08 11:55:00+05:30,431.05,428.66607142857146,435.3410714285714,-2.3839,L
S029,ITC,2025-01-08 10:55:00+05:30,-0.0674,-0.0586,2,2.0,0.8115,69.57,-0.4656,0,0.7799,0.0,3,1,0,0,0,3,4,2025-01-08 11:10:00+05:30,2025-01-08 11:15:00+05:30,2025-01-08 11:55:00+05:30,430.9,428.88214285714287,434.5321428571428,-2.0179,L
S030,ITC,2025-01-08 11:20:00+05:30,0.0778,-0.0331,0,,0.1273,72.73,0.6667,0,0.5631,,0,1,0,1,1,0,1,2025-01-08 11:20:00+05:30,2025-01-08 11:25:00+05:30,2025-01-08 11:50:00+05:30,430.8,429.03214285714284,433.9821428571429,-1.7679,L
S031,ITC,2025-01-08 11:30:00+05:30,0.0824,0.0476,0,,1.199,70.37,-0.9422,0,2.9767,1.0,8,1,0,1,0,8,9,2025-01-08 12:10:00+05:30,2025-01-08 12:15:00+05:30,2025-01-08 12:15:00+05:30,430.7,428.89642857142854,433.9464285714286,3.2464,W
S032,ITC,2025-01-09 09:15:00+05:30,,,0,,1.7374,60.0,-0.5281,0,0.7973,0.0,1,1,0,1,0,1,2,2025-01-09 09:20:00+05:30,2025-01-09 09:25:00+05:30,2025-01-09 10:30:00+05:30,440.0,436.0357142857143,447.1357142857143,7.1357,W
S033,ITC,2025-01-09 09:30:00+05:30,,,0,,0.157,22.22,0.2613,0,0.6442,,0,0,0,0,1,0,1,2025-01-09 09:30:00+05:30,2025-01-09 09:35:00+05:30,2025-01-09 10:30:00+05:30,439.9,435.48035714285714,447.8553571428571,7.9554,W
