signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p11_open,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,NATIONALUM,2023-01-02 10:55:00+05:30,0.4177,0.527,20,18.0,0.5394,79.17,-0.6324,0,0.3831,1.0,1,1,1,0,0,1,2,2023-01-02 11:00:00+05:30,2023-01-02 11:05:00+05:30,2023-01-02 12:30:00+05:30,80.43,79.79964285714286,81.56464285714287,1.1346,W
S002,NATIONALUM,2023-01-02 11:15:00+05:30,-0.0374,0.2926,2,2.0,0.0696,35.71,4.8065,0,0.4113,,0,1,0,0,1,0,1,2023-01-02 11:15:00+05:30,2023-01-02 11:20:00+05:30,2023-01-02 12:30:00+05:30,80.43,79.87285714285714,81.43285714285715,1.0029,W
S003,NATIONALUM,2023-01-02 13:55:00+05:30,0.2777,0.272,31,15.0,0.5811,66.67,-0.6212,0,1.0433,1.0,6,1,0,1,0,6,7,2023-01-02 14:25:00+05:30,2023-01-02 14:30:00+05:30,2023-01-02 15:00:00+05:30,82.05,81.48214285714286,83.07214285714285,0.0,EOD-
S004,NATIONALUM,2023-01-03 09:15:00+05:30,,,0,,1.7616,40.54,-0.1753,0,1.0659,0.0,1,0,0,0,0,1,2,2023-01-03 09:20:00+05:30,2023-01-03 09:25:00+05:30,2023-01-03 09:40:00+05:30,82.15,81.39285714285715,83.51285714285716,-0.7571,L
S005,NATIONALUM,2023-01-03 09:30:00+05:30,,,0,,0.7075,71.43,-1.0,0,0.7074,,0,0,0,0,1,0,1,2023-01-03 09:30:00+05:30,2023-01-03 09:35:00+05:30,2023-01-03 09:55:00+05:30,82.15,81.31964285714285,83.64464285714287,-0.8304,L
S006,NATIONALUM,2023-01-03 10:30:00+05:30,-0.2161,-0.228,0,,2.0612,60.0,-0.8494,0,1.6622,1.0,9,1,1,0,0,9,10,2023-01-03 11:15:00+05:30,2023-01-03 11:20:00+05:30,2023-01-03 15:00:00+05:30,81.71,80.90464285714285,83.15964285714286,-0.25,EOD-
S007,NATIONALUM,2023-01-03 12:05:00+05:30,0.1139,0.2016,9,8.0,0.0667,35.71,1.2727,0,0.3466,,0,0,0,1,1,0,1,2023-01-03 12:05:00+05:30,2023-01-03 12:10:00+05:30,2023-01-03 15:00:00+05:30,81.71,80.88499999999999,83.195,-0.25,EOD-
S008,NATIONALUM,2023-01-03 12:35:00+05:30,0.0416,0.1223,0,,1.5117,33.33,-0.7691,0,0.3756,1.0,9,0,0,0,0,9,10,2023-01-03 13:20:00+05:30,2023-01-03 13:25:00+05:30,2023-01-03 15:00:00+05:30,81.61,80.89392857142857,82.89892857142857,-0.15,EOD-
S009,NATIONALUM,2023-01-03 13:30:00+05:30,-0.1618,-0.1838,0,,0.28,50.0,-0.0741,0,1.523,,0,0,0,1,1,0,1,2023-01-03 13:30:00+05:30,2023-01-03 13:35:00+05:30,2023-01-03 15:00:00+05:30,81.66,81.17785714285714,82.52785714285713,-0.4821,L
S010,NATIONALUM,2023-01-03 13:40:00+05:30,-0.1196,-0.2102,0,,1.075,33.33,-0.7674,0,0.9108,1.0,3,1,0,0,0,3,4,2023-01-03 13:55:00+05:30,2023-01-03 14:00:00+05:30,2023-01-03 15:00:00+05:30,81.56,81.06,82.46,-0.1,EOD-
