signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p11_open,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,NTPC,2022-01-03 11:10:00+05:30,0.1331,0.2761,23,9.0,0.2333,0.0,1.3529,0,0.5389,,0,0,0,1,1,0,1,2022-01-03 11:10:00+05:30,2022-01-03 11:15:00+05:30,2022-01-03 15:00:00+05:30,125.95,125.49464285714286,126.76964285714284,0.05,EOD+
S002,NTPC,2022-01-03 11:20:00+05:30,0.0735,0.1807,0,,0.5022,33.33,-0.3939,0,0.8999,1.0,2,0,0,0,0,2,3,2022-01-03 11:30:00+05:30,2022-01-03 11:35:00+05:30,2022-01-03 15:00:00+05:30,126.05,125.63928571428572,126.7892857142857,-0.05,EOD-
S003,NTPC,2022-01-03 11:40:00+05:30,0.0774,0.0655,1,1.0,0.0,100.0,,1,0.3382,,0,0,0,1,1,0,1,2022-01-03 11:40:00+05:30,2022-01-03 11:45:00+05:30,2022-01-03 15:00:00+05:30,126.1,125.725,126.77499999999999,-0.1,EOD-
S004,NTPC,2022-01-03 11:50:00+05:30,0.0476,0.0794,0,,0.7333,0.0,-0.0909,0,0.5264,0.0,1,1,0,1,0,1,2,2022-01-03 11:55:00+05:30,2022-01-03 12:00:00+05:30,2022-01-03 15:00:00+05:30,126.05,125.675,126.725,-0.05,EOD-
S005,NTPC,2022-01-03 12:05:00+05:30,0.0179,0.0476,0,,0.4721,20.0,1.069,0,1.2048,,0,1,0,1,1,0,1,2022-01-03 12:05:00+05:30,2022-01-03 12:10:00+05:30,2022-01-03 15:00:00+05:30,126.1,125.71607142857142,126.79107142857141,-0.1,EOD-
S006,NTPC,2022-01-03 12:35:00+05:30,0.0575,0.0456,5,3.0,0.0259,25.0,19.0,0,1.3044,,0,0,0,1,1,0,1,2022-01-03 12:35:00+05:30,2022-01-03 12:40:00+05:30,2022-01-03 15:00:00+05:30,126.2,125.71785714285716,127.06785714285712,-0.2,EOD-
S007,NTPC,2022-01-03 13:20:00+05:30,0.0,0.0159,0,,0.9429,0.0,-0.697,0,0.8457,0.0,9,0,1,1,0,9,10,2022-01-03 14:05:00+05:30,2022-01-03 14:10:00+05:30,2022-01-03 15:00:00+05:30,126.1,125.66250000000001,126.88749999999997,-0.1,EOD-
S008,NTPC,2022-01-04 11:10:00+05:30,0.4424,0.8441,23,8.0,0.8586,11.11,-0.1083,0,0.7196,,0,1,0,0,1,0,1,2022-01-04 11:10:00+05:30,2022-01-04 11:15:00+05:30,2022-01-04 14:20:00+05:30,130.5,129.35714285714286,132.55714285714285,2.0571,W
S009,NTPC,2022-01-04 11:20:00+05:30,0.2774,0.5844,0,,0.4984,60.0,-0.7753,0,0.9115,1.0,6,0,1,0,0,6,7,2022-01-04 11:50:00+05:30,2022-01-04 11:55:00+05:30,2022-01-04 15:00:00+05:30,130.95,129.83392857142857,132.95892857142854,1.7,EOD+
S010,NTPC,2022-01-04 12:00:00+05:30,-0.0019,0.0784,0,,0.679,42.86,-0.3814,0,0.5034,,0,0,0,0,1,0,1,2022-01-04 12:00:00+05:30,2022-01-04 12:05:00+05:30,2022-01-04 14:20:00+05:30,130.8,129.90714285714287,132.40714285714284,1.6071,W
S011,NTPC,2022-01-04 12:15:00+05:30,-0.1052,-0.0019,1,1.0,0.3196,28.57,0.9048,0,0.4909,,0,1,1,1,1,0,1,2022-01-04 12:15:00+05:30,2022-01-04 12:20:00+05:30,2022-01-04 14:15:00+05:30,130.8,129.97857142857146,132.27857142857144,1.4786,W
