signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p11_open,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,SBIN,2022-01-03 11:30:00+05:30,0.2137,0.2736,23,6.0,0.4947,44.44,0.3836,0,0.9565,,0,1,1,0,1,0,1,2022-01-03 11:30:00+05:30,2022-01-03 11:35:00+05:30,2022-01-03 13:50:00+05:30,465.85,463.84107142857147,469.4660714285714,3.6161,W
S002,SBIN,2022-01-03 11:45:00+05:30,0.117,0.2137,2,1.0,0.3907,50.0,-0.1667,0,0.3865,1.0,2,0,1,1,0,2,3,2022-01-03 11:55:00+05:30,2022-01-03 12:00:00+05:30,2022-01-03 14:05:00+05:30,466.3,464.3803571428572,469.7553571428571,3.4554,W
S003,SBIN,2022-01-03 12:05:00+05:30,0.0493,0.0944,0,,0.4628,33.33,-0.3277,0,0.4018,,0,1,0,0,1,0,1,2022-01-03 12:05:00+05:30,2022-01-03 12:10:00+05:30,2022-01-03 13:45:00+05:30,466.1,464.4928571428572,468.99285714285713,2.8929,W
S004,SBIN,2022-01-04 12:00:00+05:30,0.1919,0.2399,33,16.0,0.072,52.94,4.6,0,0.4405,,0,0,0,1,1,0,1,2022-01-04 12:00:00+05:30,2022-01-04 12:05:00+05:30,2022-01-04 13:25:00+05:30,482.6,480.4303571428572,486.5053571428571,-2.1696,L
S005,SBIN,2022-01-04 12:15:00+05:30,0.0882,0.1919,2,1.0,0.3895,87.5,-0.5489,0,1.5037,1.0,3,0,0,0,0,3,4,2022-01-04 12:30:00+05:30,2022-01-04 12:35:00+05:30,2022-01-04 13:25:00+05:30,482.3,480.16607142857146,486.1410714285714,-2.1339,L
S006,SBIN,2022-01-04 12:40:00+05:30,-0.0187,0.0161,0,,0.2067,26.67,0.7544,0,0.8672,,0,0,0,0,1,0,1,2022-01-04 12:40:00+05:30,2022-01-04 12:45:00+05:30,2022-01-04 13:25:00+05:30,482.05,480.32678571428573,485.1517857142857,-1.7232,L
S007,SBIN,2022-01-04 12:50:00+05:30,-0.0078,-0.0078,0,,0.3607,12.5,-0.2079,0,0.7899,,0,1,0,1,1,0,1,2022-01-04 12:50:00+05:30,2022-01-04 12:55:00+05:30,2022-01-04 13:25:00+05:30,481.95,480.2,485.09999999999997,-1.75,L
S008,SBIN,2022-01-04 13:00:00+05:30,0.0124,-0.0125,0,,0.3905,0.0,0.6216,0,0.8216,,0,0,0,0,1,0,1,2022-01-04 13:00:00+05:30,2022-01-04 13:05:00+05:30,2022-01-04 13:25:00+05:30,482.2,480.42321428571427,485.3982142857143,-1.7768,L
S009,SBIN,2022-01-04 13:20:00+05:30,0.0135,0.0244,0,,2.033,5.56,-0.6046,0,1.0903,0.0,9,0,0,0,0,9,10,2022-01-04 14:05:00+05:30,2022-01-04 14:10:00+05:30,2022-01-04 15:00:00+05:30,481.45,479.58392857142854,484.80892857142857,1.15,EOD+
S010,SBIN,2022-01-05 09:15:00+05:30,,,0,,2.5846,21.92,-0.1167,0,3.1277,,0,1,1,1,1,0,1,2022-01-05 09:15:00+05:30,2022-01-05 09:20:00+05:30,2022-01-05 09:55:00+05:30,482.85,479.94821428571436,488.07321428571424,5.2232,W
S011,SBIN,2022-01-05 09:30:00+05:30,,,2,1.0,0.1018,43.18,6.2414,0,1.4163,,0,0,0,0,1,0,1,2022-01-05 09:30:00+05:30,2022-01-05 09:35:00+05:30,2022-01-05 10:15:00+05:30,483.6,480.0375,490.0125,6.4125,W
S012,SBIN,2022-01-05 09:40:00+05:30,0.1754,,0,,0.1543,88.24,-0.798,0,1.002,,0,1,0,1,1,0,1,2022-01-05 09:40:00+05:30,2022-01-05 09:45:00+05:30,2022-01-05 13:15:00+05:30,485.1,481.09107142857147,492.31607142857143,7.2161,W
S013,SBIN,2022-01-05 10:55:00+05:30,0.2063,0.2651,14,8.0,0.769,5.26,-0.202,0,0.542,0.0,1,0,1,0,0,1,2,2022-01-05 11:00:00+05:30,2022-01-05 11:05:00+05:30,2022-01-05 14:20:00+05:30,487.5,484.24107142857144,493.3660714285714,5.8661,W
S014,SBIN,2022-01-05 11:10:00+05:30,0.1584,0.2063,0,,0.531,50.0,-1.0,0,0.8065,1.0,2,1,1,0,0,2,3,2022-01-05 11:20:00+05:30,2022-01-05 11:25:00+05:30,2022-01-05 14:20:00+05:30,488.55,485.70178571428573,493.6767857142857,5.1268,W
S015,SBIN,2022-01-05 11:35:00+05:30,0.0953,0.1604,2,2.0,0.0726,6.67,1.8571,0,0.4073,,0,1,0,0,1,0,1,2022-01-05 11:35:00+05:30,2022-01-05 11:40:00+05:30,2022-01-05 13:15:00+05:30,488.25,485.8392857142857,492.5892857142857,4.3393,W
S016,SBIN,2022-01-05 11:45:00+05:30,0.0113,0.1408,0,,0.4249,29.41,0.2821,0,0.603,,0,0,0,0,1,0,1,2022-01-05 11:45:00+05:30,2022-01-05 11:50:00+05:30,2022-01-05 13:15:00+05:30,488.15,485.8553571428571,492.28035714285716,4.1304,W
S017,SBIN,2022-01-05 11:55:00+05:30,-0.0487,0.0507,0,,0.1727,18.18,0.0526,0,0.5077,,0,0,0,0,1,0,1,2022-01-05 11:55:00+05:30,2022-01-05 12:00:00+05:30,2022-01-05 13:10:00+05:30,487.9,485.8375,491.61249999999995,3.7125,W
S018,SBIN,2022-01-05 12:05:00+05:30,-0.043,-0.0174,0,,0.6457,12.5,-0.0099,0,0.5772,,0,1,0,1,1,0,1,2022-01-05 12:05:00+05:30,2022-01-05 12:10:00+05:30,2022-01-05 13:10:00+05:30,487.75,485.7946428571429,491.26964285714286,3.5196,W
S019,SBIN,2022-01-05 13:45:00+05:30,0.1779,0.1857,18,6.0,0.4,26.83,0.7105,0,1.2662,,0,1,0,0,1,0,1,2022-01-05 13:45:00+05:30,2022-01-05 13:50:00+05:30,2022-01-05 15:00:00+05:30,491.35,488.975,495.625,-1.0,EOD-
S020,SBIN,2022-01-06 09:45:00+05:30,-0.2842,,0,,1.6823,70.0,-0.9536,0,0.5208,1.0,9,1,1,1,0,9,10,2022-01-06 10:30:00+05:30,2022-01-06 10:35:00+05:30,2022-01-06 15:00:00+05:30,489.25,484.4464285714286,497.89642857142854,2.8,EOD+
