signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p11_open,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,TATAMOTORS,2022-01-03 11:30:00+05:30,0.0535,-0.0213,7,4.0,0.1027,53.33,4.4545,0,1.0121,,0,0,1,0,1,0,1,2022-01-03 11:30:00+05:30,2022-01-03 11:35:00+05:30,2022-01-03 14:20:00+05:30,341.3,339.9607142857143,343.7107142857143,2.4107,W
S002,TATAMOTORS,2022-01-03 11:40:00+05:30,0.0337,0.0257,0,,0.405,78.57,-0.7826,0,0.5085,,0,0,0,0,1,0,1,2022-01-03 11:40:00+05:30,2022-01-03 11:45:00+05:30,2022-01-03 14:25:00+05:30,341.35,339.9303571428572,343.90535714285716,2.5554,W
S003,TATAMOTORS,2022-01-03 11:50:00+05:30,0.0323,0.0447,0,,0.1027,50.0,0.8182,0,0.3788,,0,0,0,1,1,0,1,2022-01-03 11:50:00+05:30,2022-01-03 11:55:00+05:30,2022-01-03 14:20:00+05:30,341.2,339.86071428571427,343.61071428571427,2.4107,W
S004,TATAMOTORS,2022-01-03 12:00:00+05:30,0.041,0.0249,0,,0.5935,22.22,-0.6581,0,0.652,1.0,3,1,0,1,0,3,4,2022-01-03 12:15:00+05:30,2022-01-03 12:20:00+05:30,2022-01-03 14:20:00+05:30,341.2,339.96785714285716,343.41785714285714,2.2179,W
S005,TATAMOTORS,2022-01-03 12:35:00+05:30,0.0308,0.0352,2,2.0,0.2123,16.67,0.0811,0,0.6053,,0,0,0,1,1,0,1,2022-01-03 12:35:00+05:30,2022-01-03 12:40:00+05:30,2022-01-03 14:20:00+05:30,341.15,340.06071428571425,343.11071428571427,1.9607,W
S006,TATAMOTORS,2022-01-03 12:45:00+05:30,-0.0037,0.0396,0,,1.6026,64.29,-0.7701,0,2.336,1.0,3,0,0,1,0,3,4,2022-01-03 13:00:00+05:30,2022-01-03 13:05:00+05:30,2022-01-03 13:30:00+05:30,341.8,340.78214285714284,343.63214285714287,-1.0179,L
S007,TATAMOTORS,2022-01-03 13:30:00+05:30,0.0352,0.0271,5,5.0,1.5763,43.48,-0.2542,0,0.7904,0.0,2,1,1,1,0,2,3,2022-01-03 13:40:00+05:30,2022-01-03 13:45:00+05:30,2022-01-03 14:20:00+05:30,341.45,340.28035714285716,343.5553571428571,2.1054,W
S008,TATAMOTORS,2022-01-04 13:25:00+05:30,-0.0766,-0.0625,0,,1.4838,14.29,-0.9336,0,1.0837,1.0,9,1,0,1,0,9,10,2022-01-04 14:10:00+05:30,2022-01-04 14:15:00+05:30,2022-01-04 15:00:00+05:30,335.2,333.9321428571429,337.48214285714283,1.2,EOD+
S009,TATAMOTORS,2022-01-05 09:50:00+05:30,-0.1184,,0,,1.3799,66.67,-0.9352,0,0.3982,1.0,9,1,1,1,0,9,10,2022-01-05 10:35:00+05:30,2022-01-05 10:40:00+05:30,2022-01-05 15:00:00+05:30,335.35,332.5553571428572,340.3803571428572,1.35,EOD+
S010,TATAMOTORS,2022-01-05 10:55:00+05:30,-0.1045,-0.1351,2,2.0,0.5062,22.22,1.1875,0,0.9521,,0,0,0,0,1,0,1,2022-01-05 10:55:00+05:30,2022-01-05 11:00:00+05:30,2022-01-05 12:20:00+05:30,335.35,333.7696428571429,338.19464285714287,2.8446,W
S011,TATAMOTORS,2022-01-05 11:20:00+05:30,0.0605,-0.0612,4,1.0,0.8173,0.0,0.5311,0,1.5864,,0,0,0,0,1,0,1,2022-01-05 11:20:00+05:30,2022-01-05 11:25:00+05:30,2022-01-05 12:20:00+05:30,335.25,333.6517857142857,338.12678571428575,2.8768,W
S012,TATAMOTORS,2022-01-05 11:45:00+05:30,0.0604,0.0925,4,4.0,0.9074,23.08,-0.0476,0,1.2054,,0,0,0,0,1,0,1,2022-01-05 11:45:00+05:30,2022-01-05 11:50:00+05:30,2022-01-05 12:20:00+05:30,335.3,333.85357142857146,337.90357142857147,2.6036,W
S013,TATAMOTORS,2022-01-05 11:55:00+05:30,0.0373,0.0627,0,,1.0852,18.18,-0.4805,0,1.2653,1.0,1,1,0,0,0,1,2,2022-01-05 12:00:00+05:30,2022-01-05 12:05:00+05:30,2022-01-05 12:15:00+05:30,335.3,333.96964285714284,337.69464285714287,2.3946,W
S014,TATAMOTORS,2022-01-05 13:20:00+05:30,0.2143,0.2317,15,4.0,0.3201,10.0,1.4299,0,1.5397,,0,1,1,0,1,0,1,2022-01-05 13:20:00+05:30,2022-01-05 13:25:00+05:30,2022-01-05 15:00:00+05:30,337.55,335.4607142857143,341.31071428571425,-0.85,EOD-
S015,TATAMOTORS,2022-01-05 13:45:00+05:30,0.1947,0.1919,4,1.0,0.5707,77.78,-0.6,0,0.3956,0.0,3,0,0,1,0,3,4,2022-01-05 14:00:00+05:30,2022-01-05 14:05:00+05:30,2022-01-05 15:00:00+05:30,337.85,336.2071428571429,340.8071428571428,-1.15,EOD-
S016,TATAMOTORS,2022-01-05 14:10:00+05:30,0.0318,0.1502,0,,1.5921,86.67,-0.8928,0,1.1774,1.0,2,0,0,0,0,2,3,2022-01-05 14:20:00+05:30,2022-01-05 14:25:00+05:30,2022-01-05 14:55:00+05:30,338.0,336.5357142857143,340.63571428571424,-1.4643,L
