signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p11_open,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,TECHM,2022-01-03 11:40:00+05:30,-0.1572,-0.2678,0,,1.5494,8.16,-0.8879,0,0.5793,0.0,9,0,0,1,0,9,10,2022-01-03 12:25:00+05:30,2022-01-03 12:30:00+05:30,2022-01-03 15:00:00+05:30,1730.3,1723.1035714285715,1743.2535714285711,-5.9,EOD-
S002,TECHM,2022-01-03 12:45:00+05:30,-0.0353,-0.063,2,1.0,0.2392,20.0,1.5263,0,1.2203,,0,0,0,0,1,0,1,2022-01-03 12:45:00+05:30,2022-01-03 12:50:00+05:30,2022-01-03 14:45:00+05:30,1730.5,1725.5357142857142,1739.4357142857145,-4.9643,L
S003,TECHM,2022-01-03 12:55:00+05:30,-0.0367,-0.0416,0,,0.5016,22.22,-0.011,0,0.4035,,0,1,0,0,1,0,1,2022-01-03 12:55:00+05:30,2022-01-03 13:00:00+05:30,2022-01-03 14:45:00+05:30,1729.8,1725.2642857142855,1737.964285714286,-4.5357,L
S004,TECHM,2022-01-03 13:05:00+05:30,-0.0228,-0.0393,0,,0.3774,26.67,0.4516,0,0.4316,,0,1,0,0,1,0,1,2022-01-03 13:05:00+05:30,2022-01-03 13:10:00+05:30,2022-01-03 14:45:00+05:30,1729.4,1725.2928571428572,1736.7928571428574,-4.1071,L
S005,TECHM,2022-01-03 13:15:00+05:30,-0.0012,-0.0275,0,,0.11,35.0,0.1111,0,0.6749,,0,1,0,0,1,0,1,2022-01-03 13:15:00+05:30,2022-01-03 13:20:00+05:30,2022-01-03 14:45:00+05:30,1729.4,1725.3107142857143,1736.7607142857146,-4.0893,L
S006,TECHM,2022-01-03 13:30:00+05:30,0.0046,-0.0012,1,1.0,0.3318,41.67,-0.4,0,0.5749,1.0,3,0,0,0,0,3,4,2022-01-03 13:45:00+05:30,2022-01-03 13:50:00+05:30,2022-01-03 14:45:00+05:30,1729.9,1726.132142857143,1736.6821428571432,-3.7679,L
S007,TECHM,2022-01-03 13:55:00+05:30,0.0145,0.0006,0,,0.2851,50.0,-0.3333,0,0.574,1.0,1,1,0,1,0,1,2,2022-01-03 14:00:00+05:30,2022-01-03 14:05:00+05:30,2022-01-03 14:45:00+05:30,1730.1,1726.1535714285712,1737.2035714285714,-3.9464,L
S008,TECHM,2022-01-03 14:10:00+05:30,0.0032,0.0145,0,,1.4062,64.1,-1.0,0,0.6128,0.0,2,0,0,1,0,2,3,2022-01-03 14:20:00+05:30,2022-01-03 14:25:00+05:30,2022-01-03 14:45:00+05:30,1729.4,1725.4,1736.6000000000001,-4.0,L
S009,TECHM,2022-01-04 09:15:00+05:30,,,0,,0.6262,40.16,0.4847,0,3.3639,,0,0,0,0,1,0,1,2022-01-04 09:15:00+05:30,2022-01-04 09:20:00+05:30,2022-01-04 09:20:00+05:30,1728.1,1718.9571428571428,1744.5571428571427,-9.1429,L
S010,TECHM,2022-01-04 09:30:00+05:30,,,0,,3.0124,90.99,-0.9423,0,0.6877,0.0,9,0,0,0,0,9,10,2022-01-04 10:15:00+05:30,2022-01-04 10:20:00+05:30,2022-01-04 12:45:00+05:30,1720.5,1707.5535714285713,1743.8035714285713,23.3036,W
S011,TECHM,2022-01-04 10:25:00+05:30,-0.107,-0.1651,0,,0.2274,5.88,-0.4737,0,0.3551,1.0,4,1,0,1,0,4,5,2022-01-04 10:45:00+05:30,2022-01-04 10:50:00+05:30,2022-01-04 15:00:00+05:30,1720.5,1705.875,1746.825,6.6,EOD+
S012,TECHM,2022-01-04 11:20:00+05:30,0.1067,0.0241,6,5.0,1.428,92.96,-0.9308,0,0.5421,0.0,3,1,0,1,0,3,4,2022-01-04 11:35:00+05:30,2022-01-04 11:40:00+05:30,2022-01-04 12:35:00+05:30,1722.0,1714.4107142857142,1735.6607142857142,13.6607,W
