signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p11_open,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,VEDL,2022-01-03 10:55:00+05:30,0.2014,0.1746,0,,0.0972,89.29,1.0,0,1.9463,,0,1,1,0,1,0,1,2022-01-03 10:55:00+05:30,2022-01-03 11:00:00+05:30,2022-01-03 11:50:00+05:30,296.9,294.97142857142853,300.37142857142857,3.4714,W
S002,VEDL,2022-01-04 11:20:00+05:30,-0.7746,-1.1569,0,,3.1067,5.88,-0.936,0,0.6852,0.0,9,1,1,1,0,9,10,2022-01-04 12:05:00+05:30,2022-01-04 12:10:00+05:30,2022-01-04 15:00:00+05:30,289.6,285.1982142857143,297.52321428571435,-0.1,EOD-
S003,VEDL,2022-01-04 12:40:00+05:30,0.0433,-0.315,6,5.0,0.0807,30.77,9.7143,0,0.5994,,0,1,0,0,1,0,1,2022-01-04 12:40:00+05:30,2022-01-04 12:45:00+05:30,2022-01-04 13:35:00+05:30,289.5,287.3303571428571,293.4053571428572,-2.1696,L
S004,VEDL,2022-01-04 12:50:00+05:30,0.2294,-0.0841,1,1.0,0.2314,28.57,2.3333,0,0.6769,,0,0,0,0,1,0,1,2022-01-04 12:50:00+05:30,2022-01-04 12:55:00+05:30,2022-01-04 15:00:00+05:30,289.25,287.1428571428571,293.0428571428572,0.25,EOD+
S005,VEDL,2022-01-04 13:00:00+05:30,0.2509,0.1672,1,1.0,0.6636,12.5,0.2785,0,0.6062,,0,0,0,0,1,0,1,2022-01-04 13:00:00+05:30,2022-01-04 13:05:00+05:30,2022-01-04 15:00:00+05:30,289.15,287.0875,292.8625,0.35,EOD+
S006,VEDL,2022-01-04 13:10:00+05:30,0.1583,0.2293,0,,0.7406,11.11,-0.4093,0,1.2044,1.0,2,0,0,0,0,2,3,2022-01-04 13:20:00+05:30,2022-01-04 13:25:00+05:30,2022-01-04 13:35:00+05:30,289.6,287.6,293.20000000000005,-2.0,L
S007,VEDL,2022-01-04 13:30:00+05:30,0.0838,0.1098,0,,1.0455,79.17,-0.8291,0,0.9435,1.0,5,1,1,0,0,5,6,2022-01-04 13:55:00+05:30,2022-01-04 14:00:00+05:30,2022-01-04 15:00:00+05:30,289.15,287.0517857142857,292.9267857142857,0.35,EOD+
S008,VEDL,2022-01-05 09:15:00+05:30,,,0,,1.3579,16.98,0.2389,0,2.2215,,0,1,1,0,1,0,1,2022-01-05 09:15:00+05:30,2022-01-05 09:20:00+05:30,2022-01-05 13:20:00+05:30,289.95,287.8696428571429,293.6946428571428,-2.0804,L
S009,VEDL,2022-01-05 09:25:00+05:30,,,1,1.0,0.3375,34.78,1.1488,0,1.1046,,0,0,0,1,1,0,1,2022-01-05 09:25:00+05:30,2022-01-05 09:30:00+05:30,2022-01-05 13:20:00+05:30,289.9,287.6589285714286,293.9339285714285,-2.2411,L
S010,VEDL,2022-01-05 09:35:00+05:30,,,0,,0.5798,23.33,-1.0,0,1.3338,1.0,1,0,0,0,0,1,2,2022-01-05 09:40:00+05:30,2022-01-05 09:45:00+05:30,2022-01-05 13:15:00+05:30,290.8,288.1482142857143,295.5732142857143,-2.6518,L
S011,VEDL,2022-01-05 09:55:00+05:30,0.0457,0.0328,2,2.0,0.3589,77.78,-0.4505,0,0.3066,0.0,2,1,0,0,0,2,3,2022-01-05 10:05:00+05:30,2022-01-05 10:10:00+05:30,2022-01-05 13:20:00+05:30,290.4,287.23035714285714,296.10535714285714,-3.1696,L
