Symbol    , N    , Prof_WR%, BE_prof%, Pure_WR%, PF   , Net
ADANIPORTS,  1674,     39.1,     43.1,     14.9, 0.871, -827.94
ASHOKLEY  ,  1661,     42.3,     42.6,     16.6, 1.054, 27.12
AXISBANK  ,  1624,     43.8,     45.0,     16.7, 0.974, -114.27
BAJFINANCE,  1682,     39.5,     44.0,     14.3, 0.911, -308.49
BANDHANBNK,  1675,     40.3,     44.0,     15.4, 0.881, -166.09
BHARTIARTL,  1602,     44.5,     43.0,     17.5, 1.092, 425.24
CIPLA     ,  1502,     42.4,     45.2,     13.2, 0.909, -455.21
COALINDIA ,  1653,     42.2,     45.1,     13.6, 0.921, -119.39
DABUR     ,  1643,     45.1,     45.2,     15.9, 1.023, 49.66
DIVISLAB  ,  1665,     41.1,     44.6,     13.9, 0.887, -2601.83
HDFCBANK  ,  1599,     43.0,     44.5,     15.2, 0.968, -90.57
HINDALCO  ,  1626,     42.6,     44.6,     16.3, 0.943, -166.93
ICICIBANK ,  1614,     44.4,     46.1,     14.8, 0.969, -115.17
INDUSINDBK,  1689,     41.6,     44.1,     15.2, 0.924, -468.22
INFY      ,  1547,     43.2,     45.2,     13.6, 0.949, -291.32
ITC       ,  1680,     43.6,     45.7,     16.1, 0.949, -67.52
JSWSTEEL  ,  1638,     42.1,     43.8,     16.1, 0.958, -176.01
NATIONALUM,  1642,     40.0,     43.6,     15.4, 0.897, -104.87
NTPC      ,  1662,     40.1,     44.3,     14.1, 0.880, -164.88
ONGC      ,  1620,     40.4,     46.2,     13.2, 0.839, -161.03
PNB       ,  1657,     40.2,     44.7,     14.4, 0.871, -64.09
POWERGRID ,  1640,     42.3,     45.0,     14.6, 0.930, -79.52
RELIANCE  ,  1581,     40.7,     43.4,     15.6, 0.915, -393.53
SBIN      ,  1666,     41.2,     44.0,     17.0, 0.913, -256.05
SUNPHARMA ,  1665,     44.3,     44.6,     15.9, 1.012, 65.40
TATAMOTORS,  1666,     36.6,     43.9,     14.6, 0.750, -608.24
TATASTEEL ,  1633,     40.2,     44.2,     15.2, 0.884, -78.08
TECHM     ,  1606,     41.2,     44.9,     12.8, 0.877, -802.84
VEDL      ,  1655,     39.7,     43.6,     15.7, 0.886, -236.73
WIPRO     ,  1572,     37.0,     44.2,     12.2, 0.783, -221.70
TOTAL     , 49039,     41.5,     44.3,     15.0, 0.922, -8573.08
