priority,category,symbol,date,detail,priority_reason,review,notes
1-HIGH,category2_corp_action,INDUSINDBK,2020-03-26,matched split/bonus ratio 1.5,corp-action: affects retroactive price adjustment if real,,
1-HIGH,category2_corp_action,VEDL,2026-04-30,matched split/bonus ratio 1.5,corp-action: affects retroactive price adjustment if real,,
1-HIGH,unexplained_jump,ICICIBANK,2015-05-14,inf% single-day move,"matches known zero-fill signature (-100%/Infinity) — quick, high-confidence baddata call",,
1-HIGH,unexplained_jump,ITC,2015-05-14,inf% single-day move,"matches known zero-fill signature (-100%/Infinity) — quick, high-confidence baddata call",,
1-HIGH,unexplained_jump,SBIN,2015-07-09,inf% single-day move,"matches known zero-fill signature (-100%/Infinity) — quick, high-confidence baddata call",,
1-HIGH,unexplained_jump,ICICIBANK,2015-04-27,-100.0% single-day move,"matches known zero-fill signature (-100%/Infinity) — quick, high-confidence baddata call",,
1-HIGH,unexplained_jump,ITC,2015-04-27,-100.0% single-day move,"matches known zero-fill signature (-100%/Infinity) — quick, high-confidence baddata call",,
1-HIGH,unexplained_jump,SBIN,2015-07-06,-100.0% single-day move,"matches known zero-fill signature (-100%/Infinity) — quick, high-confidence baddata call",,
2-MEDIUM,unexplained_jump,VEDL,2026-01-01,-47.66% single-day move [10x on this symbol],large move (-47.66%),,
2-MEDIUM,unexplained_jump,BANDHANBNK,2020-03-26,41.28% single-day move [5x on this symbol],large move (41.28%),,
2-MEDIUM,unexplained_jump,TATAMOTORS,2019-10-29,36.71% single-day move [5x on this symbol],large move (36.71%),,
2-MEDIUM,unexplained_jump,ASHOKLEY,2020-03-26,33.33% single-day move,large move (33.33%),,
2-MEDIUM,unexplained_jump,INDUSINDBK,2025-03-11,-27.17% single-day move,large move (-27.17%),,
2-MEDIUM,unexplained_jump,VEDL,2016-02-15,26.18% single-day move [10x on this symbol],large move (26.18%),,
2-MEDIUM,unexplained_jump,INDUSINDBK,2020-04-07,24.76% single-day move,large move (24.76%),,
2-MEDIUM,unexplained_jump,VEDL,2020-10-12,-24.33% single-day move [10x on this symbol],large move (-24.33%),,
2-MEDIUM,unexplained_jump,TATAMOTORS,2021-10-13,21.09% single-day move [5x on this symbol],large move (21.09%),,
2-MEDIUM,unexplained_jump,DIVISLAB,2016-12-23,-20.99% single-day move,large move (-20.99%),,
2-MEDIUM,unexplained_jump,ASHOKLEY,2019-09-20,20.93% single-day move,large move (20.93%),,
2-MEDIUM,unexplained_jump,VEDL,2019-02-01,-20.58% single-day move [10x on this symbol],large move (-20.58%),,
2-MEDIUM,unexplained_jump,DIVISLAB,2017-03-21,-20.48% single-day move,large move (-20.48%),,
2-MEDIUM,unexplained_jump,BANDHANBNK,2018-10-01,-20.11% single-day move [5x on this symbol],large move (-20.11%),,
3-LOW,unexplained_jump,TATAMOTORS,2020-04-30,19.98% single-day move [5x on this symbol],moderate move (19.98%); part of a 5-entry cluster on TATAMOTORS,,
3-LOW,unexplained_jump,VEDL,2015-08-24,-19.94% single-day move [10x on this symbol],moderate move (-19.94%); part of a 10-entry cluster on VEDL,,
3-LOW,unexplained_jump,AXISBANK,2020-04-07,19.61% single-day move,moderate move (19.61%),,
3-LOW,unexplained_jump,INDUSINDBK,2024-10-25,-18.92% single-day move,moderate move (-18.92%),,
3-LOW,unexplained_jump,TATAMOTORS,2019-02-08,-17.99% single-day move [5x on this symbol],moderate move (-17.99%); part of a 5-entry cluster on TATAMOTORS,,
3-LOW,unexplained_jump,ADANIPORTS,2023-02-01,-17.88% single-day move,moderate move (-17.88%),,
3-LOW,unexplained_jump,VEDL,2016-02-04,17.49% single-day move [10x on this symbol],moderate move (17.49%); part of a 10-entry cluster on VEDL,,
3-LOW,unexplained_jump,WIPRO,2020-07-15,17.12% single-day move,moderate move (17.12%),,
3-LOW,unexplained_jump,DIVISLAB,2017-11-02,17.07% single-day move,moderate move (17.07%),,
3-LOW,unexplained_jump,VEDL,2020-04-30,17.06% single-day move [10x on this symbol],moderate move (17.06%); part of a 10-entry cluster on VEDL,,
3-LOW,unexplained_jump,VEDL,2015-10-09,17.02% single-day move [10x on this symbol],moderate move (17.02%); part of a 10-entry cluster on VEDL,,
3-LOW,unexplained_jump,TATASTEEL,2016-02-15,16.89% single-day move,moderate move (16.89%),,
3-LOW,unexplained_jump,INDUSINDBK,2020-04-28,16.86% single-day move,moderate move (16.86%),,
3-LOW,unexplained_jump,INFY,2019-10-22,-16.67% single-day move,moderate move (-16.67%),,
3-LOW,unexplained_jump,TATAMOTORS,2021-02-02,16.63% single-day move [5x on this symbol],moderate move (16.63%); part of a 5-entry cluster on TATAMOTORS,,
3-LOW,unexplained_jump,BANDHANBNK,2026-07-22,-16.05% single-day move [5x on this symbol],moderate move (-16.05%); part of a 5-entry cluster on BANDHANBNK,,
3-LOW,unexplained_jump,VEDL,2020-02-28,-16.03% single-day move [10x on this symbol],moderate move (-16.03%); part of a 10-entry cluster on VEDL,,
3-LOW,unexplained_jump,TATASTEEL,2015-08-24,-15.93% single-day move,moderate move (-15.93%),,
3-LOW,unexplained_jump,ASHOKLEY,2020-08-13,15.92% single-day move,moderate move (15.92%),,
3-LOW,unexplained_jump,VEDL,2020-05-12,15.52% single-day move [10x on this symbol],moderate move (15.52%); part of a 10-entry cluster on VEDL,,
3-LOW,unexplained_jump,BANDHANBNK,2020-03-30,-15.46% single-day move [5x on this symbol],moderate move (-15.46%); part of a 5-entry cluster on BANDHANBNK,,
3-LOW,unexplained_jump,ADANIPORTS,2023-12-05,15.28% single-day move,moderate move (15.28%),,
3-LOW,unexplained_jump,BANDHANBNK,2020-03-27,15.02% single-day move [5x on this symbol],moderate move (15.02%); part of a 5-entry cluster on BANDHANBNK,,
