label,n,pnl,pf,zpnl,zpf
Model A | TRAIN | SHORT baseline,2815,500.6,1.274,-180.51,0.918
Model A | TRAIN | SHORT gated,2131,403.65,1.306,-123.75,0.923
Model A | TRAIN | LONG baseline,2786,-225.06,0.895,-901.78,0.653
Model A | TRAIN | LONG gated,643,-61.22,0.883,-205.76,0.667
Model A | TRAIN | COMBINED baseline,5601,275.55,1.069,-1082.29,0.775
Model A | TRAIN | COMBINED gated,2774,342.43,1.186,-329.51,0.852
Model A | TEST | SHORT baseline,880,389.9,1.435,-78.5,0.932
Model A | TEST | SHORT gated,744,382.42,1.56,-13.06,0.985
Model A | TEST | LONG baseline,966,-247.45,0.814,-763.55,0.546
Model A | TEST | LONG gated,133,-11.88,0.945,-82.84,0.684
Model A | TEST | COMBINED baseline,1846,142.46,1.064,-842.05,0.703
Model A | TEST | COMBINED gated,877,370.54,1.412,-95.9,0.917
MA-alone | TRAIN | SHORT baseline,2778,486.45,1.274,-178.66,0.917
MA-alone | TRAIN | SHORT gated,1568,231.99,1.236,-132.56,0.889
MA-alone | TRAIN | LONG baseline,2744,-224.54,0.893,-883.63,0.651
MA-alone | TRAIN | LONG gated,1225,-70.94,0.926,-373.51,0.676
MA-alone | TRAIN | COMBINED baseline,5522,261.91,1.068,-1062.29,0.773
MA-alone | TRAIN | COMBINED gated,2793,161.06,1.083,-506.07,0.784
MA-alone | TEST | SHORT baseline,863,394.81,1.446,-67.84,0.94
MA-alone | TEST | SHORT gated,414,182.44,1.407,-32.96,0.942
MA-alone | TEST | LONG baseline,954,-251.72,0.81,-763.77,0.544
MA-alone | TEST | LONG gated,519,-122.41,0.826,-405.95,0.548
MA-alone | TEST | COMBINED baseline,1817,143.09,1.065,-831.61,0.704
MA-alone | TEST | COMBINED gated,933,60.03,1.052,-438.91,0.7
Model B | TRAIN | SHORT baseline,2778,486.45,1.274,-178.66,0.917
Model B | TRAIN | SHORT gated,1530,234.68,1.248,-122.8,0.893
Model B | TRAIN | LONG baseline,2744,-224.54,0.893,-883.63,0.651
Model B | TRAIN | LONG gated,1249,-72.22,0.926,-379.99,0.679
Model B | TRAIN | COMBINED baseline,5522,261.91,1.068,-1062.29,0.773
Model B | TRAIN | COMBINED gated,2779,162.45,1.084,-502.79,0.785
Model B | TEST | SHORT baseline,863,394.81,1.446,-67.84,0.94
Model B | TEST | SHORT gated,403,219.34,1.559,11.18,1.022
Model B | TEST | LONG baseline,954,-251.72,0.81,-763.77,0.544
Model B | TEST | LONG gated,531,-121.94,0.833,-413.4,0.553
Model B | TEST | COMBINED baseline,1817,143.09,1.065,-831.61,0.704
Model B | TEST | COMBINED gated,934,97.4,1.087,-402.22,0.718
