symbol,model,split,bucket,n,pnl,pf,zpnl,zpf
ADANIPORTS,Model A,train,SHORT baseline,2784,773.93,1.198,-516.03,0.889
ADANIPORTS,Model A,train,SHORT gated,275,62.22,1.138,-66.36,0.874
ADANIPORTS,Model A,train,LONG baseline,2875,-526.19,0.889,-1875.05,0.668
ADANIPORTS,Model A,train,LONG gated,2583,-492.67,0.883,-1701.51,0.66
ADANIPORTS,Model A,train,COMBINED baseline,5659,247.74,1.029,-2391.08,0.768
ADANIPORTS,Model A,train,COMBINED gated,2858,-430.45,0.908,-1767.87,0.681
ADANIPORTS,Model A,test,SHORT baseline,934,451.18,1.163,-712.84,0.793
ADANIPORTS,Model A,test,SHORT gated,64,164.78,1.868,85.45,1.372
ADANIPORTS,Model A,test,LONG baseline,976,-285.68,0.916,-1496.62,0.643
ADANIPORTS,Model A,test,LONG gated,917,-166.43,0.946,-1305.4,0.658
ADANIPORTS,Model A,test,COMBINED baseline,1910,165.5,1.027,-2209.45,0.71
ADANIPORTS,Model A,test,COMBINED gated,981,-1.64,0.999,-1219.95,0.698
ADANIPORTS,MA-alone,train,SHORT baseline,2730,723.83,1.188,-552.68,0.88
ADANIPORTS,MA-alone,train,SHORT gated,692,351.91,1.341,6.15,1.005
ADANIPORTS,MA-alone,train,LONG baseline,2836,-513.65,0.891,-1855.49,0.668
ADANIPORTS,MA-alone,train,LONG gated,2112,-186.64,0.942,-1162.12,0.7
ADANIPORTS,MA-alone,train,COMBINED baseline,5566,210.18,1.025,-2408.18,0.763
ADANIPORTS,MA-alone,train,COMBINED gated,2804,165.28,1.039,-1155.97,0.773
ADANIPORTS,MA-alone,test,SHORT baseline,921,441.89,1.16,-713.18,0.791
ADANIPORTS,MA-alone,test,SHORT gated,285,157.49,1.19,-194.12,0.81
ADANIPORTS,MA-alone,test,LONG baseline,959,-265.38,0.921,-1464.63,0.647
ADANIPORTS,MA-alone,test,LONG gated,672,176.93,1.08,-669.07,0.758
ADANIPORTS,MA-alone,test,COMBINED baseline,1880,176.51,1.029,-2177.81,0.712
ADANIPORTS,MA-alone,test,COMBINED gated,957,334.42,1.11,-863.19,0.772
ADANIPORTS,Model B,train,SHORT baseline,2730,723.83,1.188,-552.68,0.88
ADANIPORTS,Model B,train,SHORT gated,715,282.91,1.269,-67.55,0.946
ADANIPORTS,Model B,train,LONG baseline,2836,-513.65,0.891,-1855.49,0.668
ADANIPORTS,Model B,train,LONG gated,2084,-222.16,0.932,-1188.41,0.694
ADANIPORTS,Model B,train,COMBINED baseline,5566,210.18,1.025,-2408.18,0.763
ADANIPORTS,Model B,train,COMBINED gated,2799,60.75,1.014,-1255.96,0.755
ADANIPORTS,Model B,test,SHORT baseline,921,441.89,1.16,-713.18,0.791
ADANIPORTS,Model B,test,SHORT gated,288,27.74,1.03,-329.85,0.706
