symbol,model,split,bucket,n,pnl,pf,zpnl,zpf
ADANIPORTS,Model A,train,SHORT baseline,2784,773.93,1.198,-516.03,0.889
ADANIPORTS,Model A,train,SHORT gated (flipped),2509,711.71,1.206,-449.67,0.891
ADANIPORTS,Model A,train,LONG baseline,2875,-526.19,0.889,-1875.05,0.668
ADANIPORTS,Model A,train,LONG gated (flipped),292,-33.53,0.939,-173.54,0.729
ADANIPORTS,Model A,train,COMBINED baseline,5659,247.74,1.029,-2391.08,0.768
ADANIPORTS,Model A,train,COMBINED gated (flipped),2801,678.18,1.169,-623.21,0.869
ADANIPORTS,Model A,test,SHORT baseline,934,451.18,1.163,-712.84,0.793
ADANIPORTS,Model A,test,SHORT gated (flipped),870,286.4,1.111,-798.28,0.751
ADANIPORTS,Model A,test,LONG baseline,976,-285.68,0.916,-1496.62,0.643
ADANIPORTS,Model A,test,LONG gated (flipped),59,-119.26,0.63,-191.22,0.49
ADANIPORTS,Model A,test,COMBINED baseline,1910,165.5,1.027,-2209.45,0.71
ADANIPORTS,Model A,test,COMBINED gated (flipped),929,167.14,1.057,-989.5,0.724
ADANIPORTS,MA-alone,train,SHORT baseline,2730,723.83,1.188,-552.68,0.88
ADANIPORTS,MA-alone,train,SHORT gated (flipped),2038,371.92,1.132,-558.83,0.834
ADANIPORTS,MA-alone,train,LONG baseline,2836,-513.65,0.891,-1855.49,0.668
ADANIPORTS,MA-alone,train,LONG gated (flipped),724,-327.01,0.778,-693.37,0.598
ADANIPORTS,MA-alone,train,COMBINED baseline,5566,210.18,1.025,-2408.18,0.763
ADANIPORTS,MA-alone,train,COMBINED gated (flipped),2762,44.9,1.01,-1252.2,0.754
ADANIPORTS,MA-alone,test,SHORT baseline,921,441.89,1.16,-713.18,0.791
ADANIPORTS,MA-alone,test,SHORT gated (flipped),636,284.4,1.147,-519.05,0.784
ADANIPORTS,MA-alone,test,LONG baseline,959,-265.38,0.921,-1464.63,0.647
ADANIPORTS,MA-alone,test,LONG gated (flipped),287,-442.31,0.61,-795.56,0.424
ADANIPORTS,MA-alone,test,COMBINED baseline,1880,176.51,1.029,-2177.81,0.712
ADANIPORTS,MA-alone,test,COMBINED gated (flipped),923,-157.91,0.948,-1314.62,0.652
ADANIPORTS,Model B,train,SHORT baseline,2730,723.83,1.188,-552.68,0.88
ADANIPORTS,Model B,train,SHORT gated (flipped),2015,440.92,1.157,-485.13,0.855
ADANIPORTS,Model B,train,LONG baseline,2836,-513.65,0.891,-1855.49,0.668
ADANIPORTS,Model B,train,LONG gated (flipped),752,-291.49,0.8,-667.08,0.61
ADANIPORTS,Model B,train,COMBINED baseline,5566,210.18,1.025,-2408.18,0.763
ADANIPORTS,Model B,train,COMBINED gated (flipped),2767,149.43,1.035,-1152.22,0.772
ADANIPORTS,Model B,test,SHORT baseline,921,441.89,1.16,-713.18,0.791
ADANIPORTS,Model B,test,SHORT gated (flipped),633,414.14,1.225,-383.33,0.833
ADANIPORTS,Model B,test,LONG baseline,959,-265.38,0.921,-1464.63,0.647
ADANIPORTS,Model B,test,LONG gated (flipped),296,-302.83,0.73,-669.61,0.511
ADANIPORTS,Model B,test,COMBINED baseline,1880,176.51,1.029,-2177.81,0.712
ADANIPORTS,Model B,test,COMBINED gated (flipped),929,111.31,1.038,-1052.93,0.713
ASHOKLEY,Model A,train,SHORT baseline,2828,130.17,1.295,-13.64,0.974
ASHOKLEY,Model A,train,SHORT gated (flipped),2150,109.19,1.347,-1.75,0.995
ASHOKLEY,Model A,train,LONG baseline,2931,-93.67,0.835,-244.18,0.634
ASHOKLEY,Model A,train,LONG gated (flipped),670,-3.15,0.977,-36.0,0.774
ASHOKLEY,Model A,train,COMBINED baseline,5759,36.49,1.036,-257.82,0.784
ASHOKLEY,Model A,train,COMBINED gated (flipped),2820,106.04,1.234,-37.76,0.93
ASHOKLEY,Model A,test,SHORT baseline,936,1.76,1.007,-101.47,0.672
ASHOKLEY,Model A,test,SHORT gated (flipped),790,22.98,1.119,-64.15,0.74
ASHOKLEY,Model A,test,LONG baseline,948,22.67,1.085,-82.28,0.753
ASHOKLEY,Model A,test,LONG gated (flipped),143,23.79,1.609,8.2,1.172
