symbol,split,bucket,n,pnl,pf,zpnl,zpf
ADANIPORTS,train,SHORT baseline,2725,731.95,1.191,-542.54,0.881
ADANIPORTS,train,SHORT gated (NIFTY c=0),210,-114.5,0.702,-208.62,0.533
ADANIPORTS,test,SHORT baseline,922,436.28,1.158,-719.48,0.79
ADANIPORTS,test,SHORT gated (NIFTY c=0),30,22.21,1.161,-14.49,0.91
ASHOKLEY,train,SHORT baseline,2777,125.54,1.288,-17.05,0.967
ASHOKLEY,train,SHORT gated (NIFTY c=0),213,9.62,1.256,-0.33,0.992
ASHOKLEY,test,SHORT baseline,923,2.71,1.011,-99.63,0.675
ASHOKLEY,test,SHORT gated (NIFTY c=0),26,2.88,1.518,-0.06,0.992
AXISBANK,train,SHORT baseline,2821,1082.82,1.241,-711.55,0.872
AXISBANK,train,SHORT gated (NIFTY c=0),197,82.9,1.205,-34.12,0.928
AXISBANK,test,SHORT baseline,984,-19.31,0.992,-1139.86,0.629
AXISBANK,test,SHORT gated (NIFTY c=0),32,-13.62,0.851,-50.45,0.567
BAJFINANCE,train,SHORT baseline,2814,209.34,1.076,-758.27,0.773
BAJFINANCE,train,SHORT gated (NIFTY c=0),219,-29.14,0.893,-98.59,0.693
BAJFINANCE,test,SHORT baseline,918,80.65,1.054,-667.64,0.661
BAJFINANCE,test,SHORT gated (NIFTY c=0),25,14.09,1.246,-6.11,0.91
BANDHANBNK,train,SHORT baseline,1710,858.71,1.412,186.71,1.076
BANDHANBNK,train,SHORT gated (NIFTY c=0),133,76.99,1.486,32.47,1.178
BANDHANBNK,test,SHORT baseline,921,158.06,1.347,-25.35,0.955
BANDHANBNK,test,SHORT gated (NIFTY c=0),24,11.07,2.319,6.79,1.658
BHARTIARTL,train,SHORT baseline,2833,146.52,1.038,-1225.74,0.737
BHARTIARTL,train,SHORT gated (NIFTY c=0),211,-5.14,0.986,-107.39,0.745
BHARTIARTL,test,SHORT baseline,916,-116.87,0.957,-1488.68,0.587
BHARTIARTL,test,SHORT gated (NIFTY c=0),32,-89.49,0.458,-140.73,0.298
CIPLA,train,SHORT baseline,2749,754.06,1.162,-1204.7,0.792
CIPLA,train,SHORT gated (NIFTY c=0),216,40.89,1.097,-114.52,0.777
CIPLA,test,SHORT baseline,810,279.86,1.129,-895.8,0.689
CIPLA,test,SHORT gated (NIFTY c=0),26,5.18,1.061,-34.25,0.69
COALINDIA,train,SHORT baseline,2739,247.55,1.17,-380.42,0.792
COALINDIA,train,SHORT gated (NIFTY c=0),195,23.42,1.208,-19.46,0.86
COALINDIA,test,SHORT baseline,926,160.86,1.214,-191.61,0.799
COALINDIA,test,SHORT gated (NIFTY c=0),24,18.5,1.697,8.82,1.281
DABUR,train,SHORT baseline,2738,654.2,1.256,-532.27,0.836
DABUR,train,SHORT gated (NIFTY c=0),193,7.03,1.03,-76.95,0.731
DABUR,test,SHORT baseline,912,-61.63,0.939,-569.95,0.573
DABUR,test,SHORT gated (NIFTY c=0),24,-25.14,0.511,-38.78,0.351
DIVISLAB,train,SHORT baseline,2773,1747.2,1.109,-4380.53,0.778
DIVISLAB,train,SHORT gated (NIFTY c=0),208,240.44,1.173,-255.56,0.849
DIVISLAB,test,SHORT baseline,899,2315.97,1.238,-2342.22,0.811
DIVISLAB,test,SHORT gated (NIFTY c=0),29,-2.22,0.994,-163.57,0.671
HDFCBANK,train,SHORT baseline,2760,-146.2,0.952,-1658.24,0.586
HDFCBANK,train,SHORT gated (NIFTY c=0),196,-29.29,0.894,-130.65,0.618
HDFCBANK,test,SHORT baseline,917,-0.5,1.0,-815.88,0.538
HDFCBANK,test,SHORT gated (NIFTY c=0),28,7.91,1.166,-16.98,0.736
HINDALCO,train,SHORT baseline,2757,222.05,1.099,-478.68,0.82
HINDALCO,train,SHORT gated (NIFTY c=0),191,-16.18,0.906,-60.26,0.698
HINDALCO,test,SHORT baseline,910,24.96,1.018,-553.39,0.681
HINDALCO,test,SHORT gated (NIFTY c=0),28,-42.01,0.45,-60.28,0.329
ICICIBANK,train,SHORT baseline,2770,177.24,1.055,-1104.21,0.726
ICICIBANK,train,SHORT gated (NIFTY c=0),212,-22.75,0.933,-122.69,0.696
ICICIBANK,test,SHORT baseline,920,-135.05,0.933,-1270.3,0.54
ICICIBANK,test,SHORT gated (NIFTY c=0),28,54.16,1.668,19.01,1.182
INDUSINDBK,train,SHORT baseline,2786,1928.02,1.22,-1504.51,0.861
INDUSINDBK,train,SHORT gated (NIFTY c=0),209,173.83,1.235,-28.08,0.967
INDUSINDBK,test,SHORT baseline,932,148.78,1.055,-988.95,0.709
INDUSINDBK,test,SHORT gated (NIFTY c=0),26,27.97,1.38,-0.67,0.993
INFY,train,SHORT baseline,2637,366.66,1.075,-2086.38,0.675
INFY,train,SHORT gated (NIFTY c=0),202,111.51,1.263,-85.76,0.841
INFY,test,SHORT baseline,884,243.69,1.096,-1208.23,0.644
INFY,test,SHORT gated (NIFTY c=0),26,12.37,1.142,-32.04,0.719
ITC,train,SHORT baseline,2693,192.07,1.16,-406.1,0.739
ITC,train,SHORT gated (NIFTY c=0),192,38.09,1.416,-1.49,0.987
ITC,test,SHORT baseline,933,133.33,1.226,-247.19,0.7
ITC,test,SHORT gated (NIFTY c=0),26,10.11,1.641,-0.73,0.967
JSWSTEEL,train,SHORT baseline,2864,-99.96,0.97,-1099.96,0.718
JSWSTEEL,train,SHORT gated (NIFTY c=0),201,-37.03,0.851,-102.62,0.646
JSWSTEEL,test,SHORT baseline,918,148.67,1.074,-731.2,0.713
JSWSTEEL,test,SHORT gated (NIFTY c=0),31,-33.1,0.645,-63.41,0.444
NATIONALUM,train,SHORT baseline,2682,170.15,1.3,4.08,1.006
NATIONALUM,train,SHORT gated (NIFTY c=0),213,-17.32,0.706,-29.49,0.558
NATIONALUM,test,SHORT baseline,864,118.67,1.263,-31.32,0.942
NATIONALUM,test,SHORT gated (NIFTY c=0),19,14.88,4.047,11.48,2.819
NTPC,train,SHORT baseline,2710,185.04,1.224,-172.1,0.834
NTPC,train,SHORT gated (NIFTY c=0),197,25.46,1.411,1.27,1.017
NTPC,test,SHORT baseline,908,220.95,1.342,-79.04,0.903
NTPC,test,SHORT gated (NIFTY c=0),25,17.78,1.819,9.04,1.342
ONGC,train,SHORT baseline,2664,232.76,1.261,-137.02,0.877
ONGC,train,SHORT gated (NIFTY c=0),181,-1.8,0.974,-24.88,0.699
ONGC,test,SHORT baseline,888,53.34,1.115,-154.24,0.738
ONGC,test,SHORT gated (NIFTY c=0),21,9.79,1.817,4.8,1.33
PNB,train,SHORT baseline,2788,216.64,1.28,-20.17,0.978
PNB,train,SHORT gated (NIFTY c=0),196,6.55,1.127,-6.9,0.883
PNB,test,SHORT baseline,916,70.16,1.304,-21.91,0.923
PNB,test,SHORT gated (NIFTY c=0),19,5.21,3.538,3.29,2.011
POWERGRID,train,SHORT baseline,2699,76.14,1.107,-233.25,0.743
