symbol,config,fold_num,train_start,train_end,test_start,test_end,n,pf,pnl,zpnl,zpf
ADANIPORTS,config1_3y1y,1,2015-02-01,2018-02-01,2018-02-01,2019-01-31,79,0.973,-3.03,-33.91,0.737
ASHOKLEY,config1_3y1y,1,2015-02-01,2018-02-01,2018-02-01,2019-01-31,97,1.646,13.25,7.2,1.3
AXISBANK,config1_3y1y,1,2015-02-01,2018-02-01,2018-02-01,2019-01-31,89,1.675,99.42,45.76,1.263
BAJFINANCE,config1_3y1y,1,2015-02-01,2018-02-01,2018-02-01,2019-01-31,88,1.716,48.0,27.29,1.346
BANDHANBNK,config1_3y1y,1,2015-02-01,2018-02-01,2018-02-01,2019-01-31,62,2.474,132.91,97.94,1.932
BHARTIARTL,config1_3y1y,1,2015-02-01,2018-02-01,2018-02-01,2019-01-31,88,1.301,31.06,-1.53,0.987
CIPLA,config1_3y1y,1,2015-02-01,2018-02-01,2018-02-01,2019-01-31,82,1.438,55.76,5.88,1.037
COALINDIA,config1_3y1y,1,2015-02-01,2018-02-01,2018-02-01,2019-01-31,88,1.003,0.21,-22.85,0.725
DABUR,config1_3y1y,1,2015-02-01,2018-02-01,2018-02-01,2019-01-31,80,1.39,34.12,0.78,1.007
DIVISLAB,config1_3y1y,1,2015-02-01,2018-02-01,2018-02-01,2019-01-31,91,1.171,63.45,-52.61,0.881
HDFCBANK,config1_3y1y,1,2015-02-01,2018-02-01,2018-02-01,2019-01-31,82,1.704,44.24,1.31,1.016
HINDALCO,config1_3y1y,1,2015-02-01,2018-02-01,2018-02-01,2019-01-31,86,0.761,-19.44,-39.94,0.581
ICICIBANK,config1_3y1y,1,2015-02-01,2018-02-01,2018-02-01,2019-01-31,100,0.877,-12.44,-45.25,0.634
INDUSINDBK,config1_3y1y,1,2015-02-01,2018-02-01,2018-02-01,2019-01-31,104,1.2,81.34,-109.68,0.791
INFY,config1_3y1y,1,2015-02-01,2018-02-01,2018-02-01,2019-01-31,86,0.973,-3.84,-61.99,0.646
ITC,config1_3y1y,1,2015-02-01,2018-02-01,2018-02-01,2019-01-31,93,1.144,8.12,-15.0,0.787
JSWSTEEL,config1_3y1y,1,2015-02-01,2018-02-01,2018-02-01,2019-01-31,92,0.686,-41.75,-73.93,0.518
NATIONALUM,config1_3y1y,1,2015-02-01,2018-02-01,2018-02-01,2019-01-31,93,1.57,13.05,6.62,1.254
NTPC,config1_3y1y,1,2015-02-01,2018-02-01,2018-02-01,2019-01-31,93,0.796,-7.34,-20.21,0.544
ONGC,config1_3y1y,1,2015-02-01,2018-02-01,2018-02-01,2019-01-31,96,1.118,4.64,-10.35,0.785
PNB,config1_3y1y,1,2015-02-01,2018-02-01,2018-02-01,2019-01-31,95,1.221,7.05,-1.49,0.96
POWERGRID,config1_3y1y,1,2015-02-01,2018-02-01,2018-02-01,2019-01-31,84,1.288,5.96,-3.25,0.875
RELIANCE,config1_3y1y,1,2015-02-01,2018-02-01,2018-02-01,2019-01-31,89,2.11,83.83,37.4,1.375
SBIN,config1_3y1y,1,2015-02-01,2018-02-01,2018-02-01,2019-01-31,95,1.28,21.43,-5.85,0.936
SUNPHARMA,config1_3y1y,1,2015-02-01,2018-02-01,2018-02-01,2019-01-31,92,1.128,20.46,-30.52,0.84
TATAMOTORS,config1_3y1y,1,2015-02-01,2018-02-01,2018-02-01,2019-01-31,92,2.613,62.11,44.81,1.969
TATASTEEL,config1_3y1y,1,2015-02-01,2018-02-01,2018-02-01,2019-01-31,97,1.078,1.45,-3.78,0.826
TECHM,config1_3y1y,1,2015-02-01,2018-02-01,2018-02-01,2019-01-31,93,1.331,60.55,-1.72,0.992
VEDL,config1_3y1y,1,2015-02-01,2018-02-01,2018-02-01,2019-01-31,100,1.128,10.55,-10.6,0.889
WIPRO,config1_3y1y,1,2015-02-01,2018-02-01,2018-02-01,2019-01-31,88,0.831,-4.22,-13.98,0.55
ADANIPORTS,config1_3y1y,2,2016-02-01,2019-02-01,2019-02-01,2020-01-31,84,1.009,0.75,-32.67,0.687
ASHOKLEY,config1_3y1y,2,2016-02-01,2019-02-01,2019-02-01,2020-01-31,83,0.906,-1.21,-4.49,0.696
AXISBANK,config1_3y1y,2,2016-02-01,2019-02-01,2019-02-01,2020-01-31,93,1.21,34.29,-37.05,0.819
BAJFINANCE,config1_3y1y,2,2016-02-01,2019-02-01,2019-02-01,2020-01-31,79,0.822,-14.54,-43.66,0.569
BANDHANBNK,config1_3y1y,2,2016-02-01,2019-02-01,2019-02-01,2020-01-31,76,2.101,109.32,66.69,1.563
BHARTIARTL,config1_3y1y,2,2016-02-01,2019-02-01,2019-02-01,2020-01-31,81,0.644,-45.23,-75.32,0.49
CIPLA,config1_3y1y,2,2016-02-01,2019-02-01,2019-02-01,2020-01-31,92,0.501,-76.85,-125.09,0.327
COALINDIA,config1_3y1y,2,2016-02-01,2019-02-01,2019-02-01,2020-01-31,85,0.549,-22.21,-40.46,0.349
DABUR,config1_3y1y,2,2016-02-01,2019-02-01,2019-02-01,2020-01-31,80,1.06,4.56,-30.96,0.675
DIVISLAB,config1_3y1y,2,2016-02-01,2019-02-01,2019-02-01,2020-01-31,75,0.797,-69.48,-202.05,0.522
HDFCBANK,config1_3y1y,2,2016-02-01,2019-02-01,2019-02-01,2020-01-31,85,1.609,45.14,-7.53,0.928
HINDALCO,config1_3y1y,2,2016-02-01,2019-02-01,2019-02-01,2020-01-31,89,0.737,-14.84,-33.14,0.516
ICICIBANK,config1_3y1y,2,2016-02-01,2019-02-01,2019-02-01,2020-01-31,87,1.004,0.45,-38.86,0.697
INDUSINDBK,config1_3y1y,2,2016-02-01,2019-02-01,2019-02-01,2020-01-31,78,2.054,298.64,178.16,1.515
INFY,config1_3y1y,2,2016-02-01,2019-02-01,2019-02-01,2020-01-31,83,0.708,-43.54,-106.97,0.433
ITC,config1_3y1y,2,2016-02-01,2019-02-01,2019-02-01,2020-01-31,82,1.257,8.5,-11.09,0.749
JSWSTEEL,config1_3y1y,2,2016-02-01,2019-02-01,2019-02-01,2020-01-31,90,0.858,-13.2,-37.64,0.652
NATIONALUM,config1_3y1y,2,2016-02-01,2019-02-01,2019-02-01,2020-01-31,82,1.318,3.72,-0.25,0.982
NTPC,config1_3y1y,2,2016-02-01,2019-02-01,2019-02-01,2020-01-31,82,0.898,-2.88,-13.48,0.614
ONGC,config1_3y1y,2,2016-02-01,2019-02-01,2019-02-01,2020-01-31,76,0.934,-2.09,-12.5,0.672
