symbol,n,r,p,significant
ADANIPORTS,2097,0.0018,0.9353,False
ASHOKLEY,2097,-0.0055,0.8006,False
AXISBANK,2097,-0.0059,0.7855,False
BAJFINANCE,2124,0.027,0.2137,False
BANDHANBNK,1520,0.0141,0.5815,False
BHARTIARTL,2097,-0.0424,0.0524,False
CIPLA,2047,-0.0354,0.1093,False
COALINDIA,2097,-0.0035,0.8718,False
DABUR,2097,-0.0536,0.0141,True
DIVISLAB,2097,-0.0043,0.8429,False
HDFCBANK,2097,-0.0029,0.894,False
HINDALCO,2097,0.0171,0.4335,False
ICICIBANK,2088,-0.0248,0.2576,False
INDUSINDBK,2097,0.0316,0.1475,False
INFY,2088,-0.0204,0.3505,False
ITC,2088,-0.0105,0.6311,False
JSWSTEEL,2097,-0.0079,0.7187,False
NATIONALUM,2097,-0.0165,0.4489,False
NTPC,2097,-0.0214,0.3276,False
ONGC,2097,0.0134,0.5389,False
PNB,2097,0.0405,0.0639,False
POWERGRID,2097,-0.0829,0.0001,True
RELIANCE,2097,-0.0014,0.9477,False
SBIN,2094,0.0141,0.5193,False
SUNPHARMA,2097,-0.0214,0.3264,False
TATAMOTORS,2097,0.0548,0.012,True
TATASTEEL,2097,0.0151,0.49,False
TECHM,2097,0.0079,0.7186,False
VEDL,2097,0.0381,0.0808,False
WIPRO,2097,0.0247,0.2579,False
NIFTY50,2123,0.0212,0.3281,False
