period,symbol,n,r,p,significant
7,ADANIPORTS,2102,0.0054,0.8035,False
7,ASHOKLEY,2102,-0.0076,0.7282,False
7,AXISBANK,2102,-0.0112,0.608,False
7,BAJFINANCE,2130,0.0227,0.2946,False
7,BANDHANBNK,1525,0.0275,0.2827,False
7,BHARTIARTL,2102,-0.0563,0.0098,True
7,CIPLA,2052,-0.0428,0.0525,False
7,COALINDIA,2102,0.0143,0.5137,False
7,DABUR,2102,-0.0545,0.0124,True
7,DIVISLAB,2102,-0.0108,0.6203,False
7,HDFCBANK,2102,-0.0039,0.8574,False
7,HINDALCO,2102,0.0143,0.5119,False
7,ICICIBANK,2094,-0.0205,0.348,False
7,INDUSINDBK,2102,0.0241,0.2686,False
7,INFY,2094,-0.0221,0.3113,False
7,ITC,2094,-0.0051,0.8164,False
7,JSWSTEEL,2102,-0.0317,0.1466,False
7,NATIONALUM,2102,-0.0079,0.717,False
7,NTPC,2102,-0.0191,0.3812,False
7,ONGC,2102,0.0074,0.7361,False
7,PNB,2102,0.0481,0.0275,True
7,POWERGRID,2102,-0.0746,0.0006,True
7,RELIANCE,2102,0.0059,0.7885,False
7,SBIN,2100,0.019,0.3836,False
7,SUNPHARMA,2102,-0.0149,0.4955,False
7,TATAMOTORS,2102,0.0526,0.0159,True
7,TATASTEEL,2102,0.0018,0.9336,False
7,TECHM,2102,-0.0081,0.7094,False
7,VEDL,2102,0.0291,0.1816,False
7,WIPRO,2102,0.022,0.3128,False
7,NIFTY50,2128,0.0188,0.3848,False
9,ADANIPORTS,2100,0.0043,0.8453,False
9,ASHOKLEY,2100,-0.007,0.7497,False
9,AXISBANK,2100,-0.0085,0.6955,False
9,BAJFINANCE,2128,0.0264,0.2243,False
9,BANDHANBNK,1524,0.0229,0.3716,False
9,BHARTIARTL,2100,-0.0509,0.0196,True
9,CIPLA,2051,-0.0395,0.074,False
9,COALINDIA,2100,0.0083,0.7049,False
9,DABUR,2100,-0.0534,0.0145,True
9,DIVISLAB,2100,-0.009,0.6809,False
9,HDFCBANK,2100,-0.0043,0.8434,False
9,HINDALCO,2100,0.0157,0.4734,False
9,ICICIBANK,2092,-0.0223,0.3088,False
9,INDUSINDBK,2100,0.0274,0.2095,False
9,INFY,2092,-0.0222,0.3097,False
9,ITC,2092,-0.0065,0.7671,False
9,JSWSTEEL,2100,-0.0216,0.3226,False
9,NATIONALUM,2100,-0.0116,0.5947,False
9,NTPC,2100,-0.0177,0.4181,False
9,ONGC,2100,0.0101,0.6432,False
9,PNB,2100,0.0458,0.0357,True
9,POWERGRID,2100,-0.0775,0.0004,True
9,RELIANCE,2100,0.0043,0.8452,False
9,SBIN,2098,0.0164,0.4518,False
9,SUNPHARMA,2100,-0.0175,0.4231,False
9,TATAMOTORS,2100,0.054,0.0133,True
