symbol,n,r,p,significant
ADANIPORTS,2106,0.023,0.2921,False
ASHOKLEY,2106,0.0193,0.3762,False
AXISBANK,2106,0.0111,0.6097,False
BAJFINANCE,2134,0.0221,0.3078,False
BANDHANBNK,1530,0.0008,0.9742,False
BHARTIARTL,2106,0.0267,0.2201,False
CIPLA,2057,0.034,0.1236,False
COALINDIA,2106,0.0383,0.079,False
DABUR,2106,0.0018,0.9329,False
DIVISLAB,2106,-0.0118,0.5875,False
HDFCBANK,2106,-0.0116,0.5957,False
HINDALCO,2106,0.0322,0.1392,False
ICICIBANK,2098,0.0197,0.3665,False
INDUSINDBK,2106,-0.0046,0.8331,False
INFY,2098,0.0006,0.9779,False
ITC,2098,0.0435,0.0462,True
JSWSTEEL,2106,0.0269,0.2177,False
NATIONALUM,2106,0.0008,0.9707,False
NTPC,2106,0.0254,0.2448,False
ONGC,2106,0.0133,0.5424,False
PNB,2106,0.0211,0.3325,False
POWERGRID,2106,-0.006,0.7844,False
RELIANCE,2106,0.0156,0.4753,False
SBIN,2104,0.0093,0.6705,False
SUNPHARMA,2106,0.0119,0.5856,False
TATAMOTORS,2106,0.0314,0.1495,False
TATASTEEL,2106,0.0337,0.1225,False
TECHM,2106,-0.007,0.7474,False
VEDL,2106,0.0312,0.1521,False
WIPRO,2106,0.0153,0.4833,False
