symbol,n,r,p,significant
ADANIPORTS,2106,0.0376,0.0845,False
ASHOKLEY,2106,0.0214,0.3267,False
AXISBANK,2106,0.0293,0.1795,False
BAJFINANCE,2134,0.0456,0.035,True
BANDHANBNK,1530,0.005,0.8455,False
BHARTIARTL,2106,0.0338,0.1207,False
CIPLA,2057,0.0166,0.4505,False
COALINDIA,2106,0.0332,0.1281,False
DABUR,2106,0.0008,0.969,False
DIVISLAB,2106,0.0021,0.9231,False
HDFCBANK,2106,-0.0119,0.5847,False
HINDALCO,2106,0.0266,0.2221,False
ICICIBANK,2098,-0.0121,0.5793,False
INDUSINDBK,2106,0.006,0.7831,False
INFY,2098,-0.0318,0.1448,False
ITC,2098,0.0608,0.0054,True
JSWSTEEL,2106,0.0283,0.1942,False
NATIONALUM,2106,0.007,0.7479,False
NTPC,2106,0.0233,0.2851,False
ONGC,2106,-0.0236,0.2786,False
PNB,2106,0.0219,0.3161,False
POWERGRID,2106,-0.031,0.1546,False
RELIANCE,2106,0.0136,0.5321,False
SBIN,2104,-0.003,0.8919,False
SUNPHARMA,2106,0.0283,0.1948,False
TATAMOTORS,2106,0.0181,0.4059,False
TATASTEEL,2106,0.0357,0.1016,False
TECHM,2106,-0.0041,0.8513,False
VEDL,2106,-0.0063,0.772,False
WIPRO,2106,0.0149,0.4945,False
