date,r
2016-03-02,-0.119508541590162
2016-03-03,-0.12923847304736677
2016-03-04,-0.1332290937233623
2016-03-08,-0.12907385404129085
2016-03-09,-0.1224909554581251
2016-03-10,-0.12933944514017168
2016-03-11,-0.1337877768008273
2016-03-14,-0.13218682235551937
2016-03-15,-0.13084329066384123
2016-03-16,-0.12844074891925558
2016-03-17,-0.13070426927617856
2016-03-18,-0.12235468342087293
2016-03-21,-0.12360825906509643
2016-03-22,-0.1247098110917592
2016-03-23,-0.12238334173917781
2016-03-28,-0.12413576101343908
2016-03-29,-0.12625306459969157
2016-03-30,-0.12508841445374153
2016-03-31,-0.12786324964779963
2016-04-01,-0.1301523007001465
2016-04-04,-0.12186131537712828
2016-04-05,-0.12158972161952097
2016-04-06,-0.12130491698782361
2016-04-07,-0.12148555717030854
2016-04-08,-0.12359821126715805
2016-04-11,-0.12099302216746953
2016-04-12,-0.11837186010685385
2016-04-13,-0.11079579881962344
2016-04-18,-0.10659570080930596
2016-04-20,-0.09538709980515223
2016-04-21,-0.10109144138882617
2016-04-22,-0.10189161195149694
2016-04-25,-0.10863820697240537
2016-04-26,-0.1094756237827415
2016-04-27,-0.11727907424464672
2016-04-28,-0.10764415309105992
2016-04-29,-0.1070024535650657
2016-05-02,-0.10758323103041009
2016-05-03,-0.10465747031119792
2016-05-04,-0.10885281036839406
2016-05-05,-0.1092797832379319
2016-05-06,-0.11092640717516893
2016-05-09,-0.10965005259700081
2016-05-10,-0.11326496141177576
2016-05-11,-0.11560292497467059
2016-05-12,-0.11898500781761502
2016-05-13,-0.12096352027824804
2016-05-16,-0.11582588508128412
2016-05-17,-0.11843941601624183
2016-05-18,-0.12701083192573032
2016-05-19,-0.12900965876816103
2016-05-20,-0.1293737527202944
2016-05-23,-0.11516511382669262
2016-05-24,-0.12647076917633343
2016-05-25,-0.12417453617226265
2016-05-26,-0.12086805064384769
2016-05-27,-0.11995189922511046
2016-05-30,-0.11782291063620338
2016-05-31,-0.12265297625145077
2016-06-01,-0.12720763430264773
2016-06-02,-0.12066825910421763
2016-06-03,-0.11758748356939998
2016-06-06,-0.11855233240292751
2016-06-07,-0.1177389987531753
2016-06-08,-0.11260180013063639
2016-06-09,-0.11121356203752453
2016-06-10,-0.10527342010480353
2016-06-13,-0.1141288144511412
2016-06-14,-0.11508760455215852
2016-06-16,-0.1108784658425295
2016-06-17,-0.10449889231588896
2016-06-20,-0.10578299281306558
2016-06-21,-0.11176323317956606
2016-06-22,-0.10963217683418101
2016-06-23,-0.10735942785754546
2016-06-24,-0.10812480036466077
2016-06-27,-0.10738253667751826
2016-06-28,-0.09952119481062324
2016-06-29,-0.09449621341617091
2016-06-30,-0.0821928311325248
2016-07-01,-0.07678109951746707
2016-07-04,-0.07490815891119335
2016-07-05,-0.09273654778305149
2016-07-07,-0.08635296243212622
2016-07-08,-0.08325788901380182
2016-07-11,-0.08039238349374474
2016-07-12,-0.07889130206804991
2016-07-13,-0.09295067465683393
2016-07-14,-0.08522491992705
2016-07-15,-0.08733432613912667
2016-07-18,-0.08859736797532461
2016-07-19,-0.08676733901777453
2016-07-20,-0.08658502976839572
2016-07-21,-0.09875438408006507
2016-07-22,-0.10083947506121918
2016-07-25,-0.09771791296387461
2016-07-26,-0.08752023789278551
2016-07-27,-0.08794447555684079
2016-07-28,-0.07785878501479382
2016-07-29,-0.08228370331799001
2016-08-01,-0.07681215907387744
2016-08-02,-0.07471556610406233
2016-08-03,-0.08328157320777255
2016-08-04,-0.07684903169685119
2016-08-05,-0.07912135159114526
2016-08-08,-0.07655815989034195
2016-08-09,-0.08094620650159734
2016-08-10,-0.08105076971059369
2016-08-11,-0.08231057156028138
2016-08-12,-0.07866565477760087
2016-08-16,-0.08030820307489585
2016-08-17,-0.08238047142107426
2016-08-18,-0.07977220323325095
2016-08-19,-0.08336615362783127
2016-08-22,-0.08175658224989904
2016-08-23,-0.08256285258918537
2016-08-24,-0.0853146406192534
2016-08-25,-0.08590807578792534
2016-08-26,-0.09513375932174607
2016-08-29,-0.08860716173239237
2016-08-30,-0.08595226642391186
2016-08-31,-0.08670208917358613
2016-09-01,-0.0878727925808451
2016-09-02,-0.09258768458717424
2016-09-06,-0.10084185283583755
2016-09-07,-0.11715372837321088
2016-09-08,-0.12796321143722073
2016-09-09,-0.12207347653631948
2016-09-12,-0.1099857048002896
2016-09-14,-0.10886962005661022
2016-09-15,-0.11645993725894596
2016-09-16,-0.12067462379125372
2016-09-19,-0.1488607520713873
2016-09-20,-0.13937890290771285
