symbol,n,r,p,significant
ADANIPORTS,2106,-0.0096,0.6592,False
ASHOKLEY,2106,0.0045,0.8367,False
AXISBANK,2106,0.021,0.3344,False
BAJFINANCE,2133,-0.0426,0.0493,True
BANDHANBNK,1529,0.0118,0.6441,False
BHARTIARTL,2106,-0.0262,0.2292,False
CIPLA,2056,0.0015,0.9465,False
COALINDIA,2106,-0.0129,0.5547,False
DABUR,2106,0.0013,0.9515,False
DIVISLAB,2106,0.0123,0.5716,False
HDFCBANK,2106,0.0363,0.0956,False
HINDALCO,2106,-0.004,0.8561,False
ICICIBANK,2097,-0.0002,0.9943,False
INDUSINDBK,2106,0.0448,0.04,True
INFY,2097,0.0257,0.2401,False
ITC,2097,0.0522,0.0169,True
JSWSTEEL,2106,-0.0119,0.5865,False
NATIONALUM,2106,0.0138,0.5253,False
NTPC,2106,0.0207,0.3433,False
ONGC,2106,-0.0183,0.401,False
PNB,2106,0.0033,0.8811,False
POWERGRID,2106,-0.0295,0.1763,False
RELIANCE,2106,0.0049,0.8223,False
SBIN,2103,0.0104,0.632,False
SUNPHARMA,2106,-0.0066,0.7611,False
TATAMOTORS,2106,0.0404,0.0636,False
TATASTEEL,2106,0.0167,0.4431,False
TECHM,2106,0.0194,0.3742,False
VEDL,2106,0.0543,0.0126,True
WIPRO,2106,0.019,0.3832,False
NIFTY50,2132,0.0025,0.9087,False
