symbol,n,r,p,significant
ADANIPORTS,2106,-0.0457,0.0361,True
ASHOKLEY,2106,0.0178,0.4155,False
AXISBANK,2106,-0.0931,0.0,True
BAJFINANCE,2134,-0.0607,0.005,True
BANDHANBNK,1530,-0.0074,0.7736,False
BHARTIARTL,2106,-0.0955,0.0,True
CIPLA,2057,-0.086,0.0001,True
COALINDIA,2106,-0.0298,0.171,False
DABUR,2106,-0.1009,0.0,True
DIVISLAB,2106,-0.0435,0.046,True
HDFCBANK,2106,-0.0608,0.0052,True
HINDALCO,2106,-0.0526,0.0157,True
ICICIBANK,2098,-0.0457,0.0365,True
INDUSINDBK,2106,-0.033,0.1297,False
INFY,2098,-0.0171,0.4328,False
ITC,2098,-0.0498,0.0225,True
JSWSTEEL,2106,-0.0968,0.0,True
NATIONALUM,2106,-0.0271,0.2144,False
NTPC,2106,-0.0812,0.0002,True
ONGC,2106,-0.0022,0.9195,False
PNB,2106,-0.0327,0.1339,False
POWERGRID,2106,-0.1069,0.0,True
RELIANCE,2106,-0.0496,0.0229,True
SBIN,2104,-0.0255,0.2432,False
SUNPHARMA,2106,-0.0008,0.969,False
TATAMOTORS,2106,-0.0431,0.0479,True
TATASTEEL,2106,-0.0402,0.0648,False
TECHM,2106,-0.083,0.0001,True
VEDL,2106,-0.0622,0.0043,True
WIPRO,2106,-0.082,0.0002,True
