symbol,n,r,p,significant
ADANIPORTS,2106,0.0119,0.5851,False
ASHOKLEY,2106,0.0284,0.1928,False
AXISBANK,2106,0.0382,0.0799,False
BAJFINANCE,2133,0.0016,0.9412,False
BANDHANBNK,1529,0.0002,0.9946,False
BHARTIARTL,2106,-0.0726,0.0009,True
CIPLA,2056,-0.0527,0.0168,True
COALINDIA,2106,0.0347,0.1116,False
DABUR,2106,-0.044,0.0436,True
DIVISLAB,2106,0.0436,0.0453,True
HDFCBANK,2106,0.0128,0.5564,False
HINDALCO,2106,-0.0377,0.0837,False
ICICIBANK,2097,-0.0384,0.0787,False
INDUSINDBK,2106,0.0215,0.3246,False
INFY,2097,0.0104,0.6351,False
ITC,2097,0.0142,0.5165,False
JSWSTEEL,2106,-0.0644,0.0031,True
NATIONALUM,2106,0.0068,0.7551,False
NTPC,2106,-0.0164,0.4528,False
ONGC,2106,-0.0352,0.1065,False
PNB,2106,-0.007,0.7478,False
POWERGRID,2106,-0.0163,0.4543,False
RELIANCE,2106,-0.0016,0.9427,False
SBIN,2103,-0.0265,0.2245,False
SUNPHARMA,2106,-0.0171,0.4328,False
TATAMOTORS,2106,0.0276,0.2061,False
TATASTEEL,2106,-0.0076,0.7287,False
TECHM,2106,-0.0123,0.5726,False
VEDL,2106,-0.0175,0.4232,False
WIPRO,2106,0.0409,0.0603,False
