symbol,n,r,p,significant
ADANIPORTS,2106,-0.0196,0.369,False
ASHOKLEY,2106,-0.0167,0.4424,False
AXISBANK,2106,-0.0176,0.4204,False
BAJFINANCE,2134,0.0306,0.1573,False
BANDHANBNK,1530,0.0129,0.6128,False
BHARTIARTL,2106,-0.0449,0.0393,True
CIPLA,2057,-0.017,0.4415,False
COALINDIA,2106,-0.0111,0.6105,False
DABUR,2106,-0.0674,0.002,True
DIVISLAB,2106,0.0027,0.8997,False
HDFCBANK,2106,-0.0221,0.3113,False
HINDALCO,2106,0.0173,0.4282,False
ICICIBANK,2098,-0.0273,0.2118,False
INDUSINDBK,2106,0.0515,0.0181,True
INFY,2098,-0.0295,0.1764,False
ITC,2098,-0.0248,0.2568,False
JSWSTEEL,2106,-0.0066,0.7628,False
NATIONALUM,2106,-0.0328,0.1327,False
NTPC,2106,-0.0224,0.3047,False
ONGC,2106,-0.0059,0.7877,False
PNB,2106,0.0303,0.1652,False
POWERGRID,2106,-0.0891,0.0,True
RELIANCE,2106,-0.0061,0.7812,False
SBIN,2104,0.0237,0.2781,False
SUNPHARMA,2106,-0.0152,0.4849,False
TATAMOTORS,2106,0.0567,0.0093,True
TATASTEEL,2106,0.0093,0.6683,False
TECHM,2106,0.0006,0.9789,False
VEDL,2106,0.0319,0.1432,False
WIPRO,2106,0.0238,0.2745,False
