symbol,n,r,p,significant
ADANIPORTS,2100,-0.02,0.3598,False
ASHOKLEY,2100,-0.0141,0.5195,False
AXISBANK,2100,-0.0118,0.5882,False
BAJFINANCE,2127,0.0125,0.5637,False
BANDHANBNK,1523,0.0036,0.8885,False
BHARTIARTL,2100,-0.0556,0.0109,True
CIPLA,2050,-0.0088,0.6908,False
COALINDIA,2100,0.0009,0.9653,False
DABUR,2100,-0.0555,0.0109,True
DIVISLAB,2100,0.0079,0.7182,False
HDFCBANK,2100,-0.0128,0.5584,False
HINDALCO,2100,0.0101,0.6451,False
ICICIBANK,2091,-0.025,0.2536,False
INDUSINDBK,2100,0.0575,0.0084,True
INFY,2091,-0.0321,0.1426,False
ITC,2091,-0.015,0.4939,False
JSWSTEEL,2100,-0.0352,0.1064,False
NATIONALUM,2100,-0.0239,0.2742,False
NTPC,2100,-0.0149,0.4939,False
ONGC,2100,-0.018,0.4105,False
PNB,2100,0.0239,0.2733,False
POWERGRID,2100,-0.0778,0.0004,True
RELIANCE,2100,-0.0022,0.9203,False
SBIN,2097,0.0197,0.3673,False
SUNPHARMA,2100,0.0087,0.6888,False
TATAMOTORS,2100,0.0427,0.0503,False
TATASTEEL,2100,-0.02,0.3593,False
TECHM,2100,-0.0205,0.3488,False
VEDL,2100,0.0296,0.175,False
WIPRO,2100,0.0222,0.309,False
