ma_type,symbol,n,r,p,significant
SMA30,ADANIPORTS,2085,-0.0145,0.5069,False
EMA30,ADANIPORTS,2106,-0.0212,0.3302,False
SMA30,ASHOKLEY,2085,-0.0118,0.5907,False
EMA30,ASHOKLEY,2106,-0.0153,0.4824,False
SMA30,AXISBANK,2085,-0.0191,0.3829,False
EMA30,AXISBANK,2106,-0.0167,0.4433,False
SMA30,BAJFINANCE,2112,0.038,0.0809,False
EMA30,BAJFINANCE,2134,0.0301,0.1651,False
SMA30,BANDHANBNK,1508,0.0168,0.5133,False
EMA30,BANDHANBNK,1530,0.0055,0.8285,False
SMA30,BHARTIARTL,2085,-0.0314,0.1517,False
EMA30,BHARTIARTL,2106,-0.0409,0.0608,False
SMA30,CIPLA,2035,-0.0176,0.4272,False
EMA30,CIPLA,2057,-0.0189,0.3913,False
SMA30,COALINDIA,2085,-0.0133,0.5448,False
EMA30,COALINDIA,2106,-0.0161,0.4614,False
SMA30,DABUR,2085,-0.06,0.0062,True
EMA30,DABUR,2106,-0.0696,0.0014,True
SMA30,DIVISLAB,2085,-0.0019,0.9306,False
EMA30,DIVISLAB,2106,0.0013,0.9519,False
SMA30,HDFCBANK,2085,-0.0238,0.2767,False
EMA30,HDFCBANK,2106,-0.0231,0.29,False
SMA30,HINDALCO,2085,0.0181,0.4097,False
EMA30,HINDALCO,2106,0.0174,0.4258,False
SMA30,ICICIBANK,2076,-0.0288,0.1892,False
EMA30,ICICIBANK,2098,-0.0286,0.1904,False
SMA30,INDUSINDBK,2085,0.0442,0.0437,True
EMA30,INDUSINDBK,2106,0.0464,0.0331,True
SMA30,INFY,2076,-0.023,0.294,False
EMA30,INFY,2098,-0.0288,0.1877,False
SMA30,ITC,2076,-0.0305,0.1647,False
EMA30,ITC,2098,-0.0252,0.2478,False
SMA30,JSWSTEEL,2085,0.0132,0.5466,False
EMA30,JSWSTEEL,2106,0.0017,0.937,False
SMA30,NATIONALUM,2085,-0.0331,0.1308,False
EMA30,NATIONALUM,2106,-0.0327,0.1332,False
SMA30,NTPC,2085,-0.0234,0.2858,False
EMA30,NTPC,2106,-0.0296,0.1742,False
SMA30,ONGC,2085,0.0027,0.9012,False
EMA30,ONGC,2106,-0.0029,0.8925,False
SMA30,PNB,2085,0.0307,0.1618,False
EMA30,PNB,2106,0.0273,0.2111,False
SMA30,POWERGRID,2085,-0.0813,0.0002,True
EMA30,POWERGRID,2106,-0.0908,0.0,True
SMA30,RELIANCE,2085,-0.0046,0.8343,False
EMA30,RELIANCE,2106,-0.0113,0.6039,False
SMA30,SBIN,2082,0.0231,0.2926,False
EMA30,SBIN,2104,0.0209,0.3377,False
SMA30,SUNPHARMA,2085,-0.0251,0.2517,False
EMA30,SUNPHARMA,2106,-0.0236,0.2784,False
SMA30,TATAMOTORS,2085,0.0583,0.0078,True
EMA30,TATAMOTORS,2106,0.0548,0.012,True
SMA30,TATASTEEL,2085,0.0229,0.296,False
EMA30,TATASTEEL,2106,0.0179,0.4107,False
SMA30,TECHM,2085,0.0118,0.5901,False
EMA30,TECHM,2106,0.008,0.7141,False
SMA30,VEDL,2085,0.0354,0.1062,False
EMA30,VEDL,2106,0.0312,0.1528,False
SMA30,WIPRO,2085,0.0208,0.3431,False
EMA30,WIPRO,2106,0.0248,0.2551,False
SMA40,ADANIPORTS,2077,-0.0164,0.4564,False
EMA40,ADANIPORTS,2106,-0.0222,0.3091,False
SMA40,ASHOKLEY,2077,-0.0102,0.6412,False
EMA40,ASHOKLEY,2106,-0.0139,0.5243,False
SMA40,AXISBANK,2077,-0.012,0.5859,False
EMA40,AXISBANK,2106,-0.0153,0.4837,False
SMA40,BAJFINANCE,2105,0.0388,0.0748,False
EMA40,BAJFINANCE,2134,0.0253,0.2421,False
SMA40,BANDHANBNK,1500,0.0068,0.7936,False
EMA40,BANDHANBNK,1530,-0.0025,0.9229,False
SMA40,BHARTIARTL,2077,-0.0341,0.1201,False
EMA40,BHARTIARTL,2106,-0.0389,0.0743,False
SMA40,CIPLA,2028,-0.0186,0.4024,False
EMA40,CIPLA,2057,-0.0204,0.3542,False
SMA40,COALINDIA,2077,-0.0118,0.5901,False
EMA40,COALINDIA,2106,-0.0194,0.3728,False
SMA40,DABUR,2077,-0.0588,0.0074,True
EMA40,DABUR,2106,-0.0716,0.001,True
SMA40,DIVISLAB,2077,-0.0028,0.9,False
EMA40,DIVISLAB,2106,0.0019,0.9307,False
SMA40,HDFCBANK,2077,-0.0173,0.4297,False
EMA40,HDFCBANK,2106,-0.0233,0.2851,False
SMA40,HINDALCO,2077,0.0185,0.4005,False
EMA40,HINDALCO,2106,0.0166,0.4459,False
SMA40,ICICIBANK,2069,-0.0305,0.1654,False
EMA40,ICICIBANK,2098,-0.0285,0.1917,False
SMA40,INDUSINDBK,2077,0.0431,0.0493,True
EMA40,INDUSINDBK,2106,0.0421,0.0535,False
SMA40,INFY,2069,-0.0273,0.214,False
EMA40,INFY,2098,-0.0276,0.2071,False
SMA40,ITC,2069,-0.0244,0.2672,False
EMA40,ITC,2098,-0.0251,0.2505,False
SMA40,JSWSTEEL,2077,0.0124,0.5724,False
EMA40,JSWSTEEL,2106,0.0051,0.8142,False
SMA40,NATIONALUM,2077,-0.0334,0.1276,False
EMA40,NATIONALUM,2106,-0.0313,0.1516,False
SMA40,NTPC,2077,-0.0288,0.1897,False
EMA40,NTPC,2106,-0.0345,0.1132,False
SMA40,ONGC,2077,0.0031,0.886,False
EMA40,ONGC,2106,-0.0018,0.9341,False
SMA40,PNB,2077,0.0247,0.26,False
EMA40,PNB,2106,0.0242,0.2673,False
SMA40,POWERGRID,2077,-0.0845,0.0001,True
