ma_type,symbol,n,r,p,significant
SMA200,ADANIPORTS,1957,-0.0081,0.7213,False
EMA200,ADANIPORTS,2106,-0.0172,0.4289,False
SMA200,ASHOKLEY,1957,-0.0051,0.8203,False
EMA200,ASHOKLEY,2106,-0.0127,0.5604,False
SMA200,AXISBANK,1957,-0.0181,0.4225,False
EMA200,AXISBANK,2106,-0.0227,0.2981,False
SMA200,BAJFINANCE,1985,-0.0188,0.4024,False
EMA200,BAJFINANCE,2134,-0.0159,0.4628,False
SMA200,BANDHANBNK,1380,-0.0573,0.0333,True
EMA200,BANDHANBNK,1530,-0.0504,0.0486,True
SMA200,BHARTIARTL,1957,-0.0303,0.1803,False
EMA200,BHARTIARTL,2106,-0.0365,0.0945,False
SMA200,CIPLA,1908,-0.0153,0.5051,False
EMA200,CIPLA,2057,-0.0233,0.2919,False
SMA200,COALINDIA,1957,0.003,0.8928,False
EMA200,COALINDIA,2106,-0.0174,0.4245,False
SMA200,DABUR,1957,-0.0722,0.0014,True
EMA200,DABUR,2106,-0.0788,0.0003,True
SMA200,DIVISLAB,1957,0.0077,0.733,False
EMA200,DIVISLAB,2106,0.0033,0.8807,False
SMA200,HDFCBANK,1957,-0.0249,0.2706,False
EMA200,HDFCBANK,2106,-0.0288,0.1858,False
SMA200,HINDALCO,1957,0.005,0.8248,False
EMA200,HINDALCO,2106,0.0127,0.5589,False
SMA200,ICICIBANK,1949,-0.0319,0.1591,False
EMA200,ICICIBANK,2098,-0.0242,0.2683,False
SMA200,INDUSINDBK,1957,0.0101,0.655,False
EMA200,INDUSINDBK,2106,0.0071,0.743,False
SMA200,INFY,1949,-0.0019,0.9318,False
EMA200,INFY,2098,-0.0115,0.5994,False
SMA200,ITC,1949,-0.0109,0.631,False
EMA200,ITC,2098,-0.0124,0.5702,False
SMA200,JSWSTEEL,1957,0.0152,0.5012,False
EMA200,JSWSTEEL,2106,0.0093,0.6684,False
SMA200,NATIONALUM,1957,-0.0011,0.9618,False
EMA200,NATIONALUM,2106,-0.0081,0.7101,False
SMA200,NTPC,1957,-0.0139,0.5397,False
EMA200,NTPC,2106,-0.0274,0.2086,False
SMA200,ONGC,1957,0.0086,0.7052,False
EMA200,ONGC,2106,-0.0001,0.9975,False
SMA200,PNB,1957,0.0088,0.6963,False
EMA200,PNB,2106,0.0034,0.8744,False
SMA200,POWERGRID,1957,-0.0454,0.0444,True
EMA200,POWERGRID,2106,-0.054,0.0132,True
SMA200,RELIANCE,1957,-0.0435,0.0542,False
EMA200,RELIANCE,2106,-0.0406,0.0626,False
SMA200,SBIN,1955,0.0047,0.8342,False
EMA200,SBIN,2104,-0.0017,0.9367,False
SMA200,SUNPHARMA,1957,-0.0222,0.3258,False
EMA200,SUNPHARMA,2106,-0.0234,0.2823,False
SMA200,TATAMOTORS,1957,0.0287,0.2045,False
EMA200,TATAMOTORS,2106,0.0296,0.1743,False
SMA200,TATASTEEL,1957,0.0216,0.3393,False
EMA200,TATASTEEL,2106,0.0235,0.2818,False
SMA200,TECHM,1957,0.0046,0.8398,False
EMA200,TECHM,2106,0.0099,0.6488,False
SMA200,VEDL,1957,0.0259,0.2524,False
EMA200,VEDL,2106,0.0243,0.2645,False
SMA200,WIPRO,1957,0.0403,0.0748,False
EMA200,WIPRO,2106,0.0312,0.1529,False
