sl,tp,n,pf,zpf,shd,zshd,sl_hit_pct,tp_hit_pct,eod_plus_pct,eod_minus_pct
1.5,2.0,339679,1.086,0.67,2.337,-10.203,48.5,38.9,7.5,5.2
1.5,2.5,300409,1.096,0.708,2.318,-8.201,51.7,31.7,10.9,5.7
1.5,3.0,272887,1.101,0.731,2.205,-6.886,53.9,26.0,14.2,5.9
1.5,3.5,252720,1.103,0.745,2.067,-6.05,55.3,21.3,17.4,6.0
1.5,4.0,237952,1.106,0.756,2.008,-5.453,56.5,17.4,20.2,5.9
1.5,4.5,226591,1.107,0.763,1.921,-5.027,57.3,14.1,22.7,5.9
1.5,5.0,218165,1.107,0.767,1.863,-4.739,57.9,11.5,24.8,5.8
1.5,5.5,211865,1.107,0.771,1.818,-4.55,58.4,9.4,26.5,5.7
1.5,6.0,207177,1.107,0.773,1.777,-4.423,58.8,7.7,27.9,5.6
2.0,2.0,286440,1.091,0.709,2.229,-8.101,39.5,43.2,8.8,8.6
2.0,2.5,252566,1.099,0.747,2.182,-6.416,42.3,35.6,12.7,9.4
2.0,3.0,229084,1.104,0.77,2.097,-5.366,44.4,29.3,16.6,9.8
2.0,3.5,212149,1.109,0.786,2.032,-4.62,45.8,24.1,20.2,9.9
2.0,4.0,199630,1.114,0.798,2.017,-4.128,46.9,19.8,23.5,9.9
2.0,4.5,190112,1.114,0.804,1.906,-3.802,47.7,16.1,26.4,9.7
2.0,5.0,182976,1.113,0.808,1.852,-3.611,48.4,13.2,28.8,9.6
2.0,5.5,177556,1.112,0.81,1.786,-3.478,48.9,10.8,30.8,9.5
2.0,6.0,173508,1.112,0.813,1.751,-3.365,49.4,8.8,32.5,9.3
2.5,2.0,251674,1.086,0.727,1.898,-6.896,32.3,46.0,9.5,12.2
2.5,2.5,221389,1.094,0.765,1.888,-5.439,34.8,38.1,13.7,13.4
2.5,3.0,200787,1.098,0.787,1.83,-4.555,36.6,31.5,18.0,14.0
2.5,3.5,186015,1.101,0.802,1.757,-3.951,37.9,26.1,21.8,14.2
2.5,4.0,175152,1.105,0.813,1.728,-3.532,38.9,21.5,25.3,14.3
2.5,4.5,166808,1.105,0.819,1.654,-3.255,39.8,17.5,28.5,14.2
2.5,5.0,160537,1.103,0.822,1.579,-3.126,40.4,14.4,31.2,14.0
2.5,5.5,155840,1.101,0.824,1.535,-3.026,40.9,11.8,33.4,13.9
2.5,6.0,152244,1.101,0.826,1.508,-2.925,41.3,9.7,35.3,13.7
3.0,2.0,228611,1.085,0.741,1.738,-6.062,26.5,48.0,10.0,15.6
3.0,2.5,201046,1.094,0.778,1.752,-4.765,28.7,39.9,14.4,17.1
3.0,3.0,182194,1.099,0.801,1.721,-3.964,30.2,33.1,18.8,17.9
3.0,3.5,168942,1.101,0.815,1.638,-3.456,31.4,27.5,22.9,18.2
3.0,4.0,159200,1.104,0.826,1.614,-3.093,32.3,22.7,26.6,18.3
3.0,4.5,151569,1.103,0.832,1.543,-2.854,33.2,18.6,30.0,18.3
3.0,5.0,145897,1.102,0.835,1.483,-2.716,33.8,15.3,32.8,18.2
3.0,5.5,141579,1.101,0.837,1.445,-2.636,34.2,12.5,35.2,18.1
3.0,6.0,138255,1.099,0.838,1.404,-2.563,34.6,10.3,37.1,17.9
3.5,2.0,212112,1.084,0.749,1.623,-5.534,21.9,49.2,10.2,18.7
3.5,2.5,186517,1.094,0.788,1.672,-4.316,23.7,41.1,14.7,20.5
3.5,3.0,169177,1.102,0.812,1.674,-3.548,25.1,34.2,19.2,21.5
3.5,3.5,156832,1.104,0.826,1.61,-3.068,26.1,28.5,23.5,22.0
3.5,4.0,147889,1.108,0.838,1.602,-2.724,27.0,23.6,27.3,22.1
3.5,4.5,140894,1.107,0.843,1.522,-2.524,27.7,19.4,30.8,22.1
3.5,5.0,135574,1.106,0.846,1.466,-2.397,28.3,16.0,33.8,22.0
3.5,5.5,131533,1.105,0.849,1.431,-2.326,28.7,13.1,36.2,22.0
3.5,6.0,128431,1.104,0.851,1.4,-2.254,29.1,10.9,38.2,21.8
4.0,2.0,199873,1.084,0.755,1.52,-5.112,18.1,50.2,10.3,21.5
4.0,2.5,175877,1.094,0.794,1.58,-3.977,19.6,42.0,14.8,23.6
4.0,3.0,159529,1.101,0.818,1.587,-3.277,20.8,35.1,19.4,24.7
4.0,3.5,148017,1.105,0.833,1.555,-2.819,21.7,29.3,23.7,25.3
4.0,4.0,139496,1.109,0.845,1.546,-2.505,22.6,24.3,27.7,25.5
4.0,4.5,132873,1.107,0.849,1.461,-2.331,23.2,20.0,31.3,25.5
4.0,5.0,127886,1.107,0.853,1.416,-2.205,23.7,16.5,34.3,25.5
4.0,5.5,124093,1.106,0.856,1.385,-2.133,24.1,13.6,36.8,25.5
4.0,6.0,121169,1.104,0.857,1.348,-2.071,24.4,11.3,38.9,25.4
4.5,2.0,190713,1.083,0.759,1.439,-4.795,15.0,50.9,10.3,23.9
4.5,2.5,167836,1.096,0.799,1.538,-3.715,16.3,42.7,14.8,26.2
4.5,3.0,152330,1.102,0.823,1.545,-3.064,17.3,35.7,19.4,27.6
4.5,3.5,141408,1.106,0.838,1.509,-2.631,18.1,29.9,23.7,28.3
4.5,4.0,133243,1.111,0.851,1.514,-2.318,18.8,24.9,27.7,28.6
4.5,4.5,126932,1.109,0.855,1.439,-2.157,19.3,20.5,31.4,28.7
4.5,5.0,122146,1.109,0.859,1.395,-2.04,19.8,17.0,34.5,28.8
4.5,5.5,118467,1.109,0.862,1.372,-1.961,20.1,14.1,37.0,28.7
4.5,6.0,115676,1.107,0.864,1.338,-1.907,20.4,11.7,39.2,28.7
5.0,2.0,183996,1.081,0.761,1.362,-4.645,12.5,51.4,10.2,25.9
5.0,2.5,161944,1.094,0.801,1.475,-3.587,13.6,43.2,14.8,28.4
5.0,3.0,147024,1.101,0.825,1.491,-2.955,14.5,36.2,19.4,29.9
5.0,3.5,136538,1.105,0.84,1.457,-2.543,15.2,30.4,23.7,30.7
5.0,4.0,128635,1.109,0.853,1.464,-2.246,15.8,25.3,27.8,31.1
5.0,4.5,122516,1.108,0.857,1.392,-2.088,16.3,21.0,31.5,31.3
5.0,5.0,117887,1.108,0.862,1.356,-1.954,16.7,17.4,34.6,31.3
5.0,5.5,114328,1.108,0.865,1.333,-1.879,17.0,14.4,37.2,31.4
5.0,6.0,111604,1.106,0.866,1.298,-1.831,17.2,12.0,39.5,31.3
5.5,2.0,178812,1.084,0.765,1.372,-4.453,10.4,51.8,10.2,27.6
5.5,2.5,157445,1.098,0.806,1.49,-3.419,11.4,43.6,14.8,30.2
5.5,3.0,142868,1.104,0.829,1.488,-2.822,12.1,36.6,19.4,31.8
5.5,3.5,132622,1.107,0.844,1.451,-2.421,12.8,30.7,23.8,32.7
5.5,4.0,125001,1.113,0.857,1.468,-2.118,13.3,25.7,27.9,33.2
5.5,4.5,119067,1.111,0.863,1.401,-1.963,13.8,21.3,31.6,33.4
5.5,5.0,114563,1.11,0.866,1.355,-1.861,14.1,17.7,34.7,33.5
5.5,5.5,111090,1.11,0.869,1.327,-1.791,14.4,14.7,37.4,33.6
5.5,6.0,108423,1.108,0.87,1.295,-1.742,14.6,12.2,39.7,33.5
6.0,2.0,174879,1.083,0.766,1.324,-4.317,8.8,52.1,10.1,29.0
6.0,2.5,153973,1.096,0.807,1.436,-3.323,9.6,43.9,14.7,31.8
6.0,3.0,139764,1.104,0.831,1.454,-2.726,10.3,36.9,19.3,33.5
6.0,3.5,129780,1.109,0.847,1.442,-2.326,10.8,31.0,23.7,34.4
6.0,4.0,122281,1.113,0.86,1.447,-2.042,11.2,26.0,27.8,35.0
6.0,4.5,116432,1.113,0.865,1.39,-1.884,11.6,21.5,31.6,35.3
6.0,5.0,112036,1.112,0.869,1.345,-1.784,11.9,17.9,34.7,35.4
6.0,5.5,108628,1.111,0.871,1.317,-1.718,12.2,14.9,37.4,35.5
6.0,6.0,106014,1.109,0.872,1.275,-1.681,12.4,12.4,39.7,35.5
