sl,tp,n,pf,zpf,shd,zshd,sl_hit_pct,tp_hit_pct,eod_plus_pct,eod_minus_pct
1.5,2.0,138345,1.166,0.684,3.183,-8.379,45.7,39.7,8.4,6.3
1.5,2.5,125482,1.174,0.724,3.032,-6.556,48.5,32.6,11.9,6.9
1.5,3.0,116327,1.193,0.756,3.048,-5.232,50.3,26.9,15.5,7.3
1.5,3.5,109554,1.203,0.776,2.943,-4.382,51.5,22.3,18.7,7.4
1.5,4.0,104571,1.211,0.791,2.9,-3.86,52.5,18.5,21.5,7.5
1.5,4.5,100682,1.216,0.8,2.806,-3.465,53.2,15.2,24.2,7.5
1.5,5.0,97668,1.218,0.805,2.78,-3.3,53.7,12.6,26.3,7.4
1.5,5.5,95326,1.218,0.807,2.735,-3.177,54.1,10.4,28.2,7.3
1.5,6.0,93617,1.22,0.811,2.718,-3.065,54.5,8.6,29.7,7.2
2.0,2.0,127357,1.163,0.718,2.879,-6.593,36.5,43.9,9.6,10.0
2.0,2.5,115194,1.173,0.76,2.795,-5.099,39.0,36.3,13.7,11.0
2.0,3.0,106561,1.19,0.792,2.828,-4.042,40.6,30.1,17.7,11.5
2.0,3.5,100227,1.199,0.812,2.76,-3.372,41.8,24.9,21.5,11.8
2.0,4.0,95571,1.207,0.826,2.733,-2.94,42.7,20.7,24.8,11.9
2.0,4.5,91967,1.21,0.834,2.642,-2.667,43.4,17.0,27.8,11.8
2.0,5.0,89145,1.209,0.838,2.577,-2.53,44.0,14.0,30.3,11.7
2.0,5.5,86953,1.211,0.841,2.534,-2.408,44.4,11.6,32.4,11.6
2.0,6.0,85397,1.212,0.845,2.524,-2.313,44.7,9.6,34.1,11.5
2.5,2.0,121203,1.161,0.737,2.648,-5.617,29.5,46.4,10.3,13.8
2.5,2.5,109355,1.173,0.78,2.61,-4.235,31.6,38.6,14.7,15.2
2.5,3.0,101065,1.19,0.813,2.654,-3.324,33.0,32.1,19.0,15.9
2.5,3.5,95028,1.197,0.831,2.571,-2.776,34.1,26.6,23.0,16.2
2.5,4.0,90613,1.201,0.844,2.521,-2.444,34.9,22.1,26.5,16.4
2.5,4.5,87118,1.204,0.851,2.438,-2.212,35.6,18.2,29.8,16.3
2.5,5.0,84441,1.204,0.855,2.407,-2.112,36.1,15.1,32.5,16.3
2.5,5.5,82391,1.203,0.858,2.364,-2.031,36.5,12.4,34.9,16.2
2.5,6.0,80900,1.205,0.861,2.348,-1.95,36.8,10.3,36.8,16.0
3.0,2.0,117666,1.156,0.745,2.439,-5.098,23.9,48.1,10.8,17.3
3.0,2.5,106068,1.167,0.788,2.415,-3.861,25.6,40.1,15.3,19.0
3.0,3.0,97939,1.183,0.82,2.455,-3.03,26.9,33.4,19.8,19.9
3.0,3.5,92072,1.189,0.838,2.384,-2.535,27.8,27.7,24.0,20.4
3.0,4.0,87772,1.193,0.85,2.327,-2.231,28.6,23.1,27.7,20.6
3.0,4.5,84371,1.194,0.858,2.255,-2.019,29.2,19.0,31.2,20.6
3.0,5.0,81776,1.196,0.863,2.221,-1.892,29.7,15.7,34.1,20.6
3.0,5.5,79795,1.196,0.866,2.193,-1.817,30.0,13.0,36.5,20.5
3.0,6.0,78317,1.197,0.869,2.179,-1.756,30.3,10.8,38.5,20.4
3.5,2.0,115612,1.155,0.751,2.322,-4.734,19.5,49.1,11.0,20.4
3.5,2.5,104127,1.166,0.794,2.3,-3.576,21.0,41.0,15.6,22.4
3.5,3.0,96106,1.181,0.826,2.341,-2.797,22.0,34.2,20.3,23.5
3.5,3.5,90321,1.187,0.844,2.279,-2.34,22.8,28.5,24.6,24.1
3.5,4.0,86072,1.191,0.856,2.229,-2.059,23.5,23.7,28.4,24.4
3.5,4.5,82717,1.193,0.864,2.168,-1.857,24.1,19.5,32.0,24.4
3.5,5.0,80161,1.195,0.869,2.146,-1.734,24.5,16.1,35.0,24.4
3.5,5.5,78202,1.196,0.872,2.122,-1.664,24.8,13.4,37.5,24.3
3.5,6.0,76734,1.195,0.874,2.104,-1.625,25.1,11.1,39.6,24.2
4.0,2.0,114322,1.151,0.753,2.185,-4.492,15.9,49.8,11.1,23.2
4.0,2.5,102918,1.162,0.796,2.177,-3.412,17.1,41.6,15.9,25.5
4.0,3.0,94975,1.177,0.827,2.229,-2.681,18.0,34.7,20.6,26.7
4.0,3.5,89215,1.182,0.845,2.166,-2.264,18.8,28.9,25.0,27.3
4.0,4.0,84987,1.185,0.856,2.124,-2.002,19.4,24.1,28.9,27.7
4.0,4.5,81667,1.186,0.864,2.062,-1.819,19.9,19.8,32.5,27.8
4.0,5.0,79130,1.189,0.87,2.038,-1.681,20.2,16.4,35.6,27.8
4.0,5.5,77181,1.19,0.873,2.017,-1.613,20.5,13.6,38.1,27.7
4.0,6.0,75730,1.189,0.875,1.997,-1.57,20.8,11.3,40.2,27.7
4.5,2.0,113549,1.144,0.752,2.029,-4.353,13.0,50.2,11.2,25.6
4.5,2.5,102177,1.158,0.796,2.065,-3.298,13.9,42.0,16.0,28.1
4.5,3.0,94263,1.173,0.828,2.126,-2.598,14.7,35.1,20.7,29.5
4.5,3.5,88536,1.178,0.845,2.069,-2.198,15.3,29.2,25.2,30.2
4.5,4.0,84321,1.181,0.857,2.033,-1.944,15.8,24.3,29.2,30.6
4.5,4.5,81004,1.181,0.863,1.968,-1.779,16.3,20.1,32.9,30.7
4.5,5.0,78480,1.183,0.869,1.937,-1.657,16.6,16.6,35.9,30.8
4.5,5.5,76533,1.184,0.872,1.919,-1.59,16.9,13.8,38.6,30.8
4.5,6.0,75092,1.183,0.874,1.898,-1.549,17.1,11.5,40.7,30.7
5.0,2.0,113008,1.138,0.749,1.891,-4.274,10.7,50.5,11.3,27.5
5.0,2.5,101662,1.151,0.793,1.938,-3.255,11.4,42.3,16.1,30.2
5.0,3.0,93754,1.166,0.825,2.006,-2.578,12.1,35.3,20.9,31.7
5.0,3.5,88041,1.171,0.843,1.961,-2.185,12.6,29.5,25.3,32.5
5.0,4.0,83831,1.174,0.854,1.931,-1.938,13.1,24.5,29.3,33.1
5.0,4.5,80512,1.174,0.861,1.866,-1.781,13.4,20.2,33.1,33.2
5.0,5.0,77982,1.176,0.866,1.84,-1.659,13.7,16.8,36.2,33.3
5.0,5.5,76045,1.177,0.87,1.825,-1.591,14.0,13.9,38.8,33.3
5.0,6.0,74605,1.177,0.872,1.807,-1.546,14.2,11.6,41.0,33.3
5.5,2.0,112631,1.137,0.75,1.838,-4.155,8.7,50.7,11.3,29.3
5.5,2.5,101303,1.15,0.794,1.887,-3.171,9.4,42.4,16.1,32.1
5.5,3.0,93404,1.166,0.826,1.957,-2.509,9.9,35.5,20.9,33.7
5.5,3.5,87697,1.172,0.844,1.924,-2.114,10.4,29.6,25.4,34.6
5.5,4.0,83490,1.175,0.856,1.89,-1.876,10.7,24.7,29.5,35.1
5.5,4.5,80176,1.175,0.862,1.831,-1.717,11.1,20.4,33.2,35.3
5.5,5.0,77653,1.176,0.868,1.81,-1.615,11.3,16.9,36.3,35.5
5.5,5.5,75717,1.178,0.871,1.799,-1.544,11.5,14.0,39.0,35.5
5.5,6.0,74278,1.177,0.873,1.778,-1.505,11.7,11.6,41.2,35.5
6.0,2.0,112406,1.133,0.748,1.762,-4.11,7.2,50.8,11.3,30.7
6.0,2.5,101086,1.147,0.792,1.817,-3.151,7.8,42.5,16.1,33.6
6.0,3.0,93194,1.162,0.824,1.888,-2.503,8.2,35.6,20.9,35.3
6.0,3.5,87489,1.168,0.842,1.862,-2.112,8.6,29.7,25.5,36.2
6.0,4.0,83283,1.171,0.854,1.83,-1.879,8.9,24.7,29.5,36.8
6.0,4.5,79976,1.171,0.861,1.776,-1.719,9.2,20.4,33.3,37.1
6.0,5.0,77452,1.173,0.866,1.761,-1.613,9.4,16.9,36.4,37.3
6.0,5.5,75514,1.174,0.87,1.749,-1.545,9.6,14.1,39.1,37.3
6.0,6.0,74076,1.173,0.871,1.724,-1.51,9.7,11.7,41.2,37.3
