sl,tp,n,pf,zpf,shd,zshd,sl_hit_pct,tp_hit_pct,eod_plus_pct,eod_minus_pct
1.5,2.0,325725,1.066,0.659,1.672,-10.938,48.9,38.1,6.8,6.1
1.5,2.5,282249,1.072,0.693,1.604,-8.669,51.8,31.1,10.3,6.8
1.5,3.0,252711,1.078,0.716,1.546,-7.047,53.6,25.4,13.8,7.2
1.5,3.5,232253,1.083,0.731,1.534,-6.193,54.9,20.7,17.1,7.3
1.5,4.0,217200,1.09,0.743,1.57,-5.558,55.8,16.8,20.1,7.3
1.5,4.5,206146,1.091,0.75,1.506,-5.09,56.4,13.6,22.7,7.3
1.5,5.0,198337,1.093,0.755,1.485,-4.762,56.8,11.1,24.9,7.2
1.5,5.5,192406,1.098,0.761,1.503,-4.449,57.1,9.1,26.7,7.1
1.5,6.0,187946,1.103,0.766,1.526,-4.205,57.4,7.4,28.1,7.1
2.0,2.0,278526,1.063,0.693,1.447,-8.672,39.4,42.4,8.2,9.9
2.0,2.5,240572,1.066,0.726,1.349,-6.845,42.2,34.7,12.2,10.9
2.0,3.0,215089,1.069,0.745,1.261,-5.675,43.9,28.3,16.3,11.5
2.0,3.5,197602,1.072,0.759,1.24,-5.015,45.2,23.0,20.2,11.7
2.0,4.0,184891,1.078,0.772,1.29,-4.508,46.0,18.8,23.5,11.7
2.0,4.5,175407,1.079,0.777,1.229,-4.136,46.7,15.2,26.5,11.6
2.0,5.0,168676,1.081,0.783,1.217,-3.853,47.1,12.4,29.0,11.5
2.0,5.5,163719,1.083,0.787,1.214,-3.66,47.5,10.1,31.0,11.4
2.0,6.0,159929,1.087,0.792,1.241,-3.471,47.7,8.3,32.7,11.3
2.5,2.0,247574,1.061,0.714,1.274,-7.319,32.0,45.3,9.0,13.8
2.5,2.5,213404,1.063,0.745,1.188,-5.798,34.4,37.1,13.4,15.1
2.5,3.0,191051,1.064,0.764,1.102,-4.853,36.0,30.3,17.9,15.8
2.5,3.5,175519,1.066,0.776,1.078,-4.308,37.2,24.7,22.1,16.0
2.5,4.0,164495,1.069,0.786,1.079,-3.936,38.1,20.1,25.6,16.2
2.5,4.5,156057,1.068,0.79,1.008,-3.653,38.7,16.3,28.9,16.1
2.5,5.0,150084,1.071,0.796,1.021,-3.39,39.1,13.3,31.6,16.0
2.5,5.5,145671,1.072,0.799,1.004,-3.25,39.4,10.9,33.8,15.9
2.5,6.0,142241,1.076,0.805,1.039,-3.065,39.7,8.9,35.6,15.8
3.0,2.0,226707,1.058,0.726,1.132,-6.473,26.2,47.1,9.4,17.3
3.0,2.5,195571,1.057,0.754,1.009,-5.226,28.3,38.7,14.0,19.0
3.0,3.0,175094,1.059,0.773,0.97,-4.371,29.7,31.7,18.8,19.8
3.0,3.5,160968,1.06,0.785,0.936,-3.906,30.8,25.9,23.1,20.2
3.0,4.0,150942,1.062,0.795,0.938,-3.59,31.6,21.2,26.9,20.4
3.0,4.5,143276,1.061,0.798,0.87,-3.341,32.2,17.2,30.3,20.3
3.0,5.0,137819,1.063,0.804,0.867,-3.118,32.6,14.0,33.1,20.3
3.0,5.5,133813,1.063,0.806,0.843,-2.974,33.0,11.4,35.5,20.2
3.0,6.0,130705,1.067,0.811,0.875,-2.818,33.3,9.4,37.3,20.0
3.5,2.0,211897,1.056,0.734,1.029,-5.871,21.4,48.5,9.6,20.6
3.5,2.5,182892,1.055,0.762,0.919,-4.74,23.3,39.9,14.3,22.5
3.5,3.0,163847,1.058,0.782,0.899,-3.959,24.5,32.8,19.2,23.5
3.5,3.5,150685,1.059,0.793,0.878,-3.556,25.4,26.9,23.6,24.1
3.5,4.0,141377,1.062,0.803,0.883,-3.27,26.2,22.0,27.5,24.3
3.5,4.5,134196,1.06,0.807,0.828,-3.048,26.7,17.9,31.1,24.3
3.5,5.0,129140,1.06,0.81,0.797,-2.878,27.2,14.5,34.0,24.2
3.5,5.5,125360,1.061,0.813,0.781,-2.738,27.5,11.9,36.5,24.1
3.5,6.0,122438,1.063,0.817,0.795,-2.62,27.8,9.8,38.4,24.0
4.0,2.0,200684,1.056,0.74,0.982,-5.454,17.5,49.5,9.6,23.4
4.0,2.5,173196,1.056,0.769,0.896,-4.38,19.1,40.9,14.5,25.6
4.0,3.0,155228,1.058,0.788,0.862,-3.683,20.2,33.7,19.4,26.8
4.0,3.5,142852,1.059,0.799,0.838,-3.317,21.0,27.6,23.9,27.4
4.0,4.0,134010,1.061,0.808,0.838,-3.065,21.7,22.6,27.9,27.8
4.0,4.5,127259,1.06,0.813,0.798,-2.84,22.1,18.5,31.6,27.8
4.0,5.0,122444,1.059,0.816,0.762,-2.696,22.5,15.0,34.6,27.8
4.0,5.5,118855,1.06,0.819,0.745,-2.565,22.9,12.3,37.1,27.7
4.0,6.0,116082,1.061,0.821,0.741,-2.474,23.2,10.1,39.1,27.6
4.5,2.0,192270,1.061,0.748,1.019,-5.044,14.3,50.2,9.6,25.9
4.5,2.5,166026,1.062,0.777,0.946,-4.033,15.6,41.6,14.5,28.3
4.5,3.0,148860,1.063,0.795,0.891,-3.406,16.6,34.3,19.4,29.7
4.5,3.5,137012,1.064,0.807,0.867,-3.055,17.4,28.2,24.0,30.4
4.5,4.0,128545,1.065,0.815,0.863,-2.83,17.9,23.2,28.0,30.9
4.5,4.5,122053,1.064,0.819,0.811,-2.637,18.3,18.9,31.7,31.0
4.5,5.0,117442,1.062,0.822,0.773,-2.513,18.7,15.4,34.9,31.0
4.5,5.5,113973,1.064,0.826,0.762,-2.375,19.0,12.7,37.5,30.9
4.5,6.0,111306,1.064,0.828,0.757,-2.293,19.3,10.4,39.6,30.8
5.0,2.0,186234,1.059,0.75,0.957,-4.855,11.8,50.8,9.5,27.9
5.0,2.5,160777,1.059,0.779,0.884,-3.892,12.9,42.2,14.4,30.5
5.0,3.0,144229,1.06,0.797,0.838,-3.298,13.8,34.8,19.4,32.0
5.0,3.5,132733,1.062,0.809,0.829,-2.935,14.4,28.7,24.0,32.9
5.0,4.0,124572,1.063,0.817,0.818,-2.729,14.9,23.6,28.1,33.4
5.0,4.5,118264,1.061,0.821,0.768,-2.555,15.3,19.3,31.9,33.5
5.0,5.0,113770,1.059,0.823,0.722,-2.444,15.7,15.7,35.1,33.6
5.0,5.5,110392,1.061,0.827,0.715,-2.3,15.9,12.9,37.7,33.5
5.0,6.0,107810,1.062,0.83,0.713,-2.223,16.1,10.6,39.8,33.4
5.5,2.0,181421,1.06,0.753,0.949,-4.655,9.7,51.3,9.4,29.6
5.5,2.5,156633,1.061,0.783,0.885,-3.725,10.6,42.6,14.3,32.4
5.5,3.0,140551,1.061,0.8,0.829,-3.17,11.4,35.2,19.3,34.1
5.5,3.5,129354,1.063,0.812,0.819,-2.823,11.9,29.0,24.0,35.0
5.5,4.0,121370,1.065,0.821,0.818,-2.612,12.4,23.9,28.1,35.6
5.5,4.5,115218,1.063,0.825,0.771,-2.437,12.8,19.6,31.9,35.8
5.5,5.0,110811,1.061,0.827,0.726,-2.327,13.0,16.0,35.1,35.9
5.5,5.5,107552,1.062,0.831,0.713,-2.198,13.3,13.1,37.8,35.8
5.5,6.0,105010,1.063,0.833,0.709,-2.129,13.5,10.8,39.9,35.8
6.0,2.0,177814,1.061,0.755,0.942,-4.53,8.0,51.6,9.4,31.0
6.0,2.5,153471,1.061,0.784,0.869,-3.626,8.8,42.9,14.3,34.0
