sl,tp,n,pf,zpf,shd,zshd,sl_hit_pct,tp_hit_pct,eod_plus_pct,eod_minus_pct
1.5,2.0,336777,0.923,0.569,-2.308,-15.36,52.9,34.9,6.3,5.8
1.5,2.5,297205,0.928,0.598,-1.917,-12.87,56.0,28.3,9.3,6.4
1.5,3.0,270553,0.931,0.616,-1.694,-11.267,58.1,23.1,12.1,6.7
1.5,3.5,251455,0.932,0.626,-1.549,-10.193,59.4,19.0,14.8,6.9
1.5,4.0,237164,0.933,0.634,-1.427,-9.37,60.3,15.5,17.2,6.9
1.5,4.5,226393,0.933,0.638,-1.349,-8.728,61.0,12.8,19.3,6.9
1.5,5.0,218414,0.934,0.642,-1.29,-8.334,61.5,10.6,21.0,6.9
1.5,5.5,212337,0.932,0.643,-1.286,-8.056,61.9,8.7,22.5,6.8
1.5,6.0,207700,0.934,0.646,-1.216,-7.751,62.2,7.3,23.7,6.8
2.0,2.0,286439,0.915,0.596,-2.259,-12.64,43.6,39.1,7.6,9.8
2.0,2.5,251673,0.92,0.624,-1.922,-10.609,46.4,31.8,11.1,10.6
2.0,3.0,228610,0.921,0.64,-1.758,-9.335,48.4,26.0,14.4,11.1
2.0,3.5,212111,0.921,0.65,-1.638,-8.508,49.7,21.4,17.5,11.3
2.0,4.0,199872,0.922,0.657,-1.531,-7.842,50.7,17.6,20.3,11.5
2.0,4.5,190712,0.923,0.662,-1.446,-7.325,51.4,14.5,22.7,11.5
2.0,5.0,183995,0.925,0.667,-1.37,-7.002,52.0,11.9,24.7,11.4
2.0,5.5,178811,0.922,0.667,-1.381,-6.803,52.4,9.9,26.4,11.3
2.0,6.0,174878,0.923,0.669,-1.332,-6.566,52.7,8.2,27.8,11.3
2.5,2.0,252565,0.909,0.611,-2.199,-10.925,36.0,41.9,8.3,13.8
2.5,2.5,221388,0.914,0.639,-1.903,-9.208,38.5,34.3,12.2,14.9
2.5,3.0,201045,0.914,0.655,-1.766,-8.168,40.4,28.2,15.8,15.6
2.5,3.5,186516,0.913,0.664,-1.682,-7.498,41.6,23.2,19.2,16.0
2.5,4.0,175876,0.914,0.67,-1.587,-6.941,42.6,19.0,22.2,16.2
2.5,4.5,167835,0.912,0.674,-1.541,-6.56,43.3,15.7,24.9,16.2
2.5,5.0,161943,0.914,0.678,-1.478,-6.288,43.8,13.0,27.1,16.2
2.5,5.5,157444,0.911,0.678,-1.492,-6.129,44.2,10.7,28.9,16.1
2.5,6.0,153972,0.912,0.68,-1.437,-5.92,44.6,9.0,30.4,16.0
3.0,2.0,229083,0.905,0.621,-2.114,-9.742,29.7,43.9,8.7,17.7
3.0,2.5,200786,0.91,0.649,-1.843,-8.263,32.0,36.1,12.8,19.2
3.0,3.0,182193,0.909,0.664,-1.732,-7.372,33.7,29.7,16.6,20.1
3.0,3.5,169176,0.907,0.671,-1.682,-6.8,34.8,24.5,20.2,20.6
3.0,4.0,159528,0.908,0.678,-1.591,-6.326,35.7,20.2,23.4,20.8
3.0,4.5,152329,0.907,0.681,-1.549,-6.002,36.4,16.6,26.2,20.8
3.0,5.0,147023,0.908,0.685,-1.493,-5.766,36.9,13.8,28.5,20.8
3.0,5.5,142867,0.906,0.686,-1.489,-5.609,37.3,11.5,30.5,20.8
3.0,6.0,139763,0.906,0.688,-1.455,-5.441,37.6,9.6,32.1,20.7
3.5,2.0,212148,0.901,0.627,-2.043,-8.876,24.6,45.3,8.8,21.3
3.5,2.5,186014,0.907,0.656,-1.765,-7.541,26.6,37.3,13.0,23.0
3.5,3.0,168941,0.908,0.671,-1.646,-6.74,28.1,30.8,16.9,24.2
3.5,3.5,156831,0.905,0.678,-1.615,-6.24,29.1,25.5,20.6,24.8
3.5,4.0,148016,0.905,0.684,-1.557,-5.848,30.0,21.1,23.9,25.1
3.5,4.5,141407,0.904,0.687,-1.513,-5.545,30.6,17.4,26.9,25.1
3.5,5.0,136537,0.905,0.691,-1.459,-5.335,31.1,14.5,29.3,25.1
3.5,5.5,132621,0.903,0.692,-1.452,-5.186,31.5,12.0,31.3,25.2
3.5,6.0,129779,0.902,0.693,-1.442,-5.065,31.8,10.0,33.1,25.1
4.0,2.0,199629,0.897,0.63,-2.026,-8.393,20.3,46.4,8.8,24.6
4.0,2.5,175151,0.905,0.66,-1.735,-7.103,22.0,38.4,13.0,26.6
4.0,3.0,159199,0.906,0.675,-1.623,-6.368,23.3,31.7,17.0,27.9
4.0,3.5,147888,0.902,0.681,-1.609,-5.922,24.3,26.3,20.8,28.7
