sl,tp,n,pf,zpf,shd,zshd,sl_hit_pct,tp_hit_pct,eod_plus_pct,eod_minus_pct
1.5,2.0,337572,0.943,0.582,-1.541,-12.405,52.2,34.9,7.5,5.4
1.5,2.5,300954,0.941,0.608,-1.445,-10.759,55.4,28.0,10.7,5.9
1.5,3.0,275828,0.942,0.625,-1.302,-9.556,57.5,22.6,13.7,6.2
1.5,3.5,257768,0.944,0.636,-1.182,-8.683,58.9,18.3,16.5,6.3
1.5,4.0,244263,0.945,0.643,-1.106,-8.094,59.9,14.9,19.0,6.3
1.5,4.5,234137,0.941,0.646,-1.127,-7.708,60.6,12.1,21.1,6.2
1.5,5.0,226842,0.943,0.65,-1.053,-7.354,61.2,9.8,22.8,6.1
1.5,5.5,220987,0.943,0.653,-1.024,-7.079,61.6,8.0,24.3,6.0
1.5,6.0,216713,0.942,0.654,-1.015,-6.91,62.0,6.5,25.5,6.0
2.0,2.0,278526,0.938,0.611,-1.504,-10.432,42.8,39.0,8.9,9.2
2.0,2.5,247574,0.941,0.64,-1.318,-8.98,45.7,31.6,12.6,10.1
2.0,3.0,226707,0.944,0.658,-1.16,-7.944,47.6,25.7,16.1,10.6
2.0,3.5,211897,0.946,0.67,-1.046,-7.196,48.9,20.9,19.4,10.7
2.0,4.0,200684,0.946,0.677,-0.997,-6.728,50.0,17.0,22.3,10.8
2.0,4.5,192270,0.942,0.678,-1.033,-6.42,50.8,13.8,24.7,10.7
2.0,5.0,186234,0.944,0.683,-0.968,-6.126,51.3,11.3,26.7,10.6
2.0,5.5,181421,0.943,0.684,-0.958,-5.922,51.8,9.2,28.5,10.5
2.0,6.0,177814,0.942,0.686,-0.95,-5.784,52.1,7.4,30.0,10.5
2.5,2.0,240572,0.936,0.629,-1.393,-8.934,35.1,41.7,9.7,13.4
2.5,2.5,213404,0.939,0.658,-1.227,-7.687,37.6,33.9,13.8,14.7
2.5,3.0,195571,0.945,0.678,-1.033,-6.796,39.3,27.7,17.7,15.3
2.5,3.5,182892,0.947,0.689,-0.939,-6.162,40.5,22.7,21.2,15.7
2.5,4.0,173196,0.946,0.696,-0.915,-5.774,41.5,18.5,24.3,15.8
2.5,4.5,166026,0.941,0.696,-0.955,-5.519,42.2,15.0,27.0,15.8
2.5,5.0,160777,0.944,0.702,-0.887,-5.259,42.8,12.3,29.2,15.7
2.5,5.5,156633,0.943,0.703,-0.887,-5.101,43.2,10.0,31.2,15.6
2.5,6.0,153471,0.942,0.705,-0.872,-4.97,43.6,8.1,32.8,15.5
3.0,2.0,215089,0.934,0.64,-1.291,-7.876,28.8,43.4,10.3,17.5
3.0,2.5,191051,0.938,0.67,-1.13,-6.784,30.9,35.5,14.5,19.2
3.0,3.0,175094,0.943,0.689,-0.981,-6.029,32.3,29.2,18.4,20.1
3.0,3.5,163847,0.944,0.7,-0.907,-5.487,33.4,23.9,22.2,20.5
3.0,4.0,155228,0.945,0.706,-0.87,-5.142,34.3,19.5,25.5,20.7
3.0,4.5,148860,0.941,0.708,-0.896,-4.923,35.0,15.9,28.3,20.7
3.0,5.0,144229,0.943,0.713,-0.839,-4.706,35.5,13.1,30.7,20.7
3.0,5.5,140551,0.942,0.715,-0.831,-4.563,35.9,10.7,32.8,20.6
3.0,6.0,137762,0.943,0.717,-0.81,-4.439,36.2,8.7,34.5,20.6
3.5,2.0,197602,0.932,0.647,-1.267,-7.348,23.5,44.7,10.4,21.4
3.5,2.5,175519,0.937,0.676,-1.104,-6.325,25.3,36.6,14.7,23.4
3.5,3.0,160968,0.943,0.696,-0.946,-5.611,26.6,30.2,18.8,24.4
3.5,3.5,150685,0.943,0.707,-0.888,-5.146,27.6,24.7,22.7,25.0
3.5,4.0,142852,0.944,0.714,-0.848,-4.822,28.3,20.3,26.1,25.3
3.5,4.5,137012,0.94,0.715,-0.874,-4.612,28.9,16.6,29.1,25.4
3.5,5.0,132733,0.941,0.719,-0.832,-4.409,29.4,13.7,31.6,25.4
3.5,5.5,129354,0.941,0.721,-0.82,-4.274,29.8,11.2,33.7,25.3
3.5,6.0,126793,0.941,0.723,-0.802,-4.161,30.1,9.2,35.5,25.3
4.0,2.0,184891,0.926,0.649,-1.316,-7.033,19.3,45.5,10.5,24.7
4.0,2.5,164495,0.934,0.681,-1.102,-6.03,20.7,37.5,14.8,27.0
4.0,3.0,150942,0.941,0.7,-0.946,-5.362,21.8,31.0,19.0,28.2
4.0,3.5,141377,0.941,0.711,-0.892,-4.925,22.7,25.5,23.0,28.9
4.0,4.0,134010,0.942,0.718,-0.846,-4.62,23.4,20.9,26.4,29.3
4.0,4.5,128545,0.939,0.72,-0.867,-4.427,23.9,17.1,29.5,29.4
4.0,5.0,124572,0.941,0.724,-0.82,-4.228,24.4,14.1,32.1,29.4
4.0,5.5,121370,0.939,0.726,-0.819,-4.106,24.7,11.6,34.3,29.4
4.0,6.0,118915,0.939,0.727,-0.804,-4.004,25.0,9.5,36.1,29.4
4.5,2.0,175407,0.926,0.653,-1.252,-6.636,15.8,46.1,10.4,27.7
4.5,2.5,156057,0.936,0.686,-1.03,-5.681,17.0,38.0,14.8,30.2
4.5,3.0,143276,0.942,0.706,-0.876,-5.044,17.9,31.5,18.9,31.7
4.5,3.5,134196,0.943,0.716,-0.835,-4.65,18.6,26.0,22.9,32.4
4.5,4.0,127259,0.943,0.722,-0.804,-4.366,19.2,21.4,26.4,33.0
4.5,4.5,122053,0.94,0.724,-0.816,-4.181,19.7,17.5,29.6,33.1
4.5,5.0,118264,0.942,0.729,-0.77,-4.001,20.1,14.5,32.1,33.2
4.5,5.5,115218,0.94,0.731,-0.773,-3.883,20.4,11.9,34.4,33.3
4.5,6.0,112886,0.94,0.732,-0.765,-3.797,20.7,9.7,36.3,33.2
5.0,2.0,168676,0.924,0.655,-1.239,-6.38,13.0,46.5,10.3,30.2
5.0,2.5,150084,0.932,0.686,-1.041,-5.481,14.0,38.4,14.7,32.9
5.0,3.0,137819,0.941,0.707,-0.871,-4.844,14.7,31.9,19.0,34.5
5.0,3.5,129140,0.943,0.719,-0.8,-4.441,15.3,26.4,22.9,35.4
5.0,4.0,122444,0.944,0.726,-0.765,-4.173,15.8,21.7,26.5,36.0
5.0,4.5,117442,0.941,0.728,-0.775,-4.0,16.2,17.9,29.6,36.2
5.0,5.0,113770,0.944,0.734,-0.723,-3.823,16.6,14.8,32.2,36.4
5.0,5.5,110811,0.942,0.735,-0.727,-3.709,16.9,12.2,34.6,36.4
5.0,6.0,108553,0.942,0.736,-0.72,-3.627,17.1,9.9,36.5,36.4
5.5,2.0,163719,0.923,0.656,-1.221,-6.19,10.7,46.9,10.3,32.2
5.5,2.5,145671,0.933,0.688,-1.008,-5.309,11.5,38.8,14.7,35.0
5.5,3.0,133813,0.941,0.709,-0.845,-4.678,12.1,32.2,18.9,36.8
5.5,3.5,125360,0.943,0.721,-0.783,-4.295,12.7,26.7,22.8,37.8
5.5,4.0,118855,0.943,0.728,-0.746,-4.031,13.1,22.0,26.4,38.4
5.5,4.5,113973,0.94,0.73,-0.762,-3.86,13.5,18.2,29.5,38.8
5.5,5.0,110392,0.943,0.735,-0.715,-3.686,13.8,15.0,32.2,39.0
5.5,5.5,107552,0.941,0.737,-0.713,-3.573,14.1,12.4,34.5,39.1
5.5,6.0,105341,0.941,0.738,-0.711,-3.499,14.3,10.1,36.5,39.1
6.0,2.0,159929,0.919,0.655,-1.248,-6.084,8.9,47.1,10.2,33.8
6.0,2.5,142241,0.929,0.687,-1.043,-5.218,9.6,39.0,14.5,36.9
6.0,3.0,130705,0.937,0.708,-0.877,-4.608,10.1,32.5,18.7,38.6
6.0,3.5,122438,0.941,0.721,-0.796,-4.222,10.6,27.0,22.7,39.7
6.0,4.0,116082,0.943,0.729,-0.743,-3.953,11.0,22.3,26.2,40.5
6.0,4.5,111306,0.94,0.731,-0.757,-3.788,11.3,18.4,29.4,40.9
6.0,5.0,107810,0.942,0.736,-0.713,-3.62,11.5,15.2,32.1,41.1
6.0,5.5,105010,0.941,0.738,-0.709,-3.513,11.8,12.5,34.5,41.2
6.0,6.0,102846,0.94,0.739,-0.706,-3.436,11.9,10.3,36.5,41.3
