sl,tp,n,pf,zpf,shd,zshd,sl_hit_pct,tp_hit_pct,eod_plus_pct,eod_minus_pct
1.5,2.0,14875,1.246,0.798,2.182,-2.212,47.1,43.3,5.8,3.8
1.5,2.5,14648,1.242,0.823,2.062,-1.871,50.7,35.7,9.2,4.4
1.5,3.0,14502,1.274,0.861,2.171,-1.372,52.8,29.9,12.5,4.7
1.5,3.5,14399,1.288,0.882,2.176,-1.122,54.3,24.8,16.0,4.9
1.5,4.0,14333,1.288,0.889,2.129,-1.027,55.4,20.8,18.8,5.0
1.5,4.5,14270,1.298,0.899,2.137,-0.904,55.9,17.4,21.6,5.1
1.5,5.0,14219,1.293,0.899,2.052,-0.883,56.3,14.3,24.2,5.2
1.5,5.5,14171,1.31,0.914,2.106,-0.733,56.6,12.0,26.2,5.3
1.5,6.0,14137,1.324,0.925,2.129,-0.613,56.8,10.1,27.9,5.2
2.0,2.0,14733,1.212,0.808,1.873,-1.999,38.6,48.0,6.8,6.5
2.0,2.5,14494,1.206,0.832,1.776,-1.722,41.9,39.7,10.8,7.5
2.0,3.0,14344,1.228,0.864,1.857,-1.323,43.9,33.4,14.7,8.1
2.0,3.5,14233,1.24,0.884,1.88,-1.092,45.2,27.8,18.5,8.4
2.0,4.0,14165,1.241,0.891,1.856,-1.003,46.2,23.3,21.8,8.7
2.0,4.5,14093,1.251,0.902,1.878,-0.875,46.6,19.6,25.0,8.8
2.0,5.0,14036,1.246,0.902,1.796,-0.858,47.1,16.1,27.9,8.9
2.0,5.5,13981,1.256,0.911,1.82,-0.754,47.3,13.4,30.2,9.0
2.0,6.0,13944,1.269,0.923,1.859,-0.634,47.5,11.3,32.3,9.0
2.5,2.0,14671,1.195,0.816,1.686,-1.837,32.4,51.0,7.6,9.1
2.5,2.5,14428,1.187,0.839,1.601,-1.601,35.3,42.4,11.9,10.4
2.5,3.0,14269,1.204,0.867,1.664,-1.26,37.1,35.6,16.1,11.2
2.5,3.5,14146,1.217,0.888,1.711,-1.029,38.3,29.7,20.3,11.7
2.5,4.0,14074,1.214,0.893,1.661,-0.966,39.2,25.0,23.8,12.1
2.5,4.5,13999,1.22,0.902,1.663,-0.864,39.6,20.8,27.3,12.3
2.5,5.0,13940,1.216,0.902,1.6,-0.847,40.0,17.2,30.4,12.4
2.5,5.5,13883,1.226,0.911,1.626,-0.748,40.2,14.3,32.9,12.6
2.5,6.0,13845,1.238,0.923,1.671,-0.633,40.4,12.0,35.1,12.5
3.0,2.0,14624,1.183,0.82,1.522,-1.7,27.1,53.2,8.0,11.6
3.0,2.5,14374,1.178,0.845,1.472,-1.463,29.6,44.4,12.6,13.4
3.0,3.0,14212,1.193,0.872,1.536,-1.165,31.2,37.2,17.2,14.4
3.0,3.5,14085,1.205,0.892,1.583,-0.961,32.2,31.1,21.6,15.1
3.0,4.0,14011,1.196,0.892,1.498,-0.944,33.0,26.0,25.4,15.6
3.0,4.5,13934,1.202,0.901,1.507,-0.842,33.4,21.7,29.1,15.8
3.0,5.0,13874,1.196,0.9,1.435,-0.841,33.8,17.9,32.4,16.0
3.0,5.5,13816,1.204,0.908,1.459,-0.753,34.0,14.9,35.0,16.1
3.0,6.0,13775,1.216,0.919,1.506,-0.645,34.1,12.5,37.2,16.1
3.5,2.0,14604,1.177,0.823,1.456,-1.65,22.9,54.4,8.3,14.3
3.5,2.5,14350,1.164,0.842,1.344,-1.471,25.2,45.5,13.0,16.4
3.5,3.0,14187,1.179,0.869,1.412,-1.176,26.5,38.2,17.7,17.6
3.5,3.5,14054,1.189,0.888,1.446,-0.987,27.3,31.9,22.3,18.5
3.5,4.0,13979,1.186,0.892,1.4,-0.932,28.0,26.7,26.3,19.0
3.5,4.5,13902,1.192,0.901,1.414,-0.831,28.4,22.3,30.0,19.3
3.5,5.0,13841,1.188,0.9,1.356,-0.818,28.7,18.4,33.5,19.5
3.5,5.5,13782,1.197,0.91,1.39,-0.725,28.8,15.3,36.1,19.7
3.5,6.0,13740,1.211,0.922,1.447,-0.61,28.9,12.9,38.4,19.7
4.0,2.0,14596,1.161,0.818,1.281,-1.633,19.5,55.4,8.5,16.6
4.0,2.5,14339,1.15,0.837,1.188,-1.463,21.3,46.3,13.4,19.0
4.0,3.0,14175,1.168,0.866,1.292,-1.166,22.3,38.9,18.2,20.5
4.0,3.5,14042,1.178,0.886,1.34,-0.977,23.1,32.5,22.9,21.5
4.0,4.0,13967,1.176,0.89,1.301,-0.917,23.6,27.2,27.0,22.2
4.0,4.5,13888,1.182,0.899,1.316,-0.823,24.0,22.7,30.8,22.4
4.0,5.0,13827,1.178,0.899,1.264,-0.81,24.2,18.7,34.3,22.7
4.0,5.5,13768,1.187,0.908,1.298,-0.723,24.4,15.6,37.0,23.0
4.0,6.0,13726,1.201,0.921,1.358,-0.609,24.4,13.2,39.4,23.0
4.5,2.0,14577,1.161,0.821,1.239,-1.55,16.3,56.1,8.7,19.0
4.5,2.5,14318,1.156,0.845,1.199,-1.347,17.7,47.0,13.6,21.7
4.5,3.0,14152,1.171,0.872,1.278,-1.085,18.6,39.5,18.6,23.3
4.5,3.5,14017,1.182,0.892,1.331,-0.896,19.2,33.1,23.4,24.3
4.5,4.0,13941,1.181,0.898,1.301,-0.831,19.7,27.7,27.5,25.1
4.5,4.5,13861,1.186,0.906,1.307,-0.747,20.0,23.1,31.4,25.5
4.5,5.0,13800,1.183,0.906,1.26,-0.732,20.2,19.0,34.9,25.8
4.5,5.5,13741,1.191,0.915,1.29,-0.651,20.3,15.9,37.7,26.1
4.5,6.0,13699,1.204,0.927,1.345,-0.548,20.4,13.4,40.1,26.1
5.0,2.0,14561,1.145,0.812,1.094,-1.584,13.9,56.6,8.7,20.8
5.0,2.5,14302,1.141,0.837,1.065,-1.378,15.0,47.4,13.7,23.8
5.0,3.0,14136,1.157,0.864,1.152,-1.122,15.8,39.9,18.7,25.5
5.0,3.5,14000,1.17,0.885,1.22,-0.928,16.4,33.4,23.5,26.7
5.0,4.0,13924,1.169,0.891,1.192,-0.866,16.8,28.0,27.7,27.5
5.0,4.5,13844,1.174,0.899,1.2,-0.782,17.1,23.3,31.7,27.9
5.0,5.0,13783,1.172,0.901,1.166,-0.759,17.3,19.2,35.3,28.2
5.0,5.5,13724,1.18,0.909,1.195,-0.684,17.4,16.1,38.0,28.5
5.0,6.0,13683,1.192,0.92,1.247,-0.585,17.5,13.5,40.4,28.6
5.5,2.0,14553,1.141,0.811,1.052,-1.579,11.7,56.8,8.8,22.7
5.5,2.5,14294,1.139,0.837,1.045,-1.367,12.7,47.7,13.8,25.8
5.5,3.0,14128,1.154,0.864,1.125,-1.12,13.4,40.1,18.8,27.6
5.5,3.5,13991,1.168,0.885,1.199,-0.924,13.9,33.6,23.7,28.8
5.5,4.0,13915,1.166,0.89,1.164,-0.866,14.3,28.1,27.9,29.7
