source,sl_tp,n_trades,pf,sh_d,zpf,zsh_d,net_zpnl,sl_pct,tp_pct,eod_plus_pct,eod_minus_pct,eod_pct,alpha_capm,p_alpha_capm,alpha_capm_cumulative,ci_low_capm,ci_high_capm,beta_capm,se_alpha_capm,t_alpha_capm,screen_tier
FRESH_FULLDS3_BASELINE,2.0x4.5,114516,1.123,1.803,0.762,-4.306,-47820.41,45.1,16.3,26.4,12.2,38.6,-16.269,0.0,-46481.3,-18.498,-14.041,-3.411,1.137,-14.314,REFERENCE
FRESH_MASHORT_V1,4.5x3.0,104917,1.102,1.394,0.772,-3.691,-44687.1,15.9,34.4,20.1,29.6,49.7,-15.101,0.0,-43144.83,-17.527,-12.676,-3.908,1.237,-12.209,FULL_RIGOR
FRESH_MASHORT_V2VWAP,4.5x3.0,81284,1.126,1.584,0.785,-3.295,-31732.08,15.6,35.2,19.8,29.4,49.2,-10.695,0.0,-30544.68,-12.629,-8.761,-2.949,0.987,-10.841,FULL_RIGOR
FRESH_6BCEHSHORT_V0,8.0x3.0,132517,1.104,1.392,0.836,-2.549,-49549.39,5.5,37.7,19.1,37.6,56.7,-16.342,0.0,-46688.05,-20.213,-12.47,-7.235,1.974,-8.277,FULL_RIGOR
FRESH_6BCEHSHORT_V1VWAP,4.5x3.0,94262,1.173,2.126,0.828,-2.598,-29294.5,14.7,35.1,20.7,29.5,50.2,-9.790,0.000,-27939.35,-12.054,-7.525,-3.626,1.155,-8.477,FULL_RIGOR
FRESH_MALONGFLIP_V0,7.0x3.0,99700,1.105,1.369,0.79,-3.173,-41082.9,6.7,36.1,20.5,36.7,57.2,-13.811,0.0,-39430.2,-16.404,-11.218,-4.351,1.322,-10.445,FULL_RIGOR
FRESH_MALONGFLIP_VWAP,4.0x3.0,61121,1.187,2.242,0.821,-2.597,-18992.85,18.3,34.3,21.3,26.2,47.5,-6.225,0.0,-17721.22,-7.693,-4.756,-3.441,0.749,-8.314,FULL_RIGOR
FLAGSHIP_6BCEL_SHORT,6.0x6.0,102846,1.064,0.706,0.835,-2.064,-44625.28,11.2,11.0,40.0,37.8,77.8,-14.474,0.000,-41352.53,-18.772,-10.176,-8.280,2.192,-6.603,RAW_SCREEN
FLAGSHIP_6BCEH_LONG,6.0x6.0,106013,0.902,-1.275,0.710,-4.216,-88306.64,13.3,11.5,34.1,41.1,75.2,-32.027,0.000,-91501.7,-36.188,-27.866,8.157,2.122,-15.092,RAW_SCREEN
FLAGSHIP_6BCEL_LONG,6.0x6.0,102846,0.94,-0.706,0.739,-3.436,-75255.37,11.9,10.3,36.5,41.3,77.8,-27.541,0.000,-78684.08,-31.885,-23.196,8.738,2.216,-12.430,RAW_SCREEN
FLAGSHIP_6BCEH_SHORT_VWAP_RSI60,4.5x6.0,13699,1.204,1.345,0.927,-0.548,-2274.14,20.4,13.4,40.1,26.1,66.2,-0.397,0.427,-1013.95,-1.376,0.582,-3.243,0.499,-0.795,RAW_SCREEN
