source,sl_tp,n_trades,pf,sh_d,zpf,zsh_d,net_zpnl,sl_pct,tp_pct,eod_plus_pct,eod_minus_pct,eod_pct,alpha_capm,p_alpha_capm,alpha_capm_cumulative,ci_low_capm,ci_high_capm,beta_capm,se_alpha_capm,t_alpha_capm,screen_tier
FRESH_FULLDS3_BASELINE,2.0x4.5,114516,1.123,1.803,0.762,-4.306,-47820.41,45.1,16.3,26.4,12.2,38.6,-15.608,0.0,-44561.87,-17.616,-13.601,-28.103,1.024,-15.245,REFERENCE
FRESH_MASHORT_V1,4.5x3.0,104917,1.102,1.394,0.772,-3.691,-44687.1,15.9,34.4,20.1,29.6,49.7,-14.344,0.0,-40952.87,-16.493,-12.195,-32.587,1.096,-13.087,FULL_RIGOR
FRESH_MASHORT_V2VWAP,4.5x3.0,81284,1.126,1.584,0.785,-3.295,-31732.08,15.6,35.2,19.8,29.4,49.2,-10.109,0.0,-28851.16,-11.841,-8.377,-24.878,0.883,-11.443,FULL_RIGOR
FRESH_6BCEHSHORT_V0,8.0x3.0,132517,1.104,1.392,0.836,-2.549,-49549.39,5.5,37.7,19.1,37.6,56.7,-14.989,0.0,-42794.6,-18.273,-11.706,-59.558,1.675,-8.951,FULL_RIGOR
FRESH_6BCEHSHORT_V1VWAP,4.5x3.0,94262,1.173,2.126,0.828,-2.598,-29294.5,14.7,35.1,20.7,29.5,50.2,-9.092,0.000,-25931.19,-11.115,-7.070,-29.546,1.031,-8.815,FULL_RIGOR
FRESH_MALONGFLIP_V0,7.0x3.0,99700,1.105,1.369,0.79,-3.173,-41082.9,6.7,36.1,20.5,36.7,57.2,-12.928,0.0,-36883.28,-15.193,-10.663,-36.531,1.155,-11.193,FULL_RIGOR
FRESH_MALONGFLIP_VWAP,4.0x3.0,61121,1.187,2.242,0.821,-2.597,-18992.85,18.3,34.3,21.3,26.2,47.5,-6.003,0.0,-17078.66,-7.36,-4.646,-17.167,0.692,-8.675,FULL_RIGOR
FLAGSHIP_6BCEL_SHORT,6.0x6.0,102846,1.064,0.706,0.835,-2.064,-44625.28,11.2,11.0,40.0,37.8,77.8,-12.970,0.000,-37028.76,-16.598,-9.342,-67.107,1.850,-7.010,RAW_SCREEN
FLAGSHIP_6BCEH_LONG,6.0x6.0,106013,0.902,-1.275,0.710,-4.216,-88306.64,13.3,11.5,34.1,41.1,75.2,-33.475,0.000,-95571.29,-36.998,-29.952,64.746,1.797,-18.632,RAW_SCREEN
FLAGSHIP_6BCEL_LONG,6.0x6.0,102846,0.94,-0.706,0.739,-3.436,-75255.37,11.9,10.3,36.5,41.3,77.8,-29.058,0.000,-82959.25,-32.714,-25.401,68.719,1.865,-15.583,RAW_SCREEN
FLAGSHIP_6BCEH_SHORT_VWAP_RSI60,4.5x6.0,13699,1.204,1.345,0.927,-0.548,-2274.14,20.4,13.4,40.1,26.1,66.2,0.031,0.948,80.31,-0.916,0.979,-9.281,0.483,0.065,RAW_SCREEN
