sl,tp,n,pf,zpf,shd,zshd,sl_hit_pct,tp_hit_pct,eod_plus_pct,eod_minus_pct
1.5,2.0,162005,1.122,0.654,2.703,-9.301,47.3,38.7,7.9,6.1
1.5,2.5,152735,1.136,0.693,2.742,-7.643,50.2,31.6,11.5,6.7
1.5,3.0,146421,1.146,0.718,2.723,-6.515,52.1,26.1,14.9,7.0
1.5,3.5,141808,1.155,0.735,2.693,-5.724,53.4,21.6,17.9,7.1
1.5,4.0,138132,1.158,0.745,2.617,-5.228,54.3,17.7,20.8,7.2
1.5,4.5,135381,1.162,0.752,2.562,-4.866,54.9,14.5,23.4,7.2
1.5,5.0,133379,1.166,0.759,2.538,-4.58,55.3,11.9,25.6,7.2
1.5,5.5,131792,1.168,0.762,2.499,-4.394,55.6,9.8,27.5,7.1
1.5,6.0,130601,1.169,0.764,2.46,-4.253,55.9,8.0,29.0,7.1
2.0,2.0,147421,1.114,0.684,2.304,-7.632,38.5,42.8,9.2,9.6
2.0,2.5,138195,1.124,0.722,2.33,-6.256,41.1,35.2,13.3,10.5
2.0,3.0,132011,1.133,0.746,2.315,-5.329,42.8,29.0,17.2,11.0
2.0,3.5,127501,1.141,0.764,2.311,-4.661,44.0,24.1,20.7,11.2
2.0,4.0,124012,1.146,0.775,2.281,-4.229,44.9,19.8,24.0,11.3
2.0,4.5,121388,1.147,0.78,2.204,-3.969,45.5,16.2,27.0,11.3
2.0,5.0,119447,1.151,0.787,2.19,-3.722,45.9,13.3,29.5,11.3
2.0,5.5,117944,1.153,0.79,2.163,-3.567,46.2,11.0,31.5,11.3
2.0,6.0,116772,1.154,0.793,2.132,-3.452,46.5,9.0,33.3,11.3
2.5,2.0,137885,1.105,0.7,2.003,-6.719,31.6,45.5,9.9,13.0
2.5,2.5,128706,1.118,0.739,2.077,-5.446,33.8,37.5,14.4,14.3
2.5,3.0,122665,1.126,0.763,2.078,-4.645,35.3,31.0,18.7,15.0
2.5,3.5,118256,1.135,0.781,2.105,-4.034,36.3,25.9,22.5,15.4
2.5,4.0,114882,1.138,0.792,2.061,-3.67,37.1,21.3,26.1,15.5
2.5,4.5,112336,1.14,0.798,2.01,-3.431,37.7,17.5,29.3,15.6
2.5,5.0,110455,1.145,0.805,2.02,-3.2,38.1,14.4,32.0,15.6
2.5,5.5,108980,1.146,0.808,1.987,-3.077,38.4,11.8,34.2,15.6
2.5,6.0,107851,1.147,0.811,1.963,-2.975,38.6,9.7,36.1,15.6
3.0,2.0,131180,1.098,0.708,1.764,-6.126,26.0,47.3,10.4,16.3
3.0,2.5,122109,1.112,0.749,1.876,-4.933,27.9,39.2,15.1,17.9
3.0,3.0,116154,1.119,0.772,1.871,-4.227,29.2,32.5,19.5,18.8
3.0,3.5,111887,1.127,0.79,1.896,-3.687,30.1,27.1,23.5,19.3
3.0,4.0,108591,1.131,0.8,1.868,-3.343,30.8,22.3,27.4,19.5
3.0,4.5,106095,1.131,0.805,1.807,-3.146,31.3,18.3,30.7,19.6
3.0,5.0,104271,1.137,0.813,1.834,-2.921,31.7,15.1,33.6,19.7
3.0,5.5,102840,1.138,0.817,1.811,-2.805,32.0,12.5,35.9,19.7
3.0,6.0,101726,1.14,0.819,1.792,-2.708,32.2,10.2,37.9,19.7
3.5,2.0,126459,1.094,0.714,1.609,-5.736,21.5,48.6,10.6,19.3
3.5,2.5,117549,1.107,0.754,1.712,-4.627,23.1,40.3,15.4,21.1
3.5,3.0,111693,1.113,0.777,1.719,-3.956,24.3,33.5,20.0,22.2
3.5,3.5,107468,1.122,0.795,1.758,-3.444,25.1,28.0,24.1,22.8
3.5,4.0,104220,1.126,0.806,1.74,-3.118,25.7,23.1,28.1,23.1
3.5,4.5,101774,1.127,0.812,1.689,-2.928,26.2,19.0,31.6,23.3
3.5,5.0,99969,1.133,0.82,1.717,-2.715,26.5,15.6,34.5,23.3
3.5,5.5,98573,1.134,0.823,1.697,-2.607,26.8,13.0,36.9,23.3
3.5,6.0,97474,1.135,0.826,1.68,-2.518,27.0,10.6,39.0,23.4
4.0,2.0,122823,1.091,0.717,1.489,-5.395,17.7,49.4,10.8,22.1
4.0,2.5,114025,1.104,0.758,1.603,-4.343,19.1,41.1,15.7,24.2
4.0,3.0,108234,1.111,0.781,1.611,-3.724,20.1,34.2,20.3,25.4
4.0,3.5,104063,1.121,0.8,1.67,-3.224,20.7,28.6,24.5,26.1
4.0,4.0,100844,1.126,0.812,1.668,-2.901,21.3,23.7,28.5,26.5
4.0,4.5,98404,1.127,0.818,1.625,-2.719,21.7,19.5,32.1,26.7
4.0,5.0,96625,1.132,0.825,1.643,-2.531,22.0,16.1,35.2,26.8
4.0,5.5,95255,1.132,0.828,1.62,-2.431,22.2,13.3,37.6,26.9
4.0,6.0,94173,1.133,0.83,1.6,-2.356,22.4,10.9,39.8,26.9
4.5,2.0,120158,1.092,0.722,1.446,-5.121,14.6,50.1,10.8,24.5
4.5,2.5,111421,1.105,0.762,1.55,-4.122,15.8,41.7,15.7,26.8
4.5,3.0,105683,1.111,0.785,1.558,-3.534,16.6,34.8,20.4,28.2
4.5,3.5,101545,1.12,0.804,1.614,-3.057,17.2,29.1,24.7,29.0
4.5,4.0,98351,1.126,0.817,1.622,-2.739,17.7,24.1,28.8,29.4
4.5,4.5,95930,1.127,0.822,1.58,-2.574,18.0,19.9,32.4,29.7
4.5,5.0,94178,1.132,0.83,1.603,-2.389,18.3,16.4,35.5,29.8
4.5,5.5,92814,1.133,0.833,1.586,-2.291,18.5,13.6,38.0,29.9
4.5,6.0,91732,1.134,0.836,1.57,-2.219,18.7,11.2,40.2,29.9
5.0,2.0,118174,1.091,0.724,1.389,-4.928,12.2,50.5,10.8,26.5
5.0,2.5,109519,1.104,0.765,1.504,-3.964,13.1,42.1,15.8,28.9
5.0,3.0,103811,1.111,0.788,1.524,-3.386,13.9,35.2,20.5,30.4
5.0,3.5,99692,1.121,0.808,1.584,-2.926,14.4,29.5,24.8,31.3
5.0,4.0,96529,1.127,0.82,1.594,-2.618,14.8,24.5,28.9,31.8
5.0,4.5,94122,1.128,0.827,1.563,-2.446,15.1,20.2,32.6,32.2
5.0,5.0,92378,1.134,0.834,1.583,-2.27,15.3,16.7,35.7,32.3
5.0,5.5,91014,1.135,0.838,1.571,-2.173,15.5,13.8,38.3,32.4
5.0,6.0,89939,1.136,0.841,1.554,-2.103,15.6,11.4,40.5,32.5
5.5,2.0,116650,1.087,0.724,1.312,-4.831,10.1,50.9,10.8,28.2
5.5,2.5,108048,1.101,0.765,1.433,-3.89,11.0,42.5,15.8,30.8
5.5,3.0,102362,1.107,0.788,1.448,-3.332,11.6,35.5,20.5,32.4
5.5,3.5,98260,1.118,0.808,1.516,-2.872,12.0,29.8,24.8,33.4
5.5,4.0,95114,1.123,0.82,1.523,-2.578,12.3,24.8,29.0,33.9
5.5,4.5,92723,1.124,0.826,1.486,-2.417,12.6,20.4,32.7,34.3
5.5,5.0,90989,1.129,0.834,1.507,-2.246,12.8,16.9,35.8,34.5
5.5,5.5,89639,1.13,0.837,1.494,-2.154,13.0,14.0,38.4,34.6
5.5,6.0,88565,1.131,0.84,1.479,-2.085,13.1,11.5,40.7,34.7
6.0,2.0,115435,1.087,0.725,1.281,-4.726,8.4,51.2,10.8,29.6
6.0,2.5,106882,1.101,0.766,1.406,-3.805,9.1,42.8,15.8,32.4
6.0,3.0,101201,1.108,0.79,1.428,-3.249,9.6,35.8,20.5,34.1
6.0,3.5,97111,1.119,0.81,1.499,-2.795,10.0,30.1,24.8,35.1
6.0,4.0,93969,1.123,0.822,1.5,-2.508,10.2,25.0,29.0,35.8
6.0,4.5,91593,1.123,0.827,1.454,-2.36,10.5,20.6,32.8,36.2
6.0,5.0,89866,1.129,0.835,1.48,-2.193,10.6,17.0,35.9,36.4
6.0,5.5,88521,1.13,0.839,1.469,-2.102,10.8,14.1,38.5,36.5
6.0,6.0,87452,1.131,0.841,1.453,-2.035,10.9,11.7,40.8,36.6
