sl,tp,n,pf,zpf,shd,zshd,sl_hit_pct,tp_hit_pct,eod_plus_pct,eod_minus_pct
1.5,2.0,76088,1.169,0.683,2.882,-7.236,46.3,39.2,8.3,6.2
1.5,2.5,72314,1.192,0.728,3.021,-5.719,49.0,32.2,12.1,6.8
1.5,3.0,69786,1.213,0.761,3.099,-4.644,50.6,26.8,15.4,7.1
1.5,3.5,67856,1.226,0.781,3.04,-3.935,51.8,22.3,18.5,7.4
1.5,4.0,66338,1.234,0.794,2.991,-3.499,52.6,18.5,21.5,7.5
1.5,4.5,65099,1.24,0.804,2.94,-3.17,53.2,15.3,24.1,7.5
1.5,5.0,64223,1.246,0.812,2.932,-2.945,53.6,12.6,26.3,7.5
1.5,5.5,63501,1.248,0.815,2.882,-2.816,53.9,10.3,28.4,7.5
1.5,6.0,62964,1.249,0.818,2.845,-2.73,54.1,8.5,30.0,7.5
2.0,2.0,72104,1.165,0.713,2.625,-5.888,37.3,43.2,9.6,9.8
2.0,2.5,68282,1.186,0.759,2.754,-4.59,39.7,35.6,14.0,10.7
2.0,3.0,65700,1.205,0.791,2.823,-3.692,41.3,29.7,17.8,11.2
2.0,3.5,63810,1.217,0.812,2.784,-3.095,42.3,24.8,21.4,11.6
2.0,4.0,62309,1.226,0.827,2.772,-2.702,43.0,20.5,24.8,11.6
2.0,4.5,61118,1.231,0.835,2.72,-2.459,43.6,17.0,27.8,11.7
2.0,5.0,60264,1.239,0.845,2.734,-2.247,44.0,14.0,30.2,11.7
2.0,5.5,59555,1.239,0.847,2.677,-2.151,44.3,11.5,32.5,11.7
2.0,6.0,59004,1.239,0.849,2.635,-2.093,44.5,9.4,34.4,11.7
2.5,2.0,69938,1.166,0.734,2.493,-5.025,30.2,45.9,10.5,13.4
2.5,2.5,66108,1.187,0.78,2.624,-3.877,32.2,37.9,15.2,14.7
2.5,3.0,63531,1.203,0.81,2.667,-3.125,33.5,31.7,19.4,15.4
2.5,3.5,61631,1.216,0.831,2.656,-2.596,34.4,26.4,23.3,15.9
2.5,4.0,60146,1.225,0.846,2.638,-2.248,35.1,21.9,27.0,16.0
2.5,4.5,58970,1.228,0.854,2.583,-2.053,35.6,18.1,30.2,16.1
2.5,5.0,58126,1.236,0.863,2.603,-1.861,36.0,15.0,32.9,16.2
2.5,5.5,57410,1.236,0.866,2.548,-1.787,36.2,12.2,35.3,16.2
2.5,6.0,56868,1.235,0.866,2.501,-1.746,36.4,10.1,37.3,16.2
3.0,2.0,68684,1.159,0.74,2.283,-4.621,24.5,47.6,11.0,16.9
3.0,2.5,64859,1.178,0.785,2.407,-3.588,26.2,39.4,15.9,18.5
3.0,3.0,62285,1.194,0.815,2.46,-2.889,27.3,32.9,20.3,19.4
3.0,3.5,60387,1.205,0.835,2.451,-2.42,28.1,27.5,24.4,20.0
3.0,4.0,58915,1.214,0.85,2.448,-2.091,28.7,22.8,28.3,20.2
3.0,4.5,57743,1.217,0.858,2.399,-1.911,29.1,18.8,31.7,20.4
3.0,5.0,56904,1.226,0.868,2.427,-1.726,29.5,15.6,34.5,20.5
3.0,5.5,56194,1.226,0.87,2.38,-1.657,29.7,12.7,37.1,20.5
3.0,6.0,55654,1.224,0.871,2.334,-1.623,29.9,10.5,39.1,20.5
3.5,2.0,67948,1.155,0.743,2.147,-4.37,20.0,48.6,11.3,20.1
3.5,2.5,64124,1.172,0.787,2.259,-3.412,21.5,40.3,16.4,21.9
3.5,3.0,61556,1.186,0.817,2.298,-2.761,22.4,33.7,20.9,22.9
3.5,3.5,59660,1.197,0.836,2.292,-2.324,23.1,28.1,25.1,23.6
3.5,4.0,58180,1.206,0.852,2.298,-2.006,23.6,23.4,29.1,23.9
3.5,4.5,57016,1.209,0.859,2.254,-1.836,24.0,19.3,32.6,24.1
3.5,5.0,56175,1.217,0.869,2.288,-1.657,24.3,16.0,35.5,24.2
3.5,5.5,55467,1.218,0.872,2.245,-1.592,24.5,13.1,38.1,24.3
3.5,6.0,54936,1.216,0.872,2.199,-1.566,24.7,10.8,40.3,24.3
4.0,2.0,67518,1.158,0.748,2.104,-4.101,16.2,49.3,11.5,22.9
