sl,tp,n,pf,zpf,shd,zshd,sl_hit_pct,tp_hit_pct,eod_plus_pct,eod_minus_pct
1.5,2.0,155667,1.086,0.631,1.884,-10.225,47.6,38.2,7.7,6.5
1.5,2.5,145739,1.097,0.668,1.921,-8.381,50.5,31.6,10.9,7.0
1.5,3.0,138584,1.105,0.691,1.916,-7.17,52.4,26.1,14.2,7.3
1.5,3.5,133391,1.114,0.707,1.928,-6.347,53.6,21.6,17.3,7.5
1.5,4.0,129474,1.113,0.715,1.835,-5.883,54.6,17.8,20.1,7.6
1.5,4.5,126593,1.118,0.723,1.822,-5.461,55.2,14.6,22.6,7.6
1.5,5.0,124411,1.12,0.727,1.788,-5.158,55.6,12.1,24.7,7.6
1.5,5.5,122807,1.123,0.731,1.784,-4.958,55.9,9.9,26.6,7.5
1.5,6.0,121591,1.123,0.733,1.742,-4.813,56.2,8.2,28.1,7.5
2.0,2.0,143010,1.095,0.669,1.881,-8.212,38.1,42.5,9.1,10.4
2.0,2.5,133121,1.104,0.706,1.906,-6.707,40.7,35.1,12.9,11.2
2.0,3.0,126128,1.11,0.729,1.871,-5.712,42.4,29.1,16.7,11.8
2.0,3.5,121107,1.118,0.745,1.878,-5.038,43.6,24.1,20.3,12.1
2.0,4.0,117268,1.119,0.754,1.812,-4.639,44.5,19.8,23.6,12.1
2.0,4.5,114516,1.123,0.762,1.804,-4.306,45.1,16.3,26.4,12.2
2.0,5.0,112376,1.124,0.765,1.747,-4.068,45.6,13.4,28.9,12.1
2.0,5.5,110793,1.125,0.769,1.729,-3.921,45.9,11.1,31.0,12.0
2.0,6.0,109594,1.124,0.77,1.684,-3.817,46.1,9.1,32.7,12.0
2.5,2.0,135266,1.086,0.682,1.602,-7.282,31.0,45.0,9.9,14.2
2.5,2.5,125443,1.096,0.721,1.672,-5.921,33.2,37.4,14.1,15.4
2.5,3.0,118622,1.103,0.744,1.664,-5.032,34.7,31.0,18.2,16.1
2.5,3.5,113707,1.109,0.76,1.657,-4.458,35.8,25.7,22.1,16.5
2.5,4.0,109953,1.112,0.77,1.631,-4.075,36.6,21.2,25.6,16.6
2.5,4.5,107275,1.114,0.777,1.611,-3.801,37.2,17.4,28.7,16.7
2.5,5.0,105185,1.115,0.78,1.561,-3.597,37.7,14.3,31.4,16.6
2.5,5.5,103629,1.114,0.782,1.525,-3.493,38.0,11.8,33.6,16.5
2.5,6.0,102458,1.114,0.784,1.493,-3.396,38.2,9.7,35.5,16.5
3.0,2.0,129846,1.08,0.691,1.401,-6.566,25.3,46.7,10.4,17.6
3.0,2.5,120151,1.092,0.73,1.502,-5.33,27.1,38.9,14.8,19.2
3.0,3.0,113385,1.097,0.752,1.483,-4.566,28.5,32.3,19.1,20.1
3.0,3.5,108575,1.101,0.767,1.474,-4.055,29.4,26.8,23.2,20.6
3.0,4.0,104887,1.105,0.778,1.461,-3.695,30.1,22.1,26.9,20.8
3.0,4.5,102237,1.107,0.784,1.437,-3.465,30.7,18.3,30.2,20.9
3.0,5.0,100188,1.106,0.787,1.384,-3.298,31.1,15.0,33.0,20.9
3.0,5.5,98650,1.106,0.789,1.355,-3.198,31.4,12.4,35.3,20.8
3.0,6.0,97495,1.106,0.791,1.329,-3.108,31.6,10.2,37.3,20.8
3.5,2.0,126040,1.079,0.697,1.312,-6.096,20.8,47.9,10.6,20.7
3.5,2.5,116409,1.093,0.738,1.445,-4.896,22.4,40.0,15.2,22.5
3.5,3.0,109708,1.099,0.761,1.441,-4.18,23.5,33.2,19.7,23.6
3.5,3.5,104937,1.103,0.776,1.432,-3.709,24.3,27.6,23.9,24.2
3.5,4.0,101300,1.107,0.787,1.418,-3.374,24.9,22.8,27.7,24.5
3.5,4.5,98667,1.109,0.794,1.405,-3.15,25.5,18.9,31.0,24.6
3.5,5.0,96643,1.109,0.797,1.359,-3.002,25.8,15.6,33.9,24.6
3.5,5.5,95118,1.108,0.799,1.333,-2.911,26.1,12.9,36.4,24.6
3.5,6.0,93979,1.108,0.801,1.304,-2.828,26.3,10.6,38.5,24.6
4.0,2.0,123027,1.081,0.704,1.3,-5.699,17.0,48.7,10.7,23.6
4.0,2.5,113525,1.094,0.744,1.408,-4.578,18.3,40.7,15.3,25.6
4.0,3.0,106914,1.1,0.767,1.4,-3.902,19.3,33.9,19.9,26.9
4.0,3.5,102200,1.104,0.782,1.393,-3.459,20.0,28.2,24.2,27.6
4.0,4.0,98578,1.107,0.792,1.377,-3.15,20.5,23.4,28.1,28.0
4.0,4.5,95972,1.111,0.8,1.373,-2.93,21.0,19.3,31.5,28.2
4.0,5.0,93968,1.11,0.803,1.328,-2.794,21.3,16.0,34.5,28.2
4.0,5.5,92458,1.109,0.806,1.301,-2.71,21.6,13.2,37.0,28.2
4.0,6.0,91323,1.109,0.807,1.277,-2.629,21.8,10.9,39.1,28.2
4.5,2.0,120943,1.083,0.708,1.288,-5.413,14.0,49.3,10.8,26.0
4.5,2.5,111504,1.097,0.75,1.404,-4.337,15.0,41.3,15.4,28.3
4.5,3.0,104917,1.102,0.772,1.394,-3.691,15.9,34.4,20.1,29.6
4.5,3.5,100237,1.107,0.788,1.384,-3.267,16.5,28.7,24.4,30.5
4.5,4.0,96636,1.11,0.798,1.371,-2.972,16.9,23.8,28.4,30.9
4.5,4.5,94036,1.114,0.806,1.375,-2.751,17.3,19.7,31.8,31.1
4.5,5.0,92043,1.113,0.81,1.33,-2.627,17.6,16.3,34.9,31.2
4.5,5.5,90537,1.113,0.812,1.306,-2.545,17.9,13.5,37.4,31.2
4.5,6.0,89414,1.113,0.814,1.282,-2.47,18.0,11.1,39.6,31.3
5.0,2.0,119405,1.079,0.708,1.184,-5.262,11.5,49.7,10.7,28.0
5.0,2.5,109993,1.092,0.749,1.303,-4.222,12.4,41.6,15.4,30.5
5.0,3.0,103444,1.097,0.772,1.297,-3.614,13.1,34.8,20.1,32.0
5.0,3.5,98780,1.102,0.787,1.292,-3.205,13.6,29.0,24.5,32.9
5.0,4.0,95198,1.104,0.797,1.274,-2.931,14.0,24.0,28.5,33.4
5.0,4.5,92615,1.108,0.805,1.285,-2.711,14.4,19.9,32.0,33.7
5.0,5.0,90629,1.107,0.808,1.237,-2.595,14.6,16.5,35.1,33.8
5.0,5.5,89129,1.106,0.811,1.211,-2.52,14.8,13.6,37.6,33.9
