sl,tp,n,pf,zpf,shd,zshd,sl_hit_pct,tp_hit_pct,eod_plus_pct,eod_minus_pct
1.5,2.0,112343,1.097,0.637,1.899,-9.54,47.7,38.8,7.3,6.2
1.5,2.5,105338,1.111,0.678,2.006,-7.748,50.6,32.3,10.5,6.7
1.5,3.0,100143,1.12,0.702,1.998,-6.566,52.5,26.9,13.7,7.0
1.5,3.5,96418,1.131,0.721,2.036,-5.75,53.7,22.5,16.6,7.2
1.5,4.0,93538,1.133,0.73,1.962,-5.27,54.7,18.6,19.4,7.2
1.5,4.5,91415,1.139,0.739,1.952,-4.838,55.4,15.4,22.0,7.2
1.5,5.0,89825,1.142,0.744,1.925,-4.553,55.8,12.8,24.2,7.2
1.5,5.5,88643,1.147,0.75,1.932,-4.307,56.1,10.6,26.1,7.2
1.5,6.0,87687,1.147,0.752,1.894,-4.175,56.4,8.7,27.7,7.1
2.0,2.0,104195,1.109,0.678,1.975,-7.589,38.0,43.2,8.7,10.1
2.0,2.5,97157,1.122,0.719,2.051,-6.103,40.6,36.1,12.4,10.9
2.0,3.0,92051,1.13,0.743,2.028,-5.118,42.3,30.1,16.2,11.4
2.0,3.5,88426,1.141,0.762,2.058,-4.439,43.5,25.1,19.7,11.7
2.0,4.0,85578,1.144,0.773,2.013,-4.02,44.4,20.8,23.0,11.8
2.0,4.5,83531,1.149,0.782,1.993,-3.688,45.1,17.2,25.9,11.8
2.0,5.0,81959,1.151,0.786,1.947,-3.476,45.6,14.3,28.4,11.7
2.0,5.5,80777,1.155,0.792,1.944,-3.288,45.9,11.8,30.6,11.6
2.0,6.0,79854,1.154,0.793,1.897,-3.2,46.2,9.8,32.4,11.7
2.5,2.0,99646,1.104,0.694,1.775,-6.64,30.8,45.8,9.5,13.9
2.5,2.5,92607,1.118,0.736,1.879,-5.32,33.0,38.3,13.6,15.0
2.5,3.0,87597,1.125,0.76,1.85,-4.463,34.6,32.0,17.7,15.7
2.5,3.5,84038,1.135,0.779,1.882,-3.861,35.6,26.7,21.5,16.1
2.5,4.0,81241,1.138,0.789,1.846,-3.491,36.5,22.2,25.1,16.3
2.5,4.5,79228,1.142,0.798,1.823,-3.211,37.1,18.4,28.2,16.3
2.5,5.0,77670,1.144,0.802,1.782,-3.028,37.6,15.3,31.0,16.2
2.5,5.5,76498,1.146,0.807,1.769,-2.885,37.9,12.6,33.3,16.1
2.5,6.0,75587,1.146,0.808,1.738,-2.803,38.2,10.5,35.3,16.1
3.0,2.0,96841,1.098,0.701,1.573,-6.018,25.1,47.5,10.0,17.3
3.0,2.5,89849,1.115,0.745,1.73,-4.79,27.0,39.9,14.4,18.8
