sl,tp,n,pf,zpf,shd,zshd,sl_hit_pct,tp_hit_pct,eod_plus_pct,eod_minus_pct,eod_pct
1.5,2.0,118890,0.903,0.531,-2.247,-12.507,52.6,33.9,7.4,6.1,13.5
1.5,2.5,115084,0.91,0.559,-1.918,-11.03,55.4,27.4,10.5,6.7,17.2
1.5,3.0,112127,0.907,0.57,-1.867,-10.214,57.2,22.3,13.5,7.0,20.5
1.5,3.5,109950,0.914,0.583,-1.641,-9.455,58.3,18.2,16.3,7.2,23.5
1.5,4.0,108156,0.908,0.584,-1.671,-9.047,59.2,14.8,18.8,7.3,26.1
1.5,4.5,106827,0.907,0.587,-1.625,-8.698,59.7,12.1,20.9,7.4,28.299999999999997
1.5,5.0,105912,0.913,0.593,-1.49,-8.376,60.0,9.9,22.7,7.4,30.1
1.5,5.5,105189,0.918,0.598,-1.366,-8.082,60.2,8.2,24.1,7.4,31.5
1.5,6.0,104602,0.918,0.599,-1.343,-7.931,60.4,6.8,25.4,7.4,32.8
2.0,2.0,109595,0.894,0.553,-2.28,-10.921,43.2,37.9,8.8,10.2,19.0
2.0,2.5,105656,0.903,0.583,-1.926,-9.592,45.7,30.8,12.4,11.1,23.5
2.0,3.0,102617,0.901,0.595,-1.877,-8.897,47.4,25.1,15.9,11.6,27.5
2.0,3.5,100391,0.907,0.608,-1.663,-8.223,48.5,20.5,19.1,11.9,31.0
2.0,4.0,98620,0.901,0.608,-1.703,-7.892,49.3,16.7,22.0,12.1,34.1
2.0,4.5,97293,0.899,0.611,-1.677,-7.604,49.8,13.6,24.4,12.2,36.599999999999994
2.0,5.0,96377,0.905,0.617,-1.55,-7.312,50.1,11.3,26.5,12.2,38.7
2.0,5.5,95649,0.909,0.622,-1.448,-7.07,50.3,9.3,28.1,12.2,40.3
2.0,6.0,95053,0.907,0.622,-1.453,-6.969,50.5,7.6,29.6,12.2,41.8
2.5,2.0,103275,0.889,0.566,-2.167,-9.705,35.4,40.5,9.7,14.5,24.2
2.5,2.5,99228,0.899,0.596,-1.846,-8.515,37.6,33.1,13.6,15.8,29.4
2.5,3.0,96149,0.898,0.609,-1.791,-7.921,39.1,27.0,17.4,16.5,33.9
2.5,3.5,93952,0.904,0.622,-1.61,-7.324,40.1,22.1,21.0,16.9,37.9
2.5,4.0,92195,0.899,0.624,-1.622,-7.012,40.8,18.0,24.1,17.2,41.3
2.5,4.5,90895,0.899,0.627,-1.578,-6.754,41.2,14.7,26.7,17.3,44.0
2.5,5.0,89993,0.904,0.633,-1.465,-6.503,41.5,12.2,28.9,17.4,46.3
2.5,5.5,89272,0.909,0.639,-1.364,-6.286,41.8,10.1,30.8,17.4,48.2
2.5,6.0,88694,0.908,0.639,-1.362,-6.193,42.0,8.3,32.3,17.4,49.699999999999996
3.0,2.0,98790,0.885,0.573,-2.109,-8.944,29.2,42.1,10.2,18.6,28.8
3.0,2.5,94756,0.897,0.605,-1.785,-7.834,31.0,34.5,14.3,20.2,34.5
3.0,3.0,91685,0.895,0.617,-1.741,-7.293,32.3,28.2,18.3,21.1,39.400000000000006
3.0,3.5,89480,0.901,0.63,-1.575,-6.76,33.2,23.1,22.0,21.7,43.7
3.0,4.0,87763,0.897,0.632,-1.583,-6.49,33.8,18.9,25.3,22.0,47.3
3.0,4.5,86463,0.896,0.636,-1.543,-6.257,34.2,15.5,28.1,22.2,50.3
3.0,5.0,85568,0.901,0.641,-1.446,-6.034,34.5,12.8,30.4,22.3,52.7
3.0,5.5,84857,0.905,0.647,-1.359,-5.843,34.7,10.6,32.4,22.4,54.8
3.0,6.0,84288,0.906,0.648,-1.325,-5.72,34.9,8.7,34.0,22.4,56.4
3.5,2.0,95623,0.884,0.578,-2.018,-8.388,24.1,43.2,10.5,22.2,32.7
3.5,2.5,91565,0.897,0.611,-1.696,-7.333,25.6,35.5,14.7,24.1,38.8
3.5,3.0,88543,0.894,0.623,-1.665,-6.828,26.7,29.1,18.9,25.3,44.2
3.5,3.5,86361,0.899,0.635,-1.534,-6.35,27.5,23.9,22.7,25.9,48.599999999999994
3.5,4.0,84642,0.896,0.638,-1.521,-6.082,28.0,19.6,26.1,26.4,52.5
3.5,4.5,83356,0.896,0.642,-1.484,-5.871,28.4,16.1,29.0,26.6,55.6
3.5,5.0,82458,0.9,0.648,-1.396,-5.667,28.6,13.3,31.4,26.7,58.099999999999994
3.5,5.5,81756,0.904,0.653,-1.317,-5.495,28.9,11.0,33.4,26.8,60.2
3.5,6.0,81192,0.905,0.654,-1.29,-5.383,29.0,9.1,35.1,26.8,61.900000000000006
4.0,2.0,93303,0.88,0.58,-2.007,-8.033,19.7,44.0,10.7,25.6,36.3
4.0,2.5,89233,0.893,0.613,-1.698,-7.035,21.0,36.2,15.0,27.8,42.8
4.0,3.0,86213,0.892,0.626,-1.647,-6.534,21.9,29.8,19.1,29.2,48.3
4.0,3.5,84038,0.895,0.637,-1.542,-6.101,22.6,24.5,23.0,29.9,52.9
4.0,4.0,82315,0.892,0.64,-1.529,-5.842,23.0,20.1,26.5,30.4,56.9
4.0,4.5,81032,0.892,0.644,-1.485,-5.637,23.3,16.5,29.5,30.7,60.2
4.0,5.0,80146,0.897,0.65,-1.395,-5.438,23.6,13.7,32.0,30.8,62.8
4.0,5.5,79448,0.901,0.655,-1.32,-5.276,23.8,11.3,34.0,30.9,64.9
4.0,6.0,78887,0.901,0.657,-1.297,-5.172,23.9,9.3,35.8,31.0,66.8
4.5,2.0,91567,0.88,0.582,-1.936,-7.691,16.1,44.6,10.7,28.6,39.3
4.5,2.5,87504,0.892,0.615,-1.659,-6.765,17.2,36.7,15.1,31.0,46.1
4.5,3.0,84469,0.89,0.628,-1.618,-6.291,17.9,30.2,19.3,32.6,51.900000000000006
4.5,3.5,82301,0.893,0.639,-1.512,-5.868,18.5,24.9,23.2,33.4,56.599999999999994
4.5,4.0,80586,0.891,0.642,-1.498,-5.625,18.9,20.4,26.7,34.0,60.7
4.5,4.5,79315,0.892,0.647,-1.454,-5.432,19.2,16.8,29.7,34.3,64.0
4.5,5.0,78437,0.896,0.653,-1.366,-5.24,19.4,13.9,32.2,34.5,66.7
4.5,5.5,77732,0.9,0.658,-1.297,-5.088,19.5,11.5,34.3,34.6,68.9
