sl,tp,n,pf,zpf,shd,zshd,sl_hit_pct,tp_hit_pct,eod_plus_pct,eod_minus_pct,eod_pct
1.5,2.0,115164,1.125,0.662,2.547,-8.827,47.0,39.1,8.0,6.0,14.0
1.5,2.5,109039,1.131,0.695,2.423,-7.229,50.0,31.9,11.6,6.6,18.2
1.5,3.0,104685,1.134,0.714,2.298,-6.281,51.8,26.2,15.1,6.9,22.0
1.5,3.5,101564,1.136,0.726,2.187,-5.651,53.0,21.6,18.2,7.2,25.4
1.5,4.0,99283,1.141,0.736,2.164,-5.192,53.9,17.7,21.2,7.3,28.5
1.5,4.5,97582,1.142,0.741,2.101,-4.888,54.5,14.4,23.8,7.3,31.1
1.5,5.0,96279,1.147,0.747,2.091,-4.598,54.9,11.8,26.0,7.3,33.3
1.5,5.5,95272,1.147,0.749,2.038,-4.43,55.1,9.7,27.9,7.3,35.199999999999996
1.5,6.0,94529,1.146,0.75,1.996,-4.339,55.4,8.0,29.4,7.3,36.699999999999996
2.0,2.0,109595,1.118,0.69,2.255,-7.374,37.9,43.1,9.3,9.7,19.0
2.0,2.5,103275,1.124,0.724,2.155,-5.969,40.5,35.4,13.5,10.7,24.2
2.0,3.0,98790,1.129,0.745,2.093,-5.138,42.1,29.1,17.5,11.3,28.8
2.0,3.5,95623,1.13,0.757,2.005,-4.634,43.2,24.1,21.2,11.6,32.8
2.0,4.0,93303,1.136,0.768,1.998,-4.226,44.0,19.7,24.5,11.7,36.2
2.0,4.5,91567,1.136,0.772,1.928,-3.981,44.6,16.1,27.5,11.8,39.3
2.0,5.0,90232,1.141,0.779,1.932,-3.741,45.0,13.2,30.0,11.8,41.8
2.0,5.5,89210,1.142,0.782,1.896,-3.583,45.2,10.8,32.1,11.8,43.900000000000006
2.0,6.0,88432,1.14,0.782,1.851,-3.521,45.5,8.9,33.8,11.7,45.5
2.5,2.0,105656,1.106,0.702,1.909,-6.545,30.9,45.7,10.1,13.4,23.5
2.5,2.5,99228,1.111,0.736,1.834,-5.303,33.1,37.6,14.7,14.7,29.4
2.5,3.0,94756,1.115,0.756,1.778,-4.59,34.5,31.0,19.0,15.5,34.5
2.5,3.5,91565,1.115,0.767,1.69,-4.16,35.5,25.6,23.0,15.9,38.9
2.5,4.0,89233,1.12,0.778,1.694,-3.797,36.2,21.0,26.6,16.2,42.8
2.5,4.5,87504,1.121,0.783,1.655,-3.571,36.7,17.2,29.8,16.2,46.0
2.5,5.0,86170,1.126,0.79,1.671,-3.351,37.1,14.2,32.5,16.3,48.8
2.5,5.5,85135,1.128,0.793,1.652,-3.207,37.4,11.6,34.8,16.3,51.099999999999994
2.5,6.0,84356,1.126,0.794,1.611,-3.151,37.6,9.6,36.6,16.2,52.8
3.0,2.0,102617,1.109,0.716,1.863,-5.878,25.1,47.4,10.6,16.9,27.5
3.0,2.5,96149,1.113,0.749,1.778,-4.785,27.0,39.1,15.3,18.6,33.900000000000006
3.0,3.0,91685,1.117,0.769,1.732,-4.125,28.2,32.3,19.9,19.5,39.4
3.0,3.5,88543,1.117,0.78,1.656,-3.718,29.1,26.7,24.0,20.1,44.1
3.0,4.0,86213,1.121,0.791,1.642,-3.401,29.8,21.9,27.9,20.4,48.3
3.0,4.5,84469,1.123,0.797,1.613,-3.185,30.2,17.9,31.3,20.6,51.900000000000006
3.0,5.0,83143,1.127,0.803,1.624,-3.008,30.6,14.8,34.0,20.6,54.6
3.0,5.5,82098,1.129,0.807,1.614,-2.861,30.8,12.1,36.4,20.6,57.0
3.0,6.0,81310,1.128,0.807,1.574,-2.813,31.1,10.0,38.3,20.6,58.9
3.5,2.0,100391,1.101,0.718,1.646,-5.534,20.6,48.4,10.9,20.1,31.0
3.5,2.5,93952,1.106,0.752,1.597,-4.491,22.1,40.0,15.7,22.1,37.8
3.5,3.0,89480,1.11,0.772,1.569,-3.881,23.2,33.1,20.4,23.3,43.7
3.5,3.5,86361,1.112,0.785,1.527,-3.477,23.9,27.5,24.7,24.0,48.7
3.5,4.0,84038,1.118,0.796,1.537,-3.164,24.5,22.5,28.6,24.4,53.0
3.5,4.5,82301,1.119,0.802,1.508,-2.962,24.9,18.5,32.1,24.5,56.6
3.5,5.0,80976,1.123,0.809,1.524,-2.791,25.2,15.3,34.9,24.6,59.5
3.5,5.5,79926,1.126,0.813,1.518,-2.654,25.4,12.5,37.4,24.7,62.099999999999994
3.5,6.0,79131,1.124,0.813,1.472,-2.62,25.6,10.3,39.4,24.7,64.1
4.0,2.0,98620,1.109,0.727,1.689,-5.083,16.7,49.2,11.0,23.1,34.1
4.0,2.5,92195,1.112,0.76,1.61,-4.139,18.0,40.8,16.0,25.3,41.3
4.0,3.0,87763,1.115,0.78,1.576,-3.588,18.9,33.8,20.7,26.6,47.3
4.0,3.5,84642,1.116,0.792,1.514,-3.233,19.6,28.0,25.0,27.4,52.4
4.0,4.0,82315,1.121,0.804,1.525,-2.932,20.1,23.0,29.1,27.9,57.0
4.0,4.5,80586,1.122,0.809,1.495,-2.749,20.4,18.9,32.6,28.1,60.7
4.0,5.0,79272,1.127,0.816,1.511,-2.589,20.7,15.6,35.5,28.2,63.7
4.0,5.5,78232,1.129,0.82,1.507,-2.458,20.9,12.8,38.1,28.2,66.3
4.0,6.0,77444,1.127,0.821,1.466,-2.423,21.1,10.6,40.1,28.2,68.3
4.5,2.0,97293,1.111,0.731,1.661,-4.839,13.6,49.7,11.1,25.5,36.6
4.5,2.5,90895,1.112,0.763,1.565,-3.971,14.8,41.2,16.1,27.9,44.0
4.5,3.0,86463,1.115,0.784,1.537,-3.437,15.5,34.2,20.9,29.4,50.3
4.5,3.5,83356,1.116,0.795,1.478,-3.101,16.1,28.4,25.3,30.3,55.6
4.5,4.0,81032,1.12,0.806,1.481,-2.821,16.5,23.3,29.3,30.9,60.2
4.5,4.5,79315,1.121,0.812,1.451,-2.65,16.8,19.2,32.9,31.1,64.0
4.5,5.0,78010,1.126,0.819,1.472,-2.489,17.0,15.9,35.9,31.3,67.2
4.5,5.5,76971,1.129,0.823,1.467,-2.365,17.2,13.0,38.4,31.3,69.7
4.5,6.0,76186,1.126,0.823,1.425,-2.334,17.4,10.8,40.5,31.4,71.9
5.0,2.0,96377,1.105,0.73,1.538,-4.754,11.3,50.1,11.1,27.5,38.6
5.0,2.5,89993,1.105,0.762,1.455,-3.92,12.2,41.5,16.1,30.1,46.2
5.0,3.0,85568,1.11,0.783,1.442,-3.393,12.8,34.5,21.0,31.7,52.7
5.0,3.5,82458,1.111,0.795,1.392,-3.062,13.3,28.6,25.3,32.7,58.0
5.0,4.0,80146,1.115,0.805,1.394,-2.792,13.7,23.6,29.5,33.3,62.8
5.0,4.5,78437,1.116,0.811,1.366,-2.625,13.9,19.4,33.1,33.6,66.7
5.0,5.0,77133,1.12,0.817,1.382,-2.472,14.1,16.0,36.1,33.8,69.9
5.0,5.5,76094,1.122,0.822,1.379,-2.352,14.3,13.2,38.6,33.9,72.5
5.0,6.0,75310,1.12,0.822,1.341,-2.32,14.4,10.9,40.7,34.0,74.7
5.5,2.0,95649,1.099,0.728,1.437,-4.686,9.3,50.3,11.1,29.2,40.3
5.5,2.5,89272,1.1,0.76,1.355,-3.886,10.1,41.8,16.2,32.0,48.2
5.5,3.0,84857,1.105,0.781,1.356,-3.362,10.6,34.7,21.0,33.7,54.7
5.5,3.5,81756,1.106,0.793,1.314,-3.038,11.0,28.8,25.4,34.7,60.1
5.5,4.0,79448,1.11,0.804,1.319,-2.773,11.3,23.8,29.6,35.4,65.0
5.5,4.5,77732,1.111,0.81,1.297,-2.606,11.5,19.5,33.2,35.7,68.9
5.5,5.0,76425,1.115,0.816,1.31,-2.46,11.7,16.1,36.2,36.0,72.2
5.5,5.5,75387,1.118,0.821,1.314,-2.337,11.8,13.3,38.8,36.1,74.9
5.5,6.0,74604,1.115,0.82,1.271,-2.312,11.9,11.0,40.9,36.1,77.0
6.0,2.0,95053,1.101,0.731,1.441,-4.579,7.7,50.5,11.1,30.7,41.8
6.0,2.5,88694,1.101,0.762,1.353,-3.803,8.3,42.0,16.2,33.6,49.8
6.0,3.0,84288,1.103,0.781,1.321,-3.308,8.7,34.8,21.1,35.4,56.5
6.0,3.5,81192,1.105,0.794,1.288,-2.98,9.1,29.0,25.4,36.5,61.9
6.0,4.0,78887,1.11,0.805,1.297,-2.716,9.3,23.9,29.6,37.2,66.80000000000001
6.0,4.5,77183,1.111,0.811,1.273,-2.553,9.5,19.6,33.3,37.6,70.9
6.0,5.0,75879,1.115,0.817,1.293,-2.404,9.7,16.3,36.3,37.8,74.1
6.0,5.5,74840,1.118,0.822,1.3,-2.28,9.8,13.4,38.9,37.9,76.8
