sl,tp,n,pf,zpf,shd,zshd,sl_hit_pct,tp_hit_pct,eod_plus_pct,eod_minus_pct,eod_pct
1.5,2.0,114411,1.088,0.644,1.788,-8.662,48.1,38.1,7.7,6.0,13.7
1.5,2.5,110417,1.095,0.677,1.782,-7.348,51.1,31.2,11.1,6.6,17.7
1.5,3.0,107153,1.104,0.699,1.811,-6.449,52.8,25.6,14.6,6.9,21.5
1.5,3.5,104763,1.108,0.712,1.769,-5.83,54.1,21.0,17.8,7.2,25.0
1.5,4.0,102879,1.111,0.721,1.749,-5.415,54.9,17.2,20.7,7.2,27.9
1.5,4.5,101475,1.113,0.726,1.726,-5.132,55.4,14.0,23.3,7.3,30.6
1.5,5.0,100391,1.117,0.731,1.723,-4.887,55.8,11.5,25.4,7.3,32.699999999999996
1.5,5.5,99609,1.118,0.734,1.698,-4.719,56.1,9.5,27.2,7.2,34.4
1.5,6.0,98981,1.117,0.735,1.659,-4.611,56.3,7.7,28.8,7.2,36.0
2.0,2.0,106379,1.082,0.673,1.558,-7.358,38.9,42.4,9.0,9.6,18.6
2.0,2.5,102158,1.089,0.707,1.569,-6.154,41.5,34.9,13.0,10.6,23.6
2.0,3.0,98832,1.097,0.729,1.599,-5.366,43.2,28.6,17.1,11.1,28.200000000000003
2.0,3.5,96443,1.1,0.742,1.569,-4.848,44.3,23.5,20.8,11.4,32.2
2.0,4.0,94566,1.103,0.75,1.543,-4.495,45.1,19.2,24.1,11.6,35.7
2.0,4.5,93178,1.104,0.755,1.51,-4.264,45.6,15.8,27.0,11.7,38.7
2.0,5.0,92094,1.108,0.761,1.52,-4.037,46.0,12.9,29.5,11.7,41.2
2.0,5.5,91320,1.11,0.764,1.514,-3.882,46.2,10.6,31.5,11.6,43.1
2.0,6.0,90683,1.11,0.765,1.481,-3.788,46.4,8.7,33.3,11.6,44.9
2.5,2.0,100925,1.082,0.692,1.477,-6.452,31.7,45.1,9.9,13.4,23.3
2.5,2.5,96594,1.09,0.727,1.501,-5.366,33.9,37.3,14.2,14.7,28.9
2.5,3.0,93223,1.097,0.749,1.525,-4.664,35.3,30.7,18.6,15.4,34.0
2.5,3.5,90824,1.1,0.762,1.506,-4.213,36.4,25.2,22.6,15.8,38.400000000000006
2.5,4.0,88976,1.101,0.769,1.462,-3.924,37.0,20.7,26.2,16.1,42.3
2.5,4.5,87607,1.104,0.775,1.452,-3.701,37.5,16.9,29.4,16.2,45.599999999999994
2.5,5.0,86546,1.107,0.781,1.458,-3.499,37.9,13.9,32.1,16.1,48.2
2.5,5.5,85774,1.11,0.785,1.458,-3.356,38.1,11.4,34.3,16.2,50.5
2.5,6.0,85146,1.109,0.786,1.425,-3.278,38.3,9.3,36.2,16.2,52.400000000000006
3.0,2.0,97292,1.074,0.698,1.25,-5.938,25.9,46.8,10.3,16.9,27.2
3.0,2.5,92923,1.08,0.732,1.261,-4.96,27.9,38.7,14.9,18.5,33.4
3.0,3.0,89573,1.086,0.753,1.292,-4.33,29.1,31.9,19.5,19.5,39.0
3.0,3.5,87195,1.089,0.766,1.277,-3.932,30.0,26.2,23.7,20.1,43.8
3.0,4.0,85368,1.089,0.773,1.243,-3.673,30.6,21.6,27.5,20.3,47.8
3.0,4.5,84008,1.093,0.78,1.256,-3.455,31.0,17.8,30.7,20.5,51.2
3.0,5.0,82952,1.096,0.786,1.262,-3.274,31.4,14.6,33.5,20.5,54.0
3.0,5.5,82176,1.098,0.789,1.256,-3.151,31.6,12.0,35.9,20.5,56.4
3.0,6.0,81548,1.098,0.79,1.236,-3.072,31.8,9.8,37.9,20.5,58.4
3.5,2.0,94617,1.062,0.698,1.005,-5.66,21.4,47.9,10.6,20.1,30.700000000000003
3.5,2.5,90249,1.069,0.733,1.055,-4.726,23.0,39.7,15.3,21.9,37.2
3.5,3.0,86916,1.078,0.756,1.123,-4.109,24.1,32.9,20.1,23.0,43.1
3.5,3.5,84532,1.079,0.767,1.096,-3.754,24.9,27.0,24.4,23.7,48.099999999999994
3.5,4.0,82714,1.078,0.774,1.056,-3.534,25.4,22.3,28.3,24.1,52.400000000000006
3.5,4.5,81355,1.081,0.78,1.068,-3.333,25.8,18.3,31.6,24.2,55.8
3.5,5.0,80307,1.084,0.786,1.076,-3.163,26.1,15.1,34.5,24.3,58.8
3.5,5.5,79539,1.087,0.789,1.083,-3.04,26.3,12.4,37.0,24.3,61.3
3.5,6.0,78911,1.086,0.79,1.061,-2.971,26.5,10.1,39.1,24.4,63.5
4.0,2.0,92535,1.064,0.703,0.983,-5.3,17.5,48.7,10.8,23.0,33.8
4.0,2.5,88167,1.071,0.738,1.034,-4.423,18.9,40.5,15.5,25.2,40.7
4.0,3.0,84845,1.079,0.761,1.092,-3.85,19.8,33.5,20.4,26.4,46.8
4.0,3.5,82474,1.081,0.773,1.074,-3.497,20.4,27.6,24.8,27.2,52.0
4.0,4.0,80668,1.079,0.779,1.024,-3.303,20.9,22.8,28.7,27.6,56.3
4.0,4.5,79314,1.082,0.786,1.035,-3.124,21.3,18.8,32.2,27.8,60.0
4.0,5.0,78268,1.085,0.791,1.051,-2.964,21.5,15.4,35.1,27.9,63.0
4.0,5.5,77510,1.087,0.795,1.055,-2.851,21.7,12.7,37.6,28.0,65.6
4.0,6.0,76889,1.087,0.796,1.028,-2.794,21.8,10.4,39.8,28.0,67.8
4.5,2.0,91021,1.06,0.705,0.898,-5.099,14.4,49.3,10.9,25.5,36.4
4.5,2.5,86641,1.068,0.739,0.954,-4.263,15.5,41.0,15.6,27.9,43.5
4.5,3.0,83324,1.075,0.762,1.011,-3.717,16.3,33.9,20.6,29.3,49.900000000000006
4.5,3.5,80958,1.076,0.774,0.988,-3.387,16.8,28.0,25.0,30.2,55.2
4.5,4.0,79160,1.074,0.779,0.937,-3.208,17.2,23.1,29.0,30.7,59.7
4.5,4.5,77814,1.078,0.786,0.955,-3.028,17.5,19.1,32.4,30.9,63.3
4.5,5.0,76775,1.081,0.793,0.977,-2.87,17.8,15.7,35.5,31.1,66.6
4.5,5.5,76016,1.084,0.797,0.986,-2.757,17.9,12.9,38.0,31.1,69.1
4.5,6.0,75400,1.083,0.797,0.959,-2.704,18.1,10.6,40.2,31.2,71.4
5.0,2.0,89840,1.061,0.707,0.885,-4.906,11.8,49.7,10.9,27.7,38.6
5.0,2.5,85463,1.067,0.742,0.925,-4.115,12.7,41.3,15.7,30.3,46.0
5.0,3.0,82162,1.074,0.764,0.971,-3.597,13.4,34.2,20.6,31.8,52.400000000000006
5.0,3.5,79795,1.076,0.776,0.953,-3.278,13.8,28.3,25.1,32.8,57.9
5.0,4.0,77990,1.073,0.781,0.9,-3.112,14.2,23.4,29.1,33.3,62.4
5.0,4.5,76650,1.075,0.787,0.909,-2.95,14.5,19.3,32.6,33.6,66.2
5.0,5.0,75620,1.079,0.793,0.929,-2.799,14.7,15.9,35.6,33.8,69.4
5.0,5.5,74860,1.082,0.797,0.941,-2.689,14.8,13.1,38.2,33.9,72.1
5.0,6.0,74246,1.08,0.798,0.912,-2.642,14.9,10.7,40.4,34.0,74.4
5.5,2.0,89011,1.057,0.707,0.815,-4.818,9.7,50.0,10.9,29.5,40.4
5.5,2.5,84629,1.065,0.741,0.868,-4.037,10.5,41.6,15.6,32.2,47.800000000000004
5.5,3.0,81333,1.071,0.763,0.911,-3.538,11.0,34.5,20.7,33.8,54.5
5.5,3.5,78969,1.072,0.775,0.895,-3.227,11.4,28.5,25.1,34.9,60.0
5.5,4.0,77166,1.071,0.781,0.852,-3.053,11.7,23.6,29.1,35.5,64.6
5.5,4.5,75823,1.073,0.787,0.862,-2.896,12.0,19.5,32.7,35.8,68.5
5.5,5.0,74794,1.076,0.793,0.885,-2.748,12.1,16.1,35.7,36.0,71.7
5.5,5.5,74033,1.079,0.798,0.902,-2.637,12.3,13.3,38.3,36.1,74.4
5.5,6.0,73421,1.078,0.798,0.876,-2.587,12.3,10.8,40.6,36.2,76.80000000000001
6.0,2.0,88349,1.054,0.706,0.748,-4.728,8.0,50.2,10.9,30.9,41.8
6.0,2.5,83962,1.061,0.74,0.798,-3.975,8.7,41.8,15.6,33.8,49.4
6.0,3.0,80676,1.067,0.762,0.846,-3.488,9.1,34.7,20.7,35.5,56.2
6.0,3.5,78311,1.069,0.774,0.839,-3.178,9.5,28.7,25.1,36.7,61.800000000000004
6.0,4.0,76508,1.067,0.78,0.794,-3.013,9.7,23.8,29.2,37.3,66.5
6.0,4.5,75161,1.069,0.786,0.805,-2.863,9.9,19.7,32.7,37.7,70.4
6.0,5.0,74137,1.072,0.792,0.825,-2.722,10.0,16.2,35.8,37.9,73.69999999999999
6.0,5.5,73377,1.076,0.797,0.846,-2.611,10.1,13.4,38.4,38.1,76.5
6.0,6.0,72764,1.075,0.797,0.821,-2.564,10.2,10.9,40.7,38.2,78.9
