sl,tp,n,pf,zpf,shd,zshd,sl_hit_pct,tp_hit_pct,eod_plus_pct,eod_minus_pct,eod_pct
1.5,2.0,111828,0.938,0.556,-1.381,-12.078,51.6,35.0,7.4,5.9,13.3
1.5,2.5,106631,0.942,0.582,-1.206,-10.698,54.6,28.4,10.5,6.5,17.0
1.5,3.0,103167,0.949,0.601,-0.972,-9.549,56.4,23.2,13.5,6.8,20.3
1.5,3.5,100562,0.959,0.617,-0.742,-8.684,57.7,19.1,16.2,7.1,23.299999999999997
1.5,4.0,98544,0.958,0.621,-0.725,-8.154,58.5,15.6,18.7,7.2,25.9
1.5,4.5,97109,0.96,0.626,-0.666,-7.738,59.1,12.8,20.9,7.2,28.099999999999998
1.5,5.0,95953,0.961,0.63,-0.622,-7.43,59.5,10.5,22.8,7.2,30.0
1.5,5.5,95129,0.965,0.634,-0.539,-7.145,59.7,8.6,24.4,7.2,31.599999999999998
1.5,6.0,94498,0.968,0.638,-0.481,-6.892,60.0,7.1,25.7,7.2,32.9
2.0,2.0,106379,0.923,0.574,-1.588,-10.511,42.5,38.9,8.8,9.9,18.700000000000003
2.0,2.5,100925,0.923,0.599,-1.501,-9.374,45.2,31.6,12.4,10.8,23.200000000000003
2.0,3.0,97292,0.93,0.618,-1.271,-8.392,46.9,25.9,15.8,11.4,27.200000000000003
2.0,3.5,94617,0.941,0.634,-1.02,-7.614,48.0,21.3,18.9,11.8,30.7
2.0,4.0,92535,0.939,0.638,-1.003,-7.171,48.7,17.5,21.8,11.9,33.7
2.0,4.5,91021,0.942,0.645,-0.915,-6.79,49.3,14.4,24.3,12.0,36.3
2.0,5.0,89840,0.942,0.647,-0.895,-6.557,49.7,11.8,26.5,12.0,38.5
2.0,5.5,89011,0.945,0.651,-0.825,-6.331,50.0,9.7,28.3,12.0,40.3
2.0,6.0,88349,0.948,0.655,-0.758,-6.107,50.2,8.0,29.8,12.0,41.8
2.5,2.0,102158,0.917,0.587,-1.592,-9.376,34.9,41.5,9.6,14.0,23.6
2.5,2.5,96594,0.916,0.611,-1.522,-8.385,37.3,33.9,13.5,15.3,28.8
2.5,3.0,92923,0.926,0.632,-1.275,-7.481,38.8,27.8,17.4,16.0,33.4
2.5,3.5,90249,0.934,0.647,-1.068,-6.82,39.8,23.0,20.7,16.5,37.2
2.5,4.0,88167,0.933,0.652,-1.048,-6.438,40.5,18.9,23.9,16.8,40.7
2.5,4.5,86641,0.936,0.658,-0.963,-6.104,41.0,15.5,26.6,16.9,43.5
2.5,5.0,85463,0.936,0.661,-0.933,-5.888,41.4,12.7,29.0,16.9,45.9
2.5,5.5,84629,0.939,0.665,-0.875,-5.692,41.7,10.5,30.9,16.9,47.8
2.5,6.0,83962,0.942,0.669,-0.806,-5.491,41.8,8.7,32.5,16.9,49.4
3.0,2.0,98832,0.911,0.593,-1.621,-8.688,28.7,43.1,10.1,18.1,28.200000000000003
3.0,2.5,93223,0.911,0.618,-1.543,-7.781,30.7,35.3,14.2,19.8,34.0
3.0,3.0,89573,0.92,0.639,-1.3,-6.947,31.9,29.0,18.2,20.8,39.0
3.0,3.5,86916,0.928,0.653,-1.128,-6.364,32.9,24.1,21.7,21.4,43.099999999999994
3.0,4.0,84845,0.926,0.658,-1.101,-6.014,33.5,19.8,25.0,21.7,46.7
3.0,4.5,83324,0.93,0.665,-1.014,-5.704,33.9,16.3,27.9,21.9,49.8
3.0,5.0,82162,0.931,0.668,-0.973,-5.494,34.2,13.4,30.4,22.0,52.4
3.0,5.5,81333,0.934,0.672,-0.912,-5.309,34.5,11.0,32.5,22.0,54.5
3.0,6.0,80676,0.937,0.676,-0.847,-5.127,34.7,9.1,34.1,22.0,56.1
3.5,2.0,96443,0.908,0.597,-1.59,-8.161,23.5,44.3,10.3,21.9,32.2
3.5,2.5,90824,0.908,0.622,-1.52,-7.323,25.2,36.3,14.6,23.9,38.5
3.5,3.0,87195,0.918,0.644,-1.285,-6.548,26.3,30.0,18.8,25.0,43.8
3.5,3.5,84532,0.926,0.659,-1.103,-5.985,27.1,24.9,22.3,25.7,48.0
3.5,4.0,82474,0.925,0.664,-1.083,-5.655,27.6,20.4,25.8,26.1,51.900000000000006
3.5,4.5,80958,0.929,0.671,-0.992,-5.358,28.0,16.8,28.8,26.4,55.2
3.5,5.0,79795,0.93,0.674,-0.956,-5.166,28.3,13.8,31.4,26.5,57.9
3.5,5.5,78969,0.933,0.678,-0.897,-4.993,28.5,11.4,33.5,26.5,60.0
3.5,6.0,78311,0.935,0.682,-0.841,-4.829,28.7,9.5,35.3,26.6,61.9
4.0,2.0,94566,0.906,0.6,-1.564,-7.777,19.3,45.1,10.5,25.2,35.7
4.0,2.5,88976,0.908,0.626,-1.473,-6.97,20.7,37.0,14.8,27.5,42.3
4.0,3.0,85368,0.917,0.648,-1.251,-6.245,21.6,30.6,19.0,28.8,47.8
4.0,3.5,82714,0.927,0.664,-1.062,-5.709,22.3,25.4,22.6,29.7,52.3
4.0,4.0,80668,0.926,0.669,-1.034,-5.388,22.8,20.9,26.2,30.1,56.3
4.0,4.5,79160,0.93,0.677,-0.94,-5.101,23.1,17.2,29.2,30.4,59.599999999999994
4.0,5.0,77990,0.932,0.68,-0.902,-4.919,23.4,14.2,31.9,30.5,62.4
4.0,5.5,77166,0.934,0.684,-0.854,-4.758,23.6,11.7,34.1,30.6,64.7
4.0,6.0,76508,0.937,0.688,-0.796,-4.597,23.8,9.7,35.9,30.6,66.5
4.5,2.0,93178,0.905,0.602,-1.528,-7.51,15.8,45.6,10.5,28.1,38.6
