source,sl_tp,n_trades,pf,sh_d,zpf,zsh_d,net_zpnl,sl_pct,tp_pct,eod_plus_pct,eod_minus_pct,eod_pct,alpha_capm,p_alpha_capm,alpha_capm_cumulative,ci_low_capm,ci_high_capm,beta_capm,se_alpha_capm,t_alpha_capm
FRESH_FULLDS3_BASELINE,2.0x4.5,114516,1.123,1.803,0.762,-4.306,-47820.41,45.1,16.3,26.4,12.2,38.6,-16.269,0.0,-46481.3,-18.498,-14.041,-3.411,1.137,-14.314
FRESH_MASHORT_V1,4.5x3.0,104917,1.102,1.394,0.772,-3.691,-44687.1,15.9,34.4,20.1,29.6,49.7,-15.101,0.0,-43144.83,-17.527,-12.676,-3.908,1.237,-12.209
FRESH_MASHORT_V2VWAP,4.5x3.0,81284,1.126,1.584,0.785,-3.295,-31732.08,15.6,35.2,19.8,29.4,49.2,-10.695,0.0,-30544.68,-12.629,-8.761,-2.949,0.987,-10.841
FRESH_6BCE_V0,8.0x3.0,132518,1.104,1.392,0.836,-2.549,-49549.39,5.5,37.7,19.1,37.6,56.7,-16.342,0.0,-46688.05,-20.213,-12.47,-7.235,1.974,-8.277
FRESH_6BCE_V1VWAP,4.5x3.0,94263,1.173,2.126,0.828,-2.598,-29294.5,14.7,35.1,20.7,29.5,50.2,-9.79,0.0,-27939.35,-12.054,-7.525,-3.626,1.155,-8.477
FRESH_MALONGFLIP_V0,7.0x3.0,99700,1.105,1.369,0.79,-3.173,-41082.9,6.7,36.1,20.5,36.7,57.2,-13.811,0.0,-39430.2,-16.404,-11.218,-4.351,1.322,-10.445
FRESH_MALONGFLIP_VWAP,4.0x3.0,61121,1.187,2.242,0.821,-2.597,-18992.85,18.3,34.3,21.3,26.2,47.5,-6.225,0.0,-17721.22,-7.693,-4.756,-3.441,0.749,-8.314
LIQUIDITY_V0_SWINGLOW_LONG,6.0x2.5,84356,0.888,-1.614,0.617,-6.349,-72614.8,9.6,37.6,15.0,37.8,52.8,-26.642,0.0,-75743.51,-28.848,-24.436,12.154,1.125,-23.677
LIQUIDITY_V1_SWINGLOW_SHORT,4.5x3.0,86463,1.115,1.537,0.784,-3.437,-38221.88,15.5,34.2,20.9,29.4,50.3,-12.397,0.0,-35256.94,-14.551,-10.243,-11.431,1.098,-11.287
LIQUIDITY_V2_SWINGHIGH_SHORT,5.0x3.0,82162,1.074,0.971,0.764,-3.597,-41932.94,13.4,34.2,20.6,31.8,52.4,-13.658,0.0,-38844.42,-15.945,-11.372,-9.533,1.166,-11.714
LIQUIDITY_V3_SWINGHIGH_LONG,6.0x5.0,74246,0.926,-0.912,0.684,-4.504,-59567.08,10.7,14.9,32.5,41.9,74.4,-22.281,0.0,-63345.34,-24.856,-19.706,11.645,1.313,-16.967
