source,sl_tp,n_trades,pf,sh_d,zpf,zsh_d,net_zpnl,sl_pct,tp_pct,eod_plus_pct,eod_minus_pct,eod_pct,alpha_capm,p_alpha_capm,alpha_capm_cumulative,ci_low_capm,ci_high_capm,beta_capm,se_alpha_capm,t_alpha_capm
FRESH,2.0x4.5,842,1.294,6.616,0.718,-8.937,-504.6,45.0,14.1,28.1,12.7,40.8,-23.656,0.023,-496.78,-43.735,-3.578,6.386,9.593,-2.466
FRESH_MASHORT_V1,4.5x3.0,786,1.389,8.518,0.793,-6.255,-351.36,14.4,33.3,20.2,32.1,52.3,-16.186,0.105,-339.91,-36.092,3.720,9.358,9.511,-1.702
FRESH_MASHORT_V2VWAP,4.5x3.0,647,1.275,5.931,0.706,-8.993,-410.85,14.4,32.8,20.4,32.5,52.9,-20.131,0.017,-422.75,-36.256,-4.006,-9.712,7.704,-2.613
FRESH_6BCE_V0,8.0x3.0,1014,1.09,1.881,0.729,-6.974,-885.88,3.5,38.6,20.0,38.0,58.0,-45.937,0.036,-964.68,-88.511,-3.363,-64.324,20.341,-2.258
FRESH_6BCE_V1VWAP,4.5x3.0,794,0.992,-0.145,0.601,-9.252,-920.23,15.5,32.0,21.2,31.4,52.6,-49.721,0.001,-1044.14,-75.521,-23.922,-101.160,12.326,-4.034
FRESH_MALONGFLIP_V0,7.0x3.0,756,1.134,2.344,0.681,-7.258,-653.7,6.1,34.4,21.0,38.5,59.5,-29.279,0.064,-614.86,-60.482,1.924,31.710,14.908,-1.964
FRESH_MALONGFLIP_VWAP,4.0x3.0,507,0.988,-0.232,0.537,-14.164,-574.57,18.3,29.8,22.1,29.8,51.9,-26.983,0.001,-566.64,-41.367,-12.599,6.469,6.872,-3.926
LIQUIDITY_V0_SWINGLOW_LONG,6.0x2.5,84356,0.888,-1.614,0.617,-6.349,-72614.8,9.6,37.6,15.0,37.8,52.8,-26.801,0.000,-76142.27,-28.863,-24.739,30.147,1.052,-25.488
LIQUIDITY_V1_SWINGLOW_SHORT,4.5x3.0,86463,1.115,1.537,0.784,-3.437,-38221.88,15.5,34.2,20.9,29.4,50.3,-12.244,0.000,-34797.31,-14.257,-10.231,-28.903,1.026,-11.929
LIQUIDITY_V2_SWINGHIGH_SHORT,5.0x3.0,82162,1.074,0.971,0.764,-3.597,-41932.94,13.4,34.2,20.6,31.8,52.4,-13.454,0.000,-38235.46,-15.542,-11.366,-31.329,1.065,-12.633
LIQUIDITY_V3_SWINGHIGH_LONG,6.0x5.0,74246,0.926,-0.912,0.684,-4.504,-59567.08,10.7,14.9,32.5,41.9,74.4,-22.486,0.000,-63882.62,-24.826,-20.146,36.926,1.194,-18.839
