Price,Close,High,Low,Open,Volume,MA20,MA50,EMA200,ADX,Actual_Regime,GSS_Score,GSS_Prediction,Match
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,,,,,,,,
Date,,,,,,,,,,,,,
2022-01-04,17805.25,17827.599609375,17593.55078125,17681.400390625,247400,17229.24736328125,17499.012890625,16798.177553827405,0.0,SIDEWAYS,10,BEAR,False
2022-01-05,17925.25,17944.69921875,17748.849609375,17820.099609375,251500,17252.02236328125,17495.0098828125,16810.384196652885,0.0,SIDEWAYS,10,BEAR,False
2022-01-06,17745.900390625,17797.94921875,17655.55078125,17768.5,236500,17263.47490234375,17484.5598828125,16820.507299247645,0.0,SIDEWAYS,10,BEAR,False
2022-01-07,17812.69921875,17905.0,17704.55078125,17797.599609375,239300,17278.54482421875,17476.5948828125,16831.2343434787,0.0,SIDEWAYS,10,BEAR,False
2022-01-10,18003.30078125,18017.44921875,17879.150390625,17913.30078125,232400,17310.29736328125,17479.5158984375,16843.895190370677,0.0,SIDEWAYS,10,BEAR,False
2022-01-11,18055.75,18081.25,17964.400390625,17997.75,220200,17346.83984375,17487.197890625,16856.97469499215,0.0,SIDEWAYS,40,SIDEWAYS,True
2022-01-12,18212.349609375,18227.94921875,18128.80078125,18170.400390625,245000,17396.3873046875,17492.851875,16871.590889571784,0.0,SIDEWAYS,40,SIDEWAYS,True
2022-01-13,18257.80078125,18272.25,18163.80078125,18257.0,303700,17446.85732421875,17500.22890625,16886.5271534415,0.0,SIDEWAYS,40,SIDEWAYS,True
2022-01-14,18255.75,18286.94921875,18119.650390625,18185.0,229500,17510.38486328125,17508.759921875,16901.268227561755,0.0,BULL,40,SIDEWAYS,False
2022-01-17,18308.099609375,18321.55078125,18228.75,18235.650390625,266700,17595.0798828125,17516.5858984375,16916.401850244984,0.0,BULL,40,SIDEWAYS,False
2022-01-18,18113.05078125,18350.94921875,18085.900390625,18337.19921875,227500,17662.18994140625,17517.4758984375,16929.264110150645,0.0,BULL,40,SIDEWAYS,False
2022-01-19,17938.400390625,18129.19921875,17884.900390625,18129.19921875,276700,17711.3375,17515.35890625,16940.102225719605,0.0,BULL,40,SIDEWAYS,False
2022-01-20,17757.0,17943.69921875,17648.44921875,17921.0,258100,17745.55751953125,17510.154921875,16948.8687779466,0.0,BULL,60,SIDEWAYS,False
2022-01-21,17617.150390625,17707.599609375,17485.849609375,17613.69921875,277600,17776.2275390625,17505.0259375,16956.034854704518,0.0,SIDEWAYS,60,SIDEWAYS,True
2022-01-24,17149.099609375,17599.400390625,16997.849609375,17575.150390625,323800,17779.37001953125,17485.9529296875,16958.103516094947,0.0,SIDEWAYS,40,SIDEWAYS,True
2022-01-25,17277.94921875,17309.150390625,16836.80078125,17001.55078125,326500,17781.60498046875,17469.3229296875,16961.527998922924,0.0,SIDEWAYS,40,SIDEWAYS,True
2022-01-27,17110.150390625,17182.5,16866.75,17062.0,395600,17776.43251953125,17451.541953125,16963.118047280816,0.0,SIDEWAYS,40,SIDEWAYS,True
2022-01-28,17101.94921875,17373.5,17077.099609375,17208.30078125,355300,17771.33251953125,17435.6079296875,16964.602232837704,0.0,SIDEWAYS,40,SIDEWAYS,True
2022-01-31,17339.849609375,17410.0,17264.150390625,17301.05078125,321700,17770.6224609375,17427.10890625,16968.61087670882,0.0,SIDEWAYS,40,SIDEWAYS,True
2022-02-01,17576.849609375,17622.400390625,17244.55078125,17529.44921875,386400,17768.17998046875,17430.3148828125,16975.103734830536,0.0,SIDEWAYS,10,BEAR,False
2022-02-02,17780.0,17794.599609375,17674.80078125,17706.19921875,271200,17766.91748046875,17435.847890625,16983.689661513996,0.0,BULL,10,BEAR,False
2022-02-03,17560.19921875,17781.150390625,17511.150390625,17767.75,226600,17748.66494140625,17438.750859375,16989.834953917605,0.0,SIDEWAYS,30,SIDEWAYS,True
2022-02-04,17516.30078125,17617.80078125,17462.55078125,17590.19921875,261400,17737.1849609375,17438.351875,16995.442828873278,0.0,SIDEWAYS,10,BEAR,False
2022-02-07,17213.599609375,17536.75,17119.400390625,17456.30078125,265000,17707.22998046875,17442.0948828125,16997.76498931622,0.0,SIDEWAYS,10,BEAR,False
2022-02-08,17266.75,17306.44921875,17043.650390625,17279.849609375,268500,17670.40244140625,17446.3508984375,17000.62620238622,0.0,SIDEWAYS,10,BEAR,False
2022-02-09,17463.80078125,17477.150390625,17339.0,17370.099609375,236400,17640.80498046875,17455.9629296875,17005.54964244316,0.0,SIDEWAYS,10,BEAR,False
2022-02-10,17605.849609375,17639.44921875,17427.150390625,17554.099609375,273600,17610.47998046875,17464.7419140625,17011.92636095045,0.0,SIDEWAYS,10,BEAR,False
2022-02-11,17374.75,17454.75,17303.0,17451.0,253100,17566.32744140625,17464.20390625,17015.777885064905,0.0,SIDEWAYS,10,BEAR,False
2022-02-14,16842.80078125,17099.5,16809.650390625,17076.150390625,305500,17495.67998046875,17457.1259375,17013.94288161508,0.0,SIDEWAYS,10,BEAR,False
2022-02-15,17352.44921875,17375.0,16839.25,16933.25,298700,17447.8974609375,17465.929921875,17017.531517098047,0.0,BEAR,-10,BEAR,True
2022-02-16,17322.19921875,17490.599609375,17257.69921875,17408.44921875,244500,17408.3548828125,17468.839921875,17020.75931449966,0.0,BEAR,10,BEAR,True
2022-02-17,17304.599609375,17442.900390625,17235.849609375,17396.55078125,232100,17376.66484375,17465.5369140625,17023.76452018966,0.0,BEAR,10,BEAR,True
2022-02-18,17276.30078125,17380.80078125,17219.19921875,17236.05078125,189600,17352.6298828125,17460.7259375,17026.43658607008,0.0,BEAR,10,BEAR,True
2022-02-21,17206.650390625,17351.05078125,17070.69921875,17192.25,215200,17332.1048828125,17454.6329296875,17028.342212028427,0.0,BEAR,10,BEAR,True
2022-02-22,17092.19921875,17148.55078125,16843.80078125,16847.94921875,300100,17329.25986328125,17449.1119140625,17029.017030941428,0.0,BEAR,10,BEAR,True
2022-02-23,17063.25,17220.69921875,17027.849609375,17194.5,200200,17318.52490234375,17443.87890625,17029.378569982862,0.0,BEAR,10,BEAR,True
2022-02-24,16247.9501953125,16705.25,16203.25,16548.900390625,458000,17275.414892578126,17424.40990234375,17021.13083708932,0.0,BEAR,10,BEAR,True
2022-02-25,16658.400390625,16748.80078125,16478.30078125,16515.650390625,329800,17253.237451171874,17412.60990234375,17017.304643006697,0.0,BEAR,-10,BEAR,True
2022-02-28,16793.900390625,16815.900390625,16356.2998046875,16481.599609375,404200,17225.939990234376,17408.78392578125,17014.949513668373,0.0,BEAR,-10,BEAR,True
2022-03-02,16605.94921875,16678.5,16478.650390625,16593.099609375,517700,17177.394970703124,17408.61892578125,17010.6403793978,0.0,BEAR,-10,BEAR,True
2022-03-03,16498.05078125,16768.94921875,16442.94921875,16723.19921875,442100,17113.297509765624,17403.16294921875,17005.243012031082,0.0,BEAR,-10,BEAR,True
2022-03-04,16245.349609375,16456.0,16133.7998046875,16339.4501953125,456100,17047.555029296876,17388.96095703125,16997.24626561275,0.0,BEAR,-10,BEAR,True
2022-03-07,15863.150390625,15944.599609375,15711.4501953125,15867.9501953125,585400,16964.897509765626,17364.77197265625,16985.31843321445,0.0,BEAR,-10,BEAR,True
2022-03-08,16013.4501953125,16028.75,15671.4501953125,15747.75,543600,16904.8900390625,17344.9659765625,16975.102621732876,0.0,BEAR,-10,BEAR,True
2022-03-09,16345.349609375,16418.05078125,15990.0,16078.0,462200,16858.82001953125,17330.14796875,16968.486674291205,0.0,BEAR,-10,BEAR,True
2022-03-10,16594.900390625,16757.30078125,16447.900390625,16757.099609375,486400,16815.375,17317.3809765625,16964.56409630562,0.0,BEAR,-10,BEAR,True
2022-03-11,16630.44921875,16694.400390625,16470.900390625,16528.80078125,343700,16766.60498046875,17305.71796875,16961.05788665496,0.0,BEAR,-10,BEAR,True
2022-03-14,16871.30078125,16887.94921875,16606.5,16633.69921875,314700,16741.43251953125,17299.065,16960.11648531901,0.0,SIDEWAYS,-10,BEAR,False
2022-03-15,16663.0,16927.75,16555.0,16900.650390625,381600,16732.44248046875,17285.243984375,16957.00190810618,0.0,BEAR,10,BEAR,True
2022-03-16,16975.349609375,16987.900390625,16837.849609375,16876.650390625,260000,16713.5875,17272.2369921875,16957.19413884833,0.0,SIDEWAYS,-10,BEAR,False
2022-03-17,17287.05078125,17344.599609375,17175.75,17202.900390625,448300,16711.830078125,17261.8730078125,16960.64826080063,0.0,SIDEWAYS,30,SIDEWAYS,True
2022-03-21,17117.599609375,17353.349609375,17096.400390625,17329.5,285500,16702.480078125,17245.72,16962.29093384245,0.0,SIDEWAYS,10,BEAR,False
2022-03-22,17315.5,17334.400390625,17006.30078125,17120.400390625,338300,16704.4400390625,17237.1119921875,16965.985759362837,0.0,SIDEWAYS,10,BEAR,False
2022-03-23,17245.650390625,17442.400390625,17199.599609375,17405.05078125,292100,16706.3900390625,17225.771015625,16968.90976357437,0.0,SIDEWAYS,10,BEAR,False
2022-03-24,17222.75,17291.75,17091.150390625,17094.94921875,290300,16712.917578125,17210.16,16971.56242355357,0.0,SIDEWAYS,10,BEAR,False
2022-03-25,17153.0,17294.900390625,17076.55078125,17289.0,237100,16717.405078125,17192.105,16973.457520022162,0.0,SIDEWAYS,10,BEAR,False
2022-03-28,17222.0,17235.099609375,17003.900390625,17181.849609375,253200,16766.107568359374,17172.2980078125,16976.052236707194,0.0,SIDEWAYS,10,BEAR,False
2022-03-29,17325.30078125,17343.650390625,17235.69921875,17297.19921875,235100,16799.452587890624,17153.6480078125,16979.696513827716,0.0,SIDEWAYS,40,SIDEWAYS,True
2022-03-30,17498.25,17522.5,17387.19921875,17468.150390625,505000,16834.670068359374,17138.4980078125,16985.10480465495,0.0,SIDEWAYS,40,SIDEWAYS,True
2022-03-31,17464.75,17559.80078125,17435.19921875,17519.19921875,281100,16877.610107421875,17121.631015625,16990.10490200657,0.0,SIDEWAYS,40,SIDEWAYS,True
2022-04-01,17670.44921875,17703.69921875,17422.69921875,17436.900390625,291800,16936.230029296876,17112.778984375,16997.193839948217,0.0,SIDEWAYS,40,SIDEWAYS,True
2022-04-04,18053.400390625,18114.650390625,17791.400390625,17809.099609375,345500,17026.632568359375,17115.078984375,17008.193961060722,0.0,SIDEWAYS,40,SIDEWAYS,True
2022-04-05,17957.400390625,18095.44921875,17921.55078125,18080.599609375,283500,17131.345068359376,17119.0869921875,17018.075113524996,0.0,BULL,40,SIDEWAYS,False
2022-04-06,17807.650390625,17901.0,17779.849609375,17842.75,328800,17221.055078125,17122.8969921875,17026.290743835783,0.0,BULL,40,SIDEWAYS,False
2022-04-07,17639.55078125,17787.5,17623.69921875,17723.30078125,308800,17285.76513671875,17132.706015625,17032.668890572822,0.0,BULL,40,SIDEWAYS,False
2022-04-08,17784.349609375,17842.75,17600.55078125,17698.150390625,274400,17345.23759765625,17142.8340234375,17040.483149536616,0.0,BULL,40,SIDEWAYS,False
2022-04-11,17674.94921875,17779.05078125,17650.94921875,17740.900390625,251700,17397.46259765625,17154.13,17047.07594147071,0.0,BULL,40,SIDEWAYS,False
2022-04-12,17530.30078125,17595.30078125,17442.349609375,17584.849609375,266000,17430.41259765625,17162.69703125,17052.094960103113,0.0,BULL,60,SIDEWAYS,False
2022-04-13,17475.650390625,17663.650390625,17457.400390625,17599.900390625,245100,17471.0451171875,17165.413046875,17056.49230356139,0.0,BULL,60,SIDEWAYS,False
2022-04-18,17173.650390625,17237.75,17067.849609375,17183.44921875,376100,17480.96015625,17157.3490625,17057.708111425247,0.0,SIDEWAYS,60,SIDEWAYS,True
2022-04-19,16958.650390625,17275.650390625,16824.69921875,17258.94921875,401400,17464.54013671875,17140.9220703125,17056.680579096606,0.0,SIDEWAYS,40,SIDEWAYS,True
2022-04-20,17136.55078125,17186.900390625,16978.94921875,17045.25,286100,17465.4876953125,17132.4491015625,17057.508727861663,0.0,SIDEWAYS,20,BEAR,False
2022-04-21,17392.599609375,17414.69921875,17215.5,17234.599609375,285200,17469.34267578125,17129.975078125,17060.981725591806,0.0,SIDEWAYS,40,SIDEWAYS,True
2022-04-22,17171.94921875,17315.30078125,17149.19921875,17242.75,262700,17465.6576171875,17129.1420703125,17062.131354992118,0.0,SIDEWAYS,40,SIDEWAYS,True
2022-04-25,16953.94921875,17054.30078125,16888.69921875,17009.05078125,275700,17452.217578125,17122.8860546875,17061.01104115665,0.0,SIDEWAYS,10,BEAR,False
2022-04-26,17200.80078125,17223.849609375,17064.44921875,17121.30078125,261100,17454.6076171875,17117.6260546875,17062.458090517193,0.0,SIDEWAYS,-10,BEAR,False
2022-04-27,17038.400390625,17110.69921875,16958.44921875,17073.349609375,265100,17445.42763671875,17106.2770703125,17062.209154420412,0.0,SIDEWAYS,10,BEAR,False
2022-04-28,17245.05078125,17322.5,17071.05078125,17189.5,312900,17441.41513671875,17103.6830859375,17064.100349707453,0.0,SIDEWAYS,-10,BEAR,False
2022-04-29,17102.55078125,17377.650390625,17053.25,17329.25,336200,17421.63017578125,17108.8780859375,17064.49789977317,0.0,SIDEWAYS,10,BEAR,False
2022-05-02,17069.099609375,17092.25,16917.25,16924.44921875,278200,17401.84765625,17103.21109375,17064.545459669036,0.0,SIDEWAYS,10,BEAR,False
2022-05-04,16677.599609375,17132.849609375,16623.94921875,17096.599609375,310600,17352.20517578125,17090.3191015625,17060.54781028682,0.0,SIDEWAYS,10,BEAR,False
2022-05-05,16682.650390625,16945.69921875,16651.849609375,16854.75,265800,17283.66767578125,17077.8801171875,17056.64512993391,0.0,SIDEWAYS,-10,BEAR,False
2022-05-06,16411.25,16484.19921875,16340.900390625,16415.55078125,300500,17206.36015625,17060.5791015625,17049.982418628402,0.0,SIDEWAYS,-10,BEAR,False
2022-05-09,16301.849609375,16403.69921875,16142.099609375,16227.7001953125,288400,17131.0701171875,17042.4830859375,17042.26198028111,0.0,SIDEWAYS,-10,BEAR,False
2022-05-10,16240.0498046875,16404.55078125,16197.2998046875,16248.900390625,283100,17061.095068359376,17025.44009765625,17033.98652062713,0.0,SIDEWAYS,-10,BEAR,False
2022-05-11,16167.099609375,16318.75,15992.599609375,16270.0498046875,284300,16980.232568359374,17007.51708984375,17025.047157179597,0.0,BEAR,-10,BEAR,True
2022-05-12,15808.0,16041.9501953125,15735.75,16021.099609375,314900,16886.885107421876,16998.7180859375,17012.501469716735,0.0,BEAR,-10,BEAR,True
2022-05-13,15782.150390625,16083.599609375,15740.849609375,15977.0,369100,16799.477587890626,16981.1930859375,16999.823180912575,0.0,BEAR,-10,BEAR,True
